Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,10.49,10.69,10.49,10.67,68800,10.67
2016-03-10,10.50,10.52,10.43,10.48,100900,10.48
2016-03-09,10.42,10.46,10.35,10.46,71100,10.46
2016-03-08,10.40,10.47,10.38,10.45,105400,10.33
2016-03-07,10.24,10.39,10.24,10.39,89900,10.270689
2016-03-04,10.23,10.32,10.21,10.32,70500,10.201493
2016-03-03,10.10,10.23,10.10,10.23,99900,10.112526
2016-03-02,10.03,10.12,10.02,10.11,46600,9.993904
2016-03-01,9.92,10.11,9.92,10.11,205100,9.993904
2016-02-29,9.71,9.96,9.71,9.96,110900,9.845627
2016-02-26,9.69,9.75,9.69,9.71,58600,9.598498
2016-02-25,9.69,9.69,9.64,9.68,31500,9.568842
2016-02-24,9.57,9.72,9.55,9.69,111400,9.578727
2016-02-23,9.62,9.66,9.59,9.61,76500,9.499646
2016-02-22,9.62,9.70,9.60,9.62,60500,9.509531
2016-02-19,9.48,9.62,9.48,9.61,81100,9.499646
2016-02-18,9.62,9.75,9.52,9.60,116600,9.489761
2016-02-17,9.64,9.65,9.59,9.61,50500,9.499646
2016-02-16,9.59,9.60,9.45,9.56,61300,9.450221
2016-02-12,9.54,9.56,9.33,9.54,77800,9.43045
2016-02-11,9.53,9.58,9.43,9.49,53000,9.381024
2016-02-10,9.76,9.76,9.61,9.61,48100,9.499646
2016-02-09,9.68,9.81,9.62,9.74,44400,9.628153
2016-02-08,10.03,10.05,9.83,9.94,62500,9.707234
2016-02-05,10.15,10.21,10.13,10.13,35100,9.892785
2016-02-04,10.24,10.24,10.12,10.20,45800,9.961146
2016-02-03,10.29,10.30,10.16,10.25,75300,10.009975
2016-02-02,10.29,10.30,10.18,10.23,103200,9.990443
2016-02-01,10.28,10.34,10.22,10.34,47200,10.097868
2016-01-29,10.33,10.38,10.25,10.38,107400,10.136931
2016-01-28,10.18,10.27,10.12,10.26,72200,10.019741
2016-01-27,10.17,10.18,10.07,10.15,103800,9.912317
2016-01-26,10.07,10.23,10.04,10.21,55100,9.970912
2016-01-25,10.14,10.19,10.03,10.08,51300,9.843956
2016-01-22,10.07,10.19,10.05,10.19,59500,9.95138
2016-01-21,9.99,10.14,9.92,10.02,43600,9.785362
2016-01-20,10.07,10.20,9.75,9.92,100700,9.687703
2016-01-19,10.28,10.29,10.11,10.24,70900,10.000209
2016-01-15,10.47,10.47,10.23,10.29,91600,10.049038
2016-01-14,10.63,10.68,10.53,10.60,103200,10.35178
2016-01-13,10.93,10.95,10.59,10.65,79400,10.400608
2016-01-12,11.10,11.12,10.88,10.95,117000,10.693583
2016-01-11,11.05,11.11,10.95,11.10,103900,10.840071
2016-01-08,11.17,11.26,11.06,11.07,156700,10.810773
2016-01-07,11.17,11.24,11.13,11.19,87300,10.927963
2016-01-06,11.26,11.32,11.20,11.29,74500,11.025621
2016-01-05,11.27,11.34,11.27,11.34,24700,11.074451
2016-01-04,11.21,11.31,11.11,11.30,28600,11.035387
2015-12-31,11.28,11.36,11.24,11.35,39500,11.084217
2015-12-30,11.35,11.38,11.27,11.34,62500,11.074451
2015-12-29,11.43,11.52,11.33,11.40,60100,11.133045
2015-12-28,11.70,11.70,11.51,11.57,42800,11.181874
2015-12-24,11.60,11.77,11.55,11.74,70200,11.346171
2015-12-23,11.51,11.65,11.42,11.60,150600,11.210868
2015-12-22,11.26,11.42,11.12,11.40,85500,11.017577
2015-12-21,11.29,11.33,11.12,11.26,136600,10.882274
2015-12-18,11.24,11.39,11.24,11.26,119200,10.882274
2015-12-17,11.23,11.32,11.09,11.30,81200,10.920932
2015-12-16,11.05,11.31,11.02,11.24,203800,10.862944
2015-12-15,10.80,11.07,10.80,11.06,294500,10.688983
2015-12-14,10.99,10.99,10.60,10.79,251800,10.42804
2015-12-11,11.37,11.43,10.95,11.01,170800,10.64066
2015-12-10,11.48,11.50,11.37,11.48,125400,11.094893
2015-12-09,11.64,11.72,11.52,11.53,186300,11.143216
2015-12-08,11.63,11.83,11.60,11.73,130100,11.220532
2015-12-07,11.96,11.96,11.67,11.76,102900,11.24923
2015-12-04,11.97,12.04,11.87,12.01,53900,11.488372
2015-12-03,12.03,12.11,11.92,12.03,75400,11.507503
2015-12-02,12.15,12.15,12.06,12.08,76100,11.555331
2015-12-01,12.11,12.23,12.11,12.17,97200,11.641423
2015-11-30,12.09,12.13,12.05,12.13,48800,11.60316
2015-11-27,12.16,12.16,12.06,12.14,37200,11.612726
2015-11-25,12.04,12.12,12.00,12.12,52100,11.593594
2015-11-24,12.13,12.18,12.05,12.08,33700,11.555331
2015-11-23,12.20,12.21,12.12,12.17,37600,11.641423
2015-11-20,12.21,12.22,12.13,12.20,31300,11.670119
2015-11-19,12.25,12.31,12.11,12.25,64800,11.717948
2015-11-18,12.19,12.29,12.15,12.28,76400,11.746645
2015-11-17,12.36,12.37,12.12,12.24,208700,11.708382
2015-11-16,12.32,12.36,12.28,12.36,41200,11.82317
2015-11-13,12.37,12.47,12.29,12.33,99700,11.794473
2015-11-12,12.40,12.46,12.35,12.40,48500,11.861433
2015-11-11,12.57,12.57,12.40,12.42,45300,11.880564
2015-11-10,12.64,12.66,12.53,12.61,48700,12.062312
2015-11-09,12.79,12.79,12.61,12.72,46000,12.167535
2015-11-06,13.10,13.10,12.86,12.99,56200,12.31102
2015-11-05,13.10,13.13,13.05,13.11,41400,12.424747
2015-11-04,13.11,13.15,13.06,13.12,37500,12.434225
2015-11-03,13.11,13.15,13.09,13.11,45200,12.424747
2015-11-02,13.10,13.18,13.07,13.16,49400,12.472134
2015-10-30,13.05,13.10,13.01,13.09,26300,12.405793
2015-10-29,13.01,13.06,12.95,13.06,27100,12.377361
2015-10-28,13.07,13.09,13.03,13.04,37700,12.358406
2015-10-27,13.09,13.10,13.03,13.06,37200,12.377361
2015-10-26,13.16,13.18,13.06,13.12,29800,12.434225
2015-10-23,13.15,13.17,13.10,13.15,24500,12.462656
2015-10-22,13.14,13.20,13.13,13.16,36000,12.472134
2015-10-21,13.12,13.14,13.04,13.09,39800,12.405793
2015-10-20,13.06,13.11,13.01,13.09,73900,12.405793
2015-10-19,13.04,13.10,12.99,13.09,34000,12.405793
2015-10-16,13.04,13.06,12.95,13.04,22800,12.358406
2015-10-15,13.07,13.07,12.92,13.02,38800,12.339452
2015-10-14,13.07,13.07,12.94,13.06,36800,12.377361
2015-10-13,13.04,13.09,12.98,13.06,37100,12.377361
2015-10-12,13.12,13.12,12.98,13.10,53300,12.41527
2015-10-09,13.09,13.19,13.05,13.14,72000,12.45318
2015-10-08,12.79,13.07,12.75,13.07,69300,12.386838
2015-10-07,12.72,12.79,12.72,12.76,45800,12.093042
2015-10-06,12.80,12.85,12.79,12.82,50000,12.036177
2015-10-05,12.77,12.83,12.76,12.83,47900,12.045566
2015-10-02,12.61,12.78,12.61,12.77,60300,11.989235
2015-10-01,12.80,12.85,12.64,12.82,229500,12.036177
2015-09-30,12.75,12.88,12.60,12.85,95900,12.064344
2015-09-29,12.74,12.82,12.61,12.78,78100,11.998623
2015-09-28,13.01,13.04,12.75,12.79,70200,12.008012
2015-09-25,13.02,13.08,12.98,12.98,29200,12.186395
2015-09-24,13.04,13.12,12.98,12.99,21600,12.195783
2015-09-23,13.03,13.18,13.02,13.09,41800,12.28967
