Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,9.55,9.645,9.50,9.52,18800,9.52
2016-03-10,9.51,9.663,9.39,9.45,29400,9.45
2016-03-09,9.42,9.67,9.30,9.51,54000,9.51
2016-03-08,9.24,9.39,9.13,9.32,73300,9.32
2016-03-07,8.88,9.34,8.82,9.28,36600,9.28
2016-03-04,8.63,9.09,8.63,8.95,34200,8.95
2016-03-03,8.40,8.67,8.392,8.57,39900,8.57
2016-03-02,8.31,8.44,8.11,8.41,51800,8.41
2016-03-01,8.11,8.34,8.00,8.28,25600,8.28
2016-02-29,8.21,8.34,8.04,8.07,88000,8.07
2016-02-26,8.15,8.32,8.15,8.19,32700,8.19
2016-02-25,8.06,8.23,8.00,8.12,46600,8.12
2016-02-24,7.86,8.04,7.86,8.04,36100,8.04
2016-02-23,7.87,7.94,7.87,7.91,47700,7.91
2016-02-22,8.15,8.15,7.86,7.86,107900,7.86
2016-02-19,8.31,8.44,8.10,8.13,66200,8.13
2016-02-18,8.16,8.38,8.05,8.31,72200,8.31
2016-02-17,8.25,8.39,8.24,8.36,40400,8.36
2016-02-16,8.42,8.685,8.24,8.24,71100,8.143
2016-02-12,8.36,8.426,8.35,8.42,25100,8.320881
2016-02-11,8.25,8.38,8.25,8.32,80800,8.222058
2016-02-10,8.38,8.422,8.255,8.38,74500,8.281352
2016-02-09,8.35,8.382,8.25,8.37,160200,8.271469
2016-02-08,8.61,8.648,8.37,8.38,32200,8.281352
2016-02-05,8.83,8.99,8.66,8.66,29200,8.558056
2016-02-04,8.83,8.98,8.651,8.82,32900,8.716172
2016-02-03,8.69,8.89,8.60,8.80,21900,8.696408
2016-02-02,8.64,8.75,8.64,8.68,17300,8.577821
2016-02-01,8.50,8.67,8.50,8.66,36800,8.558056
2016-01-29,8.45,8.67,8.45,8.53,48100,8.429586
2016-01-28,8.29,8.46,8.28,8.38,72900,8.281352
2016-01-27,8.20,8.378,8.20,8.27,51900,8.172647
2016-01-26,8.17,8.38,8.09,8.19,56100,8.093588
2016-01-25,8.27,8.27,8.12,8.12,31700,8.024412
