Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,6.50,6.55,6.395,6.53,39900,6.53
2016-03-10,6.26,6.52,6.25,6.43,32900,6.43
2016-03-09,6.07,6.41,6.07,6.26,74700,6.26
2016-03-08,6.28,6.28,6.04,6.06,59300,6.06
2016-03-07,6.54,6.54,6.00,6.27,64600,6.27
2016-03-04,6.10,6.25,6.10,6.22,21800,6.22
2016-03-03,6.00,6.10,5.93,6.03,30100,6.03
2016-03-02,5.80,5.95,5.80,5.95,7000,5.95
2016-03-01,5.88,5.88,5.72,5.82,43000,5.82
2016-02-29,5.80,6.05,5.80,5.86,21900,5.86
2016-02-26,5.85,6.00,5.69,5.80,19600,5.80
2016-02-25,5.70,5.84,5.67,5.80,10700,5.80
2016-02-24,5.64,5.75,5.55,5.65,22400,5.65
2016-02-23,5.65,5.79,5.56,5.65,15000,5.65
2016-02-22,5.61,5.74,5.55,5.74,79600,5.74
2016-02-19,5.62,5.75,5.56,5.60,18200,5.60
2016-02-18,5.62,5.73,5.50,5.69,45400,5.69
2016-02-17,5.95,5.96,5.54,5.70,53100,5.70
2016-02-16,6.02,6.20,5.95,5.95,21600,5.95
2016-02-12,6.15,6.202,5.95,6.06,31000,6.06
2016-02-11,6.08,6.175,5.95,5.95,12100,5.95
2016-02-10,6.002,6.42,6.002,6.25,9000,6.25
2016-02-09,6.09,6.17,6.00,6.05,63000,6.05
2016-02-08,6.11,6.197,6.05,6.13,45400,6.13
2016-02-05,6.25,6.33,6.10,6.25,44200,6.25
2016-02-04,6.07,6.232,6.00,6.17,19600,6.17
2016-02-03,6.10,6.14,5.81,6.13,23600,6.13
2016-02-02,5.91,6.36,5.91,6.01,24500,6.01
2016-02-01,5.82,5.99,5.75,5.97,22300,5.97
2016-01-29,5.63,5.90,5.63,5.83,133500,5.83
2016-01-28,5.52,6.03,5.483,5.69,49500,5.69
2016-01-27,5.33,5.60,5.33,5.40,59500,5.40
2016-01-26,5.23,5.35,5.23,5.30,60200,5.30
2016-01-25,5.13,5.31,5.12,5.22,32900,5.22
2016-01-22,5.17,5.343,5.07,5.12,71100,5.12
2016-01-21,5.19,5.25,5.01,5.09,53400,5.09
2016-01-20,5.10,5.18,4.95,5.14,123300,5.14
2016-01-19,5.45,5.45,5.30,5.38,68400,5.38
2016-01-15,5.63,5.67,5.32,5.40,76200,5.40
2016-01-14,5.54,6.00,5.54,5.75,78500,5.75
2016-01-13,5.98,5.99,5.50,5.60,169200,5.60
2016-01-12,6.49,6.55,5.90,5.99,114600,5.99
2016-01-11,6.74,6.74,6.41,6.43,83400,6.43
2016-01-08,7.01,7.01,6.60,6.71,152500,6.71
2016-01-07,6.94,7.10,6.93,6.93,86400,6.93
2016-01-06,7.00,7.14,6.95,7.01,65900,7.01
2016-01-05,6.99,7.05,6.98,7.02,36900,7.02
2016-01-04,6.92,7.02,6.92,6.99,39900,6.99
2015-12-31,7.02,7.06,6.90,7.04,97900,7.04
2015-12-30,7.01,7.09,6.98,7.02,119000,7.02
2015-12-29,7.02,7.12,7.01,7.05,44700,7.05
