Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,25.85,26.49,25.85,26.200001,686800,26.200001
2016-03-10,25.65,25.82,25.41,25.610001,376700,25.610001
2016-03-09,25.549999,25.940001,25.43,25.469999,622200,25.469999
2016-03-08,25.139999,25.52,25.00,25.290001,856300,25.290001
2016-03-07,25.67,25.76,25.25,25.299999,715800,25.299999
2016-03-04,25.67,25.860001,25.469999,25.73,569500,25.73
2016-03-03,25.98,26.02,25.299999,25.67,511900,25.67
2016-03-02,25.360001,26.040001,25.35,25.950001,1017600,25.950001
2016-03-01,24.700001,25.84,24.700001,25.290001,1519300,25.290001
2016-02-29,24.950001,25.059999,24.440001,24.450001,1119300,24.450001
2016-02-26,25.450001,25.59,24.98,25.00,664500,25.00
2016-02-25,25.299999,25.450001,24.889999,25.40,701000,25.40
2016-02-24,24.790001,25.459999,24.33,25.41,1062000,25.41
2016-02-23,25.309999,25.440001,24.950001,24.969999,673100,24.969999
2016-02-22,25.32,25.459999,25.139999,25.309999,817500,25.309999
2016-02-19,25.10,25.219999,24.940001,25.059999,852700,25.059999
2016-02-18,26.139999,26.139999,25.32,25.33,553200,25.33
2016-02-17,25.66,25.98,25.360001,25.60,1105500,25.60
2016-02-16,25.34,25.50,25.02,25.450001,1057400,25.450001
2016-02-12,24.389999,25.07,24.200001,25.049999,1055800,25.049999
2016-02-11,24.950001,25.17,24.23,24.41,1795300,24.41
2016-02-10,26.41,26.41,25.24,25.469999,1419400,25.469999
2016-02-09,26.33,26.66,26.030001,26.450001,1050900,26.450001
2016-02-08,27.43,27.440001,25.950001,26.67,945600,26.67
2016-02-05,27.219999,27.98,27.09,27.57,639000,27.57
2016-02-04,27.74,27.809999,27.15,27.469999,536900,27.469999
2016-02-03,29.059999,29.16,26.959999,27.809999,715600,27.809999
2016-02-02,56.48,57.529999,56.209999,56.950001,617400,28.475
2016-02-01,56.689999,57.599998,56.330002,57.200001,827400,28.60
2016-01-29,56.68,57.43,56.560001,57.189999,1397000,28.594999
2016-01-28,57.240002,57.830002,56.360001,56.380001,862600,28.190001
2016-01-27,55.950001,57.330002,55.73,56.73,977200,28.365
2016-01-26,54.82,56.41,54.009998,55.950001,711000,27.975
2016-01-25,55.43,55.50,54.470001,54.490002,529000,27.245001
2016-01-22,54.119999,55.830002,53.549999,55.560001,857000,27.780001
2016-01-21,53.299999,54.099998,52.75,53.23,554000,26.615
