Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,5.18,5.23,5.16,5.23,107300,5.23
2016-03-10,5.20,5.20,5.13,5.17,159300,5.123
2016-03-09,5.15,5.19,5.14,5.18,123700,5.132909
2016-03-08,5.15,5.16,5.10,5.16,97600,5.113091
2016-03-07,5.12,5.16,5.11,5.16,187300,5.113091
2016-03-04,5.14,5.24,5.12,5.15,232400,5.103182
2016-03-03,5.06,5.18,5.05,5.16,356900,5.113091
2016-03-02,5.11,5.11,5.04,5.09,126900,5.043727
2016-03-01,5.02,5.14,4.96,5.12,290600,5.073454
2016-02-29,4.94,5.03,4.92,5.03,149800,4.984273
2016-02-26,4.91,4.98,4.91,4.94,125200,4.895091
2016-02-25,4.84,4.93,4.83,4.93,342900,4.885182
2016-02-24,4.77,4.88,4.75,4.86,104700,4.815818
2016-02-23,4.80,4.83,4.74,4.82,258800,4.776182
2016-02-22,4.75,4.82,4.75,4.80,191700,4.756364
2016-02-19,4.68,4.76,4.68,4.74,143400,4.696909
2016-02-18,4.71,4.78,4.69,4.72,305000,4.677091
2016-02-17,4.67,4.75,4.65,4.74,145400,4.696909
2016-02-16,4.58,4.65,4.56,4.63,258400,4.587909
2016-02-12,4.53,4.59,4.49,4.56,109100,4.518545
2016-02-11,4.49,4.54,4.41,4.52,352300,4.478909
2016-02-10,4.65,4.69,4.57,4.60,152600,4.558182
2016-02-09,4.65,4.68,4.62,4.68,140100,4.590882
2016-02-08,4.84,4.85,4.66,4.72,132700,4.63012
2016-02-05,4.94,4.94,4.85,4.87,107700,4.777264
2016-02-04,4.97,4.98,4.91,4.94,58400,4.845931
2016-02-03,4.98,5.00,4.90,4.99,75600,4.894978
2016-02-02,5.08,5.08,4.95,4.98,109500,4.885169
2016-02-01,5.10,5.10,5.00,5.08,202000,4.983265
2016-01-29,5.07,5.18,4.98,5.18,172100,5.08136
2016-01-28,5.00,5.09,4.94,5.08,276400,4.983265
2016-01-27,4.96,4.99,4.88,4.99,158000,4.894978
2016-01-26,4.89,4.97,4.87,4.95,181200,4.85574
2016-01-25,4.87,4.95,4.83,4.95,118900,4.85574
2016-01-22,4.86,5.00,4.81,4.90,195300,4.806692
2016-01-21,4.76,4.94,4.74,4.80,162500,4.708597
2016-01-20,4.82,4.88,4.60,4.81,238200,4.718406
2016-01-19,4.96,4.98,4.88,4.94,104900,4.845931
