Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,1.08,1.13,0.99,1.00,916400,1.00
2016-03-10,1.05,1.06,0.96,1.03,943000,1.03
2016-03-09,1.15,1.19,1.00,1.08,1650000,1.08
2016-03-08,1.26,1.27,0.92,0.98,3554900,0.98
2016-03-07,0.78,1.33,0.77,1.33,5904200,1.33
2016-03-04,0.68,0.75,0.66,0.71,1430100,0.697
2016-03-03,0.63,0.67,0.63,0.64,725200,0.628282
2016-03-02,0.66,0.67,0.63,0.63,549700,0.618465
2016-03-01,0.67,0.68,0.63,0.65,459900,0.638099
2016-02-29,0.72,0.72,0.63,0.67,495000,0.657732
2016-02-26,0.71,0.73,0.65,0.67,806400,0.657732
2016-02-25,0.73,0.74,0.70,0.71,360300,0.697
2016-02-24,0.71,0.72,0.70,0.71,267200,0.697
2016-02-23,0.71,0.72,0.68,0.71,398000,0.697
2016-02-22,0.66,0.76,0.66,0.74,618100,0.726451
2016-02-19,0.71,0.71,0.63,0.64,828400,0.628282
2016-02-18,0.77,0.91,0.70,0.73,319200,0.716634
2016-02-17,0.74,0.78,0.72,0.75,396700,0.736268
2016-02-16,0.77,0.78,0.72,0.74,353100,0.726451
2016-02-12,0.67,0.74,0.65,0.69,539300,0.677366
2016-02-11,0.61,0.68,0.60,0.61,347900,0.598831
2016-02-10,0.72,0.73,0.62,0.62,523300,0.608648
2016-02-09,0.70,0.77,0.67,0.67,373900,0.657732
2016-02-08,0.75,0.82,0.72,0.72,381200,0.706817
2016-02-05,0.80,0.84,0.77,0.77,306300,0.755901
2016-02-04,0.85,0.88,0.81,0.81,400300,0.795169
2016-02-03,0.82,0.85,0.77,0.83,471500,0.802041
2016-02-02,0.80,0.81,0.76,0.81,428200,0.782715
2016-02-01,0.85,0.87,0.79,0.79,379900,0.763388
2016-01-29,0.86,0.91,0.85,0.85,606500,0.821367
2016-01-28,0.75,0.85,0.75,0.82,1116700,0.792378
2016-01-27,0.74,0.77,0.71,0.71,285300,0.686083
2016-01-26,0.69,0.77,0.65,0.71,706400,0.686083
2016-01-25,0.75,0.77,0.65,0.65,595200,0.628104
2016-01-22,0.76,0.79,0.72,0.74,666600,0.715073
2016-01-21,0.63,0.72,0.60,0.69,873500,0.666757
2016-01-20,0.65,0.70,0.56,0.58,1361100,0.560462
2016-01-19,0.73,0.73,0.66,0.67,800700,0.647431
2016-01-15,0.68,0.74,0.67,0.72,550100,0.695746
2016-01-14,0.77,0.77,0.67,0.71,684600,0.686083
2016-01-13,0.79,0.81,0.67,0.70,913700,0.67642
2016-01-12,0.82,0.84,0.70,0.79,858600,0.763388
2016-01-11,0.87,0.87,0.80,0.80,446400,0.773051
2016-01-08,0.87,0.95,0.83,0.83,451100,0.802041
2016-01-07,0.82,0.90,0.82,0.85,495200,0.821367
2016-01-06,0.86,0.91,0.82,0.86,844000,0.83103
2016-01-05,1.02,1.10,0.88,0.90,766900,0.869683
2016-01-04,1.08,1.20,1.03,1.07,1795700,1.021394
2015-12-31,0.85,1.03,0.83,1.03,1821000,0.983211
2015-12-30,0.85,0.90,0.82,0.85,818000,0.811388
2015-12-29,0.85,0.91,0.84,0.84,968400,0.801842
2015-12-28,0.93,1.00,0.83,0.85,1616400,0.811388
2015-12-24,0.92,1.06,0.92,1.00,1671000,0.954574
2015-12-23,0.70,0.95,0.70,0.90,2102900,0.859117
2015-12-22,0.69,0.72,0.67,0.71,942700,0.677748
2015-12-21,0.74,0.75,0.66,0.69,1380900,0.658656
2015-12-18,0.66,0.75,0.65,0.74,1111000,0.706385
2015-12-17,0.72,0.75,0.66,0.67,1245300,0.639565
2015-12-16,0.69,0.76,0.69,0.72,946200,0.687293
2015-12-15,0.81,0.81,0.70,0.70,1513700,0.668202
2015-12-14,0.83,0.84,0.69,0.72,1975300,0.687293
2015-12-11,0.88,0.88,0.84,0.86,939300,0.820934
2015-12-10,0.90,0.98,0.89,0.89,873400,0.849571
2015-12-09,0.91,1.04,0.90,0.93,1319300,0.887754
2015-12-08,0.85,0.96,0.84,0.93,1177900,0.887754
2015-12-07,0.98,0.99,0.81,0.89,2309000,0.849571
2015-12-04,1.07,1.08,1.00,1.01,1903900,0.96412
2015-12-03,1.13,1.13,1.02,1.13,2570800,1.066259
2015-12-02,1.23,1.28,1.02,1.11,5031900,1.047387
2015-12-01,1.49,1.49,1.24,1.29,2045900,1.217234
2015-11-30,1.45,1.49,1.42,1.47,3060800,1.387081
2015-11-27,1.54,1.54,1.41,1.47,968900,1.387081
2015-11-25,1.64,1.65,1.51,1.57,1128700,1.48144
2015-11-24,1.47,1.61,1.41,1.60,2372000,1.509748
2015-11-23,2.26,2.29,1.36,1.51,9009200,1.424824
2015-11-20,2.34,2.35,2.26,2.29,770700,2.160826
2015-11-19,2.41,2.41,2.30,2.34,869400,2.208006
2015-11-18,2.44,2.50,2.26,2.44,1306500,2.302365
2015-11-17,2.58,2.60,2.36,2.43,1147100,2.292929
2015-11-16,2.61,2.73,2.55,2.63,1025000,2.481648
2015-11-13,2.40,2.57,2.30,2.56,1032600,2.415596
2015-11-12,2.32,2.44,2.28,2.31,1313500,2.179698
2015-11-11,2.51,2.53,2.33,2.35,2255100,2.217442
2015-11-10,2.78,2.89,2.52,2.59,1413400,2.443904
2015-11-09,2.75,2.78,2.64,2.71,1210100,2.557135
2015-11-06,2.79,2.85,2.70,2.74,826500,2.585443
2015-11-05,3.00,3.02,2.81,2.81,1005500,2.651494
2015-11-04,3.11,3.17,3.01,3.13,1386900,2.851536
2015-11-03,3.05,3.10,3.02,3.10,884200,2.824205
2015-11-02,2.84,3.01,2.82,3.00,1192000,2.733101
2015-10-30,2.86,2.90,2.72,2.86,1031800,2.605556
2015-10-29,2.93,2.93,2.67,2.80,1533900,2.550894
2015-10-28,2.49,2.69,2.43,2.68,942900,2.441571
2015-10-27,2.57,2.57,2.34,2.44,1529400,2.222922
2015-10-26,2.78,2.85,2.53,2.57,1563700,2.341357
2015-10-23,2.98,2.99,2.77,2.78,1718200,2.532674
2015-10-22,3.04,3.06,2.97,3.00,740300,2.733101
2015-10-21,3.05,3.12,3.00,3.01,810100,2.742212
2015-10-20,3.05,3.12,3.00,3.04,617200,2.769543
2015-10-19,3.05,3.15,2.99,3.00,875800,2.733101
2015-10-16,3.04,3.08,2.95,3.06,1183400,2.787763
2015-10-15,3.04,3.04,2.85,3.01,1217000,2.742212
2015-10-14,2.94,2.94,2.80,2.94,636400,2.678439
2015-10-13,3.00,3.02,2.86,2.91,665900,2.651108
2015-10-12,3.11,3.19,2.92,2.97,1052800,2.70577
2015-10-09,3.30,3.33,3.11,3.14,1153600,2.860646
2015-10-08,3.19,3.24,3.02,3.23,1142700,2.942639
2015-10-07,3.18,3.25,3.04,3.14,1288300,2.860646
2015-10-06,2.92,3.14,2.87,3.09,1334000,2.815094
2015-10-05,3.00,3.15,2.97,3.09,1922700,2.716702
2015-10-02,2.83,3.02,2.70,2.97,850700,2.6112
2015-10-01,2.84,2.87,2.70,2.78,1542300,2.444153
2015-09-30,2.72,2.80,2.57,2.80,1345000,2.461737
2015-09-29,2.75,2.87,2.66,2.66,1096700,2.33865
2015-09-28,2.88,2.91,2.66,2.74,1214700,2.408985
2015-09-25,3.12,3.17,2.77,2.86,1863500,2.514488
2015-09-24,3.00,3.04,2.88,2.96,1027000,2.602408
2015-09-23,3.08,3.10,2.96,3.03,1069700,2.663951
2015-09-22,3.17,3.20,2.93,3.15,1176800,2.769454
2015-09-21,3.30,3.30,3.15,3.19,627500,2.804622
2015-09-18,3.25,3.30,3.14,3.23,722700,2.839789
2015-09-17,3.35,3.47,3.26,3.29,614800,2.892541
2015-09-16,3.32,3.49,3.31,3.41,810800,2.998044
2015-09-15,3.11,3.36,3.11,3.26,743900,2.866165
2015-09-14,3.36,3.36,3.08,3.17,1037100,2.787038
2015-09-11,3.47,3.49,3.15,3.23,1483300,2.839789
2015-09-10,3.54,3.58,3.45,3.51,799000,3.085963
2015-09-09,3.85,3.92,3.52,3.52,1305100,3.094755
2015-09-08,3.77,4.03,3.69,3.81,1342800,3.349721
2015-09-04,3.57,3.78,3.48,3.78,718400,3.323345
2015-09-03,3.66,3.91,3.55,3.64,1440200,3.200258
2015-09-02,3.81,3.85,3.70,3.78,775300,3.228392
2015-09-01,3.72,3.99,3.65,3.78,1449400,3.228392
2015-08-31,3.82,4.00,3.65,3.99,1691200,3.407747
2015-08-28,3.54,3.94,3.43,3.83,2426300,3.271096
2015-08-27,3.35,3.53,3.26,3.39,1906700,2.895304
2015-08-26,3.16,3.30,3.12,3.20,1083200,2.73303
2015-08-25,3.24,3.42,3.00,3.07,1289100,2.622001
2015-08-24,2.75,3.02,2.74,3.02,1324800,2.579297
2015-08-21,2.86,3.06,2.85,3.01,1247300,2.570757
2015-08-20,3.20,3.28,2.81,2.85,2081000,2.434105
2015-08-19,3.44,3.50,3.15,3.25,1089500,2.775734
2015-08-18,3.61,3.63,3.28,3.42,969200,2.920926
2015-08-17,3.92,3.97,3.50,3.60,1014800,3.074659
2015-08-14,4.46,4.49,3.95,3.98,865600,3.399206
2015-08-13,4.25,4.62,4.18,4.22,1264600,3.604184
2015-08-12,3.82,4.35,3.79,4.30,1692900,3.67251
2015-08-11,3.63,3.82,3.52,3.81,773900,3.254014
2015-08-10,3.63,3.85,3.52,3.72,1411400,3.177148
2015-08-07,3.08,3.91,3.03,3.63,3537900,3.100281
2015-08-06,2.47,2.94,2.23,2.86,2348600,2.442646
2015-08-05,3.28,3.28,2.43,2.47,3868600,2.109558
2015-08-04,3.52,3.58,3.29,3.34,986200,2.760361
2015-08-03,3.93,3.93,3.25,3.43,1817300,2.834742
2015-07-31,3.97,4.00,3.77,3.95,1005200,3.264498
2015-07-30,4.35,4.45,3.99,4.05,1047000,3.347144
2015-07-29,4.15,4.42,4.01,4.38,908800,3.619874
2015-07-28,3.89,4.29,3.86,4.14,1146900,3.421525
2015-07-27,3.72,3.90,3.72,3.86,848100,3.190117
2015-07-24,3.96,3.96,3.76,3.80,793100,3.14053
2015-07-23,3.80,4.00,3.76,3.90,1144600,3.223176
2015-07-22,4.05,4.06,3.73,3.75,1569200,3.099207
2015-07-21,3.86,4.13,3.82,4.13,1617300,3.41326
2015-07-20,4.26,4.28,3.86,3.93,1903400,3.247969
2015-07-17,4.54,4.54,4.10,4.24,2109600,3.50417
2015-07-16,5.11,5.12,4.47,4.54,2080300,3.752107
2015-07-15,5.34,5.38,5.01,5.08,784700,4.198393
2015-07-14,5.15,5.36,5.06,5.33,1353300,4.405007
2015-07-13,5.41,5.41,5.01,5.11,2428700,4.223187
2015-07-10,5.53,5.62,5.39,5.41,437200,4.471123
2015-07-09,5.48,5.60,5.41,5.48,505100,4.528975
2015-07-08,5.49,5.64,5.36,5.37,334400,4.438065
2015-07-07,5.54,5.61,5.34,5.54,677500,4.578562
2015-07-06,5.75,5.80,5.42,5.57,981900,4.603356
2015-07-02,5.80,6.02,5.76,6.01,477400,4.877739
2015-07-01,6.26,6.31,5.72,5.75,1177500,4.666722
2015-06-30,6.30,6.39,6.19,6.26,785700,5.08064
2015-06-29,6.69,6.69,6.19,6.23,1206200,5.056292
