Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,20.700001,21.93,20.35,21.15,57300,21.15
2016-03-10,21.870001,23.49,19.254999,20.85,56000,20.85
2016-03-09,22.299999,22.459999,20.129999,21.33,117300,21.33
2016-03-08,20.83,22.18,19.99,21.68,59000,21.68
2016-03-07,19.799999,21.50,18.700001,20.870001,214100,20.870001
2016-03-04,23.93,24.018,19.379999,19.67,206900,19.67
2016-03-03,21.15,23.42,20.809999,23.23,191300,23.23
2016-03-02,20.200001,21.450001,19.60,21.26,284300,21.26
2016-03-01,19.26,20.58,19.26,20.129999,115000,20.129999
2016-02-29,19.889999,19.889999,19.25,19.41,35000,19.41
2016-02-26,20.01,20.01,19.25,19.49,106600,19.49
2016-02-25,18.75,20.370001,18.75,19.517,72200,19.517
2016-02-24,18.50,18.77,18.120001,18.77,31200,18.77
2016-02-23,18.58,18.629999,18.50,18.58,26200,18.58
2016-02-22,18.98,19.00,18.50,18.50,76100,18.50
2016-02-19,18.50,18.84,18.50,18.73,82400,18.73
2016-02-18,18.98,19.02,18.50,18.540001,55000,18.540001
2016-02-17,18.40,18.99,18.40,18.75,107800,18.75
2016-02-16,17.40,18.440001,17.40,18.26,69400,18.26
2016-02-12,17.870001,18.25,17.65,17.799999,158300,17.799999
