Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,15.16,15.16,15.04,15.04,9200,15.04
2016-03-10,15.22,15.22,15.12,15.14,9800,15.071
2016-03-09,15.14,15.25,15.12,15.18,29900,15.110818
2016-03-08,15.20,15.21,15.09,15.11,19000,15.041136
2016-03-07,15.17,15.19,15.09,15.12,25400,15.051091
2016-03-04,15.12,15.19,15.08,15.16,15400,15.090908
2016-03-03,15.10,15.19,15.10,15.19,8300,15.120771
2016-03-02,15.19,15.23,15.09,15.09,26900,15.021228
2016-03-01,15.23,15.23,15.18,15.22,14800,15.150635
2016-02-29,15.13,15.22,15.13,15.21,33600,15.140681
2016-02-26,15.11,15.14,15.09,15.10,24400,15.031182
2016-02-25,15.01,15.17,14.98,15.16,27700,15.090908
2016-02-24,14.96,15.00,14.96,15.00,22000,14.931638
2016-02-23,14.85,14.93,14.82,14.93,17300,14.861957
2016-02-22,14.86,14.90,14.85,14.87,8100,14.80223
2016-02-19,14.80,14.92,14.80,14.90,13200,14.832093
2016-02-18,14.82,14.89,14.82,14.89,10200,14.822139
2016-02-17,14.83,14.91,14.80,14.80,18800,14.732549
2016-02-16,14.92,14.96,14.84,14.86,21200,14.792275
2016-02-12,14.96,15.02,14.94,14.94,6500,14.871911
2016-02-11,15.04,15.10,14.82,15.01,22500,14.941592
2016-02-10,15.10,15.11,14.99,15.02,34000,14.882862
2016-02-09,15.16,15.16,15.05,15.05,14100,14.912587
2016-02-08,15.23,15.23,15.12,15.12,12400,14.981948
2016-02-05,15.04,15.23,14.99,15.22,28500,15.081035
2016-02-04,15.05,15.06,14.95,15.04,25500,14.902678
2016-02-03,15.00,15.03,14.96,14.97,14100,14.833318
2016-02-02,15.00,15.04,14.95,14.98,24200,14.843226
2016-02-01,15.04,15.06,14.96,14.98,6800,14.843226
2016-01-29,14.95,15.00,14.94,15.00,16500,14.863044
2016-01-28,14.87,14.95,14.87,14.91,20800,14.773865
2016-01-27,14.83,14.92,14.83,14.86,12900,14.724322
2016-01-26,14.81,14.94,14.81,14.91,12300,14.773865
2016-01-25,14.86,14.93,14.86,14.88,13800,14.744139
2016-01-22,14.73,14.86,14.70,14.81,14000,14.674779
2016-01-21,14.57,14.69,14.54,14.69,17000,14.555874
2016-01-20,14.75,14.82,14.48,14.48,40700,14.347791
2016-01-19,14.88,15.02,14.75,14.75,24200,14.615326
2016-01-15,14.95,14.96,14.88,14.90,18600,14.763956
2016-01-14,14.96,14.96,14.85,14.88,21600,14.744139
2016-01-13,14.95,14.95,14.88,14.89,12700,14.754048
2016-01-12,15.04,15.06,14.98,15.01,45100,14.804583
2016-01-11,15.02,15.05,14.95,14.96,11900,14.755267
2016-01-08,15.05,15.05,14.99,15.02,15900,14.814447
2016-01-07,15.00,15.10,14.93,15.03,25300,14.824309
2016-01-06,14.94,14.95,14.89,14.92,38700,14.715815
2016-01-05,14.80,14.83,14.72,14.83,13300,14.627046
2016-01-04,14.85,14.85,14.68,14.74,17200,14.538278
2015-12-31,14.70,14.79,14.69,14.78,16000,14.57773
2015-12-30,14.65,14.73,14.61,14.70,7400,14.498825
2015-12-29,14.65,14.70,14.65,14.66,8700,14.459373
2015-12-28,14.69,14.73,14.67,14.70,4700,14.498825
2015-12-24,14.65,14.72,14.65,14.67,3300,14.469236
2015-12-23,14.57,14.69,14.57,14.65,11300,14.449509
2015-12-22,14.58,14.58,14.56,14.57,26600,14.370604
2015-12-21,14.52,14.60,14.52,14.56,10500,14.360742
2015-12-18,14.47,14.59,14.47,14.56,12800,14.360742
2015-12-17,14.35,14.50,14.35,14.47,15700,14.271973
2015-12-16,14.23,14.34,14.22,14.34,6100,14.143752
2015-12-15,14.21,14.29,14.18,14.28,8800,14.084573
2015-12-14,14.32,14.35,14.17,14.18,14800,13.985942
2015-12-11,14.38,14.43,14.31,14.32,17700,14.124026
2015-12-10,14.36,14.43,14.31,14.32,21200,14.124026
2015-12-09,14.44,14.44,14.35,14.41,18100,14.144738
2015-12-08,14.28,14.41,14.28,14.39,16500,14.125107
2015-12-07,14.29,14.33,14.25,14.25,13700,13.987683
2015-12-04,14.28,14.30,14.21,14.28,11800,14.017131
2015-12-03,14.33,14.40,14.21,14.22,25200,13.958236
2015-12-02,14.42,14.45,14.35,14.38,15200,14.11529
2015-12-01,14.39,14.45,14.34,14.38,14800,14.11529
2015-11-30,14.42,14.42,14.33,14.34,9200,14.076027
2015-11-27,14.36,14.42,14.36,14.39,3600,14.125107
2015-11-25,14.30,14.40,14.30,14.39,16200,14.125107
2015-11-24,14.39,14.40,14.27,14.29,31100,14.026947
2015-11-23,14.32,14.39,14.30,14.39,30000,14.125107
2015-11-20,14.32,14.33,14.26,14.26,11000,13.9975
2015-11-19,14.37,14.37,14.29,14.33,8500,14.066211
2015-11-18,14.33,14.36,14.22,14.29,13200,14.026947
2015-11-17,14.29,14.35,14.26,14.33,11600,14.066211
2015-11-16,14.31,14.34,14.28,14.34,11400,14.076027
2015-11-13,14.27,14.33,14.19,14.32,20900,14.056395
2015-11-12,14.23,14.23,14.10,14.23,8100,13.968051
2015-11-11,14.28,14.28,14.14,14.19,9900,13.861058
2015-11-10,14.17,14.28,14.16,14.25,19900,13.919667
2015-11-09,14.35,14.36,14.19,14.23,18700,13.90013
2015-11-06,14.46,14.54,14.27,14.32,24000,13.988044
2015-11-05,14.68,14.69,14.51,14.52,6700,14.183409
2015-11-04,14.66,14.68,14.58,14.58,11400,14.242017
2015-11-03,14.68,14.77,14.57,14.68,21300,14.339699
2015-11-02,14.64,14.64,14.58,14.59,16200,14.251786
2015-10-30,14.57,14.57,14.42,14.55,25200,14.212713
2015-10-29,14.58,14.61,14.55,14.58,6900,14.242017
2015-10-28,14.48,14.62,14.48,14.58,16200,14.242017
2015-10-27,14.53,14.53,14.48,14.48,10100,14.144335
2015-10-26,14.60,14.60,14.51,14.51,15000,14.17364
2015-10-23,14.42,14.67,14.42,14.60,54900,14.261554
2015-10-22,14.39,14.46,14.39,14.42,18200,14.085726
2015-10-21,14.20,14.37,14.20,14.36,25100,14.027117
2015-10-20,14.35,14.35,14.23,14.23,6300,13.90013
2015-10-19,14.39,14.39,14.25,14.33,18400,13.997812
2015-10-16,14.38,14.39,14.33,14.37,14700,14.036885
2015-10-15,14.36,14.41,14.32,14.33,11400,13.997812
2015-10-14,14.32,14.38,14.32,14.36,12300,14.027117
2015-10-13,14.31,14.36,14.29,14.34,14700,14.007581
2015-10-12,14.35,14.41,14.30,14.38,11400,13.979254
2015-10-09,14.31,14.35,14.19,14.35,33600,13.95009
2015-10-08,14.26,14.36,14.25,14.31,20200,13.911205
2015-10-07,14.23,14.31,14.23,14.31,16300,13.911205
2015-10-06,14.13,14.31,14.09,14.23,31400,13.833433
2015-10-05,14.13,14.14,14.01,14.04,19800,13.648729
2015-10-02,14.06,14.08,14.03,14.04,8000,13.648729
2015-10-01,14.04,14.05,13.98,14.01,11500,13.619565
2015-09-30,14.07,14.07,13.98,13.98,22400,13.5904
2015-09-29,14.05,14.07,13.98,14.01,8200,13.619565
2015-09-28,14.17,14.20,13.99,13.99,11300,13.600122
2015-09-25,14.15,14.15,14.09,14.13,7700,13.736221
2015-09-24,14.11,14.20,14.10,14.13,8800,13.736221
2015-09-23,14.08,14.17,14.08,14.15,6900,13.755663
2015-09-22,14.11,14.11,14.06,14.08,6400,13.687614
2015-09-21,14.11,14.12,14.05,14.08,5900,13.687614
2015-09-18,13.97,14.14,13.97,14.06,12200,13.668172
2015-09-17,13.96,14.09,13.92,14.09,12900,13.697335
2015-09-16,13.87,13.92,13.78,13.89,22100,13.502909
2015-09-15,13.92,13.94,13.81,13.83,9700,13.444581
2015-09-14,13.98,13.99,13.88,13.91,20000,13.522351
2015-09-11,13.99,14.02,13.93,13.95,16900,13.561237
2015-09-10,14.09,14.17,13.95,14.00,22800,13.542766
2015-09-09,14.21,14.21,14.09,14.10,16300,13.6395
2015-09-08,14.41,14.41,14.02,14.19,29100,13.72656
2015-09-04,14.03,14.03,13.95,14.02,8500,13.562113
2015-09-03,13.98,14.03,13.96,14.03,20800,13.571786
2015-09-02,13.97,13.98,13.89,13.91,16100,13.455705
2015-09-01,13.97,13.97,13.86,13.97,10700,13.513746
2015-08-31,13.86,13.90,13.86,13.89,13400,13.436359
2015-08-28,13.80,13.87,13.80,13.81,10200,13.358971
2015-08-27,13.82,13.83,13.77,13.79,18400,13.339624
2015-08-26,14.02,14.03,13.75,13.81,56800,13.358971
2015-08-25,13.97,14.04,13.96,13.99,26900,13.533092
2015-08-24,14.00,14.05,13.96,13.96,17100,13.504072
2015-08-21,14.08,14.13,14.00,14.03,12300,13.571786
2015-08-20,14.04,14.09,14.02,14.07,7300,13.610479
2015-08-19,14.10,14.10,14.01,14.06,3700,13.600807
2015-08-18,14.07,14.12,14.03,14.06,6100,13.600807
2015-08-17,14.13,14.15,14.05,14.05,22300,13.591133
2015-08-14,14.11,14.14,14.05,14.10,10600,13.6395
2015-08-13,14.18,14.19,14.12,14.13,8300,13.66852
2015-08-12,14.14,14.20,14.14,14.15,7300,13.687866
2015-08-11,14.02,14.17,14.02,14.16,40600,13.630794
2015-08-10,14.17,14.23,13.99,14.02,39000,13.496027
2015-08-07,14.15,14.23,14.15,14.17,5400,13.64042
2015-08-06,14.16,14.21,14.14,14.19,5700,13.659672
2015-08-05,14.25,14.29,14.14,14.14,7200,13.611542
2015-08-04,14.21,14.34,14.21,14.21,7800,13.678925
2015-08-03,14.27,14.28,14.19,14.23,10000,13.698177
2015-07-31,14.20,14.24,14.17,14.23,5900,13.698177
2015-07-30,14.18,14.18,14.13,14.15,5500,13.621167
2015-07-29,14.15,14.16,14.10,14.15,9500,13.621167
2015-07-28,14.16,14.17,14.07,14.08,11400,13.553784
2015-07-27,14.03,14.12,14.03,14.12,6500,13.592289
2015-07-24,14.23,14.25,14.05,14.05,14400,13.524905
2015-07-23,14.21,14.21,14.13,14.19,10100,13.659672
2015-07-22,14.15,14.20,14.09,14.17,20600,13.64042
2015-07-21,14.08,14.12,14.00,14.11,22000,13.582662
2015-07-20,14.17,14.18,14.02,14.03,24200,13.505652
2015-07-17,14.15,14.22,14.11,14.13,11200,13.601915
2015-07-16,14.15,14.20,14.12,14.13,17600,13.601915
2015-07-15,14.17,14.18,14.08,14.08,18300,13.553784
2015-07-14,14.17,14.21,14.11,14.13,11400,13.601915
2015-07-13,14.20,14.21,14.11,14.14,7700,13.611542
2015-07-10,14.22,14.25,14.14,14.25,22300,13.651009
2015-07-09,14.24,14.25,14.21,14.24,14800,13.641429
2015-07-08,14.32,14.36,14.16,14.23,19200,13.631849
2015-07-07,14.26,14.37,14.17,14.27,30400,13.670169
2015-07-06,14.19,14.21,14.08,14.14,6800,13.545633
2015-07-02,14.14,14.19,14.06,14.12,14000,13.526473
2015-07-01,14.20,14.20,14.05,14.12,10400,13.526473
2015-06-30,14.08,14.15,13.99,14.12,28900,13.526473
2015-06-29,14.09,14.09,13.99,14.04,12200,13.449836
2015-06-26,14.06,14.09,13.93,14.09,28900,13.497735
2015-06-25,14.22,14.22,14.01,14.04,16200,13.449836
2015-06-24,14.20,14.22,14.10,14.14,14600,13.545633
2015-06-23,14.09,14.19,14.06,14.19,10200,13.593531
2015-06-22,14.06,14.11,14.03,14.11,16800,13.516894
2015-06-19,13.98,14.06,13.96,14.04,6000,13.449836
2015-06-18,13.95,14.01,13.94,13.94,8300,13.354039
2015-06-17,14.01,14.01,13.95,13.96,7700,13.373199
2015-06-16,13.94,13.98,13.91,13.94,10300,13.354039
2015-06-15,13.89,13.99,13.88,13.91,20200,13.325301
2015-06-12,13.71,13.85,13.71,13.77,10100,13.191186
2015-06-11,13.75,13.79,13.71,13.74,12500,13.162446
2015-06-10,13.93,13.96,13.70,13.75,34200,13.105927
2015-06-09,13.95,13.96,13.80,13.91,28100,13.258432
2015-06-08,13.97,14.00,13.87,13.92,32500,13.267964
2015-06-05,14.00,14.04,13.82,13.95,24300,13.296558
2015-06-04,14.13,14.14,14.00,14.01,10600,13.353748
2015-06-03,14.18,14.19,14.05,14.08,20200,13.420469
2015-06-02,14.19,14.23,14.15,14.15,15500,13.48719
2015-06-01,14.24,14.24,14.17,14.17,15600,13.506253
2015-05-29,14.24,14.25,14.22,14.23,4500,13.563442
2015-05-28,14.21,14.24,14.18,14.18,10400,13.515785
2015-05-27,14.17,14.26,14.15,14.19,17600,13.525316
2015-05-26,14.22,14.23,14.12,14.13,15800,13.468127
2015-05-22,14.26,14.26,14.17,14.19,7100,13.525316
2015-05-21,14.18,14.30,14.18,14.23,23300,13.563442
2015-05-20,14.23,14.27,14.18,14.24,14100,13.572974
2015-05-19,14.27,14.27,14.16,14.16,28900,13.496722
2015-05-18,14.38,14.42,14.22,14.29,24000,13.620632
2015-05-15,14.29,14.40,14.29,14.37,20500,13.696885
2015-05-14,14.24,14.37,14.19,14.28,27000,13.611101
2015-05-13,14.34,14.35,14.15,14.18,30800,13.515785
2015-05-12,14.34,14.34,14.25,14.33,23100,13.59299
2015-05-11,14.44,14.44,14.29,14.31,16500,13.574019
2015-05-08,14.44,14.44,14.39,14.43,11300,13.687848
2015-05-07,14.36,14.37,14.20,14.33,54000,13.59299
