Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,7.40,7.40,7.06,7.06,37500,7.06
2016-03-10,7.25,7.306,6.85,6.88,37300,6.88
2016-03-09,7.02,7.47,7.02,7.19,41300,7.19
2016-03-08,7.80,7.80,6.83,6.99,74400,6.99
2016-03-07,6.82,7.73,6.82,7.55,129800,7.55
2016-03-04,6.46,7.05,6.46,6.65,138000,6.65
2016-03-03,6.49,6.50,6.15,6.31,57900,6.31
2016-03-02,6.49,6.49,6.20,6.49,52400,6.49
2016-03-01,6.20,6.59,6.15,6.37,47400,6.37
2016-02-29,6.30,6.30,5.86,6.08,57400,6.08
2016-02-26,6.80,6.80,5.62,5.85,108600,5.85
2016-02-25,6.10,6.45,6.10,6.34,111000,6.34
2016-02-24,6.65,6.65,6.04,6.17,102600,5.998
2016-02-23,6.90,6.90,6.50,6.60,72000,6.416013
2016-02-22,6.68,6.89,6.522,6.85,78300,6.659044
2016-02-19,6.75,7.00,6.00,6.26,91500,6.085491
2016-02-18,7.16,7.239,6.50,6.69,146700,6.503504
2016-02-17,6.67,7.03,6.60,6.82,87400,6.62988
2016-02-16,8.00,8.00,6.40,6.43,72900,6.250752
2016-02-12,5.904,6.411,5.62,6.16,61100,5.988279
2016-02-11,5.82,5.83,5.35,5.36,119400,5.210581
2016-02-10,5.56,6.08,5.56,5.85,38400,5.686921
2016-02-09,5.96,6.30,5.51,5.68,50700,5.52166
2016-02-08,6.51,6.534,5.90,6.14,44600,5.968836
2016-02-05,7.37,7.37,6.51,6.64,85700,6.454898
2016-02-04,7.00,7.735,7.00,7.087,85500,6.889437
2016-02-03,6.11,7.41,5.81,6.75,149700,6.561832
2016-02-02,6.21,6.50,5.81,5.90,74800,5.735527
2016-02-01,7.33,7.35,5.80,6.27,182900,6.095212
2016-01-29,8.80,8.99,7.30,7.43,288200,7.222875
2016-01-28,7.00,8.68,7.00,7.99,318300,7.767264
2016-01-27,5.50,6.977,5.194,6.54,182300,6.357686
2016-01-26,4.78,5.55,4.61,5.55,133800,5.228079
2016-01-25,4.60,4.75,4.362,4.63,69300,4.361442
2016-01-22,4.58,4.81,4.31,4.59,115600,4.323762
2016-01-21,3.95,4.34,3.90,4.28,141400,4.031743
2016-01-20,4.20,4.678,3.70,3.97,168600,3.739725
2016-01-19,4.61,4.65,4.25,4.25,158300,4.003483
2016-01-15,5.60,5.70,4.50,4.50,900700,4.238982
2016-01-14,4.50,5.90,4.167,5.81,268100,5.472997
2016-01-13,4.02,4.50,4.02,4.49,330700,4.229562
2016-01-12,4.79,5.106,3.99,4.05,222000,3.815084
2016-01-11,4.85,4.89,4.62,4.71,156600,4.436802
2016-01-08,4.84,4.92,4.65,4.82,172700,4.540421
2016-01-07,4.79,4.90,4.64,4.71,111200,4.436802
2016-01-06,4.90,5.15,4.87,4.87,83200,4.587521
2016-01-05,5.25,5.30,5.03,5.07,89600,4.77592
2016-01-04,5.14,5.34,5.14,5.20,53200,4.89838
2015-12-31,4.92,5.19,4.87,5.05,100100,4.75708
2015-12-30,5.15,5.15,4.88,4.95,97700,4.662881
2015-12-29,5.06,5.29,5.00,5.03,132000,4.738241
2015-12-28,5.30,5.52,5.01,5.07,182500,4.613897
2015-12-24,5.16,5.738,5.16,5.31,83500,4.832306
2015-12-23,4.97,5.39,4.75,5.12,155700,4.659399
2015-12-22,4.54,4.85,4.52,4.71,82400,4.286283
2015-12-21,4.90,5.15,4.50,4.50,158500,4.095175
2015-12-18,5.10,5.30,4.63,4.86,128600,4.422789
2015-12-17,5.60,5.729,5.13,5.13,111400,4.668499
2015-12-16,5.48,5.83,5.31,5.39,58200,4.905109
2015-12-15,5.64,6.109,5.31,5.45,65200,4.959711
2015-12-14,6.86,6.86,5.30,5.39,189200,4.905109
2015-12-11,6.20,6.29,5.74,5.87,73500,5.341928
2015-12-10,6.30,6.41,6.20,6.20,86000,5.642241
2015-12-09,6.39,6.67,6.08,6.38,152100,5.806048
2015-12-08,6.50,6.765,6.13,6.39,126100,5.815148
2015-12-07,6.78,6.84,5.27,6.75,363000,6.142762
2015-12-04,7.70,7.70,6.40,6.858,234000,6.241046
2015-12-03,7.85,8.19,7.80,7.86,134900,7.152905
2015-12-02,8.85,8.85,7.884,8.25,230100,7.50782
2015-12-01,8.47,9.01,8.00,8.91,125600,8.108446
2015-11-30,9.18,9.33,9.02,9.15,44400,8.326855
2015-11-27,8.80,9.13,8.60,9.13,30900,8.308655
2015-11-25,8.89,8.95,8.62,8.84,60600,8.044743
2015-11-24,8.59,9.10,8.59,8.93,47900,7.97012
2015-11-23,8.67,9.019,8.67,8.71,101400,7.773768
2015-11-20,8.65,9.21,8.415,9.08,95300,8.103997
