Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,15.18,15.29,15.18,15.18,52400,15.18
2016-03-10,15.39,15.46,15.34,15.45,11800,15.378
2016-03-09,15.30,15.36,15.22,15.28,16500,15.208792
2016-03-08,15.30,15.30,15.20,15.20,12200,15.129165
2016-03-07,15.20,15.25,15.20,15.25,14000,15.178932
2016-03-04,15.26,15.31,15.17,15.21,16300,15.139119
2016-03-03,15.30,15.43,15.00,15.15,17300,15.079398
2016-03-02,15.22,15.31,15.20,15.25,11600,15.178932
2016-03-01,15.32,15.38,15.15,15.15,44300,15.079398
2016-02-29,14.94,15.24,14.90,15.20,34200,15.129165
2016-02-26,14.95,14.95,14.72,14.86,15200,14.790749
2016-02-25,15.01,15.07,14.93,14.93,16200,14.860424
2016-02-24,14.87,15.09,14.75,14.90,18300,14.830563
2016-02-23,14.70,14.82,14.65,14.77,28000,14.701169
2016-02-22,14.95,15.10,14.56,14.60,71400,14.531962
2016-02-19,14.94,15.04,14.89,14.95,23500,14.88033
2016-02-18,14.81,15.12,14.78,14.90,20600,14.830563
2016-02-17,14.64,14.86,14.60,14.78,25400,14.711122
2016-02-16,14.37,14.67,14.37,14.64,25100,14.571775
2016-02-12,14.51,14.56,14.33,14.37,12000,14.303033
2016-02-11,14.54,14.57,14.45,14.45,19300,14.38266
2016-02-10,14.51,14.57,14.47,14.56,22500,14.420483
2016-02-09,14.43,14.53,14.43,14.47,14500,14.331346
2016-02-08,14.56,14.60,14.46,14.46,8400,14.321441
2016-02-05,14.65,14.74,14.50,14.52,15600,14.380867
2016-02-04,14.92,14.93,14.61,14.61,37000,14.470003
2016-02-03,14.60,14.92,14.60,14.91,38500,14.767129
2016-02-02,14.67,14.68,14.59,14.59,6000,14.450196
2016-02-01,14.63,14.68,14.48,14.63,6200,14.489812
2016-01-29,14.40,14.59,14.39,14.55,16900,14.410579
2016-01-28,14.34,14.48,14.33,14.36,9100,14.222399
2016-01-27,14.26,14.41,14.20,14.30,11400,14.162974
2016-01-26,14.25,14.28,14.16,14.28,7300,14.143166
2016-01-25,14.38,14.38,14.20,14.20,10100,14.063932
2016-01-22,14.26,14.50,14.22,14.33,19600,14.192687
2016-01-21,14.14,14.25,14.07,14.19,15300,14.054028
2016-01-20,14.20,14.20,14.04,14.05,30700,13.91537
2016-01-19,14.32,14.40,14.17,14.17,38500,14.03422
2016-01-15,14.34,14.50,14.32,14.33,66200,14.192687
2016-01-14,14.42,14.42,14.33,14.35,14900,14.212495
2016-01-13,14.48,14.62,14.37,14.38,5600,14.242208
2016-01-12,14.48,14.57,14.48,14.48,10000,14.269939
2016-01-11,14.46,14.49,14.45,14.49,9000,14.279794
2016-01-08,14.52,14.52,14.45,14.49,6200,14.279794
2016-01-07,14.55,14.65,14.45,14.49,13800,14.279794
2016-01-06,14.38,14.64,14.38,14.47,13900,14.260085
2016-01-05,14.46,14.60,14.42,14.45,13500,14.240375
2016-01-04,14.82,14.82,14.29,14.44,30100,14.230519
2015-12-31,14.58,14.66,14.48,14.60,14300,14.388199
2015-12-30,14.23,14.48,14.15,14.48,25100,14.269939
2015-12-29,14.14,14.22,14.08,14.19,10700,13.984146
2015-12-28,14.08,14.78,14.05,14.11,8800,13.905307
2015-12-24,14.01,14.08,13.99,14.08,3500,13.875742
2015-12-23,14.04,14.05,13.97,14.02,12000,13.816613
2015-12-22,14.02,14.05,14.02,14.02,11500,13.816613
2015-12-21,14.03,14.05,14.02,14.03,17200,13.826467
2015-12-18,13.99,14.03,13.93,14.01,31500,13.806758
2015-12-17,13.91,13.99,13.90,13.98,13800,13.777193
2015-12-16,13.85,13.92,13.82,13.90,12100,13.698353
2015-12-15,13.81,13.87,13.78,13.85,3400,13.649079
2015-12-14,13.85,13.88,13.77,13.78,29900,13.580094
2015-12-11,13.94,13.94,13.86,13.86,3900,13.658934
2015-12-10,13.95,13.95,13.89,13.90,6300,13.698353
2015-12-09,13.88,14.00,13.88,14.00,14200,13.725947
2015-12-08,13.86,13.91,13.86,13.91,12700,13.637709
2015-12-07,13.83,13.86,13.78,13.86,8900,13.588688
2015-12-04,13.73,13.80,13.73,13.77,7000,13.50045
2015-12-03,13.86,13.86,13.71,13.76,7300,13.490646
2015-12-02,13.84,13.88,13.82,13.86,7000,13.588688
2015-12-01,13.84,13.85,13.81,13.85,8800,13.578884
2015-11-30,13.80,13.82,13.68,13.82,31700,13.549471
2015-11-27,13.79,13.87,13.79,13.80,5100,13.529863
2015-11-25,13.81,13.85,13.77,13.81,16800,13.539667
2015-11-24,13.76,13.85,13.75,13.75,10700,13.480841
2015-11-23,13.77,13.82,13.77,13.81,6400,13.539667
2015-11-20,13.71,13.77,13.71,13.72,9000,13.451429
2015-11-19,13.70,13.74,13.70,13.72,4200,13.451429
2015-11-18,13.71,13.74,13.66,13.70,2800,13.43182
2015-11-17,13.73,13.73,13.68,13.71,7800,13.441624
2015-11-16,13.72,13.76,13.72,13.74,9800,13.471037
2015-11-13,13.64,13.73,13.64,13.73,8700,13.461232
2015-11-12,13.62,13.66,13.59,13.64,5100,13.372995
2015-11-11,13.65,13.69,13.65,13.66,6800,13.322013
2015-11-10,13.64,13.71,13.63,13.67,7700,13.331765
2015-11-09,13.67,13.74,13.61,13.64,19900,13.302508
2015-11-06,13.86,13.92,13.69,13.71,10100,13.370776
2015-11-05,13.99,13.99,13.87,13.89,9500,13.546322
2015-11-04,13.92,13.99,13.89,13.89,7500,13.546322
2015-11-03,13.97,14.00,13.92,13.95,8200,13.604837
2015-11-02,13.99,14.05,13.89,13.90,13200,13.556074
