Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,17.459999,17.48,17.389999,17.48,9100,17.48
2016-03-10,17.49,17.50,17.26,17.450001,13200,17.375001
2016-03-09,17.280001,17.459999,17.24,17.450001,21000,17.375001
2016-03-08,17.23,17.50,17.23,17.33,41700,17.255516
2016-03-07,17.02,17.26,17.02,17.17,45900,17.096204
2016-03-04,17.110001,17.110001,16.98,16.98,20900,16.90702
2016-03-03,17.00,17.209999,16.92,17.059999,40300,16.986676
2016-03-02,16.879999,17.00,16.809999,17.00,33400,16.926934
2016-03-01,16.889999,16.90,16.83,16.879999,23300,16.807449
2016-02-29,16.65,16.91,16.639999,16.780001,43600,16.707881
2016-02-26,16.610001,16.82,16.610001,16.639999,38700,16.568481
2016-02-25,16.65,16.76,16.639999,16.639999,24000,16.568481
2016-02-24,16.74,16.75,16.65,16.68,20400,16.60831
2016-02-23,16.59,16.85,16.57,16.68,32200,16.60831
2016-02-22,16.700001,16.75,16.559999,16.59,24400,16.518697
2016-02-19,16.58,16.76,16.58,16.73,15500,16.658094
2016-02-18,16.530001,16.66,16.52,16.66,16300,16.588396
2016-02-17,16.49,16.549999,16.469999,16.50,35900,16.429083
2016-02-16,16.57,16.610001,16.51,16.51,13500,16.439041
2016-02-12,16.719999,16.76,16.58,16.639999,19000,16.568481
2016-02-11,16.700001,16.76,16.639999,16.690001,17800,16.618267
2016-02-10,16.75,16.790001,16.75,16.780001,13300,16.633202
2016-02-09,16.719999,16.75,16.65,16.73,18900,16.583639
2016-02-08,16.629999,16.719999,16.58,16.709999,8000,16.563813
2016-02-05,16.620001,16.620001,16.549999,16.549999,15300,16.405213
2016-02-04,16.469999,16.74,16.469999,16.549999,33500,16.405213
2016-02-03,16.48,16.540001,16.43,16.52,11700,16.375477
2016-02-02,16.360001,16.530001,16.360001,16.43,31600,16.286264
2016-02-01,16.379999,16.43,16.33,16.41,10200,16.266438
2016-01-29,16.379999,16.459999,16.309999,16.309999,44400,16.167313
2016-01-28,16.469999,16.540001,16.35,16.360001,34900,16.216877
2016-01-27,16.35,16.51,16.35,16.49,21400,16.345738
2016-01-26,16.32,16.440001,16.299999,16.440001,17000,16.296177
2016-01-25,16.379999,16.379999,16.32,16.32,18900,16.177226
2016-01-22,16.280001,16.440001,16.25,16.33,34300,16.187138
2016-01-21,16.190001,16.280001,16.190001,16.280001,24900,16.137577
2016-01-20,16.52,16.549999,16.15,16.16,39200,16.018626
2016-01-19,16.459999,16.58,16.370001,16.49,42400,16.345738
2016-01-15,16.48,16.49,16.379999,16.379999,31100,16.2367
2016-01-14,16.360001,16.41,16.26,16.41,6500,16.266438
2016-01-13,16.42,16.440001,16.360001,16.360001,9200,16.216877
2016-01-12,16.389999,16.48,16.33,16.48,21300,16.261482
2016-01-11,16.389999,16.440001,16.309999,16.370001,24300,16.152942
2016-01-08,16.41,16.450001,16.370001,16.440001,12200,16.222014
2016-01-07,16.379999,16.530001,16.379999,16.459999,17700,16.241747
2016-01-06,16.32,16.440001,16.280001,16.40,18300,16.182543
2016-01-05,16.209999,16.309999,16.190001,16.299999,10200,16.083869
2016-01-04,16.110001,16.190001,16.07,16.18,22700,15.965461
2015-12-31,16.23,16.280001,16.139999,16.139999,26300,15.925991
2015-12-30,16.059999,16.18,16.049999,16.18,25800,15.965461
2015-12-29,16.17,16.190001,16.08,16.08,16200,15.866787
2015-12-28,16.309999,16.309999,16.17,16.18,21200,15.965461
2015-12-24,16.309999,16.33,16.299999,16.33,13700,16.113472
2015-12-23,16.120001,16.309999,16.120001,16.309999,17900,16.093737
2015-12-22,16.209999,16.209999,16.129999,16.17,19200,15.955593
2015-12-21,16.16,16.23,16.110001,16.16,19800,15.945726
2015-12-18,15.97,16.25,15.96,16.200001,18700,15.985196
2015-12-17,15.87,16.040001,15.84,16.040001,97200,15.827318
2015-12-16,15.58,15.76,15.57,15.76,27700,15.55103
2015-12-15,15.53,15.63,15.53,15.63,39100,15.422754
2015-12-14,15.72,15.72,15.53,15.59,33100,15.383284
2015-12-11,15.80,15.84,15.75,15.75,15700,15.541162
2015-12-10,15.81,15.81,15.75,15.79,10700,15.580632
2015-12-09,15.72,15.87,15.72,15.87,31100,15.572738
2015-12-08,15.67,15.73,15.65,15.73,3900,15.43536
2015-12-07,15.65,15.71,15.62,15.65,14700,15.356859
2015-12-04,15.56,15.67,15.56,15.66,15600,15.366671
2015-12-03,15.66,15.66,15.56,15.63,11500,15.337234
2015-12-02,15.67,15.74,15.66,15.71,14500,15.415735
2015-12-01,15.66,15.74,15.64,15.73,17600,15.43536
2015-11-30,15.65,15.70,15.63,15.63,9700,15.337234
2015-11-27,15.64,15.64,15.63,15.64,4500,15.347047
2015-11-25,15.59,15.65,15.58,15.63,10700,15.337234
2015-11-24,15.55,15.59,15.51,15.58,42500,15.28817
2015-11-23,15.67,15.68,15.65,15.67,5300,15.376484
2015-11-20,15.54,15.69,15.54,15.64,12300,15.347047
2015-11-19,15.49,15.58,15.48,15.58,10600,15.28817
2015-11-18,15.41,15.51,15.41,15.51,11900,15.219482
2015-11-17,15.37,15.46,15.37,15.45,20200,15.160605
2015-11-16,15.37,15.46,15.37,15.46,9100,15.170418
2015-11-13,15.31,15.39,15.31,15.39,3400,15.101729
2015-11-12,15.28,15.33,15.28,15.31,5000,15.023228
2015-11-11,15.24,15.36,15.22,15.34,18300,14.97907
2015-11-10,15.21,15.29,15.20,15.28,49200,14.920481
2015-11-09,15.35,15.36,15.22,15.22,37400,14.861894
2015-11-06,15.49,15.53,15.09,15.41,25200,15.047423
2015-11-05,15.63,15.63,15.56,15.56,9200,15.193894
2015-11-04,15.62,15.63,15.58,15.62,24200,15.252482
2015-11-03,15.64,15.69,15.61,15.64,15800,15.272012
