Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,22.299999,22.34,22.059999,22.24,177100,22.24
2016-03-10,22.459999,22.459999,22.26,22.35,119600,22.218
2016-03-09,22.35,22.59,22.33,22.35,330100,22.218
2016-03-08,22.32,22.41,22.219999,22.40,228000,22.267704
2016-03-07,22.360001,22.360001,22.10,22.16,245900,22.029122
2016-03-04,22.40,22.620001,22.33,22.370001,321200,22.237883
2016-03-03,22.23,22.450001,22.190001,22.370001,208600,22.237883
2016-03-02,22.299999,22.299999,22.16,22.18,148700,22.049004
2016-03-01,22.40,22.40,22.200001,22.27,151700,22.138473
2016-02-29,22.24,22.32,22.200001,22.27,141700,22.138473
2016-02-26,22.40,22.40,22.16,22.18,203100,22.049004
2016-02-25,22.42,22.459999,22.27,22.43,216100,22.297528
2016-02-24,22.299999,22.469999,22.299999,22.42,255700,22.287587
2016-02-23,22.02,22.32,22.01,22.26,196500,22.128532
2016-02-22,22.280001,22.360001,22.040001,22.110001,468000,21.979418
2016-02-19,22.26,22.40,22.18,22.35,272600,22.218
2016-02-18,22.370001,22.370001,22.18,22.209999,315700,22.078826
2016-02-17,22.34,22.360001,22.219999,22.290001,409600,22.158355
2016-02-16,22.309999,22.370001,22.209999,22.26,434800,22.128532
2016-02-12,22.51,22.540001,22.27,22.35,480400,22.218
2016-02-11,23.10,23.120001,22.57,22.57,694400,22.4367
2016-02-10,23.43,23.43,23.17,23.26,400300,22.991405
2016-02-09,23.110001,23.40,22.620001,23.389999,846500,23.119903
2016-02-08,22.940001,23.469999,22.92,23.15,537200,22.882675
2016-02-05,22.93,22.98,22.82,22.940001,203600,22.675101
2016-02-04,22.92,23.030001,22.85,22.879999,265600,22.615792
2016-02-03,22.799999,22.950001,22.75,22.92,237300,22.655331
2016-02-02,22.59,22.879999,22.559999,22.84,273600,22.576255
2016-02-01,22.49,22.58,22.42,22.549999,322400,22.289603
2016-01-29,22.24,22.49,22.24,22.49,196400,22.230296
2016-01-28,22.10,22.23,22.07,22.200001,225400,21.943646
2016-01-27,22.07,22.18,21.969999,22.17,167100,21.913992
2016-01-26,21.870001,22.139999,21.870001,22.139999,178800,21.884338
2016-01-25,22.15,22.360001,21.90,21.950001,325100,21.696533
2016-01-22,22.030001,22.24,21.99,22.18,194900,21.923877
2016-01-21,21.540001,22.08,21.540001,22.07,378100,21.815146
2016-01-20,21.889999,21.889999,21.549999,21.559999,436500,21.311035
2016-01-19,22.07,22.120001,21.780001,21.790001,428700,21.538381
2016-01-15,21.85,22.209999,21.85,22.15,398300,21.894222
2016-01-14,21.870001,21.889999,21.799999,21.82,202900,21.568033
2016-01-13,21.83,21.92,21.82,21.889999,247000,21.637224
2016-01-12,21.799999,21.959999,21.799999,21.90,345300,21.647109
2016-01-11,21.799999,21.809999,21.67,21.780001,305600,21.528496
2016-01-08,21.690001,21.75,21.57,21.709999,280800,21.459303
2016-01-07,21.280001,21.67,21.209999,21.639999,700000,21.390111
2016-01-06,21.360001,21.440001,21.27,21.33,150800,21.083692
2016-01-05,21.139999,21.389999,21.110001,21.389999,110300,21.142998
2016-01-04,20.92,21.139999,20.91,21.139999,105400,20.895885
2015-12-31,21.01,21.110001,20.940001,20.98,85500,20.737733
2015-12-30,20.90,21.01,20.85,21.01,148200,20.767387
2015-12-29,20.879999,20.879999,20.73,20.82,157300,20.579581
2015-12-28,21.110001,21.129999,20.959999,21.00,201200,20.627027
2015-12-24,21.08,21.129999,20.98,21.09,72700,20.715428
2015-12-23,21.139999,21.209999,21.10,21.16,137600,20.784185
2015-12-22,21.120001,21.209999,21.059999,21.129999,167100,20.754717
2015-12-21,20.92,21.18,20.83,21.16,143000,20.784185
2015-12-18,20.889999,21.00,20.75,20.799999,144300,20.430578
2015-12-17,20.75,20.809999,20.65,20.790001,186800,20.420757
2015-12-16,20.41,20.75,20.41,20.67,150700,20.302888
2015-12-15,20.40,20.58,20.389999,20.559999,128100,20.194841
2015-12-14,20.610001,20.690001,20.450001,20.450001,255200,20.086796
2015-12-11,20.709999,20.790001,20.639999,20.700001,133000,20.332356
2015-12-10,20.780001,20.790001,20.690001,20.709999,143400,20.342176
2015-12-09,20.719999,20.93,20.709999,20.93,113900,20.428615
2015-12-08,20.610001,20.83,20.60,20.790001,116500,20.291969
2015-12-07,20.49,20.780001,20.469999,20.629999,222400,20.1358
2015-12-04,20.26,20.549999,20.26,20.549999,187500,20.057717
2015-12-03,20.690001,20.690001,20.290001,20.32,163900,19.833227
2015-12-02,20.809999,20.889999,20.709999,20.73,159200,20.233405
2015-12-01,20.67,20.870001,20.639999,20.85,161400,20.350531
2015-11-30,20.559999,20.65,20.48,20.58,115700,20.086999
2015-11-27,20.43,20.549999,20.43,20.540001,47100,20.047958
2015-11-25,20.389999,20.540001,20.389999,20.48,144600,19.989394
2015-11-24,20.26,20.469999,20.26,20.42,136700,19.930832
2015-11-23,20.299999,20.32,20.26,20.290001,75900,19.803947
2015-11-20,20.200001,20.360001,20.17,20.27,221200,19.784426
2015-11-19,20.18,20.280001,20.17,20.18,132200,19.696581
2015-11-18,20.110001,20.209999,20.10,20.209999,103300,19.725862
