Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,44.130001,44.220001,43.470001,43.540001,1035300,43.540001
2016-03-10,44.709999,44.950001,43.669998,44.040001,1142800,43.529
2016-03-09,43.77,44.869999,43.639999,44.830002,1331000,44.309834
2016-03-08,43.209999,43.880001,43.110001,43.560001,942800,43.05457
2016-03-07,42.959999,43.700001,42.790001,43.389999,942400,42.88654
2016-03-04,42.57,43.27,42.279999,43.18,1030600,42.678978
2016-03-03,43.09,43.189999,42.380001,42.560001,1208700,42.066173
2016-03-02,43.380001,43.41,42.779999,43.040001,661000,42.540603
2016-03-01,43.52,43.889999,43.43,43.650002,829100,43.143525
2016-02-29,42.919998,43.43,42.869999,43.119999,933800,42.619673
2016-02-26,43.16,43.25,42.689999,42.91,869600,42.41211
2016-02-25,42.950001,43.220001,42.720001,43.040001,511100,42.540603
2016-02-24,42.18,42.740002,41.91,42.68,748600,42.184779
2016-02-23,42.43,42.75,42.34,42.639999,615300,42.145242
2016-02-22,42.970001,43.25,42.509998,42.580002,860700,42.085941
2016-02-19,42.139999,42.939999,42.139999,42.880001,738200,42.382459
2016-02-18,42.380001,42.709999,42.27,42.68,650900,42.184779
2016-02-17,42.200001,42.540001,41.889999,42.369999,833300,41.878375
2016-02-16,41.919998,42.110001,41.549999,41.889999,759800,41.403945
2016-02-12,41.16,41.849998,41.060001,41.639999,1004000,41.156846
2016-02-11,40.830002,41.290001,40.68,41.139999,935200,40.662647
2016-02-10,41.77,41.939999,41.27,41.360001,1071500,40.880096
2016-02-09,41.610001,42.07,41.349998,41.880001,1174000,41.394063
2016-02-08,41.549999,42.02,41.389999,41.849998,1338200,41.364408
2016-02-05,41.779999,41.889999,41.380001,41.849998,971200,41.364408
2016-02-04,41.619999,42.220001,41.580002,41.889999,983300,41.403945
2016-02-03,40.650002,41.279999,40.57,41.189999,1590100,40.712066
2016-02-02,40.080002,40.25,39.77,40.200001,746500,39.733555
2016-02-01,40.200001,40.889999,39.779999,40.759998,893000,40.287055
2016-01-29,39.860001,40.459999,39.799999,40.299999,996000,39.832394
2016-01-28,39.779999,39.810001,39.119999,39.669998,718000,39.209703
2016-01-27,39.119999,39.700001,38.849998,39.00,849000,38.547478
2016-01-26,38.869999,39.700001,38.84,39.459999,873900,39.00214
2016-01-25,38.849998,39.040001,38.599998,38.639999,747700,38.191655
2016-01-22,38.689999,39.150002,38.310001,39.130001,876400,38.675971
2016-01-21,37.080002,37.880001,36.830002,37.799999,849600,37.361401
2016-01-20,36.849998,37.23,35.959999,36.950001,1744700,36.521266
2016-01-19,37.639999,38.110001,37.080002,37.419998,1283100,36.98581
2016-01-15,37.360001,37.810001,37.220001,37.720001,1043500,37.282332
2016-01-14,38.279999,38.43,37.939999,38.34,779600,37.895137
2016-01-13,39.259998,39.290001,38.220001,38.25,1180700,37.806181
2016-01-12,38.650002,39.130001,38.540001,39.040001,1248300,38.587015
2016-01-11,38.560001,38.700001,37.98,38.369999,1445400,37.924787
2016-01-08,38.310001,38.689999,38.169998,38.330002,759400,37.885254
2016-01-07,38.380001,38.810001,38.110001,38.200001,711400,37.756762
2016-01-06,38.119999,38.900002,37.950001,38.860001,872800,38.409103
2016-01-05,38.41,38.810001,38.310001,38.73,704800,38.280611
2016-01-04,38.09,38.459999,37.650002,38.450001,951000,38.003861
2015-12-31,38.880001,39.099998,38.509998,38.619999,661200,38.171887
2015-12-30,39.41,39.450001,39.029999,39.080002,693800,38.626552
2015-12-29,38.959999,39.779999,38.950001,39.639999,1135000,39.180052
2015-12-28,38.779999,38.869999,38.57,38.759998,540300,38.310262
2015-12-24,39.18,39.34,38.91,38.959999,325300,38.507942
2015-12-23,38.91,39.34,38.799999,39.09,1024600,38.636434
2015-12-22,38.52,38.740002,38.029999,38.639999,1067500,38.191655
2015-12-21,38.59,38.68,38.169998,38.360001,1250100,37.914905
2015-12-18,38.16,38.650002,38.09,38.25,1849000,37.806181
2015-12-17,39.110001,39.259998,37.919998,38.34,1809400,37.895137
2015-12-16,39.77,39.869999,39.52,39.810001,2371900,39.348081
2015-12-15,39.970001,40.009998,39.599998,39.77,984000,39.308544
2015-12-14,39.380001,39.880001,39.349998,39.740002,1197900,39.278894
2015-12-11,40.02,40.189999,39.16,39.290001,1268000,38.834114
2015-12-10,41.02,41.290001,40.549999,40.709999,1086300,39.766171
2015-12-09,41.169998,41.810001,40.849998,41.049999,844300,40.098289
2015-12-08,41.419998,41.52,40.919998,41.040001,983400,40.088522
2015-12-07,42.400002,42.580002,41.860001,41.91,898900,40.938351
2015-12-04,42.580002,42.860001,42.310001,42.599998,776600,41.612352
2015-12-03,43.139999,43.18,42.450001,42.669998,737300,41.680729
2015-12-02,43.09,43.220001,42.91,43.07,792400,42.071457
2015-12-01,43.09,43.349998,43.029999,43.18,883100,42.178907
2015-11-30,42.799999,43.130001,42.779999,43.060001,807800,42.061691
2015-11-27,42.709999,42.77,42.630001,42.77,454300,41.778413
2015-11-25,42.59,42.869999,42.439999,42.82,658500,41.827253
2015-11-24,42.599998,42.709999,42.299999,42.450001,988100,41.465832
2015-11-23,43.790001,43.869999,43.299999,43.380001,698600,42.374271
2015-11-20,44.029999,44.18,43.84,43.860001,647900,42.843142
2015-11-19,43.630001,44.029999,43.619999,43.919998,654100,42.901749
2015-11-18,43.209999,43.509998,43.119999,43.419998,828400,42.413341
2015-11-17,43.119999,43.389999,42.950001,43.130001,803400,42.130067
2015-11-16,42.169998,43.080002,42.130001,43.049999,707100,42.05192
2015-11-13,42.48,42.650002,42.119999,42.150002,659400,41.172788
2015-11-12,42.790001,42.900002,42.619999,42.669998,650300,41.680729
2015-11-11,43.09,43.400002,42.93,43.169998,841100,42.169137
2015-11-10,42.900002,43.16,42.73,43.009998,709500,42.012847
2015-11-09,42.75,43.080002,42.549999,42.970001,1154700,41.973777
2015-11-06,42.869999,43.360001,42.310001,42.709999,1146500,41.719803
2015-11-05,43.369999,43.93,42.880001,42.91,1129400,41.915167
2015-11-04,43.23,43.310001,42.599998,42.75,905300,41.758876
2015-11-03,43.169998,43.389999,42.689999,43.200001,1014100,42.198444
2015-11-02,43.240002,43.41,42.939999,43.279999,887400,42.276587
2015-10-30,43.689999,43.959999,43.060001,43.209999,881700,42.208211
2015-10-29,43.580002,43.73,43.32,43.639999,661500,42.628242
2015-10-28,43.709999,43.950001,43.32,43.709999,1025500,42.696619
2015-10-27,44.16,44.23,43.380001,43.50,1033300,42.491488
2015-10-26,44.73,44.84,44.389999,44.41,681100,43.38039
2015-10-23,45.029999,45.040001,44.48,44.630001,996400,43.595291
2015-10-22,44.57,45.220001,44.470001,45.049999,1021700,44.005552
2015-10-21,44.419998,44.689999,44.16,44.290001,804200,43.263174
2015-10-20,43.990002,44.43,43.959999,44.330002,861400,43.302247
2015-10-19,43.970001,44.290001,43.790001,43.869999,584200,42.852909
2015-10-16,43.82,44.209999,43.720001,44.119999,757900,43.097113
2015-10-15,43.48,43.919998,43.389999,43.84,731200,42.823606
2015-10-14,42.950001,43.490002,42.93,43.34,843700,42.335198
2015-10-13,42.68,43.150002,42.509998,42.970001,598600,41.973777
2015-10-12,42.970001,43.279999,42.91,43.009998,507200,42.012847
2015-10-09,42.939999,43.09,42.68,42.93,809300,41.934703
2015-10-08,42.299999,42.91,42.139999,42.849998,739500,41.856556
2015-10-07,42.630001,42.650002,42.029999,42.330002,973800,41.348615
2015-10-06,42.599998,42.880001,42.290001,42.369999,768900,41.387685
2015-10-05,42.139999,42.950001,42.119999,42.790001,1094000,41.79795
2015-10-02,41.139999,41.900002,40.869999,41.900002,1053500,40.928584
2015-10-01,41.349998,41.369999,40.919998,41.200001,975500,40.244813
2015-09-30,40.849998,40.970001,40.59,40.959999,964400,40.010375
2015-09-29,40.25,40.560001,39.98,40.52,813100,39.580577
2015-09-28,40.490002,40.880001,40.310001,40.32,869200,39.385214
2015-09-25,40.650002,41.09,40.48,40.75,673500,39.805245
2015-09-24,40.049999,40.59,40.029999,40.450001,736500,39.512201
2015-09-23,40.57,40.810001,40.27,40.41,540000,39.473127
2015-09-22,40.939999,41.119999,40.41,40.529999,857900,39.590344
2015-09-21,41.110001,41.540001,40.889999,41.439999,1262800,40.479246
2015-09-18,41.029999,41.09,40.400002,40.889999,1623000,39.941998
2015-09-17,40.900002,41.240002,40.400002,40.860001,1081400,39.912695
2015-09-16,40.419998,41.080002,40.389999,40.869999,992100,39.922462
2015-09-15,40.040001,40.48,39.700001,40.330002,1113400,39.394984
2015-09-14,40.360001,40.439999,40.00,40.009998,858200,39.082399
2015-09-11,40.27,40.27,39.860001,40.16,1165400,39.228923
2015-09-10,40.970001,41.27,40.619999,40.91,1767200,39.482896
2015-09-09,41.439999,41.700001,40.939999,41.040001,801500,39.608363
2015-09-08,41.00,41.369999,40.990002,41.34,1046400,39.897897
2015-09-04,40.330002,40.689999,40.27,40.380001,981400,38.971386
2015-09-03,39.900002,40.869999,39.900002,40.810001,1175400,39.386386
2015-09-02,39.779999,40.130001,39.529999,39.849998,1267700,38.459872
2015-09-01,40.040001,40.169998,39.07,39.32,1167600,37.948362
2015-08-31,40.200001,40.529999,39.779999,40.439999,798900,39.029291
2015-08-28,40.209999,40.43,39.93,40.369999,866100,38.961733
2015-08-27,39.959999,40.73,39.68,40.540001,1128300,39.125804
2015-08-26,39.82,39.93,38.669998,39.490002,1255600,38.112433
2015-08-25,40.220001,40.310001,39.07,39.18,1789200,37.813246
2015-08-24,39.98,40.259998,31.49,39.41,1795600,38.035222
2015-08-21,40.900002,41.689999,40.869999,41.48,1589200,40.033012
2015-08-20,41.259998,41.419998,41.080002,41.18,681200,39.743478
2015-08-19,41.360001,41.779999,41.169998,41.509998,658000,40.061965
2015-08-18,41.240002,41.490002,41.119999,41.43,834300,39.984757
2015-08-17,40.900002,41.349998,40.73,41.25,849400,39.811036
2015-08-14,40.959999,41.23,40.82,41.060001,683600,39.627665
2015-08-13,41.130001,41.18,40.740002,40.959999,609600,39.531151
2015-08-12,40.950001,41.25,40.66,41.16,628200,39.724175
2015-08-11,41.150002,41.27,40.59,40.880001,883200,39.453944
2015-08-10,41.259998,41.560001,41.150002,41.540001,620500,40.090921
2015-08-07,41.23,41.59,41.00,41.23,770300,39.791733
2015-08-06,41.400002,41.540001,40.91,41.369999,1276900,39.926849
2015-08-05,41.02,41.240002,40.98,41.07,842100,39.637315
2015-08-04,41.110001,41.110001,40.599998,40.849998,789000,39.424988
2015-08-03,41.150002,41.360001,40.970001,41.080002,548700,39.646968
2015-07-31,41.279999,41.41,41.00,41.139999,841500,39.704873
2015-07-30,40.889999,41.32,40.689999,41.060001,711400,39.627665
2015-07-29,40.779999,41.360001,40.759998,41.009998,870500,39.579407
2015-07-28,40.790001,40.91,40.360001,40.810001,1032000,39.386386
2015-07-27,40.830002,40.970001,40.419998,40.59,871500,39.17406
2015-07-24,40.080002,40.919998,40.00,40.889999,1336800,39.463594
2015-07-23,40.41,40.740002,39.73,40.029999,2444500,38.633593
2015-07-22,41.040001,41.200001,40.439999,40.52,2259800,39.106502
2015-07-21,42.00,42.02,41.130001,41.330002,1912400,39.888247
2015-07-20,42.669998,42.68,41.759998,41.93,1947100,40.467315
2015-07-17,42.540001,42.650002,42.209999,42.599998,639900,41.113941
2015-07-16,42.419998,42.639999,42.330002,42.509998,880500,41.027081
2015-07-15,42.32,42.330002,41.869999,42.330002,845800,40.853363
2015-07-14,42.349998,42.580002,41.98,42.549999,848600,41.065686
2015-07-13,42.150002,42.419998,41.970001,42.389999,726000,40.911268
2015-07-10,41.599998,42.150002,41.32,42.07,944900,40.602431
2015-07-09,41.900002,41.970001,41.25,41.34,962200,39.897897
2015-07-08,41.779999,41.970001,41.459999,41.540001,1181900,40.090921
2015-07-07,42.299999,42.369999,41.709999,42.099998,1016200,40.631383
2015-07-06,42.27,42.580002,42.040001,42.529999,800700,41.046383
2015-07-02,42.23,42.939999,42.209999,42.790001,762500,41.297316
2015-07-01,42.66,42.959999,42.619999,42.950001,546500,41.451734
2015-06-30,42.720001,42.830002,42.400002,42.50,1603400,41.017431
2015-06-29,43.419998,43.700001,42.73,42.75,1484400,41.25871
2015-06-26,44.009998,44.32,43.860001,44.02,848700,42.484408
2015-06-25,43.84,44.34,43.799999,44.200001,1157500,42.658129
2015-06-24,43.490002,43.68,43.139999,43.549999,779500,42.030802
2015-06-23,43.360001,43.830002,43.34,43.540001,877300,42.021153
2015-06-22,43.23,43.650002,43.029999,43.400002,929400,41.886037
2015-06-19,43.00,43.450001,42.82,42.919998,1012900,41.422778
2015-06-18,43.57,43.610001,43.209999,43.360001,876100,41.847431
2015-06-17,43.220001,43.470001,42.91,43.310001,766600,41.799176
2015-06-16,43.139999,43.299999,43.00,43.25,762100,41.741268
2015-06-15,43.02,43.41,42.970001,43.34,1053600,41.828129
2015-06-12,43.330002,43.419998,43.09,43.310001,1775300,41.799176
2015-06-11,43.75,43.869999,43.490002,43.59,763900,42.069408
2015-06-10,44.57,44.580002,44.259998,44.439999,828400,42.378244
2015-06-09,44.029999,44.16,43.599998,44.029999,608600,41.987266
2015-06-08,44.119999,44.139999,43.68,43.880001,688900,41.844227
2015-06-05,43.970001,44.25,43.73,44.07,930600,42.025411
2015-06-04,44.130001,44.360001,44.009998,44.139999,929300,42.092163
2015-06-03,43.93,44.540001,43.82,44.43,819700,42.36871
2015-06-02,43.700001,44.18,43.599998,44.060001,702000,42.015877
2015-06-01,43.740002,43.830002,43.360001,43.580002,607100,41.558146
2015-05-29,43.66,43.830002,43.27,43.790001,912200,41.758403
2015-05-28,43.529999,44.029999,43.34,43.970001,639400,41.930052
2015-05-27,43.549999,43.860001,43.330002,43.720001,791900,41.691651
2015-05-26,43.59,43.720001,43.310001,43.52,781500,41.500929
2015-05-22,43.709999,43.73,43.50,43.68,741500,41.653506
2015-05-21,43.830002,44.740002,43.759998,43.889999,885900,41.853762
2015-05-20,43.689999,44.040001,43.68,43.82,853500,41.78701
2015-05-19,43.990002,44.040001,43.380001,43.630001,1510600,41.605826
2015-05-18,44.290001,44.41,44.25,44.259998,320200,42.206595
2015-05-15,44.27,44.59,44.080002,44.50,520300,42.435462
2015-05-14,44.419998,44.50,44.169998,44.369999,678300,42.311492
2015-05-13,44.23,44.380001,43.919998,44.189999,564300,42.139843
2015-05-12,44.290001,44.48,43.91,44.110001,1462900,42.063556
2015-05-11,44.32,44.669998,44.049999,44.23,1239600,42.177988
2015-05-08,44.27,44.470001,44.040001,44.279999,1135100,42.225668
2015-05-07,44.02,44.169998,43.779999,44.009998,983300,41.968194
2015-05-06,44.43,44.68,44.110001,44.279999,1008200,42.225668
2015-05-05,44.630001,44.650002,44.029999,44.169998,746200,42.12077
2015-05-04,44.830002,44.889999,44.41,44.490002,938900,42.425928
2015-05-01,43.93,44.459999,43.779999,44.330002,721500,42.273351
2015-04-30,45.240002,45.259998,44.02,44.110001,1367200,42.063556
2015-04-29,45.150002,45.290001,44.889999,45.07,708000,42.979017
2015-04-28,45.150002,45.23,44.849998,45.200001,566100,43.102987
2015-04-27,45.099998,45.18,44.709999,45.080002,810900,42.988555
2015-04-24,45.00,45.139999,44.73,44.919998,481600,42.835975
2015-04-23,44.490002,45.060001,44.439999,44.950001,753800,42.864585
2015-04-22,44.369999,44.52,44.130001,44.509998,539600,42.444997
2015-04-21,44.189999,44.450001,44.049999,44.209999,656200,42.158916
2015-04-20,44.209999,44.630001,44.029999,44.139999,694800,42.092163
2015-04-17,44.299999,44.349998,43.669998,44.119999,930300,42.073091
2015-04-16,44.549999,44.759998,44.049999,44.299999,754200,42.24474
2015-04-15,44.380001,44.889999,44.34,44.470001,946500,42.406855
2015-04-14,44.259998,44.540001,44.25,44.439999,921100,42.378244
2015-04-13,43.810001,43.970001,43.630001,43.919998,653800,41.882369
2015-04-10,43.34,43.720001,43.310001,43.669998,420900,41.643967
2015-04-09,43.48,43.880001,43.259998,43.400002,793400,41.386497
2015-04-08,43.41,43.830002,43.369999,43.509998,696300,41.491391
2015-04-07,43.110001,43.549999,43.110001,43.18,547400,41.176703
2015-04-06,42.900002,43.560001,42.900002,43.02,774500,41.024126
2015-04-02,42.369999,43.119999,42.369999,42.900002,697700,40.909694
2015-04-01,42.32,42.50,42.02,42.32,748800,40.356601
2015-03-31,42.310001,42.560001,42.040001,42.360001,1070800,40.394746
2015-03-30,42.529999,42.990002,42.50,42.599998,789900,40.623609
2015-03-27,42.709999,42.959999,42.43,42.73,744400,40.747579
2015-03-26,42.950001,43.189999,42.419998,42.75,844300,40.766652
2015-03-25,43.41,43.48,42.77,42.84,965600,40.852476
2015-03-24,42.709999,43.34,42.650002,43.290001,1121000,41.2816
2015-03-23,42.25,42.740002,42.07,42.549999,1000700,40.57593
2015-03-20,42.400002,42.419998,42.099998,42.169998,1218100,40.213559
2015-03-19,42.16,42.310001,42.009998,42.049999,790800,40.099127
2015-03-18,42.16,42.849998,41.66,42.59,1089800,40.614075
2015-03-17,41.720001,42.139999,41.400002,42.119999,1246700,40.165879
2015-03-16,41.599998,42.209999,41.59,41.799999,1144900,39.860725
2015-03-13,41.650002,41.68,41.110001,41.509998,1195700,39.584179
2015-03-12,41.869999,41.889999,41.529999,41.790001,920300,39.851191
2015-03-11,41.98,42.130001,41.59,41.810001,1164300,39.383924
2015-03-10,42.43,42.439999,41.98,42.009998,1279500,39.572315
2015-03-09,43.130001,43.27,42.580002,42.650002,1096400,40.175182
2015-03-06,43.689999,43.889999,42.919998,43.029999,1072600,40.533129
2015-03-05,44.369999,44.599998,44.02,44.080002,909000,41.522204
2015-03-04,43.470001,44.639999,43.389999,44.41,1437000,41.833054
