Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,7.16,7.25,7.14,7.17,402600,7.17
2016-03-10,7.17,7.17,7.04,7.10,335700,7.055
2016-03-09,7.09,7.16,7.03,7.13,372000,7.08481
2016-03-08,7.20,7.20,6.97,7.01,716400,6.965571
2016-03-07,7.09,7.25,7.09,7.21,683200,7.164303
2016-03-04,7.00,7.18,6.95,7.08,641500,7.035127
2016-03-03,6.94,7.05,6.91,6.98,789800,6.935761
2016-03-02,6.73,6.94,6.67,6.94,903400,6.896014
2016-03-01,6.79,6.90,6.75,6.86,454800,6.816521
2016-02-29,6.79,6.84,6.69,6.73,483800,6.687345
2016-02-26,6.75,6.77,6.68,6.74,462400,6.697282
2016-02-25,6.59,6.68,6.54,6.67,379400,6.627726
2016-02-24,6.54,6.62,6.47,6.62,429300,6.578042
2016-02-23,6.77,6.77,6.57,6.60,348200,6.558169
2016-02-22,6.76,6.78,6.69,6.77,603900,6.727092
2016-02-19,6.61,6.61,6.47,6.61,378100,6.568106
2016-02-18,6.75,6.78,6.58,6.63,385300,6.587979
2016-02-17,6.46,6.64,6.46,6.62,273900,6.578042
2016-02-16,6.47,6.47,6.33,6.42,306200,6.37931
2016-02-12,6.29,6.42,6.20,6.37,571600,6.329627
2016-02-11,6.16,6.23,6.09,6.18,273200,6.140831
2016-02-10,6.28,6.41,6.24,6.36,836200,6.254109
2016-02-09,6.34,6.39,6.24,6.29,486300,6.185274
2016-02-08,6.39,6.44,6.29,6.44,420100,6.332777
2016-02-05,6.53,6.62,6.48,6.51,265100,6.401611
2016-02-04,6.44,6.60,6.43,6.59,566700,6.480279
2016-02-03,6.22,6.39,6.14,6.38,402000,6.273776
2016-02-02,6.10,6.24,6.06,6.18,506400,6.077105
2016-02-01,6.36,6.44,6.31,6.42,483700,6.31311
2016-01-29,6.30,6.44,6.26,6.43,556100,6.322943
2016-01-28,6.22,6.29,6.16,6.26,711900,6.155774
2016-01-27,6.16,6.26,6.11,6.13,270600,6.027938
2016-01-26,6.03,6.23,6.02,6.19,620000,6.086939
2016-01-25,6.03,6.09,5.95,5.96,568200,5.860768
2016-01-22,6.06,6.12,6.00,6.10,732300,5.998437
2016-01-21,5.71,5.94,5.67,5.91,788300,5.811601
2016-01-20,5.80,5.83,5.57,5.75,584000,5.654265
2016-01-19,6.03,6.06,5.89,5.92,512600,5.821434
2016-01-15,5.99,6.07,5.95,6.01,674700,5.909936
2016-01-14,6.08,6.24,6.01,6.19,817500,6.086939
2016-01-13,6.18,6.28,6.01,6.06,576600,5.959103
2016-01-12,6.34,6.37,6.11,6.22,1045400,6.051538
2016-01-11,6.51,6.54,6.18,6.26,1022900,6.090455
2016-01-08,6.61,6.64,6.49,6.53,504500,6.353143
2016-01-07,6.69,6.74,6.55,6.59,609100,6.411517
2016-01-06,6.91,6.94,6.75,6.80,627900,6.61583
2016-01-05,7.11,7.15,7.03,7.07,339300,6.878517
2016-01-04,7.02,7.09,6.97,7.08,370100,6.888246
2015-12-31,7.08,7.19,7.07,7.11,985100,6.917434
2015-12-30,7.06,7.08,7.05,7.07,453500,6.878517
2015-12-29,7.04,7.11,7.04,7.09,724600,6.897975
2015-12-28,7.01,7.06,6.95,7.02,944900,6.829871
2015-12-24,6.98,7.08,6.98,7.07,364400,6.878517
2015-12-23,6.84,7.02,6.84,6.98,940700,6.790955
2015-12-22,6.66,6.80,6.66,6.78,1427000,6.596372
2015-12-21,6.61,6.71,6.61,6.65,1137300,6.469892
2015-12-18,6.64,6.71,6.59,6.62,824200,6.440705
2015-12-17,6.75,6.79,6.62,6.63,816700,6.450434
2015-12-16,6.66,6.81,6.63,6.77,836400,6.586642
2015-12-15,6.64,6.77,6.63,6.73,739100,6.483513
2015-12-14,6.69,6.72,6.59,6.61,999300,6.367908
2015-12-11,6.78,6.82,6.73,6.74,568200,6.493147
2015-12-10,6.79,6.91,6.79,6.87,413000,6.618386
2015-12-09,6.86,6.96,6.80,6.83,603500,6.579851
2015-12-08,6.73,6.81,6.67,6.78,708300,6.531682
2015-12-07,7.03,7.09,6.77,6.82,1425200,6.570217
2015-12-04,7.10,7.13,7.06,7.09,637600,6.830328
2015-12-03,7.15,7.16,7.08,7.12,448200,6.859229
2015-12-02,7.12,7.16,7.07,7.10,760400,6.839962
2015-12-01,7.12,7.18,7.12,7.15,582800,6.888131
2015-11-30,7.19,7.19,7.11,7.13,504300,6.868863
2015-11-27,7.15,7.18,7.10,7.12,257700,6.859229
2015-11-25,7.10,7.18,7.08,7.16,545700,6.897764
2015-11-24,7.12,7.17,7.07,7.14,460500,6.878497
2015-11-23,7.05,7.12,7.05,7.09,442500,6.830328
2015-11-20,7.13,7.18,7.09,7.09,329600,6.830328
2015-11-19,7.19,7.20,7.14,7.16,397500,6.897764
2015-11-18,7.05,7.17,7.05,7.16,478700,6.897764
