Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,15.78,15.78,15.51,15.74,9900,15.74
2016-03-10,15.79,15.84,15.71,15.72,9200,15.65
2016-03-09,15.88,15.88,15.81,15.81,1500,15.739599
2016-03-08,15.85,15.85,15.66,15.81,7100,15.739599
2016-03-07,15.72,15.81,15.66,15.77,9800,15.699778
2016-03-04,15.82,15.89,15.60,15.60,11000,15.530534
2016-03-03,15.70,15.90,15.64,15.90,12100,15.829198
2016-03-02,15.75,15.81,15.65,15.78,18300,15.709732
2016-03-01,15.67,15.89,15.61,15.64,26400,15.570356
2016-02-29,15.81,15.85,15.66,15.75,12000,15.679866
2016-02-26,15.85,15.88,15.63,15.80,12200,15.729644
2016-02-25,15.84,15.90,15.67,15.82,27100,15.749554
2016-02-24,15.71,15.94,15.71,15.90,10200,15.829198
2016-02-23,15.71,15.89,15.71,15.79,3900,15.719688
2016-02-22,15.70,15.74,15.61,15.67,5300,15.600222
2016-02-19,15.57,15.69,15.54,15.68,6000,15.610178
2016-02-18,15.62,15.63,15.45,15.45,4400,15.381202
2016-02-17,15.59,15.59,15.43,15.52,4300,15.450891
2016-02-16,15.69,15.82,15.44,15.47,8200,15.401113
2016-02-12,15.78,15.96,15.67,15.80,8700,15.729644
2016-02-11,15.90,15.90,15.68,15.69,17500,15.620133
2016-02-10,15.94,16.059999,15.83,15.87,4000,15.729643
2016-02-09,15.67,15.89,15.54,15.89,5900,15.749467
2016-02-08,15.63,15.73,15.53,15.66,10900,15.521501
2016-02-05,15.72,15.82,15.51,15.60,10100,15.462032
2016-02-04,15.82,15.82,15.59,15.64,17400,15.501678
2016-02-03,15.83,15.98,15.82,15.82,8600,15.680085
2016-02-02,15.95,16.00,15.89,15.89,12700,15.749467
2016-02-01,15.93,16.049999,15.79,15.95,13300,15.808936
2016-01-29,15.96,15.96,15.89,15.96,11600,15.818848
2016-01-28,15.68,16.08,15.47,15.88,59300,15.739555
2016-01-27,15.46,15.70,15.19,15.68,28400,15.541324
2016-01-26,15.18,15.45,15.15,15.42,20600,15.283623
2016-01-25,15.14,15.19,14.91,15.13,6000,14.996188
2016-01-22,15.03,15.25,15.01,15.07,26500,14.936719
2016-01-21,14.82,15.14,14.71,14.90,11100,14.768222
2016-01-20,15.00,15.10,14.57,14.73,41800,14.599725
2016-01-19,15.10,15.10,14.92,14.92,9300,14.788046
2016-01-15,15.05,15.13,14.92,15.04,12000,14.906984
2016-01-14,15.00,15.03,14.87,14.99,9900,14.857426
2016-01-13,15.08,15.16,14.77,14.94,57900,14.807868
2016-01-12,15.22,15.23,14.93,15.10,14000,14.897073
2016-01-11,15.05,15.16,15.05,15.14,5600,14.936536
2016-01-08,15.19,15.26,14.99,15.13,9000,14.92667
2016-01-07,15.10,15.27,14.99,15.11,13200,14.906938
2016-01-06,15.01,15.21,14.99,15.04,22300,14.837879
2016-01-05,15.02,15.20,15.01,15.14,23100,14.936536
2016-01-04,15.04,15.04,14.87,14.97,11800,14.76882
2015-12-31,14.98,15.03,14.95,14.98,7100,14.778685
2015-12-30,14.85,15.02,14.85,14.94,6600,14.739223
2015-12-29,14.83,14.88,14.70,14.77,9200,14.571508
2015-12-28,15.00,15.00,14.68,14.76,13800,14.561642
2015-12-24,14.81,15.00,14.68,15.00,3500,14.798417
2015-12-23,14.67,14.82,14.65,14.78,21300,14.581373
2015-12-22,14.90,14.90,14.66,14.76,12800,14.561642
2015-12-21,14.78,14.90,14.67,14.80,24200,14.601105
2015-12-18,14.55,14.84,14.55,14.74,24700,14.541911
2015-12-17,14.37,14.59,14.37,14.47,15500,14.27554
2015-12-16,14.23,14.45,14.22,14.45,13100,14.255808
2015-12-15,14.37,14.44,14.13,14.30,16100,14.107824
2015-12-14,14.47,14.53,14.36,14.48,5600,14.285405
2015-12-11,14.42,14.59,14.41,14.55,14900,14.354464
2015-12-10,14.39,14.65,14.20,14.49,14300,14.29527
2015-12-09,14.43,14.59,14.43,14.49,18900,14.226211
2015-12-08,14.38,14.52,14.35,14.49,15900,14.226211
2015-12-07,14.40,14.55,14.37,14.48,26600,14.216393
2015-12-04,14.47,14.55,14.38,14.47,17800,14.206576
2015-12-03,14.50,14.65,14.42,14.43,6100,14.167304
2015-12-02,14.58,14.74,14.50,14.53,25600,14.265483
2015-12-01,14.63,14.73,14.48,14.62,15000,14.353845
2015-11-30,14.64,14.64,14.53,14.60,5200,14.334209
2015-11-27,14.54,14.67,14.40,14.57,7600,14.304755
2015-11-25,14.64,14.64,14.40,14.45,17400,14.186939
2015-11-24,14.46,14.54,14.43,14.52,11700,14.255666
2015-11-23,14.48,14.52,14.40,14.43,14100,14.167304
2015-11-20,14.51,14.55,14.39,14.40,10900,14.13785
2015-11-19,14.36,14.50,14.32,14.49,10600,14.226211
2015-11-18,14.37,14.40,14.28,14.37,7300,14.108396
2015-11-17,14.15,14.35,14.15,14.30,11700,14.039671
2015-11-16,14.28,14.34,14.12,14.15,11200,13.892401
2015-11-13,14.16,14.30,14.10,14.23,10800,13.970944
2015-11-12,14.14,14.19,14.04,14.13,8800,13.872765
2015-11-11,14.08,14.17,14.08,14.17,6700,13.843311
2015-11-10,14.11,14.24,14.05,14.10,14900,13.774925
2015-11-09,14.30,14.43,14.12,14.25,12400,13.921467
2015-11-06,14.24,14.40,14.24,14.38,15900,14.04847
2015-11-05,14.29,14.45,14.22,14.33,10700,13.999622
2015-11-04,14.32,14.45,14.23,14.36,12000,14.02893
2015-11-03,14.39,14.52,14.25,14.39,8400,14.058239
2015-11-02,14.35,14.45,14.25,14.41,8200,14.077778
2015-10-30,14.37,14.45,14.30,14.45,14000,14.116856
2015-10-29,14.37,14.45,14.37,14.39,4500,14.058239
2015-10-28,14.41,14.49,14.37,14.37,5500,14.0387
2015-10-27,14.47,14.47,14.37,14.38,9400,14.04847
2015-10-26,14.37,14.48,14.35,14.40,6600,14.068008
2015-10-23,14.51,14.51,14.38,14.38,3100,14.04847
2015-10-22,14.47,14.54,14.38,14.43,16300,14.097317
2015-10-21,14.39,14.44,14.27,14.44,5400,14.107086
2015-10-20,14.35,14.41,14.30,14.34,9100,14.009392
2015-10-19,14.40,14.51,14.36,14.36,4400,14.02893
2015-10-16,14.30,14.42,14.30,14.40,10600,14.068008
2015-10-15,14.51,14.51,14.29,14.35,7000,14.019162
2015-10-14,14.43,14.51,14.33,14.51,9400,14.175473
2015-10-13,14.43,14.49,14.38,14.40,7600,14.068008
2015-10-12,14.53,14.53,14.40,14.46,3100,14.058239
2015-10-09,14.34,14.52,14.30,14.51,14400,14.10685
2015-10-08,14.38,14.38,14.20,14.34,3500,13.941573
2015-10-07,14.28,14.45,14.22,14.33,6900,13.931851
2015-10-06,14.33,14.34,14.24,14.34,2200,13.941573
2015-10-05,14.37,14.50,14.25,14.30,8800,13.902685
2015-10-02,14.37,14.42,14.27,14.40,5000,13.999906
2015-10-01,14.34,14.36,14.34,14.35,3500,13.951296
2015-09-30,14.25,14.30,14.21,14.30,4200,13.902685
2015-09-29,14.23,14.28,14.16,14.28,7000,13.88324
2015-09-28,14.24,14.31,14.19,14.19,6000,13.795741
2015-09-25,14.16,14.29,14.10,14.20,13300,13.805463
2015-09-24,14.22,14.24,14.19,14.22,4200,13.824908
2015-09-23,14.16,14.21,14.06,14.21,11100,13.815185
2015-09-22,14.07,14.15,14.03,14.15,11700,13.756852
2015-09-21,14.14,14.16,13.93,14.16,9900,13.766574
2015-09-18,14.04,14.13,13.98,14.13,4400,13.737408
2015-09-17,13.93,14.01,13.91,14.01,4600,13.620742
2015-09-16,13.97,14.02,13.93,14.00,10100,13.61102
2015-09-15,14.05,14.05,14.05,14.05,6400,13.659631
2015-09-14,14.04,14.10,13.93,14.05,11300,13.659631
2015-09-11,14.09,14.09,14.04,14.04,4700,13.649909
2015-09-10,14.29,14.29,14.11,14.11,3400,13.649908
2015-09-09,14.29,14.29,14.22,14.27,2400,13.804691
2015-09-08,14.15,14.27,14.12,14.27,3000,13.804691
2015-09-04,14.21,14.21,14.11,14.21,2800,13.746648
2015-09-03,14.13,14.16,14.03,14.16,14800,13.698278
2015-09-02,14.18,14.21,14.09,14.21,2300,13.746648
2015-09-01,14.25,14.25,14.01,14.17,8500,13.707952
2015-08-31,14.09,14.17,14.04,14.16,7700,13.698278
2015-08-28,14.04,14.15,14.02,14.15,15200,13.688604
2015-08-27,14.14,14.17,14.03,14.14,9200,13.67893
2015-08-26,14.23,14.33,14.04,14.21,13100,13.746648
2015-08-25,14.30,14.31,14.23,14.24,6800,13.775669
2015-08-24,13.95,14.38,13.95,14.30,9800,13.833713
2015-08-21,14.33,14.45,14.33,14.45,5300,13.978822
2015-08-20,14.32,14.49,14.28,14.40,12800,13.930452
2015-08-19,14.58,14.64,14.43,14.44,9400,13.969147
2015-08-18,14.49,14.58,14.48,14.58,1600,14.104583
2015-08-17,14.58,14.65,14.45,14.51,4900,14.036865
2015-08-14,14.66,14.66,14.51,14.55,9500,14.075561
2015-08-13,14.62,14.71,14.57,14.68,5400,14.201322
2015-08-12,14.67,14.69,14.67,14.68,1600,14.201322
2015-08-11,14.68,14.71,14.58,14.71,8200,14.162626
2015-08-10,14.72,14.79,14.60,14.66,28000,14.114487
2015-08-07,14.70,14.73,14.64,14.64,3400,14.095231
2015-08-06,14.74,14.74,14.62,14.62,2400,14.075975
2015-08-05,14.77,14.77,14.58,14.58,5300,14.037464
2015-08-04,14.60,14.70,14.49,14.68,11500,14.133743
2015-08-03,14.76,14.81,14.49,14.58,29200,14.037464
2015-07-31,14.88,14.91,14.66,14.83,21500,14.278161
2015-07-30,14.84,14.85,14.73,14.76,11500,14.210766
2015-07-29,14.82,14.82,14.75,14.75,10600,14.201138
2015-07-28,14.76,14.80,14.75,14.75,9100,14.201138
2015-07-27,14.73,14.88,14.73,14.80,4400,14.249277
2015-07-24,14.74,14.79,14.74,14.79,5100,14.239649
2015-07-23,14.80,14.80,14.72,14.74,6500,14.19151
2015-07-22,14.84,14.84,14.74,14.76,16300,14.210766
2015-07-21,14.71,15.15,14.67,15.15,10300,14.586253
2015-07-20,14.80,14.80,14.64,14.64,3600,14.095231
2015-07-17,14.63,14.80,14.62,14.80,4000,14.249277
2015-07-16,14.65,14.75,14.62,14.68,8500,14.133743
2015-07-15,14.77,14.89,14.64,14.69,6500,14.14337
2015-07-14,14.55,14.99,14.55,14.72,20900,14.172254
2015-07-13,14.61,14.99,14.53,14.99,24500,14.432207
2015-07-10,14.74,14.79,14.58,14.75,6600,14.133742
2015-07-09,14.75,14.75,14.59,14.63,4000,14.018756
2015-07-08,14.75,14.75,14.60,14.75,29200,14.133742
2015-07-07,14.73,15.14,14.64,14.75,29700,14.133742
2015-07-06,15.01,15.29,14.85,14.85,3200,14.229565
2015-07-02,14.83,14.91,14.68,14.86,8700,14.239146
2015-07-01,14.60,15.50,14.45,14.75,26200,14.133742
2015-06-30,14.41,14.52,14.40,14.51,16400,13.90377
2015-06-29,14.39,14.39,14.30,14.38,1700,13.779201
2015-06-26,14.42,14.42,14.30,14.32,5500,13.721708
2015-06-25,14.32,14.49,14.32,14.49,4300,13.884605
2015-06-24,14.37,14.39,14.31,14.36,11300,13.760036
2015-06-23,14.40,14.45,14.40,14.45,1700,13.846276
2015-06-22,14.43,14.47,14.32,14.41,5800,13.807948
2015-06-19,14.51,14.57,14.49,14.51,4000,13.90377
2015-06-18,14.29,14.48,14.29,14.48,5900,13.875023
2015-06-17,14.30,14.35,14.30,14.35,3600,13.750455
2015-06-16,14.35,14.35,14.25,14.25,13100,13.654633
2015-06-15,14.02,14.31,14.02,14.31,9400,13.712126
2015-06-12,14.00,14.22,14.00,14.06,4200,13.472571
2015-06-11,14.12,14.13,14.06,14.06,3100,13.472571
2015-06-10,14.10,14.15,14.01,14.12,14300,13.462989
2015-06-09,14.24,14.24,14.02,14.12,16600,13.462989
2015-06-08,14.25,14.31,14.12,14.18,19600,13.520197
2015-06-05,14.19,14.32,14.10,14.20,5500,13.539266
2015-06-04,14.31,14.34,14.15,14.20,21400,13.539266
2015-06-03,14.33,14.33,14.15,14.27,7400,13.60601
2015-06-02,14.44,14.45,14.23,14.30,7500,13.634613
2015-06-01,14.32,14.45,14.32,14.45,16000,13.777633
2015-05-29,14.30,14.30,14.21,14.25,13000,13.58694
2015-05-28,14.32,14.32,14.24,14.27,4400,13.60601
2015-05-27,14.27,14.35,14.24,14.31,5300,13.644148
2015-05-26,14.15,14.29,14.13,14.27,18300,13.60601
2015-05-22,14.32,14.32,14.25,14.28,4800,13.615544
2015-05-21,14.31,14.34,14.22,14.33,5600,13.663217
2015-05-20,14.32,14.35,14.19,14.29,5100,13.625078
2015-05-19,14.22,14.26,14.22,14.26,4700,13.596475
2015-05-18,14.28,14.33,14.14,14.24,17500,13.577405
2015-05-15,14.23,14.46,14.19,14.21,22900,13.548801
2015-05-14,14.24,14.29,14.20,14.20,3700,13.539266
2015-05-13,14.23,14.23,14.20,14.20,19000,13.539266
2015-05-12,14.29,14.33,14.16,14.33,11600,13.596474
2015-05-11,14.31,14.37,14.30,14.32,18000,13.586986
2015-05-08,14.32,14.35,14.23,14.30,11400,13.56801
2015-05-07,14.17,14.29,14.10,14.28,15600,13.549034
2015-05-06,14.47,14.53,14.24,14.25,11600,13.520569
2015-05-05,14.50,14.51,14.39,14.40,15400,13.662891
2015-05-04,14.57,14.68,14.53,14.54,6600,13.795725
2015-05-01,14.70,14.70,14.54,14.55,10300,13.805213
2015-04-30,14.66,14.68,14.63,14.68,9600,13.928559
2015-04-29,14.61,14.69,14.61,14.66,12800,13.909582
2015-04-28,14.76,14.77,14.69,14.75,5600,13.994975
2015-04-27,14.79,14.80,14.71,14.75,3800,13.994975
2015-04-24,14.74,14.78,14.72,14.77,2200,14.013952
2015-04-23,14.71,14.76,14.68,14.71,7300,13.957023
2015-04-22,14.78,14.78,14.69,14.69,7700,13.938046
2015-04-21,14.78,14.80,14.73,14.79,8300,14.032928
2015-04-20,14.72,14.79,14.72,14.79,9100,14.032928
2015-04-17,14.74,14.76,14.65,14.76,2000,14.004464
2015-04-16,14.71,14.76,14.62,14.76,2600,14.004464
2015-04-15,14.74,14.76,14.67,14.68,28100,13.928559
2015-04-14,14.61,14.71,14.61,14.71,8000,13.957023
2015-04-13,14.63,14.63,14.56,14.59,6200,13.843166
2015-04-10,14.61,14.67,14.60,14.67,7800,13.852654
2015-04-09,14.71,14.71,14.61,14.61,7300,13.795996
2015-04-08,14.60,14.68,14.54,14.66,11300,13.843211
2015-04-07,14.57,14.61,14.54,14.60,7700,13.786554
2015-04-06,14.59,14.67,14.46,14.50,37400,13.692125
2015-04-02,14.66,14.66,14.57,14.57,10500,13.758225
