Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,27.98,28.10,26.700001,27.879999,95600,27.879999
2016-03-10,29.00,29.709999,27.174999,28.00,163900,28.00
2016-03-09,28.43,29.48,27.76,28.77,96600,28.77
2016-03-08,29.790001,29.85,28.02,28.700001,212600,28.700001
2016-03-07,31.354,32.50,29.309999,29.790001,198500,29.790001
2016-03-04,32.970001,33.50,31.42,32.369999,164900,32.369999
2016-03-03,31.00,32.240002,30.950001,32.150002,398500,32.150002
2016-03-02,29.799999,31.25,29.75,31.18,218000,31.18
2016-03-01,29.940001,30.499001,29.41,29.889999,176200,29.889999
2016-02-29,29.50,30.514,28.68,29.27,247000,29.27
2016-02-26,30.27,30.27,28.379999,29.75,131400,29.75
2016-02-25,28.440001,29.68,27.799999,28.950001,206100,28.950001
2016-02-24,26.50,28.034,26.50,27.84,76400,27.84
2016-02-23,26.700001,28.396,26.639999,27.15,269400,27.15
2016-02-22,27.00,29.00,27.00,27.469999,106300,27.469999
2016-02-19,26.00,27.530001,25.60,27.030001,159500,27.030001
2016-02-18,26.940001,27.77,25.41,26.65,283300,26.65
2016-02-17,25.440001,26.74,24.60,26.059999,244800,26.059999
2016-02-16,24.52,26.40,23.60,25.129999,228000,25.129999
2016-02-12,24.09,24.610001,23.200001,23.98,128000,23.98
2016-02-11,26.48,26.74,22.51,24.10,497000,24.10
2016-02-10,27.98,27.98,25.299999,26.879999,469800,26.879999
2016-02-09,30.860001,30.860001,27.00,27.66,360900,27.66
2016-02-08,34.00,34.244999,31.370001,31.52,102700,31.52
2016-02-05,31.299999,35.599998,30.629999,33.91,376500,33.91
2016-02-04,28.15,31.40,27.610001,30.50,361600,30.50
