Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,32.110001,33.939999,32.110001,33.66,4300,33.66
2016-03-10,33.759998,34.00,32.639999,33.200001,6100,33.200001
2016-03-09,32.799999,34.139999,32.529999,33.700001,3500,33.700001
2016-03-08,34.32,34.32,33.75,33.75,4100,33.75
2016-03-07,34.32,34.32,33.75,34.189999,6500,34.189999
2016-03-04,33.48,33.990002,33.150002,33.700001,2100,33.700001
2016-03-03,33.23,33.900002,33.02,33.580002,4300,33.580002
2016-03-02,32.82,33.580002,32.220001,33.580002,3000,33.580002
2016-03-01,32.970001,33.279999,32.549999,33.220001,4000,33.220001
2016-02-29,33.18,33.18,32.080002,33.09,3900,33.09
2016-02-26,32.75,33.580002,32.049999,33.580002,7900,33.580002
2016-02-25,32.959999,33.66,32.099998,32.98,7400,32.98
2016-02-24,32.00,33.139999,32.00,33.00,2800,33.00
2016-02-23,33.689999,33.779999,32.290001,32.43,8100,32.43
2016-02-22,33.50,33.91,33.459999,33.779999,3200,33.779999
2016-02-19,33.220001,33.50,33.060001,33.490002,4900,33.490002
2016-02-18,33.349998,33.41,33.18,33.18,6400,33.18
2016-02-17,32.25,33.439999,32.25,33.380001,7800,33.380001
2016-02-16,32.110001,32.59,32.110001,32.560001,3700,32.560001
2016-02-12,31.469999,32.389999,30.790001,32.25,5200,32.25
2016-02-11,31.049999,31.35,30.440001,31.27,6500,31.27
2016-02-10,31.51,33.59,31.51,31.799999,2600,31.799999
2016-02-09,30.950001,31.940001,30.93,31.450001,3000,31.185001
2016-02-08,31.299999,31.530001,30.57,30.85,4200,30.590056
2016-02-05,32.290001,32.860001,31.450001,31.450001,14700,31.185001
2016-02-04,32.549999,33.470001,32.549999,32.73,3400,32.454214
2016-02-03,33.310001,33.619999,32.419998,32.650002,7800,32.37489
2016-02-02,33.75,34.00,32.52,33.290001,7100,33.009497
2016-02-01,34.220001,34.400002,33.02,33.93,7200,33.644104
2016-01-29,32.330002,34.700001,32.330002,34.700001,15300,34.407616
