Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,10.55,10.76,10.51,10.76,22400,10.76
2016-03-10,10.50,10.55,10.50,10.55,500,10.55
2016-03-09,10.30,10.65,10.29,10.65,20000,10.65
2016-03-08,10.25,10.50,10.25,10.50,9300,10.44
2016-03-07,10.29,10.29,10.28,10.29,5400,10.2312
2016-03-04,10.25,10.35,9.75,10.25,7000,10.191428
2016-03-03,10.37,10.41,10.27,10.27,3700,10.211315
2016-03-02,10.29,10.41,10.25,10.40,1400,10.340571
2016-03-01,10.26,10.26,10.26,10.26,000,10.201372
2016-02-29,10.30,10.41,10.25,10.26,5800,10.201372
2016-02-26,10.35,10.44,10.31,10.40,6800,10.340571
2016-02-25,10.44,10.44,10.44,10.44,000,10.380342
2016-02-24,10.25,10.44,10.17,10.44,9400,10.380342
2016-02-23,10.31,10.35,10.30,10.35,7600,10.290857
2016-02-22,10.34,10.36,10.34,10.34,600,10.280914
2016-02-19,10.31,10.42,10.31,10.42,1900,10.360457
2016-02-18,10.43,10.43,10.32,10.32,600,10.261028
2016-02-17,10.44,10.44,10.44,10.44,200,10.380342
2016-02-16,10.39,10.39,10.39,10.39,800,10.330629
2016-02-12,10.39,10.40,10.35,10.35,1400,10.290857
2016-02-11,10.60,10.60,10.35,10.35,2300,10.290857
2016-02-10,10.58,10.58,10.58,10.58,200,10.519543
2016-02-09,10.77,10.77,10.27,10.74,3700,10.678628
2016-02-08,10.41,10.94,10.24,10.89,8400,10.827772
2016-02-05,10.60,10.66,10.60,10.66,10400,10.599085
2016-02-04,10.59,10.59,10.59,10.59,100,10.529486
2016-02-03,10.71,10.71,10.71,10.71,300,10.6488
2016-02-02,10.56,10.88,10.50,10.50,17500,10.44
2016-02-01,10.42,10.67,10.20,10.58,20600,10.519543
2016-01-29,10.53,10.88,10.53,10.57,1500,10.5096
2016-01-28,10.75,10.75,10.50,10.50,4000,10.44
2016-01-27,10.80,10.80,10.80,10.80,000,10.738286
2016-01-26,10.82,10.82,10.80,10.80,3000,10.738286
2016-01-25,10.82,10.84,10.82,10.82,1700,10.758171
2016-01-22,10.90,10.91,10.90,10.90,1200,10.837714
2016-01-21,10.95,10.95,10.82,10.82,6800,10.758171
2016-01-20,10.84,10.90,10.82,10.82,2700,10.758171
2016-01-19,10.89,10.90,10.88,10.90,1200,10.837714
2016-01-15,10.82,10.84,10.81,10.81,4700,10.748229
2016-01-14,10.90,10.95,10.82,10.95,12900,10.887428
2016-01-13,10.87,10.90,10.87,10.87,1200,10.807885
2016-01-12,10.85,10.85,10.82,10.83,4700,10.768114
2016-01-11,10.81,10.95,10.81,10.85,3900,10.788
2016-01-08,10.71,10.88,10.70,10.71,1000,10.6488
2016-01-07,10.86,10.86,10.69,10.78,4500,10.7184
2016-01-06,10.82,10.94,10.82,10.82,5100,10.758171
2016-01-05,10.95,10.95,10.85,10.88,900,10.817829
2016-01-04,11.00,11.02,10.90,10.95,2500,10.887428
2015-12-31,11.37,11.37,11.12,11.13,9800,11.0664
2015-12-30,11.15,11.15,11.15,11.15,600,11.086285
2015-12-29,11.23,11.23,11.23,11.23,100,11.165828
2015-12-28,11.02,11.38,10.82,11.00,9100,10.937143
2015-12-24,11.14,11.17,10.86,11.17,2000,11.106171
2015-12-23,10.81,10.81,10.80,10.80,1000,10.738286
2015-12-22,10.99,10.99,10.77,10.81,5900,10.688572
2015-12-21,10.90,10.90,10.81,10.82,2200,10.698459
2015-12-18,10.89,10.91,10.78,10.91,1400,10.787448
2015-12-17,11.00,11.00,10.85,10.85,4200,10.728123
2015-12-16,10.97,10.97,10.86,10.86,1700,10.73801
2015-12-15,10.89,10.90,10.89,10.90,200,10.77756
2015-12-14,10.78,10.80,10.78,10.80,1900,10.678684
2015-12-11,10.85,10.85,10.85,10.85,200,10.728123
2015-12-10,10.85,10.86,10.85,10.86,500,10.73801
2015-12-09,10.80,10.81,10.80,10.81,400,10.688572
2015-12-08,11.00,11.00,11.00,11.00,000,10.876437
2015-12-07,11.00,11.00,11.00,11.00,000,10.876437
2015-12-04,11.00,11.00,10.89,11.00,7800,10.876437
2015-12-03,10.95,10.95,10.86,10.86,300,10.73801
2015-12-02,10.85,10.90,10.85,10.90,3500,10.77756
2015-12-01,10.78,10.89,10.78,10.89,1200,10.767673
2015-11-30,10.91,10.97,10.76,10.82,5000,10.698459
2015-11-27,10.81,10.84,10.76,10.80,2700,10.678684
2015-11-25,10.81,10.81,10.81,10.81,000,10.688572
2015-11-24,10.81,10.81,10.81,10.81,000,10.688572
2015-11-23,10.88,10.88,10.81,10.81,7800,10.688572
2015-11-20,10.88,10.95,10.88,10.95,4500,10.826999
2015-11-19,10.93,10.93,10.85,10.85,1100,10.728123
2015-11-18,10.85,10.87,10.76,10.83,7600,10.708347
2015-11-17,10.89,10.89,10.88,10.88,500,10.757785
2015-11-16,10.82,10.95,10.82,10.95,3300,10.826999
2015-11-13,10.99,11.16,10.98,11.10,2300,10.975314
2015-11-12,10.94,11.20,10.85,11.00,5400,10.876437
2015-11-11,10.97,11.06,10.97,11.04,3000,10.915988
2015-11-10,10.94,10.96,10.94,10.96,1000,10.836887
2015-11-09,11.00,11.00,11.00,11.00,2500,10.876437
2015-11-06,11.02,11.02,11.02,11.02,000,10.896213
2015-11-05,11.00,11.02,11.00,11.02,1400,10.896213
2015-11-04,11.19,11.19,11.19,11.19,000,11.064303
2015-11-03,11.11,11.19,11.11,11.19,500,11.064303
2015-11-02,10.86,11.19,10.86,11.19,1100,11.064303
2015-10-30,11.02,11.02,11.02,11.02,000,10.896213
2015-10-29,10.81,11.02,10.81,11.02,1900,10.896213
2015-10-28,10.67,11.02,10.66,11.02,6000,10.896213
2015-10-27,11.00,11.00,10.80,10.84,10500,10.718235
2015-10-26,11.16,11.16,10.92,10.96,4000,10.836887
2015-10-23,11.23,11.23,11.21,11.21,700,11.084078
2015-10-22,11.30,11.50,11.30,11.50,1200,11.370821
2015-10-21,11.50,11.50,11.50,11.50,000,11.370821
2015-10-20,11.50,11.50,11.50,11.50,000,11.370821
2015-10-19,11.61,11.61,11.50,11.50,1300,11.370821
2015-10-16,11.55,11.61,11.51,11.61,1500,11.479585
2015-10-15,11.45,11.65,11.45,11.65,2600,11.519135
2015-10-14,11.34,11.50,11.34,11.50,5400,11.370821
2015-10-13,11.28,11.28,11.15,11.20,1100,11.074191
2015-10-12,11.27,11.39,11.25,11.38,1700,11.252169
2015-10-09,11.15,11.38,11.15,11.38,200,11.252169
2015-10-08,11.35,11.35,11.35,11.35,100,11.222506
2015-10-07,11.25,11.29,11.23,11.23,1300,11.103853
2015-10-06,11.30,11.37,10.93,11.37,4900,11.242281
2015-10-05,11.02,11.03,11.00,11.00,2800,10.876437
2015-10-02,11.02,11.39,11.02,11.39,200,11.262057
2015-10-01,11.39,11.39,11.27,11.27,1100,11.143405
2015-09-30,11.13,11.39,11.02,11.39,13000,11.262057
2015-09-29,10.67,10.90,10.67,10.90,1000,10.77756
2015-09-28,11.15,11.15,10.90,10.90,1100,10.77756
2015-09-25,10.87,11.20,10.67,11.20,5300,11.074191
2015-09-24,10.63,10.74,10.62,10.71,4400,10.589695
2015-09-23,10.69,10.69,10.61,10.68,2200,10.560032
2015-09-22,10.58,10.71,10.57,10.70,3000,10.579807
2015-09-21,10.70,10.87,10.70,10.75,7000,10.629246
2015-09-18,11.06,11.23,10.40,10.40,37000,10.283177
2015-09-17,11.10,11.70,10.94,11.02,17000,10.896213
2015-09-16,11.40,11.58,11.12,11.13,6200,11.004977
2015-09-15,11.05,11.40,11.00,11.40,18500,11.271944
2015-09-14,11.25,11.25,11.25,11.25,4000,11.123629
2015-09-11,11.30,11.40,11.30,11.40,5900,11.271944
2015-09-10,11.25,11.33,11.02,11.33,6400,11.20273
2015-09-09,11.00,11.20,10.94,11.10,9500,10.975314
2015-09-08,11.08,11.15,10.99,11.02,18200,10.896213
2015-09-04,11.33,11.33,11.07,11.07,1300,10.945651
2015-09-03,11.16,11.16,11.10,11.12,1600,10.935763
2015-09-02,10.91,11.25,10.91,11.00,2100,10.817751
2015-09-01,11.25,11.25,11.25,11.25,100,11.063609
2015-08-31,11.01,11.04,10.90,10.99,9300,10.807917
2015-08-28,11.01,11.01,11.01,11.01,200,10.827586
2015-08-27,11.20,11.20,11.10,11.10,9700,10.916095
2015-08-26,11.11,11.19,11.11,11.19,800,11.004603
2015-08-25,11.47,11.47,11.11,11.11,200,10.925928
2015-08-24,11.12,11.12,11.01,11.12,1500,10.935763
2015-08-21,11.31,11.40,11.21,11.26,6800,11.073444
2015-08-20,11.16,11.16,11.16,11.16,300,10.9751
2015-08-19,11.20,11.20,11.17,11.20,3600,11.014437
2015-08-18,11.33,11.34,11.20,11.20,1600,11.014437
2015-08-17,11.24,11.25,11.24,11.25,2500,11.063609
2015-08-14,11.27,11.31,11.19,11.19,3500,11.004603
2015-08-13,11.12,11.12,11.12,11.12,000,10.935763
2015-08-12,11.12,11.12,11.12,11.12,000,10.935763
2015-08-11,11.20,11.20,11.12,11.12,900,10.935763
2015-08-10,11.15,11.21,11.11,11.12,1300,10.935763
2015-08-07,11.40,11.40,11.40,11.40,000,11.211124
2015-08-06,11.40,11.40,11.40,11.40,700,11.211124
2015-08-05,11.30,11.30,11.29,11.30,2800,11.112781
2015-08-04,11.23,11.28,11.23,11.28,3000,11.093112
2015-08-03,11.31,11.31,11.31,11.31,1100,11.122616
2015-07-31,11.35,11.40,11.34,11.40,6700,11.211124
2015-07-30,11.10,11.35,11.10,11.35,800,11.161953
2015-07-29,11.15,11.15,11.15,11.15,000,10.965266
2015-07-28,11.20,11.40,11.15,11.15,4400,10.965266
2015-07-27,11.08,11.12,11.08,11.08,3300,10.896426
2015-07-24,11.01,11.14,11.01,11.14,1500,10.955432
2015-07-23,11.25,11.25,11.12,11.12,2400,10.935763
2015-07-22,11.11,11.22,11.01,11.22,7700,11.034107
2015-07-21,11.50,11.50,11.50,11.50,000,11.309467
2015-07-20,11.11,11.50,11.11,11.50,1100,11.309467
2015-07-17,11.10,11.49,11.10,11.44,3700,11.250461
2015-07-16,11.13,11.30,11.10,11.29,1300,11.102947
2015-07-15,11.19,11.22,11.19,11.22,3400,11.034107
2015-07-14,11.20,11.20,11.20,11.20,000,11.014437
2015-07-13,11.20,11.20,11.20,11.20,300,11.014437
2015-07-10,11.03,11.24,11.02,11.21,8900,11.024272
2015-07-09,11.05,11.19,11.05,11.19,3200,11.004603
2015-07-08,11.26,11.40,11.05,11.15,3800,10.965266
2015-07-07,11.25,11.25,11.14,11.25,800,11.063609
2015-07-06,11.25,11.25,11.25,11.25,000,11.063609
2015-07-02,11.24,11.38,11.10,11.25,14200,11.063609
2015-07-01,11.82,11.82,11.26,11.40,2100,11.211124
2015-06-30,11.70,11.70,11.44,11.51,8200,11.319302
2015-06-29,11.25,11.39,11.05,11.36,5800,11.171786
2015-06-26,11.33,11.40,11.33,11.35,600,11.161953
2015-06-25,11.55,11.55,11.38,11.38,5600,11.191456
2015-06-24,11.53,11.53,11.53,11.53,500,11.33897
2015-06-23,11.55,11.55,11.50,11.55,900,11.358639
2015-06-22,11.40,11.50,11.40,11.50,7800,11.309467
2015-06-19,11.52,11.53,11.40,11.40,3500,11.211124
2015-06-18,11.37,11.50,11.37,11.50,1400,11.309467
2015-06-17,11.51,11.53,11.36,11.53,2100,11.33897
2015-06-16,11.35,11.40,11.35,11.39,1600,11.20129
2015-06-15,11.35,11.40,11.35,11.35,5500,11.161953
2015-06-12,11.35,11.40,11.35,11.35,1500,11.161953
2015-06-11,11.38,11.40,11.35,11.35,1900,11.161953
2015-06-10,11.33,11.35,11.33,11.35,2800,11.161953
2015-06-09,11.27,11.40,11.27,11.33,7000,11.142284
2015-06-08,11.36,11.36,11.36,11.36,000,11.171786
2015-06-05,11.31,11.36,11.18,11.36,800,11.171786
2015-06-04,11.36,11.50,11.30,11.50,6500,11.309467
2015-06-03,11.49,11.49,11.28,11.44,3400,11.250461
2015-06-02,11.29,11.29,11.29,11.29,000,11.102947
2015-06-01,11.17,11.29,11.17,11.29,1200,11.102947
2015-05-29,11.13,11.25,11.13,11.15,2100,10.965266
2015-05-28,11.25,11.25,11.02,11.02,1400,10.83742
2015-05-27,11.25,11.54,11.23,11.54,5000,11.289798
2015-05-26,11.10,11.11,11.00,11.00,12500,10.761506
2015-05-22,11.25,11.25,11.20,11.20,4800,10.95717
2015-05-21,11.40,11.40,11.40,11.40,000,11.152833
2015-05-20,11.46,11.46,11.40,11.40,1800,11.152833
2015-05-19,11.46,11.46,11.46,11.46,000,11.211533
2015-05-18,11.50,11.50,11.46,11.46,1700,11.211533
2015-05-15,11.55,11.55,11.55,11.55,300,11.299582
2015-05-14,11.55,11.55,11.55,11.55,000,11.299582
2015-05-13,11.55,11.55,11.55,11.55,000,11.299582
2015-05-12,11.40,11.55,11.40,11.55,2200,11.299582
2015-05-11,11.43,11.52,11.41,11.41,1200,11.162617
2015-05-08,11.52,11.64,11.48,11.55,30800,11.299582
2015-05-07,11.30,11.85,11.13,11.53,110400,11.280015
2015-05-06,11.17,11.40,11.17,11.33,27900,11.084351
2015-05-05,11.25,11.25,10.82,11.24,36200,10.996303
2015-05-04,11.68,11.68,11.10,11.36,29800,11.113701
2015-05-01,11.27,11.45,11.27,11.40,3900,11.152833
2015-04-30,11.49,11.49,11.38,11.49,4100,11.240882
2015-04-29,11.76,11.76,11.50,11.63,2900,11.377847
2015-04-28,11.60,11.80,11.51,11.66,58100,11.407196
