Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,16.469999,16.48,16.299999,16.41,34400,16.41
2016-03-10,16.42,16.559999,16.360001,16.530001,61000,16.456
2016-03-09,16.360001,16.450001,16.32,16.360001,75000,16.286761
2016-03-08,16.450001,16.450001,16.299999,16.360001,75300,16.286761
2016-03-07,16.26,16.43,16.25,16.389999,55400,16.316626
2016-03-04,16.16,16.370001,16.120001,16.280001,99100,16.20712
2016-03-03,15.93,16.16,15.91,16.139999,62000,16.067745
2016-03-02,15.90,15.91,15.79,15.91,98700,15.838775
2016-03-01,15.89,15.90,15.84,15.90,69000,15.82882
2016-02-29,15.71,15.86,15.71,15.85,144700,15.779044
2016-02-26,15.78,15.78,15.65,15.66,53400,15.589894
2016-02-25,15.80,15.80,15.69,15.71,71800,15.639671
2016-02-24,15.73,15.78,15.70,15.73,43800,15.659581
2016-02-23,15.60,15.74,15.60,15.72,40600,15.649626
2016-02-22,15.80,15.80,15.68,15.70,41800,15.629715
2016-02-19,15.69,15.77,15.68,15.77,50700,15.699402
2016-02-18,15.59,15.68,15.56,15.68,50800,15.609805
2016-02-17,15.53,15.59,15.53,15.58,59100,15.510253
2016-02-16,15.64,15.65,15.57,15.58,94600,15.510253
2016-02-12,15.77,15.77,15.62,15.64,27500,15.569984
2016-02-11,15.80,15.80,15.68,15.75,46400,15.679492
2016-02-10,15.78,15.82,15.76,15.82,47600,15.675509
2016-02-09,15.80,15.80,15.69,15.70,44900,15.556605
2016-02-08,15.77,15.80,15.74,15.75,36300,15.606149
2016-02-05,15.79,15.80,15.76,15.80,32500,15.655692
2016-02-04,15.80,15.80,15.75,15.78,26900,15.635875
2016-02-03,15.73,15.80,15.73,15.80,33900,15.655692
2016-02-02,15.77,15.78,15.74,15.78,41300,15.635875
2016-02-01,15.72,15.74,15.66,15.74,55800,15.59624
2016-01-29,15.66,15.67,15.55,15.64,37900,15.497154
2016-01-28,15.62,15.62,15.56,15.61,23600,15.467427
2016-01-27,15.58,15.59,15.54,15.58,17700,15.437702
2016-01-26,15.41,15.57,15.41,15.57,35200,15.427793
2016-01-25,15.46,15.48,15.35,15.45,46600,15.308889
2016-01-22,15.37,15.46,15.32,15.41,57900,15.269254
2016-01-21,15.33,15.36,15.27,15.35,36100,15.209803
2016-01-20,15.56,15.56,15.24,15.30,146200,15.160259
2016-01-19,15.63,15.63,15.50,15.50,27800,15.358432
2016-01-15,15.54,15.60,15.51,15.53,40500,15.388158
2016-01-14,15.59,15.60,15.50,15.55,24300,15.407976
2016-01-13,15.61,15.61,15.55,15.56,33900,15.417885
2016-01-12,15.59,15.71,15.48,15.69,123800,15.473372
2016-01-11,15.67,15.67,15.52,15.56,100300,15.345168
2016-01-08,15.64,15.64,15.51,15.59,55000,15.374754
2016-01-07,15.55,15.66,15.55,15.60,39500,15.384616
2016-01-06,15.50,15.61,15.50,15.56,34700,15.345168
2016-01-05,15.43,15.55,15.42,15.51,41300,15.295858
2016-01-04,15.33,15.42,15.32,15.41,47300,15.197239
2015-12-31,15.47,15.47,15.35,15.39,46100,15.177515
2015-12-30,15.34,15.40,15.31,15.37,69500,15.157791
2015-12-29,15.45,15.47,15.34,15.36,31400,15.147929
2015-12-28,15.43,15.52,15.38,15.43,44200,15.216963
2015-12-24,15.38,15.43,15.38,15.43,13900,15.216963
2015-12-23,15.34,15.43,15.30,15.38,25700,15.167653
2015-12-22,15.30,15.33,15.24,15.32,31200,15.108481
2015-12-21,15.29,15.30,15.25,15.30,31100,15.088758
2015-12-18,15.14,15.28,15.14,15.28,20100,15.069033
2015-12-17,15.00,15.18,14.99,15.10,36700,14.891519
2015-12-16,14.80,14.97,14.80,14.94,53800,14.733727
2015-12-15,14.87,14.90,14.80,14.82,59700,14.615384
2015-12-14,14.92,14.93,14.83,14.83,67000,14.625247
2015-12-11,15.05,15.09,14.94,14.95,33600,14.74359
2015-12-10,15.06,15.06,14.96,15.00,22000,14.792899
2015-12-09,15.06,15.13,15.02,15.11,23900,14.828402
2015-12-08,15.01,15.06,14.92,15.06,47100,14.779334
2015-12-07,14.95,14.98,14.93,14.96,27000,14.681198
2015-12-04,14.88,14.98,14.88,14.95,18500,14.671384
2015-12-03,15.05,15.05,14.88,14.90,73200,14.622315
2015-12-02,15.05,15.13,15.04,15.05,94900,14.76952
2015-12-01,15.14,15.16,15.06,15.08,77700,14.798961
2015-11-30,15.09,15.09,15.03,15.04,15300,14.759707
2015-11-27,15.07,15.10,15.02,15.04,24100,14.759707
2015-11-25,15.12,15.12,15.04,15.06,56600,14.779334
2015-11-24,15.14,15.14,15.03,15.07,45300,14.789147
2015-11-23,15.06,15.11,15.02,15.11,25500,14.828402
2015-11-20,14.98,15.05,14.96,15.05,33900,14.76952
2015-11-19,14.91,14.98,14.91,14.98,32800,14.700824
2015-11-18,14.86,14.92,14.85,14.86,61700,14.583061
2015-11-17,14.82,14.94,14.82,14.86,81200,14.583061
2015-11-16,14.94,14.96,14.87,14.88,47400,14.602689
2015-11-13,14.93,14.98,14.84,14.88,62400,14.602689
2015-11-12,14.88,14.92,14.83,14.88,25900,14.602689
2015-11-11,14.81,14.93,14.81,14.93,24400,14.576192
