Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,6.52,6.55,6.52,6.54,94400,6.54
2016-03-10,6.56,6.57,6.55,6.55,54600,6.523
2016-03-09,6.59,6.60,6.55,6.55,288700,6.523
2016-03-08,6.55,6.59,6.55,6.59,47000,6.562835
2016-03-07,6.55,6.56,6.54,6.54,48700,6.513041
2016-03-04,6.57,6.61,6.55,6.55,87900,6.523
2016-03-03,6.55,6.59,6.53,6.59,72800,6.562835
2016-03-02,6.52,6.56,6.52,6.54,290000,6.513041
2016-03-01,6.52,6.55,6.51,6.52,238100,6.493124
2016-02-29,6.55,6.56,6.52,6.54,143500,6.513041
2016-02-26,6.56,6.57,6.52,6.52,100600,6.493124
2016-02-25,6.57,6.60,6.55,6.57,116300,6.542918
2016-02-24,6.54,6.60,6.52,6.60,106900,6.572794
2016-02-23,6.52,6.55,6.51,6.54,171100,6.513041
2016-02-22,6.57,6.57,6.51,6.54,149700,6.513041
2016-02-19,6.48,6.59,6.48,6.58,202400,6.552876
2016-02-18,6.55,6.55,6.50,6.54,87300,6.513041
2016-02-17,6.50,6.57,6.50,6.57,141500,6.542918
2016-02-16,6.48,6.52,6.47,6.50,184200,6.473206
2016-02-12,6.53,6.56,6.48,6.50,181400,6.473206
2016-02-11,6.54,6.58,6.52,6.53,292900,6.503083
2016-02-10,6.56,6.58,6.55,6.56,114400,6.502086
2016-02-09,6.50,6.57,6.50,6.57,138100,6.511998
2016-02-08,6.50,6.52,6.47,6.49,154900,6.432704
2016-02-05,6.50,6.53,6.50,6.50,132200,6.442616
2016-02-04,6.51,6.53,6.48,6.52,240300,6.46244
2016-02-03,6.50,6.51,6.49,6.49,98700,6.432704
2016-02-02,6.48,6.50,6.46,6.50,187600,6.442616
2016-02-01,6.47,6.50,6.47,6.49,96300,6.432704
2016-01-29,6.46,6.51,6.45,6.47,445100,6.412881
2016-01-28,6.45,6.48,6.45,6.48,107400,6.422793
2016-01-27,6.46,6.47,6.44,6.45,122300,6.393057
2016-01-26,6.45,6.48,6.45,6.46,101900,6.402969
2016-01-25,6.46,6.47,6.43,6.47,89600,6.412881
2016-01-22,6.46,6.48,6.46,6.48,151500,6.422793
2016-01-21,6.45,6.47,6.45,6.45,789000,6.393057
2016-01-20,6.46,6.48,6.44,6.48,134600,6.422793
2016-01-19,6.44,6.46,6.43,6.46,205700,6.402969
2016-01-15,6.46,6.47,6.44,6.44,157200,6.383146
2016-01-14,6.46,6.48,6.46,6.46,223600,6.402969
2016-01-13,6.46,6.47,6.45,6.47,172700,6.412881
2016-01-12,6.45,6.48,6.43,6.48,248500,6.422793
2016-01-11,6.45,6.46,6.43,6.45,104200,6.393057
2016-01-08,6.48,6.48,6.45,6.45,122700,6.393057
2016-01-07,6.45,6.47,6.45,6.47,225600,6.412881
2016-01-06,6.40,6.46,6.40,6.46,122200,6.402969
2016-01-05,6.38,6.44,6.36,6.41,191700,6.353411
2016-01-04,6.36,6.38,6.36,6.37,65500,6.313764
2015-12-31,6.34,6.39,6.34,6.38,78700,6.323676
2015-12-30,6.37,6.38,6.34,6.35,89500,6.29394
2015-12-29,6.38,6.39,6.37,6.37,82700,6.313764
2015-12-28,6.40,6.42,6.40,6.42,129600,6.332596
2015-12-24,6.39,6.41,6.38,6.41,192300,6.322732
2015-12-23,6.38,6.41,6.38,6.39,133100,6.303005
2015-12-22,6.37,6.39,6.37,6.38,102000,6.293141
2015-12-21,6.38,6.41,6.38,6.38,88600,6.293141
2015-12-18,6.37,6.39,6.35,6.38,171300,6.293141
2015-12-17,6.33,6.37,6.33,6.37,126500,6.283277
2015-12-16,6.30,6.34,6.29,6.34,177500,6.253686
