Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,15.70,15.76,15.64,15.65,52300,15.65
2016-03-10,15.83,15.86,15.76,15.80,47700,15.721
2016-03-09,15.75,15.82,15.73,15.75,21800,15.67125
2016-03-08,15.70,15.76,15.70,15.73,26300,15.65135
2016-03-07,15.71,15.75,15.65,15.73,26900,15.65135
2016-03-04,15.72,15.74,15.63,15.63,38100,15.55185
2016-03-03,15.62,15.74,15.62,15.70,62100,15.6215
2016-03-02,15.68,15.72,15.61,15.62,60000,15.5419
2016-03-01,15.63,15.68,15.55,15.67,39100,15.59165
2016-02-29,15.52,15.58,15.52,15.57,38600,15.49215
2016-02-26,15.59,15.59,15.45,15.45,58000,15.37275
2016-02-25,15.60,15.66,15.55,15.63,38400,15.55185
2016-02-24,15.54,15.59,15.51,15.59,42000,15.51205
2016-02-23,15.42,15.51,15.41,15.51,44500,15.43245
2016-02-22,15.52,15.52,15.40,15.40,44200,15.323
2016-02-19,15.47,15.52,15.40,15.46,45600,15.3827
2016-02-18,15.45,15.48,15.39,15.48,42200,15.4026
2016-02-17,15.24,15.46,15.18,15.38,148600,15.3031
2016-02-16,15.43,15.50,15.07,15.19,184900,15.11405
2016-02-12,15.59,15.60,15.39,15.48,48800,15.4026
2016-02-11,15.63,15.63,15.50,15.59,43100,15.51205
2016-02-10,15.68,15.72,15.64,15.69,37700,15.532944
2016-02-09,15.57,15.68,15.56,15.62,60800,15.463645
2016-02-08,15.59,15.63,15.52,15.60,36900,15.443846
2016-02-05,15.59,15.71,15.53,15.53,114200,15.374546
2016-02-04,15.55,15.65,15.48,15.55,39300,15.394346
2016-02-03,15.70,15.74,15.51,15.51,154200,15.354747
2016-02-02,15.53,15.61,15.52,15.60,91600,15.443846
2016-02-01,15.46,15.52,15.44,15.52,46900,15.364647
2016-01-29,15.39,15.47,15.36,15.42,46000,15.265648
2016-01-28,15.30,15.39,15.28,15.39,28200,15.235948
2016-01-27,15.37,15.40,15.25,15.26,37400,15.107249
2016-01-26,15.22,15.37,15.17,15.32,80600,15.166648
2016-01-25,15.27,15.28,15.16,15.16,40600,15.00825
2016-01-22,15.22,15.29,15.18,15.25,55300,15.097349
2016-01-21,15.16,15.22,15.13,15.22,31200,15.06765
2016-01-20,15.27,15.27,14.95,15.12,80100,14.96865
2016-01-19,15.28,15.29,15.20,15.21,38900,15.05775
2016-01-15,15.20,15.34,15.20,15.22,101800,15.06765
2016-01-14,15.41,15.42,15.14,15.26,171900,15.107249
2016-01-13,15.42,15.46,15.38,15.38,47300,15.226048
2016-01-12,15.44,15.50,15.41,15.50,29100,15.266637
2016-01-11,15.47,15.51,15.41,15.44,46600,15.20754
2016-01-08,15.49,15.49,15.43,15.45,37700,15.21739
2016-01-07,15.52,15.58,15.41,15.47,140900,15.237089
2016-01-06,15.51,15.65,15.40,15.46,121300,15.22724
2016-01-05,15.40,15.57,15.36,15.44,75900,15.20754
2016-01-04,15.31,15.39,15.31,15.37,21400,15.138594
2015-12-31,15.34,15.36,15.29,15.31,25900,15.079498
2015-12-30,15.25,15.29,15.23,15.29,63100,15.059799
2015-12-29,15.22,15.26,15.18,15.25,63200,15.020401
2015-12-28,15.18,15.21,15.16,15.19,39300,14.961304
2015-12-24,15.15,15.20,15.14,15.14,16100,14.912058
2015-12-23,15.10,15.19,15.07,15.11,37600,14.882509
2015-12-22,15.05,15.12,15.03,15.08,19800,14.852961
2015-12-21,15.17,15.21,15.07,15.07,43900,14.843111
2015-12-18,15.14,15.17,15.10,15.13,37200,14.902208
2015-12-17,14.86,15.13,14.81,15.12,154900,14.892358
2015-12-16,14.73,14.83,14.68,14.78,67100,14.557477
2015-12-15,14.65,14.73,14.61,14.70,47500,14.478682
2015-12-14,14.85,14.86,14.63,14.63,78900,14.409736
2015-12-11,14.99,15.02,14.85,14.89,85000,14.665822
2015-12-10,14.90,14.96,14.85,14.96,35000,14.734767
2015-12-09,15.00,15.01,14.94,14.95,23100,14.647108
2015-12-08,14.91,14.97,14.90,14.97,41200,14.666703
2015-12-07,14.87,14.95,14.85,14.91,32800,14.607918
2015-12-04,14.78,14.92,14.77,14.92,45400,14.617716
2015-12-03,14.90,14.94,14.79,14.79,61800,14.49035
2015-12-02,14.99,15.00,14.88,14.88,66800,14.578526
2015-12-01,14.92,14.98,14.92,14.95,24500,14.647108
2015-11-30,14.91,14.98,14.89,14.93,27200,14.627514
2015-11-27,14.97,14.99,14.90,14.93,16600,14.627514
2015-11-25,14.97,15.00,14.90,14.94,61600,14.63731
2015-11-24,15.01,15.01,14.91,14.92,32300,14.617716
2015-11-23,14.97,15.04,14.94,15.03,36200,14.725487
2015-11-20,14.97,15.01,14.95,14.96,26100,14.656905
2015-11-19,14.96,15.00,14.92,14.94,28300,14.63731
2015-11-18,14.89,14.97,14.84,14.92,28600,14.617716
2015-11-17,14.87,14.90,14.85,14.88,21800,14.578526
2015-11-16,14.85,14.89,14.80,14.85,33300,14.549134
