Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,16.639999,16.639999,16.09,16.200001,8200,16.200001
2016-03-10,16.35,16.610001,15.85,16.549999,11600,16.479999
2016-03-09,16.00,16.74,16.00,16.219999,8500,16.151395
2016-03-08,15.38,15.88,15.38,15.79,2200,15.723214
2016-03-07,15.34,15.50,15.34,15.50,4300,15.434441
2016-03-04,15.42,15.56,15.42,15.50,3200,15.434441
2016-03-03,15.54,15.94,15.54,15.54,4600,15.474272
2016-03-02,15.60,15.74,15.60,15.63,5100,15.563891
2016-03-01,15.94,15.94,15.61,15.62,6300,15.553933
2016-02-29,15.83,15.90,15.78,15.81,2100,15.74313
2016-02-26,15.95,15.95,15.63,15.78,4800,15.713257
2016-02-25,15.74,15.95,15.73,15.95,6500,15.882538
2016-02-24,15.75,15.78,15.40,15.53,3100,15.464314
2016-02-23,15.77,15.77,15.45,15.45,2800,15.384652
2016-02-22,15.77,15.77,15.67,15.67,800,15.603722
2016-02-19,15.43,15.59,15.43,15.59,200,15.524061
2016-02-18,15.49,15.63,15.49,15.62,700,15.553933
2016-02-17,15.62,15.62,15.49,15.61,5100,15.543976
2016-02-16,15.45,15.45,15.45,15.45,700,15.384652
2016-02-12,15.70,15.77,15.54,15.63,3500,15.563891
2016-02-11,15.75,15.75,15.75,15.75,1900,15.683384
2016-02-10,15.66,15.91,15.66,15.72,1500,15.583807
2016-02-09,15.64,15.79,15.64,15.73,1300,15.593719
2016-02-08,15.65,16.15,15.63,15.76,8600,15.62346
2016-02-05,15.66,15.81,15.66,15.81,500,15.673027
2016-02-04,16.10,16.15,15.48,15.64,7000,15.5045
2016-02-03,16.049999,16.049999,15.38,15.67,25500,15.53424
2016-02-02,15.17,15.26,15.11,15.26,3900,15.127792
2016-02-01,15.06,15.16,15.06,15.12,5100,14.989005
2016-01-29,14.81,15.22,14.81,14.92,4100,14.790737
2016-01-28,14.80,15.06,14.70,14.76,2500,14.632124
2016-01-27,15.05,15.05,14.72,14.90,2400,14.77091
2016-01-26,14.73,15.01,14.63,14.68,8700,14.552817
2016-01-25,15.19,15.19,14.64,14.72,7900,14.59247
2016-01-22,14.70,15.00,14.48,14.71,6700,14.582557
2016-01-21,14.70,14.70,14.55,14.55,7300,14.423943
2016-01-20,14.95,14.95,14.52,14.70,3900,14.572643
2016-01-19,14.77,14.77,14.60,14.60,3200,14.47351
2016-01-15,14.74,15.00,14.71,14.80,6800,14.671777
2016-01-14,14.64,14.67,14.50,14.67,2000,14.542903
2016-01-13,14.70,14.71,14.58,14.71,1000,14.582557
2016-01-12,14.86,14.86,14.60,14.82,1700,14.62221
2016-01-11,14.87,14.87,14.64,14.67,800,14.474212
2016-01-08,15.02,15.02,14.69,14.84,3100,14.641943
2016-01-07,14.89,14.89,14.56,14.66,900,14.464346
2016-01-06,14.63,14.90,14.62,14.62,6100,14.424879
2016-01-05,14.62,14.75,14.57,14.58,4300,14.385413
2016-01-04,14.74,14.74,14.56,14.56,1400,14.365681
2015-12-31,14.51,14.94,14.51,14.74,9000,14.543278
2015-12-30,14.53,14.53,14.27,14.52,5200,14.326215
2015-12-29,14.56,14.58,14.42,14.42,3700,14.227549
2015-12-28,14.54,14.60,14.27,14.52,2400,14.326215
2015-12-24,14.32,14.50,14.32,14.50,1800,14.306481
2015-12-23,14.48,14.48,14.23,14.25,3000,14.059818
2015-12-22,14.30,14.46,14.23,14.36,6100,14.168349
2015-12-21,14.36,14.41,14.31,14.37,5400,14.178216
2015-12-18,14.11,14.30,14.10,14.30,2900,14.10915
2015-12-17,14.02,14.22,14.02,14.22,9400,14.030218
2015-12-16,14.06,14.06,13.88,14.02,3200,13.832888
2015-12-15,13.92,14.07,13.92,14.06,2800,13.872354
2015-12-14,14.04,14.06,13.88,14.02,8500,13.832888
2015-12-11,14.02,14.20,14.02,14.20,4200,14.010485
2015-12-10,14.15,14.21,14.00,14.21,1700,14.020351
2015-12-09,14.05,14.21,14.00,14.21,3600,13.951286
2015-12-08,13.91,14.09,13.89,14.07,8300,13.813835
2015-12-07,14.08,14.08,13.90,14.01,2300,13.754927
2015-12-04,13.83,14.06,13.83,14.06,2000,13.804017
2015-12-03,14.12,14.22,13.83,13.83,8900,13.578204
2015-12-02,14.16,14.22,14.07,14.07,2000,13.813835
2015-12-01,14.08,14.24,14.08,14.13,6300,13.872743
2015-11-30,14.16,14.16,14.11,14.11,1800,13.853106
2015-11-27,14.03,14.12,14.03,14.03,800,13.774563
2015-11-25,14.26,14.31,14.13,14.13,4000,13.872743
2015-11-24,14.14,14.32,14.14,14.16,2000,13.902196
2015-11-23,14.25,14.25,14.15,14.22,1700,13.961104
2015-11-20,14.21,14.21,14.15,14.17,600,13.912014
2015-11-19,14.29,14.35,14.22,14.24,4400,13.98074
2015-11-18,14.22,14.35,14.11,14.18,4500,13.921832
2015-11-17,14.12,14.26,14.07,14.25,1100,13.990558
2015-11-16,14.06,14.18,14.06,14.15,2100,13.892378
2015-11-13,14.05,14.06,14.05,14.06,1000,13.804017
2015-11-12,13.86,14.24,13.75,14.24,4600,13.98074
2015-11-11,14.00,14.07,14.00,14.00,1900,13.676384
2015-11-10,14.35,14.35,13.97,14.04,3600,13.715459
2015-11-09,14.31,14.44,14.25,14.25,1500,13.920605
2015-11-06,14.37,14.44,14.31,14.37,3900,14.037831
2015-11-05,14.50,14.50,14.39,14.39,1400,14.057369
2015-11-04,14.43,14.50,14.43,14.50,3200,14.164826
2015-11-03,14.39,14.50,14.39,14.40,3900,14.067137
2015-11-02,14.50,14.50,14.35,14.49,3100,14.155057
2015-10-30,14.35,14.44,14.35,14.41,1200,14.076906
2015-10-29,14.27,14.38,14.27,14.27,2800,13.940143
2015-10-28,14.41,14.41,14.26,14.27,2100,13.940143
2015-10-27,14.34,14.40,14.34,14.40,700,14.067137
2015-10-26,14.29,14.38,14.25,14.25,3400,13.920605
2015-10-23,14.31,14.33,14.15,14.24,3800,13.910836
2015-10-22,14.25,14.32,14.25,14.25,2400,13.920605
2015-10-21,14.25,14.25,14.22,14.25,4000,13.920605
2015-10-20,14.30,14.30,14.30,14.30,300,13.969449
2015-10-19,14.24,14.38,14.21,14.21,4300,13.881529
2015-10-16,14.28,14.28,14.28,14.28,000,13.949911
2015-10-15,14.34,14.44,14.28,14.28,6000,13.949911
2015-10-14,14.42,14.47,14.42,14.47,3000,14.13552
2015-10-13,14.39,14.40,14.39,14.40,800,14.067137
2015-10-12,14.25,14.42,14.25,14.40,2700,13.998755
2015-10-09,14.35,14.40,14.35,14.40,1300,13.998755
2015-10-08,14.38,14.38,14.25,14.32,1600,13.920984
2015-10-07,14.34,14.39,14.32,14.36,3200,13.959869
2015-10-06,14.46,14.46,14.24,14.25,1600,13.852935
2015-10-05,14.33,14.45,14.21,14.45,4800,14.047362
2015-10-02,14.07,14.34,14.07,14.23,4600,13.833492
2015-10-01,14.28,14.31,14.28,14.30,3300,13.901542
2015-09-30,14.32,14.32,14.11,14.20,4000,13.804328
2015-09-29,14.20,14.26,14.09,14.24,8400,13.843213
2015-09-28,14.13,14.18,14.07,14.11,2900,13.716836
2015-09-25,14.05,14.15,14.05,14.10,2500,13.707115
2015-09-24,14.05,14.20,14.05,14.05,4700,13.658508
2015-09-23,14.08,14.09,13.93,14.05,5000,13.658508
2015-09-22,13.95,14.00,13.94,14.00,5600,13.609901
2015-09-21,13.99,13.99,13.81,13.94,5000,13.551572
2015-09-18,13.81,13.92,13.80,13.88,2700,13.493245
2015-09-17,13.81,13.96,13.76,13.82,7400,13.434916
2015-09-16,14.03,14.03,13.81,13.81,4000,13.425196
2015-09-15,13.83,13.94,13.83,13.87,8200,13.483523
