Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,15.75,15.81,15.71,15.79,6800,15.79
2016-03-10,15.69,15.83,15.69,15.76,18700,15.696
2016-03-09,15.67,15.72,15.65,15.71,17900,15.646203
2016-03-08,15.67,15.68,15.66,15.66,22300,15.596406
2016-03-07,15.65,15.66,15.60,15.66,28700,15.596406
2016-03-04,15.61,15.65,15.61,15.62,11500,15.556568
2016-03-03,15.60,15.68,15.60,15.65,25700,15.586446
2016-03-02,15.67,15.69,15.60,15.60,27900,15.53665
2016-03-01,15.63,15.74,15.63,15.72,12100,15.656163
2016-02-29,15.60,15.68,15.56,15.68,34600,15.616325
2016-02-26,15.81,15.81,15.51,15.52,91300,15.456975
2016-02-25,15.88,15.93,15.80,15.80,13500,15.735838
2016-02-24,15.82,15.90,15.81,15.86,13600,15.795593
2016-02-23,15.83,15.86,15.83,15.85,19400,15.785635
2016-02-22,15.86,15.87,15.76,15.78,13300,15.715918
2016-02-19,15.76,15.86,15.71,15.86,12100,15.795593
2016-02-18,15.70,15.76,15.70,15.76,9500,15.696
2016-02-17,15.79,15.80,15.67,15.68,11400,15.616325
2016-02-16,15.87,15.87,15.75,15.80,10800,15.735838
2016-02-12,15.88,15.94,15.80,15.85,14000,15.785635
2016-02-11,15.89,15.95,15.83,15.87,13900,15.805553
2016-02-10,15.94,15.97,15.92,15.95,7600,15.816508
2016-02-09,15.81,15.95,15.77,15.87,38900,15.737178
2016-02-08,15.87,15.94,15.80,15.84,33900,15.707429
2016-02-05,15.90,15.99,15.83,15.84,27000,15.707429
2016-02-04,16.059999,16.059999,15.77,15.89,45300,15.757011
2016-02-03,16.030001,16.09,15.90,16.049999,37400,15.915671
2016-02-02,16.02,16.09,15.92,16.049999,31100,15.915671
2016-02-01,15.93,16.040001,15.87,15.95,15900,15.816508
2016-01-29,15.66,16.07,15.66,15.93,59600,15.796676
2016-01-28,15.58,15.69,15.54,15.69,10000,15.558684
2016-01-27,15.53,15.59,15.50,15.53,22500,15.400023
2016-01-26,15.44,15.51,15.43,15.50,21700,15.370275
2016-01-25,15.58,15.60,15.42,15.42,21400,15.290944
2016-01-22,15.55,15.61,15.42,15.57,52500,15.439688
2016-01-21,15.72,15.72,15.51,15.55,35500,15.419856
2016-01-20,15.88,15.89,15.61,15.69,34300,15.558684
2016-01-19,15.84,15.93,15.81,15.83,14800,15.697513
2016-01-15,15.82,15.91,15.82,15.83,19100,15.697513
2016-01-14,15.78,15.83,15.76,15.82,7800,15.687596
2016-01-13,15.86,15.91,15.75,15.75,24300,15.618182
2016-01-12,15.95,15.97,15.82,15.97,36300,15.767919
2016-01-11,15.82,16.01,15.75,15.92,25600,15.718551
2016-01-08,15.78,15.89,15.76,15.80,32700,15.60007
2016-01-07,15.66,15.79,15.66,15.71,28100,15.511208
2016-01-06,15.71,15.86,15.65,15.73,21500,15.530955
2016-01-05,15.63,15.78,15.63,15.68,11000,15.481588
2016-01-04,15.69,15.69,15.53,15.62,14600,15.422347
2015-12-31,15.62,15.70,15.54,15.58,37800,15.382853
2015-12-30,15.40,15.58,15.40,15.57,22400,15.37298
2015-12-29,15.32,15.40,15.32,15.38,14600,15.185384
2015-12-28,15.39,15.45,15.34,15.38,13100,15.185384
2015-12-24,15.39,15.44,15.30,15.34,10600,15.14589
2015-12-23,15.40,15.45,15.32,15.36,15700,15.165637
2015-12-22,15.46,15.46,15.39,15.39,15700,15.195258
2015-12-21,15.25,15.56,15.21,15.44,27800,15.244624
2015-12-18,15.06,15.25,15.06,15.25,17000,15.057029
2015-12-17,15.00,15.20,14.93,15.14,27300,14.948421
2015-12-16,15.00,15.06,14.97,15.03,26000,14.839813
2015-12-15,15.07,15.07,15.01,15.03,25000,14.839813
2015-12-14,15.15,15.19,15.07,15.11,45800,14.9188
2015-12-11,15.14,15.19,15.08,15.15,21400,14.958294
2015-12-10,15.02,15.19,15.01,15.09,10400,14.899054
2015-12-09,15.15,15.17,15.09,15.11,34900,14.850673
2015-12-08,15.11,15.15,15.11,15.12,11900,14.860502
2015-12-07,15.11,15.15,15.10,15.12,14500,14.860502
2015-12-04,15.05,15.20,15.05,15.13,26000,14.870331
2015-12-03,15.12,15.12,15.01,15.06,20400,14.801532
2015-12-02,15.10,15.14,15.06,15.08,21300,14.821188
2015-12-01,15.14,15.14,15.00,15.07,33800,14.81136
2015-11-30,15.05,15.12,14.98,15.12,14200,14.860502
2015-11-27,15.00,15.04,14.88,15.02,14000,14.762219
2015-11-25,14.94,15.03,14.86,14.93,21100,14.673763
2015-11-24,15.09,15.13,14.85,14.91,24700,14.654106
2015-11-23,14.98,15.11,14.98,15.09,23600,14.831017
2015-11-20,14.98,14.98,14.88,14.89,7200,14.63445
2015-11-19,14.92,15.07,14.83,14.95,25500,14.69342
2015-11-18,14.96,14.97,14.83,14.90,45000,14.644277
2015-11-17,15.03,15.16,14.84,14.86,31100,14.604964
2015-11-16,14.97,15.07,14.86,15.03,35000,14.772046
2015-11-13,14.67,15.12,14.62,14.96,80800,14.703248
2015-11-12,14.88,14.91,14.61,14.61,39800,14.359255
2015-11-11,14.69,15.00,14.69,14.88,32600,14.556806
2015-11-10,14.83,15.03,14.75,14.75,33600,14.429629
2015-11-09,14.92,15.00,14.72,14.95,42400,14.625285
2015-11-06,14.89,15.01,14.82,15.00,22900,14.674199
2015-11-05,14.87,15.14,14.82,15.01,133600,14.683982
2015-11-04,14.95,15.03,14.82,14.94,28900,14.615502
2015-11-03,15.03,15.07,14.94,15.00,24100,14.674199
2015-11-02,15.04,15.12,15.00,15.03,21200,14.703547
2015-10-30,15.03,15.09,14.96,15.05,29500,14.723113
2015-10-29,15.03,15.08,15.03,15.08,5500,14.752462
2015-10-28,15.09,15.18,15.08,15.11,16200,14.78181
2015-10-27,14.97,15.08,14.97,15.07,15100,14.742679
2015-10-26,15.03,15.08,14.96,14.98,24000,14.654633
2015-10-23,15.15,15.15,15.01,15.07,9700,14.742679
2015-10-22,15.02,15.20,14.96,15.19,26400,14.860072
2015-10-21,15.03,15.04,14.88,14.99,28000,14.664416
2015-10-20,14.90,14.98,14.86,14.97,14500,14.644851
2015-10-19,14.91,14.91,14.83,14.89,8000,14.566589
2015-10-16,14.88,14.91,14.79,14.91,25600,14.586154
2015-10-15,14.82,14.86,14.77,14.81,13900,14.488326
2015-10-14,14.85,14.85,14.37,14.82,3600,14.498109
2015-10-13,14.80,14.83,14.76,14.80,15300,14.478543
2015-10-12,14.89,14.92,14.87,14.92,3900,14.528435
2015-10-09,14.82,14.89,14.82,14.86,18200,14.47001
2015-10-08,14.79,14.81,14.70,14.81,21300,14.421323
2015-10-07,14.77,14.79,14.68,14.79,22900,14.401847
2015-10-06,14.65,14.77,14.62,14.77,17900,14.382372
2015-10-05,14.65,14.69,14.60,14.64,15500,14.255784
2015-10-02,14.74,14.80,14.68,14.68,21100,14.294734
2015-10-01,14.67,14.73,14.67,14.68,22700,14.294734
2015-09-30,14.55,14.64,14.55,14.63,13100,14.246046
2015-09-29,14.52,14.61,14.52,14.61,13100,14.226571
2015-09-28,14.52,14.57,14.47,14.55,8100,14.168146
2015-09-25,14.46,14.54,14.42,14.48,28400,14.099982
2015-09-24,14.56,14.56,14.45,14.49,10300,14.10972
2015-09-23,14.44,14.54,14.44,14.50,12800,14.119458
2015-09-22,14.39,14.53,14.35,14.51,29400,14.129196
2015-09-21,14.42,14.51,14.42,14.43,15100,14.051295
2015-09-18,14.29,14.50,14.27,14.47,6000,14.090245
2015-09-17,14.23,14.40,14.20,14.38,21100,14.002607
2015-09-16,14.30,14.30,14.25,14.28,9200,13.905231
2015-09-15,14.34,14.34,14.26,14.30,6900,13.924707
2015-09-14,14.48,14.50,14.32,14.32,12600,13.944182
2015-09-11,14.49,14.50,14.43,14.44,14300,14.061032
2015-09-10,14.54,14.54,14.52,14.52,4800,14.071744
2015-09-09,14.53,14.55,14.50,14.54,7800,14.091126
2015-09-08,14.50,14.54,14.46,14.50,11100,14.052361
2015-09-04,14.49,14.50,14.45,14.50,13000,14.052361
2015-09-03,14.50,14.50,14.48,14.50,6500,14.052361
2015-09-02,14.43,14.51,14.43,14.48,12000,14.032978
2015-09-01,14.45,14.49,14.31,14.48,16900,14.032978
2015-08-31,14.16,14.36,14.16,14.36,23800,13.916683
2015-08-28,14.17,14.47,14.10,14.18,18600,13.742241
2015-08-27,14.30,14.36,14.26,14.30,10800,13.858536
2015-08-26,14.34,14.39,14.26,14.34,18800,13.897301
2015-08-25,14.31,14.38,14.26,14.33,19500,13.887609
2015-08-24,14.28,14.44,14.28,14.33,31700,13.887609
2015-08-21,14.41,14.51,14.38,14.45,19600,14.003905
2015-08-20,14.47,14.50,14.41,14.48,19200,14.032978
2015-08-19,14.54,14.57,14.51,14.56,18300,14.110509
2015-08-18,14.50,14.55,14.46,14.53,5200,14.081435
2015-08-17,14.51,14.59,14.51,14.51,28600,14.062053
2015-08-14,14.42,14.52,14.30,14.45,8700,14.003905
2015-08-13,14.50,14.50,14.39,14.44,17600,13.994213
2015-08-12,14.53,14.56,14.39,14.52,30400,14.071744
2015-08-11,14.49,14.53,14.46,14.52,16600,14.004875
2015-08-10,14.49,14.51,14.41,14.43,28200,13.918067
2015-08-07,14.38,14.46,14.35,14.43,13200,13.918067
2015-08-06,14.30,14.35,14.06,14.33,55600,13.821615
2015-08-05,14.46,14.46,14.23,14.24,37100,13.734808
2015-08-04,14.49,14.50,14.36,14.45,15300,13.937357
2015-08-03,14.54,14.55,14.42,14.49,23200,13.975938
2015-07-31,14.55,14.57,14.48,14.54,32000,14.024165
2015-07-30,14.51,14.54,14.43,14.43,32200,13.918067
2015-07-29,14.45,14.50,14.40,14.49,23600,13.975938
2015-07-28,14.45,14.49,14.35,14.42,25700,13.908422
2015-07-27,14.29,14.40,14.29,14.36,7700,13.85055
2015-07-24,14.29,14.29,14.24,14.29,7400,13.783034
2015-07-23,14.27,14.30,14.20,14.27,24300,13.763744
2015-07-22,14.06,14.26,14.06,14.18,26200,13.676937
2015-07-21,14.11,14.15,14.11,14.15,6800,13.648
2015-07-20,14.06,14.22,14.01,14.08,30000,13.580484
2015-07-17,14.15,14.17,14.07,14.10,23600,13.599775
2015-07-16,14.11,14.13,14.02,14.11,21000,13.609419
2015-07-15,14.13,14.13,14.03,14.04,12800,13.541903
2015-07-14,13.97,14.14,13.96,14.10,43800,13.599775
2015-07-13,14.35,14.40,13.98,14.10,76000,13.599775
2015-07-10,14.40,14.75,14.35,14.42,24800,13.84187
2015-07-09,14.41,14.45,14.32,14.43,20600,13.851469
2015-07-08,14.30,14.42,14.25,14.40,11100,13.822672
2015-07-07,14.15,14.38,14.14,14.26,30300,13.688285
2015-07-06,14.15,14.15,14.08,14.15,18900,13.582695
2015-07-02,14.01,14.14,14.01,14.11,14600,13.544298
2015-07-01,14.09,14.09,13.94,13.98,29900,13.41951
2015-06-30,13.88,13.99,13.84,13.98,19700,13.41951
2015-06-29,13.89,13.97,13.84,13.85,26200,13.294723
2015-06-26,13.95,14.07,13.92,13.95,13800,13.390713
2015-06-25,14.08,14.08,14.00,14.01,17900,13.448308
2015-06-24,14.22,14.22,14.15,14.15,11000,13.582695
2015-06-23,14.16,14.23,14.12,14.20,12500,13.63069
2015-06-22,14.22,14.22,14.06,14.17,10200,13.601893
2015-06-19,14.22,14.29,14.21,14.24,17500,13.669086
2015-06-18,14.17,14.27,14.17,14.19,25300,13.621091
2015-06-17,14.12,14.23,14.06,14.18,19400,13.611492
2015-06-16,14.03,14.11,13.97,14.11,18800,13.544298
2015-06-15,13.99,14.02,13.96,14.00,18400,13.438709
2015-06-12,13.90,13.98,13.88,13.95,10200,13.390713
2015-06-11,13.85,13.90,13.80,13.89,6800,13.333119
2015-06-10,13.85,13.90,13.80,13.84,15700,13.21889
2015-06-09,13.94,13.94,13.82,13.82,22300,13.199787
2015-06-08,13.98,13.98,13.90,13.91,20700,13.285748
2015-06-05,13.89,13.98,13.80,13.95,28100,13.323953
2015-06-04,13.98,14.06,13.90,13.92,17900,13.2953
2015-06-03,14.03,14.05,13.97,13.98,18800,13.352607
2015-06-02,14.04,14.06,13.95,13.99,32900,13.362158
2015-06-01,14.08,14.18,14.00,14.05,33800,13.419466
2015-05-29,14.07,14.11,13.99,14.03,42800,13.400363
2015-05-28,14.11,14.22,14.08,14.09,18200,13.457671
2015-05-27,14.11,14.19,14.10,14.16,29500,13.524529
2015-05-26,14.17,14.23,14.10,14.10,32300,13.467222
2015-05-22,14.30,14.33,14.15,14.19,18500,13.553182
2015-05-21,14.38,14.43,14.28,14.32,13300,13.677348
2015-05-20,14.35,14.42,14.29,14.33,35400,13.6869
2015-05-19,14.30,14.31,14.20,14.31,10200,13.667798
2015-05-18,14.48,14.48,14.25,14.27,18600,13.629593
2015-05-15,14.32,14.57,14.32,14.44,25700,13.791963
2015-05-14,14.23,14.40,14.23,14.38,35700,13.734656
2015-05-13,14.18,14.22,14.16,14.20,35300,13.562734
2015-05-12,14.15,14.26,14.13,14.26,22800,13.554138
2015-05-11,14.20,14.26,14.13,14.19,33800,13.487602
2015-05-08,14.28,14.41,14.23,14.25,17700,13.544633
2015-05-07,14.25,14.30,14.11,14.28,28400,13.573148
2015-05-06,14.50,14.50,14.30,14.30,21000,13.592158
2015-05-05,14.59,14.59,14.46,14.51,18200,13.791763
2015-05-04,14.73,14.75,14.59,14.66,32900,13.934338
2015-05-01,14.74,14.74,14.65,14.72,28700,13.991368
2015-04-30,14.68,14.73,14.64,14.70,15700,13.972358
2015-04-29,14.73,14.74,14.60,14.69,11600,13.962853
2015-04-28,14.75,14.75,14.72,14.74,21600,14.010378
2015-04-27,14.75,14.75,14.68,14.73,12900,14.000873
2015-04-24,14.74,14.74,14.66,14.74,8400,14.010378
2015-04-23,14.71,14.75,14.69,14.72,10900,13.991368
2015-04-22,14.70,14.75,14.68,14.71,13100,13.981863
2015-04-21,14.67,14.74,14.67,14.70,12000,13.972358
2015-04-20,14.74,14.74,14.68,14.69,10100,13.962853
2015-04-17,14.68,14.72,14.60,14.72,16200,13.991368
2015-04-16,14.70,14.72,14.66,14.71,18200,13.981863
2015-04-15,14.61,14.73,14.61,14.64,14800,13.915328
2015-04-14,14.70,14.73,14.62,14.64,11300,13.915328
2015-04-13,14.70,14.71,14.65,14.69,5200,13.962853
2015-04-10,14.61,14.74,14.61,14.73,16800,13.935288
2015-04-09,14.77,14.78,14.64,14.65,14900,13.859604
2015-04-08,14.80,14.87,14.75,14.78,24900,13.98259
2015-04-07,14.70,14.80,14.65,14.79,18700,13.992051
2015-04-06,14.69,14.74,14.63,14.66,19300,13.869065
2015-04-02,14.68,14.70,14.57,14.65,15500,13.859604
2015-04-01,14.76,14.76,14.64,14.67,13600,13.878525
2015-03-31,14.67,14.75,14.64,14.68,10300,13.887986
2015-03-30,14.67,14.76,14.62,14.62,8700,13.831223
2015-03-27,14.69,14.74,14.69,14.69,10400,13.897446
2015-03-26,14.70,14.74,14.62,14.62,8700,13.831223
2015-03-25,14.71,14.72,14.62,14.70,8200,13.906907
2015-03-24,14.69,14.72,14.63,14.69,19700,13.897446
2015-03-23,14.62,14.73,14.60,14.60,11300,13.812302
2015-03-20,14.54,14.71,14.45,14.71,20800,13.916367
2015-03-19,14.60,14.62,14.45,14.50,14500,13.717697
2015-03-18,14.41,14.71,14.41,14.71,43800,13.916367
2015-03-17,14.31,14.38,14.25,14.33,12900,13.556869
2015-03-16,14.48,14.52,14.29,14.34,24100,13.56633
2015-03-13,14.52,14.52,14.42,14.51,15900,13.727158
2015-03-12,14.55,14.64,14.48,14.56,22400,13.77446
2015-03-11,14.45,14.54,14.41,14.54,7200,13.755539
2015-03-10,14.43,14.60,14.43,14.59,26000,13.737564
2015-03-09,14.56,14.62,14.42,14.49,49800,13.643407
2015-03-06,14.68,14.69,14.45,14.55,32700,13.699902
2015-03-05,14.73,14.75,14.64,14.75,11000,13.888216
2015-03-04,14.56,14.68,14.56,14.66,18100,13.803474
2015-03-03,14.72,14.75,14.62,14.63,17200,13.775227
2015-03-02,14.70,14.79,14.61,14.67,22000,13.81289
2015-02-27,14.56,14.62,14.53,14.61,11300,13.756395
2015-02-26,14.74,14.74,14.56,14.56,12100,13.709318
2015-02-25,14.71,14.82,14.69,14.74,21800,13.8788
2015-02-24,14.75,14.77,14.69,14.77,12500,13.907048
2015-02-23,14.70,14.73,14.65,14.73,9300,13.869384
2015-02-20,14.55,14.64,14.52,14.64,10100,13.784643
2015-02-19,14.33,14.53,14.33,14.53,10300,13.68107
2015-02-18,14.35,14.45,14.26,14.39,23600,13.54925
2015-02-17,14.56,14.56,14.28,14.28,18500,13.445676
2015-02-13,14.62,14.68,14.57,14.57,12400,13.718733
2015-02-12,14.62,14.71,14.61,14.61,3500,13.756395
2015-02-11,14.70,14.74,14.61,14.61,12400,13.756395
2015-02-10,14.79,14.82,14.71,14.71,12400,13.785584
2015-02-09,14.78,14.85,14.75,14.78,13600,13.851185
2015-02-06,14.88,14.91,14.75,14.75,17100,13.823071
2015-02-05,14.99,15.03,14.90,14.90,18000,13.963644
2015-02-04,15.00,15.08,14.90,14.99,11900,14.047988
2015-02-03,15.00,15.09,14.89,15.09,28400,14.141704
2015-02-02,15.06,15.09,14.92,15.05,41400,14.104218
2015-01-30,14.98,15.06,14.96,15.01,27400,14.066732
2015-01-29,14.86,15.00,14.86,14.98,22700,14.038616
2015-01-28,14.72,14.86,14.71,14.82,23500,13.888671
2015-01-27,14.69,14.72,14.63,14.69,7300,13.766841
2015-01-26,14.66,14.71,14.56,14.60,16200,13.682497
2015-01-23,14.66,14.69,14.62,14.66,8300,13.738726
2015-01-22,14.77,14.77,14.57,14.65,32700,13.729355
2015-01-21,14.76,14.84,14.70,14.73,8900,13.804327
2015-01-20,14.80,14.83,14.72,14.78,23100,13.851185
2015-01-16,14.76,14.87,14.72,14.74,16600,13.813699
2015-01-15,14.78,14.86,14.69,14.70,10800,13.776213
2015-01-14,14.60,14.86,14.60,14.78,28000,13.851185
2015-01-13,14.67,14.68,14.58,14.59,18600,13.673126
2015-01-12,14.59,14.71,14.57,14.70,24000,13.711549
2015-01-09,14.46,14.63,14.43,14.63,14700,13.646256
2015-01-08,14.54,14.58,14.46,14.47,24900,13.497015
2015-01-07,14.51,14.59,14.46,14.54,38800,13.562308
2015-01-06,14.54,14.58,14.41,14.46,60500,13.487687
2015-01-05,14.41,14.56,14.39,14.47,22500,13.497015
2015-01-02,14.29,14.41,14.26,14.41,15000,13.441049
2014-12-31,14.35,14.44,14.27,14.36,30500,13.394411
2014-12-30,14.29,14.33,14.23,14.33,22200,13.366429
2014-12-29,14.44,14.44,14.19,14.25,47000,13.291808
2014-12-26,14.40,14.41,14.36,14.41,9600,13.441049
2014-12-24,14.42,14.42,14.35,14.37,15500,13.403739
