Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,19.50,19.50,19.50,19.50,1300,19.50
2016-03-10,19.60,19.950001,19.59,19.950001,500,19.822001
2016-03-09,19.530001,19.959999,19.50,19.959999,700,19.831935
2016-03-08,18.629999,19.440001,18.549999,19.440001,4800,19.315273
2016-03-07,19.00,19.00,18.450001,18.610001,16100,18.490598
2016-03-04,19.25,19.25,19.25,19.25,1500,19.126492
2016-03-03,18.98,18.98,18.969999,18.969999,300,18.848287
2016-03-02,18.50,18.50,18.50,18.50,300,18.381304
2016-03-01,18.40,18.40,18.40,18.40,000,18.281945
2016-02-29,18.530001,18.530001,18.40,18.40,2600,18.281945
2016-02-26,18.469999,18.85,18.450001,18.459999,5500,18.341559
2016-02-25,18.459999,18.459999,18.459999,18.459999,1400,18.341559
2016-02-24,18.280001,18.34,18.280001,18.34,2400,18.22233
2016-02-23,18.280001,18.280001,18.280001,18.280001,200,18.162716
2016-02-22,18.15,18.280001,18.049999,18.219999,2900,18.103099
2016-02-19,19.290001,19.290001,19.049999,19.049999,300,18.927774
2016-02-18,18.50,18.50,18.030001,18.040001,1200,17.924256
2016-02-17,18.15,18.15,18.15,18.15,000,18.033549
2016-02-16,18.15,18.15,18.15,18.15,000,18.033549
2016-02-12,18.15,18.15,18.15,18.15,000,18.033549
2016-02-11,18.85,18.85,18.15,18.15,600,18.033549
2016-02-10,18.370001,18.370001,18.040001,18.040001,1300,17.924256
2016-02-09,18.50,18.50,18.50,18.50,000,18.254124
2016-02-08,18.700001,18.709999,18.50,18.50,3300,18.254124
2016-02-05,19.00,19.00,19.00,19.00,100,18.747479
2016-02-04,18.68,18.68,18.68,18.68,000,18.431732
2016-02-03,18.68,18.68,18.68,18.68,000,18.431732
2016-02-02,18.68,18.68,18.68,18.68,000,18.431732
2016-02-01,18.68,18.68,18.68,18.68,000,18.431732
2016-01-29,18.68,18.68,18.68,18.68,000,18.431732
2016-01-28,18.68,18.68,18.68,18.68,000,18.431732
2016-01-27,18.68,18.68,18.68,18.68,2200,18.431732
2016-01-26,19.50,19.50,18.73,18.940001,700,18.688277
2016-01-25,19.00,19.00,19.00,19.00,1700,18.747479
2016-01-22,19.219999,19.25,18.82,19.200001,4700,18.944822
2016-01-21,19.10,19.15,18.959999,19.120001,12700,18.865885
2016-01-20,18.299999,19.08,18.299999,19.02,110100,18.767214
2016-01-19,18.200001,18.299999,18.10,18.299999,4900,18.056782
2016-01-15,17.83,18.059999,17.83,18.059999,1500,17.819972
2016-01-14,17.42,17.42,17.42,17.42,000,17.188478
2016-01-13,17.42,17.42,17.42,17.42,500,17.188478
2016-01-12,17.74,17.74,17.74,17.74,100,17.377926
2016-01-11,17.790001,17.790001,17.790001,17.790001,000,17.426907
2016-01-08,17.790001,17.790001,17.790001,17.790001,100,17.426907
2016-01-07,17.889999,17.90,17.889999,17.90,1200,17.534661
2016-01-06,17.90,17.90,17.90,17.90,000,17.534661
2016-01-05,17.50,17.91,17.50,17.90,1900,17.534661
2016-01-04,17.190001,17.50,17.190001,17.50,1200,17.142825
2015-12-31,17.120001,17.50,17.120001,17.50,2900,17.142825
2015-12-30,17.450001,17.450001,17.129999,17.190001,3600,16.839153
2015-12-29,17.700001,17.90,17.40,17.41,2100,17.054662
2015-12-28,17.620001,17.66,17.440001,17.610001,1400,17.25058
2015-12-24,17.530001,18.35,17.530001,17.549999,1300,17.191804
2015-12-23,17.41,17.51,17.40,17.450001,8200,17.093846
2015-12-22,18.00,18.00,17.34,17.50,11100,17.142825
2015-12-21,17.059999,17.860001,17.059999,17.860001,1300,17.495478
2015-12-18,17.75,17.75,17.40,17.41,3900,17.054662
2015-12-17,17.700001,17.700001,17.40,17.40,1900,17.044866
2015-12-16,18.25,18.25,17.74,17.74,7600,17.377926
2015-12-15,18.25,18.25,18.25,18.25,300,17.877517
2015-12-14,18.50,18.50,18.50,18.50,000,18.122415
2015-12-11,18.50,18.50,18.50,18.50,300,18.122415
2015-12-10,18.52,18.52,18.52,18.52,000,18.01662
2015-12-09,18.65,18.65,18.50,18.52,1100,18.01662
2015-12-08,18.60,18.620001,18.60,18.620001,800,18.113902
2015-12-07,18.75,18.75,18.75,18.75,000,18.240368
2015-12-04,18.700001,18.75,18.700001,18.75,4600,18.240368
2015-12-03,18.690001,18.75,18.690001,18.719999,6600,18.211183
2015-12-02,18.559999,18.620001,18.559999,18.620001,2100,18.113902
2015-12-01,18.690001,18.700001,18.690001,18.690001,2600,18.181999
2015-11-30,18.50,18.700001,18.50,18.559999,2400,18.055532
2015-11-27,18.77,18.790001,18.719999,18.719999,2200,18.211183
2015-11-25,19.049999,19.049999,19.049999,19.049999,000,18.532213
2015-11-24,18.93,19.08,18.93,19.049999,800,18.532213
2015-11-23,19.01,19.07,18.950001,19.00,1000,18.483573
2015-11-20,18.950001,19.34,18.950001,19.34,2100,18.814332
2015-11-19,18.77,18.77,18.77,18.77,300,18.259825
2015-11-18,19.00,19.00,19.00,19.00,000,18.483573
2015-11-17,19.00,19.00,19.00,19.00,2400,18.483573
2015-11-16,18.77,18.77,18.77,18.77,200,18.259825
2015-11-13,18.82,18.83,18.75,18.75,2000,18.240368
2015-11-12,18.790001,18.790001,18.75,18.75,900,18.240368
2015-11-11,19.00,19.00,19.00,19.00,000,18.483573
2015-11-10,19.00,19.00,19.00,19.00,000,18.483573
2015-11-09,19.219999,19.219999,18.85,19.00,5800,18.359051
2015-11-06,18.860001,18.860001,18.860001,18.860001,600,18.223775
2015-11-05,19.52,19.52,18.85,18.85,900,18.214112
2015-11-04,19.48,19.48,18.93,18.93,300,18.291413
2015-11-03,19.01,19.01,19.00,19.00,1900,18.359051
2015-11-02,18.950001,18.950001,18.950001,18.950001,500,18.310739
2015-10-30,19.10,19.10,18.85,18.85,1600,18.214112
2015-10-29,19.280001,19.280001,19.10,19.10,800,18.455678
2015-10-28,19.290001,19.299999,19.290001,19.299999,200,18.64893
2015-10-27,19.10,19.27,19.00,19.049999,9400,18.407364
2015-10-26,19.10,19.10,19.10,19.10,000,18.455678
2015-10-23,19.120001,19.120001,19.10,19.10,2200,18.455678
2015-10-22,19.00,19.00,18.98,18.98,4000,18.339726
2015-10-21,19.059999,19.10,19.059999,19.08,6000,18.436352
2015-10-20,18.879999,18.98,18.879999,18.98,1400,18.339726
2015-10-19,18.799999,18.799999,18.74,18.74,300,18.107822
2015-10-16,18.950001,18.950001,18.77,18.77,1000,18.136811
2015-10-15,18.73,18.879999,18.73,18.879999,1000,18.243099
2015-10-14,18.75,18.75,18.74,18.75,600,18.117485
2015-10-13,18.91,18.969999,18.629999,18.67,10400,18.040184
2015-10-12,19.059999,19.10,19.00,19.10,1100,18.331997
2015-10-09,18.77,19.08,18.65,19.08,9600,18.312801
2015-10-08,18.73,18.98,18.67,18.84,3200,18.082451
2015-10-07,18.66,19.00,18.66,18.99,2000,18.22642
2015-10-06,19.00,19.290001,18.860001,18.860001,6100,18.101648
2015-10-05,19.00,19.00,18.91,18.91,400,18.149636
2015-10-02,19.00,19.00,19.00,19.00,400,18.236018
2015-10-01,18.99,18.99,18.99,18.99,1100,18.22642
2015-09-30,18.84,18.98,18.780001,18.98,1300,18.216822
2015-09-29,18.82,19.16,18.60,19.08,20000,18.312801
2015-09-28,18.549999,19.00,18.51,18.51,1400,17.765721
2015-09-25,19.09,19.440001,19.00,19.01,1500,18.245616
2015-09-24,19.049999,19.049999,19.049999,19.049999,000,18.284007
2015-09-23,19.049999,19.049999,19.049999,19.049999,000,18.284007
2015-09-22,19.43,19.43,19.049999,19.049999,1200,18.284007
2015-09-21,19.00,19.549999,19.00,19.549999,1700,18.763902
2015-09-18,18.959999,19.00,18.559999,18.950001,1300,18.188029
2015-09-17,19.00,19.00,18.450001,18.450001,2600,17.708134
2015-09-16,19.65,19.65,19.040001,19.040001,800,18.27441
2015-09-15,19.00,19.00,19.00,19.00,800,18.236018
2015-09-14,18.879999,18.879999,18.879999,18.879999,000,18.120842
2015-09-11,18.879999,18.879999,18.879999,18.879999,300,18.120842
