Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,10.67,10.95,10.64,10.91,75900,10.91
2016-03-10,10.95,10.99,10.51,10.61,94100,10.61
2016-03-09,10.68,10.95,10.65,10.93,59100,10.93
2016-03-08,10.97,10.98,10.65,10.65,65800,10.65
2016-03-07,11.15,11.26,10.85,11.00,94100,11.00
2016-03-04,10.84,11.15,10.76,11.06,104600,11.06
2016-03-03,10.50,10.81,10.45,10.80,113600,10.80
2016-03-02,10.40,10.50,10.35,10.48,86500,10.48
2016-03-01,10.30,10.40,10.18,10.40,85400,10.40
2016-02-29,10.40,10.45,9.98,10.26,139200,10.26
2016-02-26,10.05,10.37,9.95,10.35,180800,10.35
2016-02-25,9.78,10.09,9.75,9.98,113400,9.98
2016-02-24,9.49,9.78,9.10,9.77,192700,9.77
2016-02-23,9.65,9.70,9.23,9.33,130900,9.33
2016-02-22,9.84,9.97,9.65,9.74,140200,9.643
2016-02-19,9.86,10.05,9.66,9.77,147000,9.672702
2016-02-18,9.74,9.87,9.60,9.82,75900,9.722203
2016-02-17,9.44,9.85,9.44,9.74,154900,9.643
2016-02-16,9.46,9.54,9.31,9.36,59700,9.266784
2016-02-12,9.25,9.49,9.17,9.44,84100,9.345987
2016-02-11,9.15,9.32,9.06,9.18,115900,9.088577
2016-02-10,9.32,9.47,9.19,9.25,100100,9.15788
2016-02-09,9.25,9.50,9.22,9.29,172700,9.197482
2016-02-08,9.87,9.87,9.17,9.41,200300,9.316286
2016-02-05,10.27,10.27,9.88,9.88,93900,9.781606
2016-02-04,10.27,10.33,10.17,10.22,38000,10.11822
2016-02-03,10.29,10.37,10.12,10.30,74700,10.197423
2016-02-02,10.31,10.37,10.20,10.25,74100,10.147921
2016-02-01,10.35,10.48,10.30,10.37,91000,10.266726
2016-01-29,10.28,10.50,10.20,10.36,129000,10.256825
2016-01-28,10.16,10.39,10.16,10.24,76200,10.13802
2016-01-27,10.34,10.34,10.04,10.10,68800,9.999415
2016-01-26,10.16,10.40,10.16,10.29,148400,10.187523
2016-01-25,10.35,10.38,10.13,10.14,34100,10.039017
2016-01-22,10.08,10.34,10.05,10.30,105900,10.197423
2016-01-21,9.89,10.09,9.77,10.00,121400,9.900411
2016-01-20,10.02,10.06,9.21,9.99,369800,9.794476
2016-01-19,10.34,10.37,10.10,10.19,120700,9.990561
2016-01-15,10.33,10.40,9.85,10.32,213600,10.118017
2016-01-14,10.02,10.66,10.00,10.43,175700,10.225865
2016-01-13,10.74,10.92,10.25,10.27,170700,10.068996
2016-01-12,11.07,11.29,10.50,10.74,235700,10.529797
2016-01-11,11.07,11.21,10.83,11.14,100300,10.921969
2016-01-08,11.55,11.59,11.15,11.24,101200,11.020011
2016-01-07,11.80,11.90,11.34,11.49,117100,11.265118
2016-01-06,12.01,12.07,11.85,12.04,100300,11.804354
2016-01-05,12.03,12.14,11.83,12.00,106300,11.765136
2016-01-04,11.75,11.93,11.42,11.91,182500,11.676898
2015-12-31,11.91,12.17,11.79,11.85,155000,11.618073
2015-12-30,12.04,12.04,11.85,11.91,79900,11.676898
2015-12-29,11.95,12.03,11.82,11.99,71000,11.755332
2015-12-28,11.85,11.97,11.80,11.88,47800,11.647485
2015-12-24,11.97,12.10,11.82,11.97,77400,11.735724
2015-12-23,11.90,11.97,11.78,11.95,72400,11.716115
2015-12-22,12.03,12.03,11.71,11.90,71800,11.667093
2015-12-21,12.00,12.06,11.76,12.00,148200,11.670035
2015-12-18,11.40,11.87,11.40,11.84,498500,11.514435
2015-12-17,11.23,11.63,11.23,11.46,80700,11.144884
2015-12-16,11.09,11.31,11.01,11.30,106900,10.989283
2015-12-15,10.56,11.07,10.56,11.03,91700,10.726707
2015-12-14,10.69,10.92,10.33,10.50,175200,10.211281
2015-12-11,11.00,11.00,10.72,10.79,133600,10.493307
2015-12-10,11.05,11.10,10.93,10.97,86000,10.668358
2015-12-09,11.01,11.28,10.88,10.96,142100,10.658632
2015-12-08,11.05,11.24,11.00,11.02,97800,10.716983
2015-12-07,11.41,11.41,11.13,11.17,59100,10.862858
2015-12-04,11.20,11.55,11.19,11.29,52400,10.979558
2015-12-03,11.43,11.46,10.94,11.27,64200,10.960109
2015-12-02,11.63,11.67,11.40,11.43,44600,11.115709
2015-12-01,11.38,11.78,11.38,11.57,52300,11.251859
2015-11-30,11.39,11.65,11.38,11.44,90900,11.125433
2015-11-27,11.25,11.36,11.13,11.33,34300,11.018458
2015-11-25,11.30,11.43,11.20,11.25,129500,10.940658
2015-11-24,11.30,11.47,11.18,11.33,92200,11.018458
2015-11-23,11.45,11.45,11.28,11.32,92600,11.008733
2015-11-20,11.67,11.82,11.53,11.59,106600,11.176976
2015-11-19,11.45,11.60,11.33,11.56,187600,11.148045
2015-11-18,11.07,11.58,11.07,11.48,182700,11.070895
2015-11-17,11.45,11.54,11.00,11.09,283100,10.694794
2015-11-16,11.20,11.49,11.20,11.37,134000,10.964816
2015-11-13,11.49,11.54,11.09,11.25,216900,10.849092
2015-11-12,11.74,11.99,11.55,11.55,120500,11.138402
2015-11-11,11.87,11.99,11.71,11.76,73900,11.340918
2015-11-10,11.55,11.90,11.55,11.85,91400,11.427711
2015-11-09,11.94,12.05,11.57,11.58,112500,11.167332
2015-11-06,12.00,12.11,11.85,11.90,133500,11.475928
2015-11-05,12.29,12.37,12.00,12.08,82100,11.649514
2015-11-04,12.51,12.84,12.00,12.09,102400,11.659158
2015-11-03,11.92,12.07,11.75,11.95,111800,11.524147
2015-11-02,11.69,12.00,11.47,11.90,176500,11.475928
2015-10-30,11.72,11.88,11.65,11.72,70400,11.302343
2015-10-29,11.89,11.96,11.76,11.78,85700,11.360205
2015-10-28,11.69,11.86,11.51,11.78,216800,11.360205
2015-10-27,11.84,11.95,11.54,11.63,167800,11.215551
2015-10-26,12.13,12.25,11.78,11.84,126000,11.418067
2015-10-23,12.18,12.27,12.04,12.14,144600,11.707376
2015-10-22,12.40,12.40,12.03,12.16,88200,11.726663
2015-10-21,12.11,12.22,11.90,12.01,118000,11.582009
2015-10-20,12.16,12.28,12.04,12.17,144800,11.642764
2015-10-19,12.22,12.35,12.12,12.17,116600,11.642764
2015-10-16,12.32,12.41,12.20,12.32,175600,11.786265
2015-10-15,12.12,12.40,12.04,12.25,70700,11.719298
2015-10-14,12.21,12.30,12.02,12.07,67000,11.547096
2015-10-13,12.20,12.30,12.11,12.20,108800,11.671464
2015-10-12,12.25,12.40,12.16,12.20,85000,11.671464
2015-10-09,12.44,12.47,12.26,12.29,29600,11.757565
2015-10-08,12.36,12.50,12.27,12.47,52100,11.929767
2015-10-07,12.07,12.40,12.01,12.39,91900,11.853233
2015-10-06,12.27,12.27,12.03,12.03,59400,11.508829
2015-10-05,12.39,12.39,12.10,12.24,110600,11.709731
2015-10-02,11.96,12.22,11.88,12.22,105100,11.690598
2015-10-01,12.02,12.09,11.71,12.03,61000,11.508829
2015-09-30,11.67,12.05,11.59,11.98,140100,11.460995
2015-09-29,11.51,11.66,11.40,11.52,106900,11.020924
2015-09-28,11.65,11.80,11.50,11.58,118000,11.078324
2015-09-25,12.07,12.09,11.71,11.71,130000,11.202692
2015-09-24,12.16,12.16,11.98,12.04,67300,11.518396
2015-09-23,12.02,12.25,12.01,12.23,123200,11.700164
2015-09-22,11.98,12.26,11.94,12.02,76400,11.406465
2015-09-21,12.24,12.36,11.97,12.04,96500,11.425444
2015-09-18,11.44,12.14,11.40,12.08,257800,11.463402
2015-09-17,11.22,11.49,11.07,11.49,283400,10.903517
2015-09-16,11.05,11.20,11.05,11.17,113500,10.599851
2015-09-15,11.07,11.28,10.97,11.06,122600,10.495466
2015-09-14,11.08,11.14,10.88,11.05,97300,10.485977
2015-09-11,10.53,11.17,10.53,11.11,156200,10.542914
2015-09-10,10.81,10.89,10.53,10.63,181800,10.087415
2015-09-09,11.10,11.11,10.76,10.83,159900,10.277206
2015-09-08,10.99,11.18,10.87,11.00,130900,10.438529
2015-09-04,11.05,11.20,10.96,10.99,109300,10.429039
2015-09-03,11.11,11.26,10.90,11.10,137600,10.533425
2015-09-02,11.21,11.27,10.89,11.00,136400,10.438529
2015-09-01,11.10,11.21,11.07,11.12,105900,10.552403
2015-08-31,11.40,11.50,11.20,11.23,174100,10.656788
2015-08-28,11.40,11.47,11.25,11.43,90800,10.84658
2015-08-27,11.32,11.50,11.14,11.45,145300,10.865559
2015-08-26,10.86,11.22,10.60,11.22,204200,10.647299
2015-08-25,11.19,11.28,10.70,10.73,338900,10.18231
2015-08-24,11.39,11.59,11.08,11.10,232900,10.533425
2015-08-21,11.50,11.75,11.45,11.67,190700,11.07433
2015-08-20,11.99,12.10,11.78,11.80,155400,11.105646
2015-08-19,12.18,12.20,12.02,12.02,115600,11.3127
2015-08-18,12.29,12.29,12.13,12.18,94400,11.463285
2015-08-17,12.06,12.31,11.88,12.29,155500,11.566812
2015-08-14,12.05,12.10,11.90,12.05,84000,11.340935
2015-08-13,12.06,12.18,12.00,12.10,52800,11.387993
2015-08-12,12.16,12.21,11.82,12.06,111900,11.350346
2015-08-11,11.66,12.48,11.50,12.18,208600,11.463285
2015-08-10,12.06,12.06,11.43,11.66,246500,10.973883
2015-08-07,11.75,12.09,11.75,12.06,77200,11.350346
2015-08-06,12.23,12.25,11.60,11.80,265300,11.105646
2015-08-05,12.70,12.71,12.18,12.20,251800,11.482108
2015-08-04,12.86,12.94,12.59,12.62,96400,11.877394
2015-08-03,12.77,12.96,12.65,12.88,113400,12.122094
2015-07-31,12.65,12.80,12.63,12.80,93200,12.046802
2015-07-30,12.76,12.76,12.51,12.54,68900,11.802101
2015-07-29,12.52,12.88,12.34,12.72,139100,11.971509
2015-07-28,12.47,12.60,12.33,12.51,153400,11.773867
2015-07-27,12.56,12.61,12.40,12.45,70500,11.717397
2015-07-24,12.76,12.84,12.55,12.56,74300,11.820925
2015-07-23,12.82,12.95,12.74,12.76,103200,12.009156
2015-07-22,12.89,13.07,12.84,13.03,152800,12.263267
2015-07-21,13.00,13.05,12.70,12.89,74200,12.040214
2015-07-20,12.89,13.08,12.77,12.94,160600,12.086917
2015-07-17,12.95,13.07,12.65,12.85,138000,12.002851
2015-07-16,12.48,12.98,12.45,12.95,247900,12.096258
2015-07-15,12.53,12.55,12.35,12.47,188000,11.647903
