Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,14.57,14.57,14.47,14.51,10700,14.51
2016-03-10,14.52,14.60,14.48,14.60,18400,14.529
2016-03-09,14.48,14.50,14.42,14.44,20900,14.369778
2016-03-08,14.46,14.49,14.40,14.47,17600,14.399632
2016-03-07,14.35,14.44,14.35,14.42,9300,14.349875
2016-03-04,14.41,14.42,14.35,14.35,11700,14.280216
2016-03-03,14.35,14.40,14.33,14.40,12700,14.329972
2016-03-02,14.33,14.37,14.27,14.32,26900,14.250361
2016-03-01,14.33,14.37,14.27,14.34,24300,14.270264
2016-02-29,14.28,14.29,14.27,14.29,5900,14.220507
2016-02-26,14.29,14.29,14.15,14.25,12200,14.180702
2016-02-25,14.30,14.33,14.25,14.33,34200,14.260313
2016-02-24,14.16,14.31,14.16,14.29,14300,14.220507
2016-02-23,14.13,14.21,14.07,14.15,10800,14.081188
2016-02-22,14.13,14.15,14.11,14.15,5400,14.081188
2016-02-19,14.06,14.11,14.05,14.10,3100,14.031432
2016-02-18,14.05,14.05,14.01,14.04,9200,13.971723
2016-02-17,14.05,14.05,14.01,14.01,7400,13.941869
2016-02-16,14.11,14.11,14.01,14.01,35500,13.941869
2016-02-12,14.12,14.17,14.04,14.12,12700,14.051334
2016-02-11,14.21,14.21,14.15,14.15,16900,14.081188
2016-02-10,14.28,14.31,14.19,14.24,19500,14.100096
2016-02-09,14.35,14.35,14.21,14.21,31000,14.070391
2016-02-08,14.32,14.35,14.24,14.35,10600,14.209016
2016-02-05,14.24,14.31,14.24,14.27,10700,14.129802
2016-02-04,14.22,14.30,14.22,14.28,7000,14.139703
2016-02-03,14.28,14.29,14.21,14.27,9100,14.129802
2016-02-02,14.26,14.28,14.20,14.23,10100,14.090194
2016-02-01,14.17,14.21,14.10,14.19,9700,14.050587
2016-01-29,14.06,14.15,14.06,14.14,11500,14.001079
2016-01-28,14.03,14.03,14.00,14.01,6700,13.872356
2016-01-27,14.03,14.03,13.93,14.01,19300,13.872356
2016-01-26,13.87,14.03,13.82,14.01,29000,13.872356
2016-01-25,13.84,13.87,13.81,13.87,8700,13.733731
2016-01-22,13.71,13.85,13.71,13.85,12700,13.713928
2016-01-21,13.80,13.80,13.74,13.74,10900,13.605008
2016-01-20,13.85,13.85,13.71,13.71,13900,13.575303
2016-01-19,13.97,13.97,13.85,13.88,22400,13.743633
2016-01-15,13.88,13.95,13.86,13.92,23400,13.78324
2016-01-14,13.81,13.89,13.81,13.89,25000,13.753535
2016-01-13,13.90,13.90,13.85,13.86,8000,13.723829
2016-01-12,13.92,13.99,13.85,13.99,21800,13.78225
2016-01-11,14.01,14.06,13.92,13.98,21600,13.772398
2016-01-08,14.06,14.14,13.97,14.04,49700,13.831507
2016-01-07,14.06,14.27,14.06,14.06,29300,13.851211
2016-01-06,13.95,14.07,13.94,14.06,21100,13.851211
2016-01-05,13.85,13.95,13.83,13.95,8900,13.742844
2016-01-04,13.78,13.87,13.78,13.82,4500,13.614774
2015-12-31,13.76,13.89,13.76,13.85,12700,13.644329
2015-12-30,13.72,13.83,13.70,13.76,20800,13.555666
2015-12-29,13.70,13.74,13.70,13.72,5500,13.51626
2015-12-28,13.71,13.73,13.64,13.69,13700,13.486704
2015-12-24,13.60,13.68,13.60,13.68,4300,13.476854
2015-12-23,13.57,13.65,13.57,13.63,15100,13.427596
2015-12-22,13.59,13.66,13.54,13.60,20700,13.398042
2015-12-21,13.56,13.67,13.56,13.60,14600,13.398042
2015-12-18,13.55,13.67,13.55,13.58,28100,13.378338
2015-12-17,13.47,13.61,13.47,13.56,16200,13.358636
2015-12-16,13.47,13.48,13.40,13.47,16500,13.269972
2015-12-15,13.45,13.55,13.40,13.42,30300,13.220714
2015-12-14,13.65,13.65,13.44,13.48,10300,13.279823
2015-12-11,13.64,13.71,13.59,13.71,8200,13.506408
2015-12-10,13.66,13.70,13.60,13.62,7000,13.417744
2015-12-09,13.65,13.70,13.65,13.69,5400,13.414788
2015-12-08,13.63,13.71,13.60,13.69,14900,13.414788
2015-12-07,13.63,13.69,13.63,13.63,900,13.355995
2015-12-04,13.61,13.70,13.61,13.65,3600,13.375592
2015-12-03,13.67,13.86,13.63,13.64,10600,13.365794
2015-12-02,13.79,13.79,13.74,13.77,6500,13.493181
2015-12-01,13.72,13.79,13.71,13.79,8600,13.512778
2015-11-30,13.67,13.72,13.67,13.72,3300,13.444186
2015-11-27,13.66,13.71,13.66,13.67,1500,13.395191
2015-11-25,13.68,13.73,13.66,13.69,2800,13.414788
