Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,15.82,15.92,15.70,15.92,57600,15.92
2016-03-10,15.71,15.90,15.61,15.76,48200,15.660001
2016-03-09,15.86,15.93,15.63,15.68,80500,15.580508
2016-03-08,15.63,15.80,15.59,15.76,76900,15.660001
2016-03-07,15.95,15.95,15.73,15.75,70500,15.650064
2016-03-04,15.82,16.00,15.73,15.92,38100,15.818985
2016-03-03,15.85,15.85,15.62,15.75,52200,15.650064
2016-03-02,15.65,15.81,15.62,15.81,60100,15.709684
2016-03-01,15.42,15.65,15.35,15.60,58800,15.501016
2016-02-29,15.59,15.93,15.26,15.26,110000,15.163173
2016-02-26,15.46,15.51,15.38,15.49,64000,15.391713
2016-02-25,15.27,15.45,15.13,15.45,72600,15.351967
2016-02-24,14.82,15.20,14.75,15.14,89500,15.043935
2016-02-23,15.33,15.33,15.11,15.21,57100,15.11349
2016-02-22,15.25,15.48,15.25,15.35,80900,15.252602
2016-02-19,14.96,15.14,14.835,15.10,65300,15.004189
2016-02-18,15.00,15.099,14.938,14.96,55500,14.865077
2016-02-17,14.58,14.99,14.58,14.98,61900,14.884949
2016-02-16,14.45,14.586,14.36,14.48,48400,14.388122
2016-02-12,14.28,14.38,14.08,14.08,66600,13.99066
2016-02-11,14.19,14.27,14.01,14.15,118200,14.060216
2016-02-10,14.50,14.69,14.33,14.33,54100,14.139708
2016-02-09,14.50,14.58,14.25,14.30,58800,14.110107
2016-02-08,15.13,15.188,14.42,14.49,116000,14.297583
2016-02-05,15.848,15.892,15.113,15.20,98200,14.998155
2016-02-04,15.86,16.27,15.86,15.92,57100,15.708594
2016-02-03,15.81,16.049999,15.61,16.02,75300,15.807267
2016-02-02,15.76,16.01,15.76,15.81,71500,15.600055
2016-02-01,15.77,16.046,15.67,15.94,44300,15.728328
2016-01-29,15.67,16.120001,15.67,15.93,44400,15.718462
2016-01-28,15.25,15.63,15.25,15.62,78100,15.412578
2016-01-27,15.49,15.51,15.15,15.15,55600,14.948819
2016-01-26,15.33,15.59,15.32,15.47,87700,15.26457
2016-01-25,15.63,15.63,15.16,15.16,47300,14.958686
2016-01-22,15.42,15.64,15.32,15.63,55600,15.422445
2016-01-21,14.94,15.23,14.836,15.12,81300,14.919217
2016-01-20,15.04,15.04,14.39,14.96,165800,14.761342
2016-01-19,15.50,15.50,15.01,15.10,77900,14.899484
2016-01-15,15.60,15.70,15.43,15.45,130900,15.244835
2016-01-14,15.74,16.02,15.608,15.85,121200,15.639524
2016-01-13,16.08,16.16,15.90,15.90,140300,15.688859
2016-01-12,16.290001,16.325001,16.10,16.25,82300,15.935539
2016-01-11,16.280001,16.375999,16.02,16.139999,126100,15.827667
2016-01-08,16.43,16.59,16.25,16.25,60200,15.935539
2016-01-07,16.60,16.77,16.33,16.33,83200,16.013991
2016-01-06,16.90,16.969999,16.66,16.84,123300,16.514122
2016-01-05,17.00,17.10,16.969999,17.049999,51100,16.720057
2016-01-04,17.059999,17.18,16.90,16.940001,87600,16.612187
2015-12-31,17.389999,17.389999,17.17,17.309999,120000,16.975026
2015-12-30,17.379999,17.58,17.17,17.23,154700,16.896575
2015-12-29,17.50,17.559999,17.440001,17.469999,89900,17.13193
2015-12-28,17.469999,17.521999,17.299999,17.35,89300,17.014253
2015-12-24,17.43,17.559999,17.379999,17.41,48800,17.073092
2015-12-23,17.219999,17.60,17.219999,17.43,91600,17.092705
2015-12-22,17.049999,17.290001,17.02,17.200001,152300,16.867156
2015-12-21,17.07,17.26,17.00,17.030001,195100,16.700446
2015-12-18,17.15,17.27,17.040001,17.10,112700,16.769091
2015-12-17,17.25,17.370001,17.15,17.16,104100,16.827929
2015-12-16,17.08,17.309999,17.08,17.23,129400,16.896575
2015-12-15,17.049999,17.27,17.049999,17.18,71900,16.749479
2015-12-14,17.01,17.049999,16.879999,16.99,101200,16.56424
2015-12-11,17.209999,17.299999,17.059999,17.059999,115900,16.632485
2015-12-10,17.370001,17.450001,17.24,17.35,120800,16.915219
2015-12-09,17.33,17.50,17.120001,17.32,161500,16.88597
2015-12-08,17.110001,17.49,17.110001,17.40,85000,16.963965
2015-12-07,17.50,17.620001,17.455,17.459999,135300,17.022461
2015-12-04,17.18,17.66,17.18,17.60,93000,17.158954
2015-12-03,17.23,17.452999,17.07,17.25,112200,16.817724
2015-12-02,17.35,17.450001,17.290001,17.370001,114700,16.934718
2015-12-01,17.129999,17.40,17.129999,17.379999,73500,16.944466
2015-11-30,17.43,17.43,17.18,17.200001,117800,16.768978
2015-11-27,17.02,17.24,17.02,17.23,33100,16.798225
2015-11-25,17.07,17.200001,17.07,17.09,83100,16.661734
2015-11-24,17.200001,17.26,16.950001,17.07,312600,16.642235
2015-11-23,17.370001,17.389999,17.135,17.190001,72900,16.759228
2015-11-20,17.299999,17.379999,17.200001,17.33,97700,16.895719
2015-11-19,17.17,17.24,17.09,17.200001,71000,16.768978
2015-11-18,16.90,17.18,16.90,17.139999,84500,16.71048
2015-11-17,16.959999,17.040001,16.85,16.91,92600,16.486244
2015-11-16,17.00,17.040001,16.85,17.030001,76800,16.603238
2015-11-13,17.110001,17.110001,16.84,17.00,83200,16.573989
2015-11-12,17.049999,17.17,17.00,17.16,85200,16.729979
2015-11-11,17.049999,17.215,17.00,17.190001,85000,16.661734
2015-11-10,17.139999,17.23,17.040001,17.049999,109700,16.526035
2015-11-09,17.370001,17.370001,17.07,17.139999,101200,16.61327
2015-11-06,17.450001,17.459999,17.26,17.290001,125400,16.758662
2015-11-05,17.440001,17.49,17.364,17.445,81800,16.908897
2015-11-04,17.40,17.50,17.34,17.42,67300,16.884666
2015-11-03,17.290001,17.48,17.18,17.459999,93200,16.923435
2015-11-02,17.23,17.360001,17.209999,17.32,62400,16.787738
2015-10-30,17.389999,17.389999,16.969999,17.129999,141300,16.603577
2015-10-29,17.280001,17.48,17.075001,17.299999,151700,16.768353
2015-10-28,17.34,17.48,17.26,17.379999,66500,16.845894
2015-10-27,17.35,17.469999,17.209999,17.219999,84100,16.690811
2015-10-26,17.60,17.66,17.42,17.51,91900,16.9719
2015-10-23,17.18,17.59,17.18,17.57,356200,17.030056
2015-10-22,16.85,16.99,16.77,16.950001,103700,16.42911
2015-10-21,16.93,16.950001,16.77,16.799999,55200,16.283718
2015-10-20,16.940001,16.99,16.790001,16.809999,47500,16.293411
2015-10-19,16.85,17.00,16.82,16.99,44400,16.46788
2015-10-16,16.719999,16.860001,16.68,16.790001,43600,16.274027
2015-10-15,16.549999,16.76,16.549999,16.76,44000,16.244948
2015-10-14,16.65,16.73,16.549999,16.549999,42000,16.041401
2015-10-13,16.629999,16.940001,16.620001,16.690001,48400,16.1771
2015-10-12,16.74,16.92,16.709999,16.860001,55300,16.244949
2015-10-09,16.65,16.870001,16.639999,16.83,50300,16.216042
2015-10-08,16.620001,16.757,16.530001,16.65,69900,16.042608
2015-10-07,16.59,16.799999,16.445,16.799999,111900,16.187136
2015-10-06,16.49,16.66,16.370001,16.639999,132000,16.032973
2015-10-05,16.200001,16.50,16.200001,16.48,83800,15.87881
