Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,11.78,11.78,11.69,11.69,13700,11.69
2016-03-10,11.81,11.81,11.76,11.78,27100,11.722
2016-03-09,11.79,11.81,11.77,11.81,23100,11.751853
2016-03-08,11.82,11.82,11.73,11.79,36200,11.731951
2016-03-07,11.73,11.79,11.69,11.79,20900,11.731951
2016-03-04,11.71,11.78,11.71,11.74,57900,11.682197
2016-03-03,11.67,11.74,11.66,11.74,29400,11.682197
2016-03-02,11.67,11.68,11.63,11.66,32000,11.602591
2016-03-01,11.60,11.69,11.60,11.69,29400,11.632443
2016-02-29,11.64,11.64,11.60,11.60,34400,11.542887
2016-02-26,11.65,11.65,11.60,11.60,23100,11.542887
2016-02-25,11.67,11.71,11.66,11.67,47300,11.612542
2016-02-24,11.64,11.73,11.64,11.67,49500,11.612542
2016-02-23,11.65,11.69,11.62,11.69,41400,11.632443
2016-02-22,11.64,11.66,11.61,11.63,28400,11.572739
2016-02-19,11.61,11.68,11.61,11.67,37300,11.612542
2016-02-18,11.60,11.64,11.57,11.63,50300,11.572739
2016-02-17,11.52,11.58,11.52,11.54,57600,11.483182
2016-02-16,11.60,11.61,11.52,11.58,52200,11.522985
2016-02-12,11.75,11.80,11.63,11.63,44600,11.572739
2016-02-11,11.75,11.77,11.74,11.74,31600,11.682197
2016-02-10,11.78,11.81,11.77,11.80,37500,11.684187
2016-02-09,11.78,11.79,11.75,11.79,28200,11.674285
2016-02-08,11.79,11.79,11.73,11.74,31900,11.624775
2016-02-05,11.78,11.79,11.74,11.78,50500,11.664383
2016-02-04,11.74,11.76,11.71,11.76,49900,11.64458
2016-02-03,11.69,11.74,11.65,11.72,59000,11.604972
2016-02-02,11.64,11.69,11.64,11.66,43000,11.545561
2016-02-01,11.63,11.69,11.58,11.63,37500,11.515855
2016-01-29,11.67,11.69,11.58,11.63,77900,11.515855
2016-01-28,11.50,11.56,11.50,11.56,34600,11.446543
2016-01-27,11.50,11.55,11.46,11.47,24600,11.357426
2016-01-26,11.39,11.49,11.38,11.49,22200,11.377229
2016-01-25,11.51,11.55,11.42,11.43,29400,11.317819
2016-01-22,11.56,11.56,11.48,11.48,28900,11.367327
2016-01-21,11.42,11.53,11.39,11.45,44000,11.337622
2016-01-20,11.53,11.53,11.29,11.39,84900,11.278211
2016-01-19,11.59,11.63,11.47,11.47,42900,11.357426
2016-01-15,11.58,11.64,11.54,11.57,35500,11.456444
2016-01-14,11.57,11.57,11.48,11.55,27400,11.436641
2016-01-13,11.66,11.66,11.51,11.52,46300,11.406935
2016-01-12,11.75,11.75,11.69,11.72,45300,11.547542
2016-01-11,11.75,11.76,11.68,11.75,28700,11.5771
2016-01-08,11.79,11.79,11.69,11.76,76600,11.586953
2016-01-07,11.74,11.79,11.66,11.79,89400,11.616511
2016-01-06,11.68,11.70,11.65,11.70,109700,11.527836
2016-01-05,11.56,11.62,11.55,11.60,26600,11.429308
2016-01-04,11.45,11.54,11.43,11.54,36300,11.37019
2015-12-31,11.40,11.54,11.40,11.50,68600,11.330779
2015-12-30,11.38,11.45,11.35,11.44,29700,11.271661
2015-12-29,11.38,11.41,11.32,11.38,43200,11.212545
2015-12-28,11.45,11.46,11.38,11.40,24600,11.23225
2015-12-24,11.40,11.43,11.39,11.43,7700,11.261809
2015-12-23,11.41,11.43,11.35,11.41,51100,11.242103
2015-12-22,11.37,11.40,11.34,11.38,30000,11.212545
2015-12-21,11.34,11.37,11.32,11.36,24200,11.192838
2015-12-18,11.26,11.35,11.26,11.30,22400,11.133722
2015-12-17,11.24,11.30,11.23,11.30,42100,11.133722
2015-12-16,11.13,11.22,11.12,11.22,24300,11.054899
2015-12-15,11.14,11.17,11.03,11.17,53700,11.005635
2015-12-14,11.27,11.27,11.03,11.14,90400,10.976076
