Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,12.25,12.29,12.19,12.26,349100,12.26
2016-03-10,12.35,12.35,12.26,12.29,208500,12.214
2016-03-09,12.29,12.31,12.27,12.29,236200,12.214
2016-03-08,12.22,12.29,12.20,12.27,263300,12.194124
2016-03-07,12.16,12.22,12.14,12.22,193800,12.144433
2016-03-04,12.08,12.18,12.05,12.16,267700,12.084804
2016-03-03,12.02,12.12,12.00,12.09,190900,12.015237
2016-03-02,12.05,12.08,12.01,12.06,280400,11.985423
2016-03-01,11.91,12.06,11.91,12.05,265000,11.975485
2016-02-29,11.89,11.91,11.86,11.90,188100,11.826412
2016-02-26,11.92,11.92,11.85,11.87,163100,11.796597
2016-02-25,11.85,11.89,11.82,11.88,267700,11.806536
2016-02-24,11.82,11.91,11.81,11.88,282200,11.806536
2016-02-23,11.82,11.84,11.80,11.81,191500,11.736969
2016-02-22,11.77,11.85,11.75,11.81,293300,11.736969
2016-02-19,11.87,11.88,11.76,11.76,161100,11.687278
2016-02-18,11.78,11.86,11.78,11.86,178700,11.786659
2016-02-17,11.78,11.85,11.76,11.78,252400,11.707154
2016-02-16,11.80,11.80,11.60,11.78,208100,11.707154
2016-02-12,11.84,11.85,11.68,11.72,293700,11.647525
2016-02-11,11.74,11.82,11.69,11.82,429900,11.746906
2016-02-10,11.81,11.84,11.77,11.82,225900,11.666407
2016-02-09,11.82,11.89,11.72,11.80,313300,11.646668
2016-02-08,12.05,12.07,11.85,11.92,400000,11.765108
2016-02-05,11.96,12.08,11.94,12.07,362800,11.913159
2016-02-04,12.00,12.08,11.93,12.00,319600,11.844069
2016-02-03,12.13,12.14,11.98,12.00,339300,11.844069
2016-02-02,12.18,12.18,12.04,12.07,165700,11.913159
2016-02-01,12.16,12.24,12.14,12.24,216400,12.08095
2016-01-29,12.14,12.25,12.09,12.25,261900,12.09082
2016-01-28,12.03,12.08,11.99,12.08,128500,11.923029
2016-01-27,12.07,12.07,11.98,12.01,169400,11.853939
2016-01-26,11.97,12.11,11.97,12.11,229400,11.952639
2016-01-25,11.93,11.99,11.93,11.95,138900,11.794718
2016-01-22,11.85,12.00,11.84,11.96,219700,11.804588
2016-01-21,11.82,11.94,11.69,11.81,352900,11.656538
2016-01-20,11.80,11.92,11.70,11.86,423200,11.705887
2016-01-19,11.96,11.98,11.84,11.86,647100,11.705887
2016-01-15,11.96,12.01,11.91,11.92,462900,11.765108
2016-01-14,12.02,12.12,11.98,12.00,488000,11.844069
2016-01-13,12.18,12.18,11.99,12.03,789600,11.873678
2016-01-12,12.26,12.29,12.23,12.23,193700,12.071079
2016-01-11,12.31,12.35,12.20,12.22,293900,12.06121
2016-01-08,12.34,12.42,12.23,12.38,409500,12.219131
2016-01-07,12.28,12.34,12.26,12.27,209700,12.110561
2016-01-06,12.36,12.39,12.28,12.32,210200,12.15991
2016-01-05,12.28,12.46,12.27,12.40,337800,12.23887
