Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,17.91,17.91,17.73,17.75,29000,17.75
2016-03-10,17.83,17.98,17.76,17.83,86600,17.709
2016-03-09,17.870001,17.870001,17.709999,17.76,32700,17.639476
2016-03-08,17.57,17.809999,17.57,17.799999,33200,17.679203
2016-03-07,17.690001,17.809999,17.65,17.709999,39500,17.589814
2016-03-04,17.58,17.790001,17.50,17.690001,71500,17.569951
2016-03-03,17.49,17.60,17.459999,17.540001,77800,17.420969
2016-03-02,17.33,17.549999,17.27,17.549999,56900,17.4309
2016-03-01,17.370001,17.629999,17.24,17.42,40500,17.301783
2016-02-29,17.440001,17.48,17.200001,17.370001,35600,17.252123
2016-02-26,17.41,17.540001,17.26,17.40,39700,17.281918
2016-02-25,17.200001,17.370001,17.07,17.370001,36100,17.252123
2016-02-24,17.049999,17.190001,16.99,17.139999,53300,17.023682
2016-02-23,17.10,17.34,17.08,17.34,36200,17.222326
2016-02-22,17.049999,17.190001,17.030001,17.09,43900,16.974023
2016-02-19,16.969999,17.07,16.889999,17.049999,20600,16.934293
2016-02-18,17.00,17.18,16.77,17.030001,57300,16.91443
2016-02-17,17.09,17.219999,16.780001,17.030001,82800,16.91443
2016-02-16,16.870001,17.139999,16.799999,17.02,40300,16.904498
2016-02-12,16.940001,16.940001,16.60,16.92,21400,16.805176
2016-02-11,16.549999,16.82,16.43,16.58,61700,16.467483
2016-02-10,17.25,17.27,16.950001,16.950001,59300,16.714794
2016-02-09,17.309999,17.440001,17.190001,17.27,59400,17.030353
2016-02-08,17.700001,17.709999,17.18,17.530001,59800,17.286746
2016-02-05,17.65,17.799999,17.58,17.77,99500,17.523415
2016-02-04,17.27,17.76,17.27,17.67,63900,17.424802
2016-02-03,17.299999,17.389999,17.209999,17.33,69400,17.08952
2016-02-02,17.129999,17.280001,16.860001,17.27,68500,17.030353
2016-02-01,16.74,17.25,16.690001,17.15,83300,16.912018
2016-01-29,16.59,16.90,16.51,16.84,51500,16.60632
2016-01-28,16.24,16.459999,16.200001,16.459999,72900,16.231592
2016-01-27,16.129999,16.280001,16.129999,16.190001,84400,15.96534
2016-01-26,15.92,16.17,15.87,16.16,47400,15.935756
2016-01-25,15.64,15.95,15.64,15.86,46500,15.639918
2016-01-22,15.48,15.83,15.33,15.78,50500,15.561029
2016-01-21,15.08,15.26,15.08,15.20,34900,14.989077
2016-01-20,15.72,15.72,14.77,15.02,102000,14.811575
2016-01-19,16.030001,16.15,15.80,15.90,84700,15.679363
2016-01-15,15.92,16.030001,15.90,15.95,67000,15.72867
2016-01-14,16.01,16.219999,15.87,16.219999,58400,15.994923
2016-01-13,16.290001,16.290001,16.030001,16.030001,60800,15.80756
2016-01-12,16.51,16.52,16.25,16.299999,60300,15.954491
2016-01-11,16.629999,16.65,16.450001,16.469999,76300,16.120887
2016-01-08,16.74,16.799999,16.48,16.629999,71000,16.277496
2016-01-07,16.76,16.83,16.73,16.809999,66700,16.453681
2016-01-06,16.92,16.98,16.85,16.950001,48800,16.590714
2016-01-05,16.799999,16.99,16.77,16.98,37900,16.620077
2016-01-04,16.65,16.85,16.620001,16.83,48600,16.473257
2015-12-31,16.879999,16.879999,16.65,16.780001,70100,16.424318
2015-12-30,16.98,17.059999,16.73,16.74,94600,16.385165
2015-12-29,16.959999,17.07,16.860001,16.90,53500,16.541773
2015-12-28,16.76,16.950001,16.73,16.889999,70300,16.531985
2015-12-24,16.799999,16.950001,16.799999,16.91,27800,16.551561
2015-12-23,16.610001,16.84,16.610001,16.799999,66600,16.443892
2015-12-22,16.24,16.51,16.219999,16.48,55800,16.130676
2015-12-21,16.200001,16.34,16.200001,16.24,41100,15.895763
2015-12-18,16.32,16.360001,16.15,16.17,50300,15.827247
2015-12-17,16.219999,16.360001,16.219999,16.25,120000,15.905551
2015-12-16,15.89,16.34,15.89,16.26,87100,15.91534
2015-12-15,15.97,16.10,15.97,16.049999,59500,15.591355
2015-12-14,16.049999,16.049999,15.90,15.98,87200,15.523356
2015-12-11,16.040001,16.10,15.99,16.01,64900,15.552499
2015-12-10,16.16,16.34,16.129999,16.24,53200,15.775926
2015-12-09,16.280001,16.42,16.18,16.219999,118200,15.756497
2015-12-08,16.15,16.200001,16.030001,16.16,80900,15.698212
2015-12-07,16.41,16.43,16.17,16.299999,77300,15.834211
2015-12-04,16.50,16.790001,16.450001,16.459999,72700,15.989639
2015-12-03,16.700001,16.75,16.40,16.459999,67400,15.989639
2015-12-02,16.85,16.889999,16.66,16.67,54000,16.193639
2015-12-01,16.82,17.030001,16.809999,16.85,60700,16.368495
2015-11-30,16.76,16.889999,16.74,16.889999,48100,16.407351
2015-11-27,16.719999,16.77,16.690001,16.74,18400,16.261638
2015-11-25,16.75,16.76,16.57,16.690001,44200,16.213068
2015-11-24,16.719999,16.719999,16.50,16.690001,54900,16.213068
2015-11-23,16.780001,16.879999,16.67,16.68,32400,16.203353
2015-11-20,16.950001,17.040001,16.780001,16.799999,49000,16.319923
2015-11-19,16.75,16.959999,16.68,16.90,69200,16.417066
2015-11-18,16.74,16.780001,16.58,16.709999,69200,16.232495
2015-11-17,16.719999,16.790001,16.620001,16.639999,42200,16.164495
2015-11-16,16.709999,16.75,16.549999,16.73,41400,16.251924
2015-11-13,16.68,16.83,16.51,16.67,64400,16.193639
2015-11-12,16.809999,16.809999,16.629999,16.66,48300,16.183924
2015-11-11,16.950001,17.030001,16.799999,16.950001,49700,16.348096
2015-11-10,16.90,17.059999,16.889999,16.99,47000,16.386675
2015-11-09,17.16,17.57,17.00,17.02,64200,16.41561
2015-11-06,17.469999,17.559999,17.24,17.24,123700,16.627797
2015-11-05,17.42,17.620001,17.35,17.620001,141800,16.994304
2015-11-04,17.48,17.559999,17.459999,17.48,47400,16.859274
2015-11-03,17.360001,17.559999,17.360001,17.469999,51600,16.849629
2015-11-02,17.25,17.50,17.209999,17.469999,53600,16.849629
2015-10-30,17.10,17.33,17.10,17.32,59600,16.704956
2015-10-29,17.25,17.25,17.110001,17.110001,40300,16.502414
2015-10-28,17.059999,17.280001,17.059999,17.219999,58400,16.608507
2015-10-27,17.25,17.25,17.030001,17.129999,74800,16.521703
2015-10-26,17.540001,17.60,17.23,17.309999,84500,16.695311
2015-10-23,17.700001,17.719999,17.51,17.57,48000,16.946078
2015-10-22,17.59,17.82,17.59,17.73,58200,17.100397
2015-10-21,17.66,17.66,17.459999,17.559999,60600,16.936433
2015-10-20,17.49,17.639999,17.42,17.60,31400,16.975014
2015-10-19,17.549999,17.549999,17.450001,17.52,28600,16.897855
2015-10-16,17.450001,17.52,17.42,17.51,17400,16.88821
2015-10-15,17.26,17.459999,17.24,17.450001,44900,16.830341
2015-10-14,17.17,17.290001,17.059999,17.200001,34100,16.589218
2015-10-13,17.120001,17.309999,17.120001,17.200001,31100,16.589218
2015-10-12,17.290001,17.42,17.290001,17.379999,29900,16.646121
2015-10-09,17.209999,17.360001,17.209999,17.290001,48000,16.559923
2015-10-08,17.030001,17.290001,17.02,17.209999,53100,16.4833
2015-10-07,16.950001,17.15,16.940001,17.110001,44900,16.387524
2015-10-06,16.799999,16.950001,16.76,16.93,40100,16.215124
2015-10-05,16.540001,16.85,16.540001,16.790001,52100,16.081036
2015-10-02,16.23,16.549999,16.15,16.52,64200,15.822436
2015-10-01,16.26,16.35,16.190001,16.26,43500,15.573415
2015-09-30,16.299999,16.35,15.95,16.26,115200,15.573415
2015-09-29,16.50,16.559999,16.129999,16.24,102800,15.554259
2015-09-28,16.889999,16.889999,16.459999,16.59,49000,15.88948
2015-09-25,17.01,17.01,16.780001,16.98,61200,16.263012
2015-09-24,16.860001,16.98,16.65,16.98,93900,16.263012
2015-09-23,16.860001,16.969999,16.85,16.889999,58500,16.176812
2015-09-22,16.68,16.98,16.68,16.93,67800,16.215124
2015-09-21,17.07,17.07,16.959999,17.059999,28500,16.339634
2015-09-18,16.75,17.02,16.75,17.02,44400,16.301324
2015-09-17,16.809999,17.10,16.77,16.809999,65200,16.10019
2015-09-16,16.83,16.93,16.77,16.870001,27600,16.157658
2015-09-15,16.73,16.90,16.67,16.790001,29600,16.081036
2015-09-14,16.82,16.84,16.67,16.690001,45100,15.985258
2015-09-11,17.00,17.00,16.809999,16.870001,48800,16.157658
2015-09-10,17.25,17.25,17.10,17.129999,36800,16.290787
2015-09-09,17.440001,17.440001,17.23,17.25,41500,16.404909
2015-09-08,17.389999,17.389999,17.219999,17.34,31200,16.4905
2015-09-04,17.15,17.25,17.129999,17.200001,22100,16.357359
2015-09-03,17.26,17.389999,17.24,17.32,26900,16.471479
2015-09-02,17.379999,17.469999,17.15,17.290001,39600,16.44295
2015-09-01,17.34,17.389999,17.26,17.280001,41200,16.43344
2015-08-31,17.60,17.60,17.34,17.48,36800,16.623641
2015-08-28,17.450001,17.68,17.440001,17.559999,38700,16.699721
2015-08-27,17.360001,17.76,17.309999,17.530001,70300,16.671192
2015-08-26,17.34,17.559999,17.129999,17.360001,60600,16.509521
2015-08-25,17.59,17.610001,17.25,17.27,68800,16.42393
2015-08-24,17.59,17.73,17.16,17.200001,155600,16.357359
2015-08-21,18.16,18.16,17.90,17.90,55700,17.023065
2015-08-20,18.17,18.24,18.10,18.17,22600,17.279837
2015-08-19,18.35,18.35,18.16,18.25,28700,17.355918
2015-08-18,18.23,18.379999,18.23,18.309999,45900,17.412978
2015-08-17,18.24,18.34,18.219999,18.309999,23800,17.412978
2015-08-14,18.209999,18.27,18.15,18.24,37400,17.346408
2015-08-13,18.25,18.25,18.139999,18.200001,33500,17.308368
2015-08-12,18.08,18.290001,18.059999,18.290001,33600,17.393959
2015-08-11,18.15,18.25,18.110001,18.25,32700,17.240847
2015-08-10,18.16,18.24,18.120001,18.200001,47000,17.193612
2015-08-07,18.040001,18.23,17.969999,18.190001,27200,17.184165
2015-08-06,18.209999,18.209999,18.01,18.139999,34100,17.136929
2015-08-05,18.370001,18.48,18.200001,18.25,60700,17.240847
2015-08-04,18.41,18.50,18.35,18.370001,46300,17.354212
2015-08-03,18.42,18.52,18.379999,18.52,47000,17.495917
2015-07-31,18.52,18.90,18.40,18.90,39700,17.854904
2015-07-30,18.32,18.459999,18.27,18.459999,31600,17.439234
2015-07-29,18.17,18.35,18.17,18.35,25700,17.335318
2015-07-28,18.07,18.32,18.059999,18.32,26400,17.306976
2015-07-27,18.00,18.219999,17.950001,18.120001,42400,17.118036
2015-07-24,18.049999,18.08,17.950001,18.08,55100,17.080247
