Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,16.08,16.08,15.67,15.67,1100,15.67
2016-03-10,15.77,15.85,15.66,15.73,6600,15.679999
2016-03-09,16.00,16.00,15.75,15.75,500,15.699936
2016-03-08,15.50,15.50,15.50,15.50,000,15.450731
2016-03-07,15.54,15.54,15.50,15.50,1600,15.450731
2016-03-04,15.47,15.85,15.36,15.85,800,15.799619
2016-03-03,15.43,15.43,15.43,15.43,000,15.380954
2016-03-02,15.32,15.43,15.32,15.43,1900,15.380954
2016-03-01,15.82,15.82,15.29,15.29,4200,15.241398
2016-02-29,15.48,15.48,15.48,15.48,400,15.430794
2016-02-26,15.70,15.70,15.69,15.70,4000,15.650095
2016-02-25,15.53,15.53,15.53,15.53,000,15.480635
2016-02-24,15.53,15.53,15.53,15.53,000,15.480635
2016-02-23,15.53,15.53,15.53,15.53,000,15.480635
2016-02-22,14.99,15.76,14.62,15.53,8300,15.480635
2016-02-19,15.01,15.03,15.01,15.03,400,14.982225
2016-02-18,15.12,15.29,15.07,15.07,4100,15.022097
2016-02-17,15.22,15.22,15.22,15.22,100,15.171621
2016-02-16,15.49,15.49,15.49,15.49,000,15.440762
2016-02-12,15.30,15.51,15.30,15.49,3400,15.440762
2016-02-11,15.30,15.44,15.11,15.44,3500,15.390921
2016-02-10,15.52,15.52,15.25,15.25,1900,15.146701
2016-02-09,15.14,15.26,15.05,15.26,3000,15.156633
2016-02-08,15.25,15.25,15.14,15.14,1300,15.037446
2016-02-05,15.25,15.25,14.75,15.25,13500,15.146701
2016-02-04,15.06,15.09,14.78,14.87,4000,14.769275
2016-02-03,15.09,15.09,14.87,14.87,1200,14.769275
2016-02-02,15.09,15.09,15.09,15.09,200,14.987785
2016-02-01,15.05,15.11,14.95,15.07,2900,14.96792
2016-01-29,15.04,15.04,14.84,15.02,5100,14.918259
2016-01-28,14.99,14.99,14.84,14.84,700,14.739478
2016-01-27,14.90,14.90,14.90,14.90,1200,14.799071
2016-01-26,14.63,14.90,14.59,14.90,2700,14.799071
2016-01-25,14.66,14.80,14.65,14.65,1500,14.550765
2016-01-22,14.55,14.55,14.55,14.55,1000,14.451443
2016-01-21,14.74,14.92,14.09,14.80,14400,14.699749
2016-01-20,14.76,14.78,14.74,14.74,3100,14.640155
2016-01-19,15.08,15.09,15.00,15.05,4300,14.948056
