Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,12.09,12.28,12.09,12.28,4900,12.28
2016-03-10,11.98,12.19,11.98,12.19,3700,12.19
2016-03-09,12.15,12.18,12.05,12.05,7300,12.05
2016-03-08,11.95,12.12,11.95,12.12,9500,12.12
2016-03-07,11.99,12.02,11.96,11.96,7100,11.96
2016-03-04,12.00,12.09,12.00,12.02,5300,12.02
2016-03-03,12.08,12.08,12.01,12.01,400,12.01
2016-03-02,12.02,12.06,11.95,12.06,17000,12.06
2016-03-01,12.00,12.09,11.99,11.99,15400,11.99
2016-02-29,12.09,12.12,11.95,12.07,12700,12.07
2016-02-26,12.10,12.12,12.00,12.00,2400,12.00
2016-02-25,12.29,12.34,12.17,12.17,4300,12.17
2016-02-24,12.52,12.52,12.20,12.38,15500,12.38
2016-02-23,12.16,12.16,12.01,12.16,3400,12.16
2016-02-22,12.02,12.07,12.00,12.07,4600,12.07
2016-02-19,12.04,12.30,12.03,12.13,3000,12.13
2016-02-18,12.05,12.16,12.05,12.16,1100,12.16
2016-02-17,12.01,12.16,12.01,12.06,6000,12.06
2016-02-16,12.18,12.18,12.02,12.03,8400,12.03
2016-02-12,12.34,12.34,12.18,12.18,3500,12.13
2016-02-11,12.38,12.39,12.21,12.34,11400,12.289343
2016-02-10,12.40,12.43,12.21,12.35,2400,12.299303
2016-02-09,12.18,12.35,12.16,12.24,10300,12.189753
2016-02-08,12.17,12.18,12.02,12.10,2000,12.050329
2016-02-05,12.17,12.18,12.03,12.15,2400,12.100123
2016-02-04,12.15,12.21,12.15,12.18,1200,12.13
2016-02-03,11.94,12.05,11.94,12.05,6700,12.000534
2016-02-02,12.02,12.03,12.02,12.03,200,11.980615
2016-02-01,12.04,12.05,11.91,12.03,5400,11.980615
2016-01-29,11.90,12.08,11.86,11.87,12900,11.821272
2016-01-28,11.92,11.92,11.84,11.84,1000,11.791396
2016-01-27,11.94,11.95,11.88,11.88,7500,11.831232
2016-01-26,11.81,11.98,11.81,11.90,3100,11.851149
2016-01-25,11.66,11.90,11.66,11.89,2000,11.841191
2016-01-22,11.84,11.84,11.76,11.77,900,11.721684
2016-01-21,11.66,11.77,11.66,11.76,10300,11.711724
2016-01-20,11.69,11.69,11.63,11.67,2200,11.622094
2016-01-19,11.68,11.68,11.65,11.67,3700,11.622094
2016-01-15,11.64,11.71,11.64,11.68,9200,11.582258
2016-01-14,11.71,11.71,11.61,11.66,8100,11.562425
2016-01-13,11.80,11.86,11.70,11.71,3000,11.612007
2016-01-12,11.82,11.87,11.80,11.80,4400,11.701254
2016-01-11,11.79,11.89,11.79,11.81,3000,11.711171
2016-01-08,11.78,11.90,11.78,11.84,11000,11.740919
2016-01-07,11.79,11.92,11.79,11.83,6700,11.731003
2016-01-06,11.92,11.92,11.85,11.85,5800,11.750836
2016-01-05,11.86,11.92,11.82,11.82,6900,11.721086
2016-01-04,11.88,12.05,11.82,11.82,3300,11.721086
2015-12-31,11.90,11.90,11.81,11.84,6100,11.740919
2015-12-30,11.82,11.92,11.79,11.89,16700,11.790501
2015-12-29,11.92,11.92,11.82,11.82,1300,11.721086
2015-12-28,11.87,11.93,11.80,11.87,4000,11.770668
2015-12-24,11.76,11.92,11.76,11.91,10200,11.810333
2015-12-23,11.78,11.92,11.78,11.92,2600,11.82025
