Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,17.200001,17.379999,17.09,17.139999,83300,17.139999
2016-03-10,17.23,17.25,16.790001,17.120001,141400,17.120001
2016-03-09,17.049999,17.120001,16.940001,16.969999,53300,16.969999
2016-03-08,17.299999,17.34,17.040001,17.120001,68700,17.120001
2016-03-07,17.58,17.73,17.379999,17.540001,102100,17.373001
2016-03-04,17.530001,17.542,17.209999,17.540001,131200,17.373001
2016-03-03,17.09,17.790001,16.809999,17.190001,86300,17.026333
2016-03-02,16.799999,16.940001,16.559999,16.90,124900,16.739094
2016-03-01,16.639999,16.719999,16.41,16.700001,72600,16.540999
2016-02-29,16.18,16.530001,16.18,16.23,120700,16.075473
2016-02-26,16.33,16.35,16.200001,16.299999,49900,16.144806
2016-02-25,16.23,16.370001,16.040001,16.18,127300,16.025949
2016-02-24,16.35,16.35,15.874,16.030001,104500,15.877378
2016-02-23,16.25,16.35,16.01,16.030001,95500,15.877378
2016-02-22,16.15,16.365,16.030001,16.33,90900,16.174521
2016-02-19,15.83,15.84,15.66,15.83,72800,15.679281
2016-02-18,15.77,15.87,15.65,15.70,89400,15.550519
2016-02-17,15.50,15.98,15.50,15.555,133300,15.4069
2016-02-16,15.86,15.86,15.33,15.45,113000,15.302899
2016-02-12,15.33,15.33,14.97,15.26,82800,15.114709
2016-02-11,14.85,15.345,14.77,14.91,212600,14.768041
2016-02-10,15.70,15.70,15.33,15.39,77700,15.243471
2016-02-09,15.75,15.82,15.331,15.39,98700,15.243471
2016-02-08,16.01,16.02,15.42,15.79,114600,15.639662
2016-02-05,16.59,16.59,16.15,16.225,59200,15.905111
2016-02-04,16.27,16.440001,16.27,16.43,83200,16.106069
2016-02-03,16.40,16.549999,16.26,16.379999,87300,16.057054
2016-02-02,16.549999,16.85,16.280001,16.389999,114300,16.066857
2016-02-01,16.370001,16.67,16.288,16.540001,134900,16.213901
2016-01-29,16.17,16.424999,16.09,16.35,94900,16.027646
2016-01-28,16.07,16.190001,15.96,16.15,101600,15.831589
2016-01-27,15.82,16.190001,15.82,15.94,108700,15.625729
2016-01-26,15.74,16.15,15.721,16.059999,120100,15.743363
2016-01-25,15.98,16.049999,15.65,15.73,147100,15.419869
2016-01-22,15.94,16.01,15.70,15.95,172200,15.635532
2016-01-21,15.22,15.80,15.00,15.55,184200,15.243419
2016-01-20,15.76,15.76,14.86,15.22,324800,14.919925
2016-01-19,16.25,16.49,15.72,15.82,117600,15.508095
2016-01-15,16.290001,16.50,15.795,16.15,203000,15.831589
2016-01-14,16.860001,16.934999,16.530001,16.709999,182200,16.380547
2016-01-13,17.42,17.509001,16.843,16.860001,104600,16.527591
2016-01-12,17.440001,17.60,17.164,17.469999,91500,17.125564
2016-01-11,17.52,17.679001,17.25,17.440001,160800,17.096156
2016-01-08,18.07,18.07,17.559999,17.59,105100,17.243198
2016-01-07,17.959999,18.139999,17.74,17.82,139500,17.468663
2016-01-06,18.309999,18.35,18.02,18.110001,124900,17.752947
2016-01-05,18.219999,18.35,18.120001,18.309999,81700,17.949002
2016-01-04,17.98,18.190001,17.709999,18.139999,195800,17.782354
2015-12-31,18.110001,18.254,18.01,18.049999,285200,17.694128
2015-12-30,18.02,18.15,17.969999,18.110001,250200,17.752947
2015-12-29,18.24,18.32,18.00,18.190001,217200,17.831369
2015-12-28,18.40,18.450001,18.299999,18.309999,155900,17.785295
2015-12-24,18.26,18.469999,18.26,18.469999,51500,17.94071
2015-12-23,18.059999,18.389999,18.059999,18.26,214800,17.736728
2015-12-22,18.01,18.27,18.01,18.110001,198400,17.591027
2015-12-21,17.870001,18.15,17.870001,18.07,165500,17.552173
2015-12-18,17.85,18.08,17.85,17.98,158500,17.464752
2015-12-17,18.129999,18.200001,17.879999,17.90,250300,17.387044
2015-12-16,17.530001,18.15,17.530001,18.040001,183100,17.523034
2015-12-15,17.90,17.965,17.360001,17.59,278400,17.085928
2015-12-14,17.75,17.959999,17.24,17.315001,207800,16.818809
2015-12-11,18.030001,18.360001,17.74,17.84,186300,17.328764
2015-12-10,18.200001,18.445999,18.110001,18.18,171400,17.659021
2015-12-09,18.50,18.50,18.200001,18.290001,147200,17.765869
2015-12-08,18.32,18.66,18.10,18.51,200500,17.979564
2015-12-07,18.59,18.799999,18.299999,18.620001,272700,17.924199
2015-12-04,18.35,18.68,18.280001,18.59,93500,17.895319
2015-12-03,18.459999,18.50,18.290001,18.389999,243800,17.702792
2015-12-02,18.379999,18.60,18.32,18.465,135400,17.77499
2015-12-01,18.280001,18.530001,18.280001,18.51,127100,17.818309
2015-11-30,18.16,18.459999,18.16,18.27,146800,17.587277
2015-11-27,18.299999,18.459999,18.15,18.299999,42900,17.616155
2015-11-25,18.18,18.299999,18.10,18.280001,125500,17.596904
2015-11-24,18.110001,18.209999,17.943001,18.09,162400,17.414003
2015-11-23,18.040001,18.26,18.00,18.01,176600,17.336993
2015-11-20,18.00,18.297001,18.00,18.15,124000,17.471761
2015-11-19,18.280001,18.280001,17.940001,18.00,160800,17.327366
2015-11-18,18.34,18.34,18.139999,18.280001,165500,17.596904
2015-11-17,18.60,18.60,18.26,18.280001,112200,17.596904
2015-11-16,18.459999,18.469999,18.200001,18.469999,126600,17.779802
2015-11-13,18.07,18.33,18.07,18.26,49400,17.577651
2015-11-12,18.48,18.51,18.23,18.23,75900,17.548771
2015-11-11,18.42,18.700001,18.41,18.48,79600,17.789429
2015-11-10,18.610001,18.893999,18.40,18.49,171800,17.799056
2015-11-09,19.040001,19.190001,18.780001,18.780001,341300,18.07822
2015-11-06,19.24,19.32,18.98,19.00,86000,18.289998
2015-11-05,19.50,19.709999,19.379999,19.40,133500,18.51429
2015-11-04,19.58,19.67,19.35,19.530001,121000,18.638356
2015-11-03,19.549999,19.549999,19.33,19.440001,129800,18.552465
2015-11-02,19.40,19.50,19.27,19.370001,81400,18.485661
2015-10-30,19.50,19.50,19.18,19.24,107900,18.361595
2015-10-29,19.27,19.49,18.860001,19.27,117400,18.390226
2015-10-28,19.209999,19.370001,19.006001,19.370001,105000,18.485661
2015-10-27,19.059999,19.26,18.83,19.26,126200,18.380682
2015-10-26,19.48,19.48,18.870001,18.969999,165700,18.103922
2015-10-23,19.15,19.41,19.08,19.25,130700,18.371139
2015-10-22,19.00,19.25,18.969999,19.110001,80200,18.237531
2015-10-21,19.110001,19.26,18.90,18.969999,73200,18.103922
2015-10-20,19.139999,19.40,18.799999,19.10,98800,18.227987
2015-10-19,19.40,19.40,19.059999,19.139999,70000,18.26616
2015-10-16,19.27,19.43,19.030001,19.25,70400,18.371139
2015-10-15,19.16,19.427999,18.940001,19.02,105800,18.15164
2015-10-14,18.889999,19.142,18.860001,18.91,82300,18.046661
2015-10-13,19.040001,19.469999,18.790001,18.940001,99100,18.075292
2015-10-12,19.01,19.280001,18.92,19.09,100400,18.218444
2015-10-09,19.00,19.23,18.879999,19.049999,126700,18.180269
2015-10-08,18.73,18.93,18.51,18.860001,89500,17.998945
2015-10-07,18.74,18.83,18.469999,18.610001,69200,17.760359
2015-10-06,18.65,18.860001,18.549999,18.709999,80600,17.696416
2015-10-05,18.889999,18.889999,18.440001,18.799999,86800,17.78154
2015-10-02,18.10,18.459999,17.940001,18.41,97300,17.412668
2015-10-01,18.75,18.75,18.01,18.15,111600,17.166753
2015-09-30,17.780001,18.299999,17.780001,18.18,119500,17.195129
2015-09-29,18.77,18.77,17.82,17.92,187400,16.949214
2015-09-28,19.389999,19.75,17.92,18.33,281500,17.337002
2015-09-25,19.59,19.761,19.238001,19.41,105300,18.358495
2015-09-24,19.620001,19.860001,19.23,19.42,216300,18.367954
2015-09-23,19.91,19.974001,19.41,19.50,126800,18.44362
2015-09-22,19.889999,20.216,19.610001,19.75,331600,18.680076
2015-09-21,20.299999,20.379999,19.77,19.84,121300,18.765201
2015-09-18,19.83,20.698,19.610001,19.91,374900,18.831408
2015-09-17,20.290001,20.309999,19.60,19.93,178800,18.850325
2015-09-16,19.83,20.16,19.549999,19.799999,91800,18.727367
2015-09-15,19.65,19.879999,19.299999,19.879999,120400,18.803033
2015-09-14,19.040001,19.280001,19.040001,19.26,109000,18.216621
2015-09-11,19.139999,19.25,19.02,19.25,66800,18.207163
2015-09-10,19.379999,19.629999,18.846001,19.129999,300000,18.093663
2015-09-09,19.68,19.68,19.15,19.280001,272900,18.235538
2015-09-08,19.42,19.493999,19.17,19.290001,102900,18.244997
2015-09-04,19.389999,19.43,19.25,19.309999,60200,18.105959
2015-09-03,19.200001,19.549999,19.200001,19.40,93700,18.190348
2015-09-02,19.15,19.299999,19.00,19.200001,90700,18.002819
2015-09-01,18.91,19.35,18.76,18.959999,182300,17.777783
2015-08-31,19.50,19.50,18.719999,19.25,118500,18.049701
2015-08-28,19.27,19.48,18.780001,19.379999,104700,18.171594
2015-08-27,19.01,19.469999,18.389999,18.865,274800,17.688707
2015-08-26,18.24,19.67,17.950001,18.709999,425100,17.543371
2015-08-25,19.15,19.389999,17.780001,17.955,146700,16.835448
2015-08-24,18.610001,18.610001,17.559999,18.559999,153900,17.402724
2015-08-21,20.10,20.700001,19.219999,19.41,351300,18.199724
2015-08-20,20.700001,20.98,20.280001,20.35,111500,19.081113
2015-08-19,21.35,21.549999,20.42,20.67,219600,19.38116
2015-08-18,21.24,21.658001,21.046,21.309999,111200,19.981253
2015-08-17,20.620001,21.33,20.620001,20.969999,114300,19.662453
2015-08-14,21.360001,21.360001,20.58,20.76,59700,19.465548
2015-08-13,20.690001,20.719999,20.299999,20.620001,66000,19.334278
2015-08-12,20.860001,21.166,19.77,20.60,227200,19.315525
2015-08-11,21.190001,21.190001,20.32,20.76,160000,19.465548
2015-08-10,20.799999,21.139999,20.75,20.809999,43300,19.51243
2015-08-07,20.799999,21.23,20.549999,20.799999,60500,19.503053
2015-08-06,21.08,21.58,20.77,21.299999,55600,19.815289
2015-08-05,21.209999,21.559999,21.030001,21.139999,62200,19.666442
2015-08-04,20.190001,21.222,20.190001,21.00,89300,19.536201
2015-08-03,20.780001,21.299999,20.57,20.60,77600,19.164083
2015-07-31,21.709999,21.709999,20.879999,20.90,74400,19.443171
2015-07-30,21.120001,21.59,20.60,21.120001,124000,19.647837
2015-07-29,20.610001,21.25,20.450001,21.00,125900,19.536201
2015-07-28,20.799999,21.440001,20.43,20.469999,103000,19.043144
2015-07-27,21.370001,21.860001,20.360001,20.709999,230500,19.266415
2015-07-24,21.299999,21.799999,21.120001,21.48,64700,19.982742
2015-07-23,21.950001,22.280001,21.15,21.15,139100,19.675745
2015-07-22,22.50,22.90,21.92,21.969999,129900,20.438587
2015-07-21,22.129999,23.120001,21.860001,22.27,326000,20.717677
2015-07-20,22.48,23.363001,22.120001,22.129999,163300,20.587434
2015-07-17,22.610001,23.33,22.17,22.360001,83800,20.801403
2015-07-16,23.27,23.27,22.719999,22.809999,69900,21.220035
2015-07-15,23.209999,23.309999,22.67,22.882,76800,21.287017
2015-07-14,22.709999,23.17,22.489,22.799999,100300,21.210732
2015-07-13,22.75,23.379999,22.261999,22.85,190800,21.257248
2015-07-10,22.75,22.75,22.23,22.547001,34100,20.975369
2015-07-09,22.379999,22.719999,22.18,22.709999,59500,21.127005
2015-07-08,22.52,22.75,22.049999,22.379999,88300,20.820008
2015-07-07,22.68,22.68,22.299999,22.49,47400,20.766981
2015-07-06,22.33,22.41,21.91,22.41,80800,20.69311
2015-07-02,22.530001,22.653,22.10,22.24,57400,20.536134
2015-07-01,22.870001,22.870001,22.110001,22.379999,58800,20.665408
2015-06-30,22.27,22.709999,22.139999,22.58,67800,20.850086
2015-06-29,22.90,23.299999,22.43,22.43,82300,20.711579
2015-06-26,22.85,22.959999,22.799999,22.91,46500,21.154804
2015-06-25,23.360001,23.530001,22.530001,22.799999,114700,21.053231
2015-06-24,23.57,23.57,22.860001,23.00,94100,21.237909
2015-06-23,23.50,23.846001,23.129999,23.24,44100,21.459522
2015-06-22,23.690001,23.969999,23.18,23.68,83100,21.865813
2015-06-19,23.402,23.60,22.969999,23.469999,58500,21.6719
2015-06-18,24.02,24.049999,22.90,23.50,61500,21.699603
2015-06-17,24.00,24.57,23.639999,23.84,73500,22.013555
2015-06-16,23.219999,23.940001,23.209999,23.870001,52400,22.041257
2015-06-15,23.860001,23.860001,22.65,23.450001,60400,21.653434
2015-06-12,23.00,23.08,22.60,23.02,68700,21.256377
2015-06-11,23.33,23.33,22.867001,22.867001,60200,21.115099
2015-06-10,23.33,23.33,22.82,23.08,44800,21.31178
2015-06-09,24.07,24.07,21.16,23.02,164200,21.256377
2015-06-08,24.690001,24.690001,24.02,24.040001,41700,22.198233
2015-06-05,24.51,24.68,24.200001,24.450001,85600,22.422617
2015-06-04,24.690001,24.690001,24.10,24.27,35600,22.257542
2015-06-03,24.52,24.540001,24.16,24.209999,37300,22.202516
2015-06-02,24.589001,24.589001,24.110001,24.200001,39800,22.193346
2015-06-01,23.950001,24.440001,23.916,24.419001,31500,22.394187
2015-05-29,24.25,24.40,23.85,24.00,45800,22.00993
2015-05-28,24.250999,24.60,24.250999,24.299999,34000,22.285053
2015-05-27,24.540001,24.66,24.25,24.275,137700,22.262126
2015-05-26,24.32,24.690001,24.120001,24.559999,221400,22.523494
2015-05-22,24.34,24.690001,23.67,24.42,179600,22.395103
2015-05-21,24.85,24.85,24.01,24.389999,70600,22.36759
2015-05-20,24.60,24.93,24.360001,24.42,120100,22.395103
2015-05-19,24.75,25.049999,24.24,24.559999,360500,22.523494
2015-05-18,24.559999,24.860001,24.049999,24.85,190600,22.789448
2015-05-15,24.90,24.90,24.52,24.549999,23000,22.514323
2015-05-14,24.90,24.90,24.584,24.84,57300,22.780277
2015-05-13,24.450001,24.709999,24.360001,24.709999,37100,22.661056
2015-05-12,24.50,24.50,24.00,24.440001,49400,22.413446
2015-05-11,24.559999,24.77,23.959999,24.280001,153000,22.266713
2015-05-08,25.028,25.10,25.00,25.00,96700,22.92701
2015-05-07,25.129999,25.15,25.00,25.049999,48100,22.972863
2015-05-06,25.00,25.110001,25.00,25.00,105500,22.92701
2015-05-05,25.00,25.01,25.00,25.00,140000,22.92701
