Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,10.08,10.35,9.60,9.61,228100,9.61
2016-03-10,10.053,10.42,9.91,10.03,287800,10.03
2016-03-09,9.25,10.75,9.25,10.10,573900,10.10
2016-03-08,8.80,9.58,8.75,9.22,349400,9.22
2016-03-07,8.87,9.01,8.58,8.76,111500,8.76
2016-03-04,8.85,9.25,8.70,8.89,130000,8.89
2016-03-03,8.91,9.24,8.55,8.83,169800,8.83
2016-03-02,8.73,9.49,8.73,8.89,157700,8.89
2016-03-01,9.04,9.99,8.50,8.66,163200,8.66
2016-02-29,9.60,10.01,8.60,8.91,202100,8.91
2016-02-26,10.64,10.78,9.44,9.55,226800,9.55
2016-02-25,10.63,10.80,10.10,10.56,272700,10.56
2016-02-24,10.62,10.76,10.32,10.61,129800,10.61
2016-02-23,10.60,10.73,10.05,10.64,147900,10.64
2016-02-22,9.39,10.65,9.04,10.65,148100,10.65
2016-02-19,9.06,9.36,8.75,9.30,101900,9.30
2016-02-18,9.64,9.87,8.92,9.08,100100,9.08
2016-02-17,9.07,9.73,9.05,9.65,111200,9.65
2016-02-16,9.32,9.66,8.89,9.08,109500,9.08
2016-02-12,8.68,9.44,8.63,9.31,94600,9.31
2016-02-11,9.03,9.03,8.33,8.59,77800,8.59
