Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,10.48,10.55,10.28,10.33,66100,10.33
2016-03-10,10.89,10.89,10.27,10.40,56600,10.40
2016-03-09,10.79,10.79,10.31,10.74,81800,10.74
2016-03-08,10.57,10.83,10.25,10.80,81400,10.696
2016-03-07,10.65,10.80,10.42,10.75,48200,10.646482
2016-03-04,10.37,10.58,10.15,10.54,60000,10.438504
2016-03-03,9.82,10.18,9.63,10.14,73100,10.042356
2016-03-02,9.50,9.89,9.28,9.76,70000,9.666015
2016-03-01,9.50,9.56,9.35,9.36,51600,9.269867
2016-02-29,9.65,9.65,9.39,9.44,28900,9.349096
2016-02-26,9.59,9.78,9.13,9.18,62600,9.091601
2016-02-25,9.09,9.27,9.00,9.12,69900,9.032178
2016-02-24,8.72,9.37,8.37,9.17,78100,9.081697
2016-02-23,9.54,9.54,8.74,8.84,69500,8.754874
2016-02-22,9.00,9.10,8.85,8.90,77100,8.814296
2016-02-19,8.57,8.57,8.25,8.54,66200,8.457763
2016-02-18,8.73,8.73,8.38,8.61,80500,8.527089
2016-02-17,8.35,8.87,8.20,8.47,123700,8.388437
2016-02-16,7.79,7.94,7.57,7.86,81400,7.784311
2016-02-12,7.06,7.49,6.88,7.44,111900,7.368356
2016-02-11,7.22,7.39,6.77,6.84,102200,6.774134
2016-02-10,7.38,7.69,7.27,7.32,50500,7.249511
2016-02-09,7.75,7.87,7.25,7.47,84900,7.295068
2016-02-08,8.99,8.99,7.90,8.05,235300,7.861486
2016-02-05,9.36,9.42,9.06,9.17,62000,8.955258
2016-02-04,9.16,9.55,8.97,9.37,101800,9.150574
2016-02-03,9.03,9.20,8.70,9.11,83700,8.896663
2016-02-02,8.88,9.02,8.65,8.78,100100,8.574391
2016-02-01,9.23,9.23,8.93,9.02,92300,8.808771
2016-01-29,9.21,9.53,9.04,9.26,220900,9.043151
2016-01-28,8.92,9.09,8.65,8.79,113200,8.584157
2016-01-27,8.59,8.71,8.08,8.26,141300,8.066568
2016-01-26,7.87,8.64,7.64,8.64,107400,8.43767
2016-01-25,7.75,8.28,7.64,7.76,64800,7.578277
2016-01-22,7.57,7.98,7.44,7.92,210900,7.73453
2016-01-21,6.61,7.21,6.52,7.12,233100,6.953265
2016-01-20,7.00,7.00,6.21,6.51,226300,6.35755
2016-01-19,7.98,7.98,7.05,7.28,151400,7.109518
2016-01-15,7.70,7.99,7.55,7.84,124600,7.656404
2016-01-14,7.75,8.15,7.53,8.06,144800,7.871252
2016-01-13,8.55,8.69,7.56,7.75,149200,7.568511
2016-01-12,8.96,9.22,8.07,8.45,176100,8.150554
2016-01-11,9.07,9.12,8.50,8.78,158500,8.468859
2016-01-08,9.20,9.25,8.96,8.99,116300,8.671418
2016-01-07,9.45,9.63,8.95,9.08,92900,8.758228
2016-01-06,10.10,10.15,9.38,9.62,198500,9.279092
2016-01-05,10.30,10.47,10.06,10.36,76100,9.992868
2016-01-04,9.94,10.36,9.90,10.27,80900,9.906058
2015-12-31,9.52,10.14,9.44,10.12,436000,9.761373
2015-12-30,9.66,9.95,9.51,9.57,188000,9.230864
2015-12-29,10.04,10.30,9.55,9.83,241800,9.48165
2015-12-28,10.52,10.52,9.89,9.91,290600,9.558815
2015-12-24,11.07,11.15,10.63,10.63,117900,10.2533
2015-12-23,10.05,11.18,10.05,11.11,249100,10.71629
2015-12-22,9.09,10.10,9.06,9.84,205000,9.491296
2015-12-21,8.60,9.07,8.47,9.02,221400,8.700355
2015-12-18,8.49,8.65,8.33,8.61,173800,8.304884
2015-12-17,8.79,8.79,8.33,8.42,230600,8.121617
2015-12-16,8.47,8.78,8.35,8.65,170300,8.343466
2015-12-15,8.29,8.52,8.17,8.49,177400,8.189136
2015-12-14,8.74,8.74,8.13,8.19,191300,7.899767
2015-12-11,8.91,8.91,8.46,8.61,264300,8.304884
2015-12-10,9.07,9.51,9.00,9.00,198900,8.681063
2015-12-09,9.00,9.53,9.00,9.06,268900,8.738938
2015-12-08,8.50,9.27,8.41,8.86,235300,8.546024
2015-12-07,9.10,9.10,8.26,8.85,334400,8.536379
