Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,14.33,14.34,14.11,14.11,21000,14.11
2016-03-10,14.32,14.35,14.22,14.22,9300,14.22
2016-03-09,14.26,14.32,14.23,14.29,18600,14.29
2016-03-08,14.46,14.49,14.30,14.35,36200,14.291001
2016-03-07,14.53,14.53,14.33,14.35,30400,14.291001
2016-03-04,14.45,14.51,14.39,14.47,27100,14.410507
2016-03-03,14.45,14.50,14.32,14.50,33400,14.440384
2016-03-02,14.49,14.49,14.26,14.41,15200,14.350754
2016-03-01,14.38,14.78,14.32,14.48,57600,14.420465
2016-02-29,14.19,14.35,14.19,14.27,8400,14.21133
2016-02-26,14.29,14.35,14.09,14.18,18800,14.1217
2016-02-25,14.29,14.35,14.21,14.22,18400,14.161535
2016-02-24,14.09,14.21,14.05,14.20,16000,14.141617
2016-02-23,13.78,14.03,13.77,13.98,25700,13.922521
2016-02-22,13.84,13.91,13.67,13.67,14200,13.613796
2016-02-19,13.75,13.90,13.68,13.80,19200,13.743262
2016-02-18,13.78,13.78,13.70,13.75,18100,13.693467
2016-02-17,13.62,13.84,13.62,13.73,19500,13.673549
2016-02-16,13.86,13.86,13.64,13.69,13900,13.633714
2016-02-12,14.02,14.06,13.74,13.77,28400,13.713386
2016-02-11,13.96,14.02,13.82,13.93,18000,13.872728
2016-02-10,13.90,14.07,13.87,13.96,16400,13.902604
2016-02-09,13.92,14.20,13.76,13.80,71900,13.743262
2016-02-08,13.67,13.95,13.67,13.88,31000,13.764175
2016-02-05,13.69,13.91,13.64,13.73,38000,13.615426
2016-02-04,13.67,13.70,13.58,13.62,19900,13.506344
2016-02-03,13.59,13.70,13.50,13.62,24700,13.506344
2016-02-02,13.43,13.91,13.43,13.53,45100,13.417095
2016-02-01,13.38,13.45,13.35,13.43,16800,13.31793
2016-01-29,13.38,13.43,13.35,13.41,14300,13.298096
2016-01-28,13.30,13.35,13.29,13.35,14700,13.238598
2016-01-27,13.34,13.40,13.24,13.24,25800,13.129515
2016-01-26,13.38,13.43,13.24,13.40,27900,13.28818
2016-01-25,13.37,13.39,13.34,13.38,13900,13.268347
2016-01-22,13.37,13.38,13.33,13.33,9400,13.218764
2016-01-21,13.31,13.40,13.21,13.32,38400,13.208847
2016-01-20,13.30,13.34,13.18,13.24,14100,13.129515
2016-01-19,13.34,13.41,13.27,13.27,30400,13.159265
2016-01-15,13.34,13.38,13.27,13.27,14600,13.159265
2016-01-14,13.30,13.31,13.22,13.30,30500,13.189015
2016-01-13,13.37,13.37,13.21,13.21,13100,13.099766
2016-01-12,13.35,13.37,13.26,13.33,8700,13.218764
2016-01-11,13.45,13.45,13.36,13.36,16100,13.190006
2016-01-08,13.45,13.49,13.40,13.40,15800,13.229497
2016-01-07,13.48,13.50,13.37,13.38,15700,13.209752
2016-01-06,13.47,13.48,13.35,13.41,17400,13.23937
2016-01-05,13.34,13.40,13.30,13.36,13500,13.190006
2016-01-04,13.40,13.41,13.25,13.29,16200,13.120897
2015-12-31,13.41,13.44,13.33,13.33,17700,13.160388
2015-12-30,13.29,13.47,13.29,13.41,29000,13.23937
2015-12-29,13.41,13.41,13.28,13.29,11900,13.120897
2015-12-28,13.32,13.54,13.32,13.41,17100,13.23937
2015-12-24,13.31,13.32,13.31,13.32,5000,13.150515
2015-12-23,13.25,13.33,13.25,13.30,16400,13.13077
2015-12-22,13.17,13.23,13.17,13.23,18400,13.06166
2015-12-21,13.12,13.19,13.09,13.17,18700,13.002424
2015-12-18,13.21,13.22,13.03,13.03,23500,12.864205
2015-12-17,13.01,13.18,13.01,13.12,17500,12.95306
2015-12-16,12.92,13.17,12.79,13.07,42000,12.903696
2015-12-15,12.75,12.90,12.75,12.85,23700,12.686496
2015-12-14,12.90,12.91,12.75,12.81,20300,12.647005
2015-12-11,12.90,13.31,12.85,12.86,53500,12.696368
2015-12-10,12.81,12.88,12.62,12.82,25200,12.656877
