Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,9.00,9.02,8.93,8.98,6700,8.98
2016-03-10,8.91,8.97,8.74,8.97,14500,8.97
2016-03-09,8.88,8.95,8.88,8.91,6000,8.91
2016-03-08,8.96,8.96,8.83,8.83,16500,8.83
2016-03-07,8.87,8.96,8.87,8.93,11200,8.93
2016-03-04,8.66,8.82,8.64,8.82,32100,8.82
2016-03-03,8.69,8.69,8.61,8.66,10700,8.66
2016-03-02,8.54,8.70,8.54,8.66,10700,8.66
2016-03-01,8.63,8.68,8.51,8.63,11600,8.63
2016-02-29,8.63,8.64,8.56,8.64,2500,8.64
2016-02-26,8.58,8.64,8.55,8.56,9100,8.56
2016-02-25,8.57,8.57,8.55,8.57,1900,8.57
2016-02-24,8.55,8.68,8.52,8.68,14000,8.622
2016-02-23,8.52,8.63,8.52,8.60,8100,8.542535
2016-02-22,8.66,8.70,8.63,8.63,11300,8.572334
2016-02-19,8.59,8.59,8.54,8.57,8500,8.512735
2016-02-18,8.58,8.65,8.56,8.58,10400,8.522668
2016-02-17,8.49,8.60,8.49,8.58,13300,8.522668
2016-02-16,8.50,8.50,8.45,8.45,11400,8.393537
2016-02-12,8.40,8.46,8.30,8.42,19800,8.363737
2016-02-11,8.09,8.37,8.09,8.27,15000,8.21474
2016-02-10,8.28,8.32,8.15,8.15,25900,8.095541
2016-02-09,8.30,8.39,8.30,8.38,52900,8.324005
2016-02-08,8.43,8.56,8.43,8.45,22400,8.393537
2016-02-05,8.60,8.64,8.58,8.63,9900,8.572334
2016-02-04,8.75,8.80,8.67,8.67,13600,8.612067
2016-02-03,8.58,8.69,8.58,8.69,5400,8.631933
2016-02-02,8.59,8.59,8.49,8.56,14500,8.502802
2016-02-01,8.62,8.65,8.60,8.62,135500,8.562401
2016-01-29,8.60,8.70,8.60,8.70,27900,8.641866
2016-01-28,8.62,8.73,8.58,8.63,19000,8.572334
2016-01-27,8.49,8.61,8.43,8.53,24000,8.473002
2016-01-26,8.42,8.53,8.42,8.50,40700,8.38559
2016-01-25,8.42,8.42,8.37,8.38,13800,8.267205
2016-01-22,8.40,8.49,8.38,8.42,21600,8.306667
2016-01-21,8.05,8.29,8.05,8.26,22100,8.148821
2016-01-20,7.94,8.15,7.88,8.15,86200,8.040301
2016-01-19,8.22,8.26,8.10,8.15,53800,8.040301
2016-01-15,8.07,8.25,8.07,8.22,36600,8.109359
2016-01-14,8.26,8.41,8.08,8.37,44700,8.25734
2016-01-13,8.45,8.52,8.42,8.42,10100,8.306667
2016-01-12,8.52,8.56,8.46,8.49,24400,8.318505
2016-01-11,8.62,8.66,8.47,8.49,30700,8.318505
2016-01-08,8.71,8.76,8.68,8.68,14300,8.504668
2016-01-07,8.76,8.81,8.70,8.72,12300,8.54386
2016-01-06,8.87,8.87,8.77,8.77,11100,8.59285
2016-01-05,9.00,9.00,8.88,8.91,4600,8.730021
2016-01-04,8.92,9.01,8.83,8.92,14900,8.73982
2015-12-31,8.90,9.06,8.89,9.02,70900,8.8378
2015-12-30,8.95,8.95,8.81,8.90,157300,8.720223
2015-12-29,8.81,9.02,8.81,9.00,34000,8.818204
2015-12-28,9.03,9.03,8.76,8.85,52300,8.671234
2015-12-24,8.91,9.04,8.88,9.03,12700,8.790769
2015-12-23,8.81,8.95,8.81,8.92,45600,8.683683
2015-12-22,8.66,8.87,8.66,8.82,122600,8.586332
2015-12-21,8.70,8.83,8.44,8.60,44100,8.372161
2015-12-18,8.61,8.82,8.61,8.74,99600,8.508452
2015-12-17,8.76,8.77,8.67,8.71,46400,8.479247
2015-12-16,8.83,8.96,8.79,8.82,42800,8.586332
2015-12-15,8.99,8.99,8.85,8.88,30200,8.644743
2015-12-14,8.75,8.93,8.75,8.85,56000,8.615538
2015-12-11,8.99,9.02,8.88,8.93,50100,8.693419
2015-12-10,9.01,9.03,8.98,9.02,31800,8.781035
2015-12-09,9.08,9.15,9.01,9.04,39800,8.800504
2015-12-08,8.95,9.13,8.95,9.03,31200,8.790769
2015-12-07,9.27,9.28,9.08,9.10,26300,8.858915
2015-12-04,9.34,9.37,9.31,9.33,49900,9.082821
2015-12-03,9.30,9.40,9.25,9.34,31300,9.092557
2015-12-02,9.43,9.43,9.21,9.25,69400,9.004941
2015-12-01,9.42,9.48,9.40,9.41,63300,9.160702
2015-11-30,9.39,9.50,9.36,9.39,13700,9.141232
2015-11-27,9.41,9.44,9.41,9.43,11000,9.180172
2015-11-25,9.47,9.51,9.38,9.51,30100,9.258053
2015-11-24,9.50,9.59,9.50,9.54,55800,9.215218
2015-11-23,9.41,9.56,9.41,9.47,53100,9.147602
2015-11-20,9.63,9.70,9.50,9.50,53700,9.17658
2015-11-19,9.53,9.62,9.52,9.60,37800,9.273176
2015-11-18,9.55,9.64,9.46,9.59,21900,9.263516
2015-11-17,9.75,9.75,9.60,9.60,19200,9.273176
2015-11-16,9.68,9.90,9.52,9.80,27900,9.466367
2015-11-13,9.69,9.71,9.57,9.65,23500,9.321473
2015-11-12,9.81,9.84,9.68,9.69,18000,9.360111
2015-11-11,9.88,9.92,9.82,9.83,9700,9.495345
2015-11-10,9.90,9.94,9.86,9.92,33100,9.582282
2015-11-09,9.98,9.98,9.85,9.90,28200,9.562962
2015-11-06,10.08,10.08,9.97,10.01,16200,9.669218
2015-11-05,10.25,10.27,10.08,10.14,19600,9.794792
2015-11-04,10.35,10.35,10.23,10.25,33700,9.901047
2015-11-03,10.30,10.33,10.25,10.29,60500,9.939685
2015-11-02,10.30,10.30,10.23,10.24,18200,9.891387
2015-10-30,10.27,10.31,10.26,10.30,31000,9.949345
2015-10-29,10.30,10.41,10.24,10.27,92100,9.920366
2015-10-28,10.16,10.36,10.14,10.33,32900,9.978323
2015-10-27,10.25,10.30,10.25,10.26,18200,9.839226
2015-10-26,10.36,10.36,10.25,10.25,12500,9.829636
2015-10-23,10.52,10.52,10.31,10.40,4400,9.973484
2015-10-22,10.46,10.58,10.40,10.40,35100,9.973484
2015-10-21,10.50,10.54,10.46,10.46,15700,10.031024
2015-10-20,10.47,10.59,10.47,10.54,17400,10.107743
2015-10-19,10.56,10.62,10.45,10.48,13400,10.050203
2015-10-16,10.52,10.63,10.52,10.57,29800,10.136512
2015-10-15,10.62,10.80,10.62,10.62,29300,10.184462
2015-10-14,10.53,10.62,10.53,10.60,7700,10.165283
2015-10-13,10.64,10.64,10.50,10.55,16000,10.117333
2015-10-12,10.79,10.80,10.64,10.64,14700,10.203642
2015-10-09,10.75,10.85,10.75,10.77,5100,10.328311
2015-10-08,10.60,10.70,10.57,10.70,21700,10.261181
2015-10-07,10.55,10.72,10.55,10.62,30300,10.184462
2015-10-06,10.41,10.57,10.41,10.55,16300,10.117333
2015-10-05,10.44,10.46,10.38,10.39,84800,9.963895
2015-10-02,10.33,10.36,10.30,10.31,13300,9.887176
2015-10-01,10.33,10.50,10.33,10.34,39400,9.915945
2015-09-30,10.20,10.37,10.20,10.31,15900,9.887176
2015-09-29,10.21,10.21,9.98,10.19,32200,9.772097
2015-09-28,10.36,10.36,10.23,10.23,11000,9.810456
2015-09-25,10.38,10.51,10.38,10.48,17500,9.979238
2015-09-24,10.36,10.41,10.32,10.41,46600,9.912583
2015-09-23,10.47,10.48,10.37,10.41,12200,9.912583
2015-09-22,10.42,10.54,10.42,10.48,13000,9.979238
2015-09-21,10.58,10.62,10.53,10.59,6700,10.083982
2015-09-18,10.51,10.62,10.50,10.57,9700,10.064938
2015-09-17,10.63,10.65,10.62,10.62,5100,10.112549
2015-09-16,10.51,10.70,10.51,10.67,24000,10.16016
2015-09-15,10.51,10.59,10.51,10.55,9600,10.045894
2015-09-14,10.58,10.60,10.51,10.56,4500,10.055416
2015-09-11,10.62,10.70,10.56,10.61,13600,10.103026
2015-09-10,10.59,10.69,10.59,10.62,10400,10.112549
2015-09-09,10.67,10.68,10.65,10.65,9600,10.141115
2015-09-08,10.62,10.70,10.61,10.66,22900,10.150637
2015-09-04,10.70,10.70,10.64,10.64,1200,10.131593
2015-09-03,10.64,10.77,10.64,10.73,15500,10.217292
2015-09-02,10.64,10.76,10.51,10.61,29100,10.103026
2015-09-01,10.94,10.96,10.66,10.66,57700,10.150637
2015-08-31,10.72,10.96,10.63,10.96,21200,10.436303
2015-08-28,10.41,10.79,10.40,10.75,54500,10.236337
2015-08-27,10.20,10.44,10.16,10.36,258600,9.864972
2015-08-26,10.26,10.31,10.17,10.20,30100,9.642153
2015-08-25,10.23,10.31,10.12,10.24,38400,9.679966
2015-08-24,10.10,10.35,9.23,10.23,66200,9.670512
2015-08-21,10.58,10.65,10.30,10.47,101100,9.897387
2015-08-20,10.60,10.65,10.50,10.60,25500,10.020277
2015-08-19,10.83,10.83,10.63,10.65,13100,10.067542
2015-08-18,10.77,10.85,10.73,10.81,19900,10.218792
2015-08-17,10.73,10.88,10.73,10.81,10000,10.218792
2015-08-14,10.83,11.06,10.82,10.84,39400,10.247151
2015-08-13,10.81,10.86,10.80,10.82,7300,10.228245
2015-08-12,10.99,11.04,10.85,10.86,18500,10.266057
2015-08-11,11.00,11.06,10.94,10.97,19300,10.370042
2015-08-10,10.82,11.09,10.82,11.03,51500,10.42676
2015-08-07,10.78,10.80,10.75,10.80,22100,10.209339
2015-08-06,10.87,10.87,10.78,10.80,31400,10.209339
2015-08-05,10.92,10.95,10.85,10.87,18100,10.27551
2015-08-04,10.86,11.04,10.80,10.83,25800,10.237698
2015-08-03,10.86,11.13,10.85,10.85,28500,10.256605
2015-07-31,11.14,11.14,10.91,11.04,19800,10.436213
2015-07-30,11.10,11.19,11.10,11.15,6700,10.540197
2015-07-29,11.12,11.19,11.11,11.19,20000,10.578009
2015-07-28,11.16,11.22,11.08,11.19,13200,10.508056
2015-07-27,11.21,11.21,10.84,11.07,183800,10.395369
2015-07-24,11.35,11.38,11.10,11.22,59800,10.536228
2015-07-23,11.45,11.47,11.33,11.44,16400,10.74282
2015-07-22,11.54,11.58,11.34,11.37,39200,10.677087
2015-07-21,11.50,11.59,11.50,11.57,19600,10.864898
2015-07-20,11.60,11.63,11.51,11.51,30100,10.808555
2015-07-17,11.59,11.68,11.58,11.64,6400,10.930633
2015-07-16,11.76,11.78,11.61,11.69,17900,10.977585
2015-07-15,11.78,11.80,11.64,11.72,39300,11.005757
2015-07-14,11.80,11.82,11.74,11.82,31200,11.099663
2015-07-13,11.81,11.90,11.61,11.83,26900,11.109053
2015-07-10,11.82,11.89,11.78,11.84,28000,11.118444
2015-07-09,11.57,11.82,11.57,11.76,40000,11.04332
2015-07-08,11.55,11.66,11.45,11.52,41400,10.817946
2015-07-07,11.79,11.80,11.30,11.59,67500,10.88368
2015-07-06,12.12,12.12,11.80,11.82,46500,11.099663
2015-07-02,11.94,12.30,11.94,12.16,60800,11.418942
2015-07-01,12.01,12.24,12.01,12.15,74600,11.409552
2015-06-30,11.75,11.95,11.69,11.91,16400,11.184178
2015-06-29,11.65,11.79,11.64,11.79,41600,11.071491
2015-06-26,11.85,11.88,11.80,11.84,54700,11.118444
2015-06-25,11.90,11.97,11.90,11.93,37000,11.106236
2015-06-24,11.94,12.00,11.94,11.99,8100,11.162093
2015-06-23,12.00,12.02,11.94,11.95,40300,11.124855
2015-06-22,12.05,12.05,11.94,12.02,25300,11.190022
2015-06-19,12.05,12.06,11.97,12.02,37300,11.190022
2015-06-18,12.08,12.15,12.04,12.07,12100,11.236569
2015-06-17,12.04,12.23,12.01,12.02,12800,11.190022
2015-06-16,12.04,12.06,11.99,11.99,20700,11.162093
2015-06-15,12.15,12.15,12.08,12.09,15500,11.255188
2015-06-12,12.16,12.20,12.11,12.13,11100,11.292426
2015-06-11,12.30,12.30,12.19,12.21,12000,11.366902
2015-06-10,12.18,12.30,12.12,12.27,138700,11.42276
2015-06-09,12.05,12.49,12.05,12.25,50400,11.40414
2015-06-08,12.04,12.10,12.04,12.07,9500,11.236569
2015-06-05,11.95,12.06,11.95,12.03,9900,11.199331
2015-06-04,12.14,12.24,11.90,12.07,22100,11.236569
2015-06-03,12.24,12.24,12.11,12.15,9100,11.311045
2015-06-02,12.13,12.22,12.13,12.22,21000,11.376212
2015-06-01,12.15,12.17,12.12,12.13,17100,11.292426
2015-05-29,11.98,12.10,11.98,12.10,21800,11.264498
2015-05-28,11.98,12.02,11.85,11.98,20200,11.152783
2015-05-27,12.20,12.20,11.84,12.00,45000,11.171403
2015-05-26,12.51,12.51,12.19,12.28,47500,11.336181
2015-05-22,12.45,12.55,12.45,12.47,9900,11.511578
2015-05-21,12.49,12.64,12.45,12.55,29500,11.585429
2015-05-20,12.45,12.79,12.43,12.49,32000,11.530041
2015-05-19,12.58,12.67,12.40,12.60,28100,11.631587
2015-05-18,12.61,12.79,12.55,12.67,40800,11.696206
2015-05-15,12.66,12.75,12.55,12.74,22300,11.760826
2015-05-14,12.60,12.79,12.60,12.70,25700,11.7239
2015-05-13,12.65,12.74,12.53,12.64,49000,11.668512
2015-05-12,12.39,12.55,12.39,12.52,11700,11.557735
2015-05-11,12.42,12.43,12.33,12.35,18600,11.400801
2015-05-08,12.36,12.46,12.36,12.45,9600,11.493115
2015-05-07,12.45,12.45,12.28,12.41,18900,11.456189
2015-05-06,12.35,12.63,12.35,12.54,38700,11.576198
2015-05-05,12.44,12.46,12.38,12.46,44200,11.502347
2015-05-04,12.28,12.36,12.26,12.28,19800,11.336181
2015-05-01,12.44,12.44,12.27,12.33,119800,11.382338
2015-04-30,12.14,12.40,12.08,12.40,33000,11.446958
2015-04-29,12.10,12.25,12.10,12.19,28100,11.253098
2015-04-28,12.15,12.17,12.11,12.13,37200,11.19771
2015-04-27,12.15,12.21,12.15,12.21,53200,11.176478
2015-04-24,12.12,12.16,12.10,12.16,61200,11.13071
2015-04-23,12.07,12.19,12.07,12.14,130900,11.112403
2015-04-22,12.12,12.20,12.03,12.07,39800,11.048328
2015-04-21,12.10,12.11,12.04,12.06,15000,11.039175
2015-04-20,12.10,12.18,12.04,12.12,34200,11.094096
2015-04-17,12.17,12.21,12.14,12.16,37000,11.13071
2015-04-16,12.13,12.21,12.05,12.20,41800,11.167324
2015-04-15,11.84,12.13,11.82,12.10,50500,11.075789
2015-04-14,11.80,11.95,11.80,11.91,38400,10.901871
2015-04-13,11.87,11.96,11.80,11.84,24200,10.837797
2015-04-10,11.81,11.96,11.81,11.91,66300,10.901871
2015-04-09,11.93,11.95,11.83,11.86,31000,10.856103
2015-04-08,12.13,12.13,11.93,11.98,35500,10.965946
2015-04-07,12.12,12.22,12.07,12.16,24900,11.13071
2015-04-06,12.06,12.13,11.90,12.13,49600,11.103249
2015-04-02,11.90,12.00,11.82,11.88,22600,10.874411
2015-04-01,11.80,11.95,11.80,11.87,31600,10.865257
2015-03-31,11.92,11.93,11.80,11.90,48200,10.892717
2015-03-30,11.76,11.97,11.76,11.95,60700,10.938485
2015-03-27,12.14,12.15,11.84,11.92,62300,10.911025
2015-03-26,12.11,12.45,12.11,12.24,62500,11.109656
2015-03-25,12.15,12.23,12.07,12.18,20300,11.055198
2015-03-24,12.04,12.12,12.00,12.10,31000,10.982585
2015-03-23,12.00,12.12,11.93,12.04,17800,10.928126
2015-03-20,11.79,12.03,11.79,12.00,29300,10.89182
2015-03-19,11.84,11.88,11.65,11.79,30700,10.701213
2015-03-18,11.52,11.89,11.52,11.88,40400,10.782902
2015-03-17,11.65,11.74,11.59,11.66,41700,10.583218
2015-03-16,11.76,11.84,11.66,11.75,74900,10.664907
2015-03-13,12.10,12.10,11.85,11.86,27800,10.764748
2015-03-12,12.00,12.08,11.93,12.07,34800,10.955355
2015-03-11,11.95,12.05,11.92,12.02,28000,10.909973
2015-03-10,12.14,12.20,12.02,12.14,62700,11.018891
2015-03-09,12.30,12.35,12.28,12.29,24700,11.155039
2015-03-06,12.38,12.43,12.30,12.30,44400,11.164116
2015-03-05,12.37,12.42,12.36,12.37,19200,11.227651
2015-03-04,12.50,12.50,12.33,12.41,18600,11.263957
2015-03-03,12.48,12.48,12.38,12.39,17600,11.245804
2015-03-02,12.70,12.70,12.46,12.48,49100,11.327492
2015-02-27,12.50,12.74,12.40,12.63,36200,11.463641
