Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,9.08,9.22,9.08,9.18,369500,9.18
2016-03-10,9.04,9.11,9.02,9.05,183300,9.05
2016-03-09,9.04,9.06,8.96,9.03,227100,9.03
2016-03-08,9.04,9.07,8.96,9.00,187200,9.00
2016-03-07,9.09,9.18,9.07,9.12,295200,9.025
2016-03-04,9.13,9.26,9.11,9.14,408500,9.044792
2016-03-03,9.04,9.14,9.01,9.12,401800,9.025
2016-03-02,8.96,9.05,8.91,9.03,203500,8.935937
2016-03-01,8.77,8.98,8.77,8.95,303400,8.85677
2016-02-29,8.72,8.81,8.70,8.76,273300,8.66875
2016-02-26,8.65,8.73,8.62,8.69,215300,8.599479
2016-02-25,8.54,8.65,8.53,8.65,233400,8.559895
2016-02-24,8.44,8.50,8.41,8.50,409000,8.411458
2016-02-23,8.44,8.50,8.43,8.45,331600,8.361979
2016-02-22,8.47,8.53,8.46,8.48,581400,8.391666
2016-02-19,8.43,8.45,8.37,8.41,577100,8.322396
2016-02-18,8.51,8.51,8.43,8.43,846100,8.342188
2016-02-17,8.37,8.51,8.36,8.45,646400,8.361979
2016-02-16,8.31,8.40,8.30,8.32,587700,8.233333
2016-02-12,8.19,8.32,8.19,8.27,562000,8.183854
2016-02-11,8.29,8.35,8.16,8.17,600600,8.084896
2016-02-10,8.48,8.52,8.42,8.44,206100,8.352083
2016-02-09,8.42,8.49,8.29,8.46,355900,8.371875
2016-02-08,8.63,8.67,8.40,8.56,327600,8.470834
2016-02-05,8.88,8.96,8.78,8.84,222100,8.653906
2016-02-04,8.91,8.98,8.89,8.95,183400,8.76159
2016-02-03,9.00,9.02,8.88,8.95,305200,8.76159
2016-02-02,8.98,9.00,8.91,8.97,365600,8.78117
2016-02-01,8.88,9.12,8.85,9.11,342100,8.918222
2016-01-29,8.83,8.99,8.83,8.99,257400,8.800748
2016-01-28,8.72,8.81,8.69,8.78,349200,8.595169
2016-01-27,8.76,8.85,8.67,8.70,341800,8.516853
2016-01-26,8.62,8.85,8.61,8.85,244500,8.663696
2016-01-25,8.77,8.84,8.61,8.62,320400,8.438537
2016-01-22,8.64,8.80,8.61,8.79,339400,8.604959
2016-01-21,8.45,8.68,8.41,8.57,507400,8.38959
2016-01-20,8.60,8.60,8.16,8.46,971000,8.281906
2016-01-19,8.87,8.99,8.56,8.70,368300,8.516853
2016-01-15,8.84,8.89,8.63,8.82,695500,8.634327
2016-01-14,9.01,9.11,8.84,9.06,400900,8.869275
2016-01-13,9.25,9.29,8.91,8.98,481400,8.790958
2016-01-12,9.37,9.44,9.20,9.26,417300,9.065065
2016-01-11,9.47,9.64,9.31,9.36,367900,9.162959
2016-01-08,9.65,9.75,9.46,9.47,206300,9.270644
2016-01-07,9.76,9.77,9.59,9.63,368900,9.427276
2016-01-06,9.94,9.96,9.81,9.83,342800,9.623065
2016-01-05,10.02,10.10,10.00,10.00,282700,9.789487
2016-01-04,9.79,10.01,9.79,10.01,325600,9.799276
2015-12-31,9.89,9.98,9.87,9.91,595400,9.701381
2015-12-30,10.04,10.05,9.91,9.94,400800,9.730749
2015-12-29,10.08,10.15,9.96,10.00,512500,9.789487
2015-12-28,10.25,10.27,10.11,10.18,515800,9.872698
2015-12-24,10.15,10.26,10.10,10.26,1947400,9.950283
2015-12-23,10.02,10.21,9.98,10.20,427800,9.892094
2015-12-22,9.83,10.05,9.78,10.02,532400,9.717528
2015-12-21,9.84,9.87,9.82,9.86,315800,9.562357
2015-12-18,9.84,9.87,9.79,9.84,391600,9.542961
2015-12-17,9.85,9.90,9.73,9.84,559300,9.542961
2015-12-16,9.55,9.89,9.55,9.86,423800,9.562357
2015-12-15,9.48,9.65,9.48,9.56,505900,9.271414
2015-12-14,9.77,9.81,9.37,9.46,583700,9.174432
2015-12-11,9.81,9.87,9.75,9.80,1593500,9.504169
2015-12-10,9.71,9.84,9.58,9.81,900800,9.513867
2015-12-09,9.80,9.84,9.71,9.75,506800,9.455678
2015-12-08,9.83,9.85,9.73,9.79,337700,9.49447
2015-12-07,9.90,9.95,9.86,9.94,286900,9.54781
2015-12-04,9.88,10.00,9.88,9.97,333300,9.576627
2015-12-03,10.02,10.02,9.89,9.95,328500,9.557415
2015-12-02,10.09,10.09,10.00,10.01,294200,9.615049
2015-12-01,10.00,10.11,10.00,10.10,176000,9.701498
2015-11-30,9.91,10.01,9.91,10.00,235700,9.605443
2015-11-27,9.97,10.00,9.86,9.94,111400,9.54781
2015-11-25,9.92,9.98,9.91,9.95,254600,9.557415
2015-11-24,9.90,9.98,9.87,9.94,237000,9.54781
2015-11-23,10.00,10.05,9.94,9.97,208400,9.576627
2015-11-20,10.03,10.07,9.94,9.97,169600,9.576627
2015-11-19,10.09,10.11,9.99,10.05,161700,9.65347
2015-11-18,10.00,10.10,9.98,10.09,200200,9.691892
2015-11-17,10.10,10.15,9.97,10.00,255100,9.605443
2015-11-16,9.99,10.14,9.98,10.12,220800,9.720708
2015-11-13,10.03,10.04,9.84,9.96,228900,9.567021
2015-11-12,10.12,10.12,10.00,10.01,151200,9.615049
2015-11-11,10.13,10.19,10.08,10.13,196800,9.730314
2015-11-10,10.17,10.22,10.06,10.17,216700,9.768735
2015-11-09,10.35,10.37,10.11,10.17,249200,9.768735
2015-11-06,10.50,10.51,10.34,10.40,267600,9.98966
2015-11-05,10.62,10.65,10.58,10.60,129800,10.090518
2015-11-04,10.65,10.67,10.56,10.65,157700,10.138114
2015-11-03,10.52,10.66,10.49,10.65,196700,10.138114
2015-11-02,10.43,10.58,10.42,10.56,194000,10.05244
2015-10-30,10.39,10.43,10.37,10.41,106800,9.909649
2015-10-29,10.32,10.42,10.29,10.40,177400,9.90013
2015-10-28,10.38,10.40,10.33,10.37,174300,9.871572
2015-10-27,10.41,10.45,10.31,10.33,242100,9.833495
2015-10-26,10.44,10.51,10.44,10.46,185700,9.957246
2015-10-23,10.50,10.54,10.47,10.48,224600,9.976285
2015-10-22,10.47,10.55,10.44,10.47,250500,9.966766
2015-10-21,10.51,10.53,10.43,10.43,136800,9.928688
2015-10-20,10.52,10.55,10.41,10.47,201800,9.966766
2015-10-19,10.43,10.54,10.42,10.52,154200,10.014363
2015-10-16,10.43,10.52,10.40,10.47,267400,9.966766
2015-10-15,10.30,10.42,10.25,10.41,235400,9.909649
2015-10-14,10.31,10.35,10.23,10.28,226500,9.785898
2015-10-13,10.30,10.42,10.30,10.37,204500,9.871572
2015-10-12,10.37,10.44,10.35,10.37,214000,9.871572
2015-10-09,10.20,10.38,10.20,10.37,195200,9.871572
2015-10-08,10.04,10.25,10.03,10.21,180400,9.719262
2015-10-07,9.99,10.12,9.92,10.11,223100,9.624068
2015-10-06,9.79,10.09,9.79,10.04,408000,9.467
2015-10-05,9.75,9.87,9.75,9.85,323700,9.287844
2015-10-02,9.77,9.83,9.64,9.77,716200,9.212409
2015-10-01,9.85,9.92,9.81,9.88,233700,9.316131
2015-09-30,9.87,9.92,9.80,9.89,398000,9.325561
2015-09-29,10.02,10.06,9.73,9.84,483800,9.278414
2015-09-28,10.20,10.28,10.01,10.09,286900,9.514146
2015-09-25,10.46,10.51,10.23,10.25,350200,9.665015
2015-09-24,10.50,10.56,10.30,10.41,399500,9.815883
2015-09-23,10.57,10.66,10.55,10.57,162300,9.966751
2015-09-22,10.61,10.67,10.51,10.57,181100,9.966751
2015-09-21,10.71,10.74,10.68,10.71,141300,10.098762
2015-09-18,10.52,10.81,10.52,10.72,225100,10.108191
2015-09-17,10.49,10.71,10.47,10.62,404400,10.013898
2015-09-16,10.31,10.52,10.30,10.49,321900,9.891317
2015-09-15,10.22,10.32,10.16,10.30,264900,9.712161
2015-09-14,10.25,10.29,10.13,10.17,249900,9.58958
2015-09-11,10.27,10.33,10.21,10.21,275900,9.627298
2015-09-10,10.30,10.34,10.21,10.23,311100,9.646156
2015-09-09,10.35,10.44,10.26,10.28,313800,9.693302
2015-09-08,10.28,10.39,10.25,10.29,372000,9.702732
2015-09-04,10.29,10.36,10.28,10.33,225000,9.650871
2015-09-03,10.46,10.53,10.37,10.42,286000,9.734954
2015-09-02,10.45,10.50,10.38,10.48,268200,9.791009
2015-09-01,10.39,10.56,10.37,10.45,290800,9.762981
2015-08-31,10.53,10.63,10.52,10.60,243000,9.90312
2015-08-28,10.53,10.64,10.51,10.58,158500,9.884435
2015-08-27,10.52,10.68,10.50,10.63,218600,9.931148
2015-08-26,10.37,10.49,10.20,10.47,439000,9.781667
2015-08-25,10.39,10.59,10.29,10.34,558000,9.660214
2015-08-24,10.00,10.27,9.45,10.12,678600,9.454677
2015-08-21,10.90,10.93,10.57,10.67,435500,9.968518
2015-08-20,11.08,11.08,10.93,10.96,197100,10.239453
2015-08-19,11.06,11.16,11.05,11.14,223500,10.407619
