Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,10.00,10.07,9.96,10.04,226700,10.04
2016-03-10,9.95,9.97,9.86,9.92,251200,9.92
2016-03-09,9.80,9.89,9.75,9.89,258600,9.89
2016-03-08,9.74,9.79,9.65,9.78,187800,9.78
2016-03-07,9.84,9.91,9.79,9.88,368100,9.78
2016-03-04,9.85,10.00,9.82,9.83,397200,9.730506
2016-03-03,9.77,9.89,9.77,9.81,312400,9.710709
2016-03-02,9.72,9.84,9.67,9.80,241100,9.70081
2016-03-01,9.54,9.76,9.48,9.76,296300,9.661215
2016-02-29,9.41,9.53,9.38,9.50,207600,9.403846
2016-02-26,9.29,9.44,9.28,9.41,211000,9.314757
2016-02-25,9.13,9.31,9.13,9.29,145800,9.195972
2016-02-24,9.06,9.15,9.01,9.15,200100,9.057388
2016-02-23,9.10,9.16,9.05,9.07,225900,8.978198
2016-02-22,9.16,9.24,9.07,9.10,283100,9.007895
2016-02-19,9.01,9.12,8.96,9.10,309000,9.007895
2016-02-18,9.04,9.10,9.00,9.01,225000,8.918806
2016-02-17,8.92,9.16,8.92,9.04,365700,8.948502
2016-02-16,8.95,8.98,8.89,8.92,286800,8.829717
2016-02-12,8.75,8.87,8.68,8.87,217600,8.780222
2016-02-11,8.80,8.87,8.64,8.73,417000,8.641639
2016-02-10,9.00,9.09,8.91,8.92,172200,8.829717
2016-02-09,8.92,9.00,8.83,9.00,379000,8.908907
2016-02-08,9.24,9.24,8.98,9.08,461200,8.988097
2016-02-05,9.50,9.51,9.23,9.43,435200,9.235567
2016-02-04,9.44,9.53,9.39,9.50,201100,9.304124
2016-02-03,9.42,9.47,9.28,9.46,212100,9.264948
2016-02-02,9.33,9.47,9.33,9.42,477300,9.225773
2016-02-01,9.45,9.61,9.34,9.60,316700,9.402062
2016-01-29,9.35,9.50,9.35,9.49,252700,9.29433
2016-01-28,9.24,9.37,9.21,9.32,324300,9.127835
2016-01-27,9.22,9.34,9.12,9.22,300600,9.029897
2016-01-26,9.15,9.34,9.12,9.29,338600,9.098454
2016-01-25,9.39,9.39,9.09,9.11,265900,8.922165
2016-01-22,9.16,9.40,9.15,9.38,384200,9.186598
2016-01-21,8.97,9.22,8.90,9.10,268500,8.912371
2016-01-20,9.09,9.09,8.69,8.97,807300,8.785052
2016-01-19,9.35,9.38,9.08,9.22,322000,9.029897
2016-01-15,9.37,9.39,9.11,9.29,467600,9.098454
2016-01-14,9.48,9.58,9.37,9.55,377900,9.353093
2016-01-13,9.95,9.95,9.41,9.49,731600,9.29433
2016-01-12,10.00,10.08,9.82,9.88,374900,9.676289
2016-01-11,10.12,10.15,9.91,9.99,389600,9.78402
2016-01-08,10.21,10.30,10.06,10.07,288000,9.862371
2016-01-07,10.38,10.39,10.20,10.20,372000,9.989691
2016-01-06,10.60,10.63,10.45,10.50,295100,10.283505
2016-01-05,10.62,10.74,10.59,10.67,289700,10.45
2016-01-04,10.51,10.60,10.34,10.59,360700,10.37165
2015-12-31,10.49,10.64,10.47,10.51,389500,10.293299
2015-12-30,10.62,10.68,10.49,10.49,410600,10.273711
2015-12-29,10.70,10.77,10.53,10.60,545700,10.381444
2015-12-28,10.94,11.03,10.73,10.77,392700,10.45
2015-12-24,10.79,11.05,10.75,11.02,387100,10.692572
2015-12-23,10.58,10.85,10.51,10.85,854700,10.527623
2015-12-22,10.40,10.59,10.36,10.57,589600,10.255942
2015-12-21,10.42,10.44,10.36,10.42,399400,10.110399
2015-12-18,10.43,10.46,10.34,10.41,303100,10.100696
2015-12-17,10.46,10.52,10.38,10.40,537200,10.090993
2015-12-16,9.98,10.49,9.98,10.44,715400,10.129804
2015-12-15,9.86,10.14,9.86,10.01,666400,9.712581
2015-12-14,10.11,10.16,9.79,9.85,978100,9.557335
2015-12-11,10.28,10.39,10.14,10.17,641300,9.867827
2015-12-10,10.41,10.47,10.36,10.42,316600,10.110399
2015-12-09,10.55,10.64,10.43,10.44,569300,10.129804
2015-12-08,10.69,10.73,10.61,10.63,290900,10.314159
2015-12-07,10.86,10.87,10.74,10.84,203100,10.420891
2015-12-04,10.87,10.98,10.86,10.92,288700,10.497798
2015-12-03,11.03,11.03,10.84,10.91,205600,10.488184
2015-12-02,11.01,11.07,10.96,10.99,235600,10.565091
2015-12-01,10.97,11.06,10.96,11.01,192100,10.584318
2015-11-30,10.92,11.01,10.85,11.00,219400,10.574705
2015-11-27,10.86,10.91,10.84,10.89,60900,10.468958
2015-11-25,10.82,10.94,10.82,10.85,180200,10.430505
2015-11-24,10.80,10.88,10.79,10.84,197800,10.420891
2015-11-23,10.94,11.00,10.83,10.87,186000,10.449731
2015-11-20,11.03,11.06,10.89,10.90,144900,10.478571
2015-11-19,11.07,11.09,10.92,11.03,197900,10.603545
2015-11-18,10.98,11.09,10.97,11.05,213100,10.622772
2015-11-17,11.03,11.09,10.95,10.99,246400,10.565091
2015-11-16,10.97,11.12,10.96,11.06,256000,10.632385
2015-11-13,11.04,11.04,10.88,10.93,235500,10.507411
2015-11-12,11.16,11.21,11.03,11.03,151900,10.603545
2015-11-11,11.25,11.28,11.17,11.23,157500,10.795812
2015-11-10,11.17,11.31,11.12,11.25,153500,10.815039
2015-11-09,11.37,11.39,11.16,11.22,141500,10.786199
2015-11-06,11.46,11.47,11.31,11.38,212000,10.940013
2015-11-05,11.65,11.70,11.58,11.58,323700,11.036147
2015-11-04,11.71,11.75,11.64,11.70,190400,11.150511
2015-11-03,11.64,11.72,11.53,11.72,189300,11.169572
2015-11-02,11.64,11.68,11.59,11.65,225900,11.102859
2015-10-30,11.55,11.64,11.55,11.61,172900,11.064737
2015-10-29,11.57,11.61,11.55,11.58,133700,11.036147
2015-10-28,11.55,11.72,11.51,11.59,201300,11.045677
2015-10-27,11.62,11.62,11.49,11.55,225500,11.007556
2015-10-26,11.63,11.63,11.53,11.62,126000,11.074268
2015-10-23,11.61,11.71,11.54,11.61,215000,11.064737
2015-10-22,11.52,11.59,11.51,11.53,209300,10.988495
2015-10-21,11.55,11.59,11.45,11.49,158800,10.950373
2015-10-20,11.50,11.54,11.45,11.53,175800,10.988495
2015-10-19,11.40,11.52,11.33,11.51,125600,10.969434
2015-10-16,11.31,11.46,11.30,11.40,181500,10.8646
2015-10-15,11.31,11.37,11.25,11.35,373900,10.816949
2015-10-14,11.29,11.30,11.20,11.22,131100,10.693054
2015-10-13,11.32,11.40,11.24,11.26,202900,10.731176
2015-10-12,11.32,11.40,11.31,11.37,285900,10.836009
2015-10-09,11.13,11.32,11.13,11.30,241200,10.769297
2015-10-08,10.95,11.16,10.95,11.16,232200,10.635872
2015-10-07,10.90,11.06,10.87,11.02,286800,10.502447
2015-10-06,10.71,11.03,10.71,10.96,254100,10.349962
2015-10-05,10.71,10.82,10.67,10.73,411400,10.132763
2015-10-02,10.63,10.70,10.55,10.65,307500,10.057216
2015-10-01,10.82,10.90,10.73,10.73,184700,10.132763
2015-09-30,10.78,10.92,10.78,10.87,335300,10.264971
2015-09-29,10.85,10.97,10.68,10.78,343700,10.17998
2015-09-28,11.20,11.20,10.87,10.92,369800,10.312188
2015-09-25,11.28,11.34,11.16,11.18,263000,10.557717
2015-09-24,11.23,11.28,11.12,11.22,298200,10.59549
2015-09-23,11.34,11.44,11.30,11.30,107100,10.671037
2015-09-22,11.46,11.48,11.28,11.34,149400,10.708811
2015-09-21,11.43,11.56,11.42,11.52,211000,10.878792
2015-09-18,11.22,11.50,11.22,11.48,248900,10.841018
2015-09-17,11.18,11.39,11.17,11.33,308000,10.699367
2015-09-16,11.03,11.26,11.00,11.23,368200,10.604933
2015-09-15,10.84,11.05,10.84,11.03,224400,10.416065
2015-09-14,10.94,10.94,10.75,10.82,302300,10.217754
2015-09-11,10.91,11.05,10.89,10.92,323800,10.312188
2015-09-10,11.05,11.12,10.89,10.91,366700,10.302745
2015-09-09,11.06,11.19,11.03,11.05,324400,10.434952
2015-09-08,10.98,11.08,10.93,10.99,417900,10.378292
2015-09-04,11.06,11.09,10.97,11.03,185000,10.321631
2015-09-03,11.19,11.34,11.10,11.12,229700,10.405851
2015-09-02,11.27,11.33,11.12,11.14,301200,10.424567
2015-09-01,11.28,11.33,11.15,11.22,350300,10.499429
2015-08-31,11.42,11.46,11.34,11.37,280200,10.639795
2015-08-28,11.30,11.50,11.30,11.47,209600,10.733373
2015-08-27,11.20,11.47,11.15,11.42,331300,10.686584
2015-08-26,10.96,11.15,10.92,11.15,359200,10.433924
2015-08-25,11.09,11.27,10.85,10.85,349900,10.153191
2015-08-24,10.75,11.16,10.01,10.87,786100,10.171906
2015-08-21,11.79,11.82,11.48,11.51,318400,10.770805
2015-08-20,11.83,11.89,11.71,11.86,369600,11.098326
2015-08-19,11.89,11.97,11.85,11.88,290700,11.117042
2015-08-18,11.88,12.00,11.82,11.97,261400,11.201262
2015-08-17,11.87,11.92,11.81,11.85,371700,11.088969
2015-08-14,11.96,11.98,11.85,11.91,235100,11.145115
2015-08-13,11.96,11.98,11.91,11.95,128800,11.182546
2015-08-12,11.78,11.95,11.75,11.94,318900,11.173188
2015-08-11,12.03,12.07,11.83,11.91,240900,11.145115
2015-08-10,12.15,12.22,11.93,12.09,345900,11.313556
2015-08-07,12.23,12.27,12.13,12.13,186800,11.350987
2015-08-06,12.35,12.38,12.25,12.34,173800,11.453923
2015-08-05,12.40,12.50,12.35,12.35,200300,11.463205
2015-08-04,12.32,12.48,12.30,12.42,254800,11.528178
2015-08-03,12.39,12.41,12.25,12.28,384300,11.398231
2015-07-31,12.12,12.28,12.12,12.28,295800,11.398231
2015-07-30,12.20,12.21,12.11,12.11,429300,11.240438
2015-07-29,12.15,12.30,12.13,12.21,425000,11.333257
2015-07-28,12.16,12.27,12.08,12.21,589300,11.333257
2015-07-27,12.13,12.24,12.01,12.22,236600,11.34254
2015-07-24,12.28,12.44,12.19,12.23,394500,11.351821
2015-07-23,12.40,12.68,12.23,12.31,779200,11.426077
2015-07-22,12.77,12.81,12.43,12.44,361900,11.546742
2015-07-21,12.95,13.02,12.73,12.79,274900,11.87161
2015-07-20,13.22,13.23,12.95,12.98,155300,12.047967
2015-07-17,13.23,13.29,13.20,13.27,187300,12.317144
2015-07-16,13.16,13.31,13.16,13.29,166100,12.335708
2015-07-15,13.25,13.26,13.12,13.16,219400,12.215042
2015-07-14,13.04,13.20,13.04,13.18,185300,12.233606
2015-07-13,13.18,13.18,13.05,13.06,202900,12.122223
2015-07-10,13.05,13.15,13.01,13.08,178400,12.140787
2015-07-09,13.08,13.16,12.99,13.00,152600,12.066531
2015-07-08,13.12,13.23,13.03,13.05,262800,12.112941
2015-07-07,13.25,13.50,13.17,13.33,253600,12.280016
2015-07-06,13.26,13.35,13.21,13.31,133800,12.261592
2015-07-02,13.54,13.58,13.31,13.39,299900,12.33529
2015-07-01,13.43,13.55,13.35,13.51,238400,12.445838
2015-06-30,12.91,13.32,12.91,13.29,342900,12.243167
2015-06-29,13.19,13.21,12.76,12.92,547600,11.902311
2015-06-26,13.87,13.87,13.31,13.32,426600,12.270803
2015-06-25,14.01,14.05,13.85,13.87,194000,12.777481
2015-06-24,14.14,14.18,13.98,13.99,154600,12.888029
2015-06-23,14.15,14.25,14.12,14.19,94200,13.072275
2015-06-22,14.19,14.20,14.09,14.14,111200,13.026214
2015-06-19,14.11,14.23,14.08,14.16,84100,13.044638
2015-06-18,14.07,14.20,14.06,14.14,302400,13.026214
2015-06-17,14.06,14.24,14.04,14.15,162600,13.035425
2015-06-16,13.90,14.07,13.90,14.04,112000,12.93409
2015-06-15,14.00,14.03,13.90,13.91,166600,12.81433
2015-06-12,14.07,14.12,13.95,14.04,160400,12.93409
2015-06-11,14.25,14.25,14.08,14.08,148800,12.97094
2015-06-10,14.29,14.32,14.10,14.20,169800,13.081487
2015-06-09,14.32,14.35,14.28,14.33,113700,13.201247
2015-06-08,14.36,14.42,14.25,14.38,140400,13.247309
2015-06-05,14.47,14.53,14.33,14.47,195800,13.238097
2015-06-04,14.42,14.55,14.34,14.49,128400,13.256394
2015-06-03,14.42,14.49,14.37,14.48,118800,13.247245
2015-06-02,14.39,14.39,14.27,14.34,136400,13.119164
2015-06-01,14.42,14.47,14.32,14.33,122300,13.110016
2015-05-29,14.49,14.50,14.35,14.35,152500,13.128313
2015-05-28,14.31,14.55,14.31,14.52,167300,13.28384
2015-05-27,14.13,14.44,14.13,14.43,114500,13.201502
2015-05-26,14.28,14.28,14.10,14.16,181800,12.954489
2015-05-22,14.26,14.30,14.23,14.23,136200,13.018529
2015-05-21,14.29,14.33,14.24,14.32,157000,13.100867
2015-05-20,14.36,14.36,14.22,14.28,105400,13.064272
2015-05-19,14.38,14.44,14.23,14.39,151700,13.164908
2015-05-18,14.33,14.41,14.27,14.38,161100,13.155759
2015-05-15,14.28,14.36,14.17,14.36,141200,13.137461
2015-05-14,14.27,14.32,14.14,14.16,234500,12.954489
2015-05-13,14.25,14.35,14.21,14.33,147800,13.110016
2015-05-12,14.04,14.26,14.02,14.21,98300,13.000232
2015-05-11,14.25,14.28,14.08,14.10,174000,12.899597
2015-05-08,14.36,14.37,14.23,14.26,131400,13.045975
2015-05-07,14.30,14.45,14.29,14.41,187700,13.091718
2015-05-06,14.25,14.33,14.23,14.30,148400,12.991781
2015-05-05,14.12,14.28,14.11,14.28,197200,12.973611
2015-05-04,14.20,14.28,14.13,14.15,140500,12.855503
2015-05-01,14.16,14.30,14.16,14.18,128700,12.88276
2015-04-30,14.26,14.31,14.11,14.17,186300,12.873674
2015-04-29,14.36,14.40,14.27,14.30,112400,12.991781
2015-04-28,14.35,14.40,14.26,14.36,137300,13.046292
2015-04-27,14.42,14.47,14.26,14.31,171800,13.000867
2015-04-24,14.48,14.54,14.35,14.37,261000,13.055377
2015-04-23,14.63,14.63,14.53,14.55,148600,13.21891
2015-04-22,14.34,14.66,14.33,14.63,211200,13.291592
2015-04-21,14.48,14.50,14.25,14.30,201200,12.991781
2015-04-20,14.55,14.62,14.41,14.41,143800,13.091718
2015-04-17,14.52,14.53,14.40,14.52,90400,13.191655
2015-04-16,14.50,14.57,14.48,14.54,118700,13.209825
2015-04-15,14.54,14.56,14.45,14.50,177900,13.173484
2015-04-14,14.36,14.55,14.32,14.54,110200,13.209825
2015-04-13,14.51,14.58,14.36,14.37,191100,13.055377
2015-04-10,14.54,14.56,14.46,14.47,181200,13.146229
2015-04-09,14.41,14.53,14.38,14.50,319100,13.173484
2015-04-08,14.44,14.52,14.39,14.42,219200,13.100803
2015-04-07,14.28,14.60,14.25,14.60,243300,13.173485
2015-04-06,14.10,14.37,14.05,14.34,154900,12.938888
2015-04-02,14.23,14.30,14.14,14.15,177300,12.767452
2015-04-01,14.19,14.30,14.07,14.30,129300,12.902796
2015-03-31,14.14,14.20,14.05,14.17,118600,12.785498
2015-03-30,14.24,14.29,14.20,14.21,150200,12.82159
2015-03-27,14.00,14.21,14.00,14.17,123100,12.785498
2015-03-26,14.25,14.25,14.02,14.03,387400,12.659177
2015-03-25,14.42,14.48,14.27,14.27,198500,12.875728
2015-03-24,14.41,14.52,14.35,14.49,162200,13.074232
2015-03-23,14.50,14.55,14.43,14.43,110200,13.020095
2015-03-20,14.43,14.55,14.43,14.50,154400,13.083255
2015-03-19,14.44,14.46,14.39,14.42,90100,13.011072
2015-03-18,14.26,14.50,14.24,14.45,149100,13.03814
2015-03-17,14.33,14.38,14.25,14.31,136200,12.91182
2015-03-16,14.33,14.39,14.29,14.34,216500,12.938888
2015-03-13,14.29,14.35,14.19,14.26,200900,12.866705
2015-03-12,14.22,14.35,14.15,14.28,184500,12.88475
2015-03-11,14.28,14.30,14.16,14.25,143400,12.857682
2015-03-10,14.24,14.35,14.07,14.32,241400,12.920842
2015-03-09,14.36,14.45,14.31,14.34,210600,12.938888
2015-03-06,14.65,14.74,14.44,14.51,178000,13.002049
2015-03-05,14.87,14.88,14.71,14.73,154500,13.199185
2015-03-04,14.63,14.89,14.58,14.85,218100,13.306715
2015-03-03,14.53,14.70,14.48,14.68,141700,13.154382
