Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,2.75,2.81,2.75,2.79,268100,2.79
2016-03-10,2.75,2.78,2.74,2.75,145100,2.75
2016-03-09,2.75,2.76,2.73,2.73,142600,2.73
2016-03-08,2.74,2.76,2.73,2.75,451000,2.75
2016-03-07,2.72,2.76,2.70,2.73,410500,2.73
2016-03-04,2.75,2.75,2.73,2.74,402100,2.718
2016-03-03,2.73,2.77,2.71,2.75,271900,2.72792
2016-03-02,2.72,2.73,2.71,2.72,150600,2.698161
2016-03-01,2.70,2.73,2.70,2.72,93700,2.698161
2016-02-29,2.69,2.71,2.68,2.71,116500,2.688241
2016-02-26,2.67,2.69,2.67,2.69,160000,2.668401
2016-02-25,2.68,2.69,2.66,2.67,183300,2.648562
2016-02-24,2.70,2.70,2.67,2.70,102100,2.678321
2016-02-23,2.68,2.70,2.67,2.70,130200,2.678321
2016-02-22,2.69,2.69,2.67,2.68,151900,2.658482
2016-02-19,2.66,2.70,2.65,2.67,149800,2.648562
2016-02-18,2.64,2.68,2.64,2.68,275100,2.658482
2016-02-17,2.62,2.65,2.61,2.65,237900,2.628723
2016-02-16,2.61,2.62,2.58,2.60,148300,2.579124
2016-02-12,2.56,2.60,2.55,2.59,273700,2.569204
2016-02-11,2.57,2.59,2.55,2.55,521200,2.529525
2016-02-10,2.61,2.63,2.58,2.58,207800,2.559285
2016-02-09,2.63,2.63,2.59,2.60,340000,2.579124
2016-02-08,2.66,2.66,2.62,2.65,62800,2.628723
2016-02-05,2.67,2.67,2.65,2.66,88200,2.638642
2016-02-04,2.68,2.70,2.67,2.69,30800,2.646578
2016-02-03,2.68,2.71,2.66,2.70,85100,2.656417
2016-02-02,2.69,2.70,2.67,2.70,74100,2.656417
2016-02-01,2.71,2.71,2.69,2.70,76400,2.656417
2016-01-29,2.69,2.71,2.69,2.71,92600,2.666255
2016-01-28,2.68,2.72,2.66,2.70,105700,2.656417
2016-01-27,2.67,2.71,2.66,2.67,107600,2.626901
2016-01-26,2.65,2.70,2.65,2.69,90400,2.646578
2016-01-25,2.67,2.68,2.65,2.65,52800,2.607224
2016-01-22,2.68,2.70,2.67,2.67,109700,2.626901
2016-01-21,2.67,2.68,2.61,2.67,220600,2.626901
2016-01-20,2.66,2.66,2.59,2.65,238000,2.607224
2016-01-19,2.68,2.70,2.63,2.67,210600,2.626901
2016-01-15,2.71,2.72,2.63,2.67,221200,2.626901
2016-01-14,2.73,2.75,2.72,2.74,178200,2.695771
2016-01-13,2.76,2.77,2.73,2.73,130600,2.685932
2016-01-12,2.78,2.79,2.75,2.77,115800,2.725287
2016-01-11,2.78,2.80,2.76,2.78,158800,2.735125
2016-01-08,2.78,2.79,2.76,2.78,98100,2.735125
2016-01-07,2.78,2.81,2.76,2.80,140500,2.733158
2016-01-06,2.82,2.84,2.76,2.76,128800,2.694113
2016-01-05,2.78,2.86,2.78,2.86,98500,2.791725
2016-01-04,2.78,2.80,2.76,2.80,115900,2.733158
2015-12-31,2.79,2.81,2.77,2.78,137400,2.713635
2015-12-30,2.78,2.82,2.78,2.80,135000,2.733158
2015-12-29,2.79,2.81,2.78,2.80,113200,2.733158
2015-12-28,2.79,2.82,2.76,2.80,150400,2.733158
2015-12-24,2.85,2.85,2.80,2.80,160400,2.733158
2015-12-23,2.82,2.86,2.80,2.82,202200,2.75268
2015-12-22,2.79,2.85,2.76,2.81,172500,2.742919
2015-12-21,2.83,2.89,2.78,2.79,226300,2.723396
2015-12-18,2.81,2.83,2.79,2.81,149400,2.742919
2015-12-17,2.84,2.84,2.77,2.81,175500,2.742919
2015-12-16,2.75,2.82,2.73,2.82,247700,2.75268
2015-12-15,2.72,2.76,2.68,2.73,262200,2.664829
2015-12-14,2.67,2.70,2.67,2.70,256900,2.635545
2015-12-11,2.74,2.75,2.68,2.69,277400,2.625784
2015-12-10,2.76,2.78,2.75,2.78,106400,2.713635
2015-12-09,2.75,2.79,2.75,2.78,151600,2.713635
2015-12-08,2.82,2.82,2.75,2.75,393600,2.684351
2015-12-07,2.84,2.87,2.78,2.82,382600,2.75268
2015-12-04,2.85,2.87,2.84,2.85,137300,2.760489
2015-12-03,2.86,2.86,2.82,2.85,243500,2.760489
2015-12-02,2.87,2.87,2.85,2.85,103100,2.760489
2015-12-01,2.85,2.87,2.84,2.87,122100,2.779861
2015-11-30,2.86,2.86,2.84,2.86,117900,2.770175
2015-11-27,2.86,2.86,2.85,2.86,63900,2.770175
2015-11-25,2.83,2.86,2.83,2.86,106200,2.770175
2015-11-24,2.84,2.86,2.81,2.83,192900,2.741117
2015-11-23,2.82,2.84,2.82,2.83,142000,2.741117
2015-11-20,2.83,2.85,2.81,2.84,170100,2.750803
2015-11-19,2.82,2.83,2.81,2.83,106200,2.741117
2015-11-18,2.84,2.85,2.82,2.83,193700,2.741117
2015-11-17,2.84,2.85,2.82,2.84,198400,2.750803
2015-11-16,2.82,2.84,2.81,2.82,124600,2.731431
2015-11-13,2.82,2.83,2.81,2.82,97700,2.731431
2015-11-12,2.85,2.87,2.81,2.81,157200,2.721745
2015-11-11,2.84,2.86,2.84,2.84,161500,2.750803
2015-11-10,2.82,2.88,2.82,2.85,143600,2.760489
2015-11-09,2.89,2.90,2.84,2.84,274000,2.750803
2015-11-06,2.92,2.93,2.89,2.89,252200,2.799233
2015-11-05,2.94,2.95,2.94,2.95,78400,2.836039
2015-11-04,2.93,2.96,2.93,2.94,358400,2.826426
2015-11-03,2.94,2.96,2.92,2.94,801700,2.826426
2015-11-02,2.91,2.95,2.91,2.94,126000,2.826426
2015-10-30,2.92,2.93,2.91,2.92,96200,2.807198
2015-10-29,2.91,2.92,2.89,2.92,126100,2.807198
2015-10-28,2.91,2.93,2.90,2.92,107300,2.807198
2015-10-27,2.91,2.92,2.90,2.92,94400,2.807198
2015-10-26,2.92,2.95,2.91,2.91,108200,2.797585
2015-10-23,2.93,2.95,2.90,2.93,136200,2.816812
2015-10-22,2.90,2.94,2.90,2.93,195600,2.816812
2015-10-21,2.90,2.91,2.89,2.91,94900,2.797585
2015-10-20,2.90,2.93,2.89,2.91,133700,2.797585
2015-10-19,2.90,2.92,2.89,2.91,156800,2.797585
2015-10-16,2.88,2.90,2.87,2.90,112200,2.787971
2015-10-15,2.86,2.87,2.86,2.87,195200,2.75913
2015-10-14,2.88,2.91,2.85,2.85,465000,2.739902
2015-10-13,2.88,2.90,2.85,2.88,375200,2.768744
2015-10-12,2.88,2.91,2.88,2.89,145800,2.778357
2015-10-09,2.86,2.91,2.86,2.90,349700,2.787971
2015-10-08,2.81,2.86,2.79,2.85,192300,2.739902
2015-10-07,2.81,2.83,2.78,2.82,277100,2.711061
2015-10-06,2.81,2.83,2.81,2.83,122100,2.699525
2015-10-05,2.79,2.83,2.79,2.81,93900,2.680447
2015-10-02,2.81,2.81,2.77,2.79,100100,2.661369
2015-10-01,2.84,2.84,2.80,2.81,166200,2.680447
2015-09-30,2.81,2.83,2.80,2.83,190400,2.699525
2015-09-29,2.82,2.85,2.80,2.80,146400,2.670908
2015-09-28,2.88,2.88,2.82,2.83,172800,2.699525
2015-09-25,2.88,2.90,2.87,2.88,78500,2.74722
2015-09-24,2.87,2.89,2.85,2.89,181600,2.756759
2015-09-23,2.89,2.90,2.87,2.87,108300,2.737681
2015-09-22,2.86,2.89,2.85,2.89,201700,2.756759
2015-09-21,2.89,2.90,2.87,2.87,123500,2.737681
2015-09-18,2.85,2.89,2.85,2.87,109200,2.737681
2015-09-17,2.88,2.89,2.84,2.89,404600,2.756759
2015-09-16,2.88,2.89,2.86,2.88,136700,2.74722
2015-09-15,2.86,2.87,2.84,2.87,148000,2.737681
2015-09-14,2.87,2.88,2.87,2.87,149600,2.737681
2015-09-11,2.86,2.88,2.86,2.87,63300,2.737681
2015-09-10,2.86,2.89,2.86,2.87,63900,2.737681
2015-09-09,2.89,2.89,2.85,2.86,78100,2.728142
2015-09-08,2.89,2.89,2.86,2.88,143700,2.74722
2015-09-04,2.91,2.92,2.88,2.90,164200,2.745312
2015-09-03,2.92,2.93,2.90,2.91,89800,2.754779
2015-09-02,2.91,2.94,2.89,2.91,233900,2.754779
2015-09-01,2.87,2.91,2.85,2.90,261900,2.745312
2015-08-31,2.88,2.89,2.87,2.88,234600,2.726379
2015-08-28,2.90,2.91,2.87,2.88,167800,2.726379
2015-08-27,2.87,2.91,2.87,2.90,186900,2.745312
2015-08-26,2.85,2.89,2.85,2.88,206900,2.726379
2015-08-25,2.85,2.88,2.82,2.85,225400,2.697979
2015-08-24,2.77,2.87,2.76,2.82,620000,2.669579
2015-08-21,2.91,2.94,2.88,2.91,159900,2.754779
2015-08-20,2.92,2.94,2.91,2.92,100300,2.764245
2015-08-19,2.93,2.94,2.92,2.94,104000,2.783178
2015-08-18,2.95,2.96,2.92,2.95,176700,2.792645
2015-08-17,2.95,2.95,2.92,2.95,128500,2.792645
2015-08-14,2.93,2.96,2.93,2.95,210500,2.792645
2015-08-13,2.94,2.95,2.92,2.92,68700,2.764245
2015-08-12,2.93,2.96,2.91,2.94,103400,2.783178
2015-08-11,2.95,2.96,2.94,2.96,155500,2.802112
2015-08-10,2.99,3.00,2.95,2.96,314500,2.802112
2015-08-07,2.99,3.00,2.98,2.98,169000,2.821045
2015-08-06,3.03,3.03,3.00,3.03,143600,2.847551
2015-08-05,3.03,3.05,3.01,3.03,185400,2.847551
2015-08-04,3.00,3.04,3.00,3.04,152600,2.856949
2015-08-03,3.01,3.03,3.01,3.02,47400,2.838153
2015-07-31,3.03,3.03,3.01,3.03,95100,2.847551
2015-07-30,2.99,3.03,2.98,3.01,221800,2.828755
2015-07-29,2.98,3.02,2.97,3.00,208300,2.819358
2015-07-28,2.98,3.00,2.97,2.99,101900,2.80996
2015-07-27,2.96,3.00,2.96,2.97,156200,2.791164
2015-07-24,3.01,3.03,2.98,3.00,215700,2.819358
2015-07-23,3.06,3.06,3.00,3.03,253100,2.847551
2015-07-22,3.06,3.07,3.04,3.05,119700,2.866347
2015-07-21,3.05,3.09,3.05,3.09,174700,2.903938
2015-07-20,3.09,3.09,3.06,3.06,174100,2.875745
2015-07-17,3.08,3.09,3.07,3.08,133900,2.89454
2015-07-16,3.09,3.10,3.08,3.09,115500,2.903938
2015-07-15,3.08,3.09,3.07,3.07,91200,2.885142
2015-07-14,3.08,3.10,3.07,3.07,130900,2.885142
2015-07-13,3.09,3.11,3.08,3.08,179000,2.89454
2015-07-10,3.09,3.11,3.09,3.09,188800,2.903938
2015-07-09,3.11,3.12,3.09,3.09,51400,2.903938
2015-07-08,3.10,3.11,3.08,3.11,118200,2.922734
2015-07-07,3.12,3.13,3.11,3.13,168200,2.920855
2015-07-06,3.12,3.14,3.12,3.12,85400,2.911523
2015-07-02,3.17,3.18,3.13,3.15,159800,2.939518
2015-07-01,3.18,3.19,3.12,3.19,76800,2.976845
2015-06-30,3.09,3.20,3.08,3.20,129200,2.986177
2015-06-29,3.09,3.11,3.06,3.08,237800,2.874195
2015-06-26,3.11,3.14,3.10,3.10,201300,2.892859
2015-06-25,3.16,3.17,3.13,3.13,140500,2.920855
2015-06-24,3.17,3.19,3.16,3.16,104400,2.94885
2015-06-23,3.18,3.19,3.17,3.18,52100,2.967514
2015-06-22,3.20,3.21,3.18,3.18,165300,2.967514
2015-06-19,3.20,3.20,3.18,3.19,90900,2.976845
2015-06-18,3.18,3.20,3.17,3.19,90800,2.976845
2015-06-17,3.18,3.18,3.17,3.18,69300,2.967514
2015-06-16,3.18,3.19,3.16,3.18,171500,2.967514
2015-06-15,3.19,3.19,3.17,3.17,72600,2.958182
2015-06-12,3.20,3.20,3.18,3.18,68300,2.967514
2015-06-11,3.16,3.22,3.16,3.22,134100,3.004841
2015-06-10,3.16,3.19,3.16,3.19,98200,2.976845
2015-06-09,3.19,3.20,3.17,3.17,93500,2.958182
2015-06-08,3.22,3.22,3.19,3.19,105800,2.976845
2015-06-05,3.20,3.22,3.20,3.22,118700,3.004841
2015-06-04,3.24,3.26,3.23,3.23,107800,2.993643
2015-06-03,3.24,3.25,3.23,3.24,248700,3.002911
2015-06-02,3.23,3.24,3.23,3.24,116100,3.002911
2015-06-01,3.23,3.25,3.23,3.23,129600,2.993643
2015-05-29,3.25,3.26,3.24,3.24,118800,3.002911
2015-05-28,3.24,3.25,3.23,3.25,89400,3.012179
2015-05-27,3.24,3.24,3.23,3.24,122500,3.002911
2015-05-26,3.25,3.25,3.24,3.24,88700,3.002911
2015-05-22,3.25,3.26,3.23,3.25,123800,3.012179
2015-05-21,3.23,3.26,3.23,3.25,123400,3.012179
2015-05-20,3.23,3.24,3.22,3.24,103700,3.002911
2015-05-19,3.23,3.24,3.22,3.23,85000,2.993643
2015-05-18,3.22,3.23,3.22,3.22,133600,2.984374
2015-05-15,3.24,3.24,3.22,3.22,147500,2.984374
2015-05-14,3.23,3.27,3.23,3.23,273200,2.993643
2015-05-13,3.25,3.25,3.23,3.23,107200,2.993643
2015-05-12,3.22,3.24,3.22,3.23,212000,2.993643
2015-05-11,3.22,3.23,3.22,3.23,136500,2.993643
2015-05-08,3.23,3.24,3.22,3.22,129500,2.984374
2015-05-07,3.22,3.25,3.22,3.23,136900,2.993643
2015-05-06,3.26,3.27,3.24,3.24,126400,2.982521
2015-05-05,3.26,3.27,3.25,3.26,164100,3.000931
2015-05-04,3.27,3.27,3.25,3.26,143300,3.000931
2015-05-01,3.26,3.28,3.26,3.27,104600,3.010137
2015-04-30,3.24,3.27,3.22,3.26,276300,3.000931
2015-04-29,3.24,3.25,3.22,3.23,183000,2.973315
2015-04-28,3.25,3.25,3.24,3.25,240000,2.991726
2015-04-27,3.26,3.27,3.23,3.26,369400,3.000931
2015-04-24,3.27,3.27,3.25,3.25,199200,2.991726
2015-04-23,3.26,3.27,3.25,3.27,132200,3.010137
2015-04-22,3.26,3.27,3.25,3.25,203400,2.991726
2015-04-21,3.27,3.27,3.25,3.26,208900,3.000931
2015-04-20,3.27,3.29,3.26,3.26,235600,3.000931
2015-04-17,3.27,3.27,3.25,3.26,230700,3.000931
2015-04-16,3.25,3.28,3.24,3.28,317500,3.019342
2015-04-15,3.22,3.25,3.21,3.25,119000,2.991726
2015-04-14,3.22,3.23,3.21,3.22,165900,2.96411
2015-04-13,3.22,3.24,3.22,3.22,102200,2.96411
2015-04-10,3.23,3.24,3.23,3.24,79900,2.982521
2015-04-09,3.25,3.25,3.22,3.23,129100,2.973315
2015-04-08,3.24,3.25,3.22,3.22,98400,2.96411
2015-04-07,3.24,3.27,3.24,3.25,101100,2.971474
2015-04-06,3.25,3.25,3.24,3.24,65100,2.962331
2015-04-02,3.22,3.25,3.22,3.25,92300,2.971474
2015-04-01,3.22,3.24,3.22,3.22,64300,2.944045
2015-03-31,3.22,3.25,3.21,3.21,109000,2.934902
2015-03-30,3.23,3.23,3.22,3.23,119200,2.953188
2015-03-27,3.21,3.22,3.20,3.22,132900,2.944045
2015-03-26,3.23,3.23,3.21,3.21,82200,2.934902
2015-03-25,3.23,3.24,3.21,3.22,115300,2.944045
2015-03-24,3.21,3.25,3.20,3.23,337000,2.953188
2015-03-23,3.21,3.23,3.21,3.21,181500,2.934902
2015-03-20,3.22,3.22,3.21,3.21,128500,2.934902
2015-03-19,3.23,3.23,3.21,3.21,145600,2.934902
2015-03-18,3.22,3.24,3.21,3.24,90200,2.962331
2015-03-17,3.24,3.24,3.20,3.22,159800,2.944045
2015-03-16,3.23,3.25,3.22,3.23,79100,2.953188
2015-03-13,3.22,3.23,3.21,3.23,66300,2.953188
2015-03-12,3.22,3.24,3.22,3.22,76800,2.944045
2015-03-11,3.22,3.25,3.22,3.22,126200,2.944045
2015-03-10,3.21,3.23,3.21,3.22,161800,2.944045
2015-03-09,3.20,3.25,3.20,3.23,182400,2.953188
2015-03-06,3.25,3.26,3.21,3.23,207500,2.953188
2015-03-05,3.27,3.28,3.26,3.27,183000,2.969646
2015-03-04,3.28,3.28,3.26,3.27,101700,2.969646
2015-03-03,3.28,3.28,3.26,3.27,122100,2.969646
2015-03-02,3.28,3.32,3.28,3.28,193800,2.978727
2015-02-27,3.27,3.30,3.27,3.30,125000,2.99689
2015-02-26,3.27,3.28,3.26,3.28,164400,2.978727
2015-02-25,3.31,3.31,3.29,3.29,114200,2.987809
2015-02-24,3.28,3.32,3.27,3.31,414000,3.005972
2015-02-23,3.21,3.28,3.21,3.28,432400,2.978727
2015-02-20,3.19,3.22,3.19,3.22,468400,2.924238
2015-02-19,3.21,3.21,3.19,3.19,167700,2.896994
2015-02-18,3.22,3.22,3.19,3.21,167600,2.915157
2015-02-17,3.21,3.23,3.20,3.21,184200,2.915157
2015-02-13,3.22,3.24,3.20,3.22,275500,2.924238
2015-02-12,3.23,3.24,3.21,3.23,212600,2.93332
2015-02-11,3.23,3.24,3.21,3.24,139100,2.942401
