Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,10.21,10.45,10.06,10.45,4300,10.45
2016-03-10,10.70,10.85,10.62,10.62,1300,10.62
2016-03-09,10.24,10.36,10.07,10.36,5800,10.36
2016-03-08,10.36,10.36,10.03,10.04,2200,10.04
2016-03-07,9.64,10.30,9.64,10.30,9200,10.30
2016-03-04,10.99,11.08,9.66,9.92,14700,9.92
2016-03-03,11.01,11.01,10.53,10.85,6700,10.85
2016-03-02,10.87,10.89,10.44,10.80,6900,10.75
2016-03-01,10.83,10.86,10.44,10.79,9500,10.740046
2016-02-29,10.60,10.99,10.45,10.75,14300,10.700232
2016-02-26,10.56,10.60,10.47,10.58,1800,10.531019
2016-02-25,10.43,10.47,10.19,10.47,400,10.421528
2016-02-24,10.40,10.49,10.00,10.47,5400,10.421528
2016-02-23,10.35,10.55,9.90,10.40,8300,10.351852
2016-02-22,10.19,10.43,9.88,10.15,3800,10.103009
2016-02-19,10.05,10.05,10.05,10.05,300,10.003473
2016-02-18,10.35,10.35,10.35,10.35,000,10.302084
2016-02-17,10.35,10.35,10.35,10.35,000,10.302084
2016-02-16,10.15,10.40,10.15,10.35,1800,10.302084
2016-02-12,10.30,10.30,10.30,10.30,000,10.252315
2016-02-11,10.30,10.30,10.29,10.30,400,10.252315
2016-02-10,10.42,10.60,10.42,10.48,1200,10.431481
2016-02-09,10.43,10.75,10.38,10.40,800,10.351852
2016-02-08,10.49,10.49,10.49,10.49,000,10.441435
2016-02-05,10.49,10.49,10.49,10.49,000,10.441435
2016-02-04,10.45,10.51,10.45,10.49,500,10.441435
2016-02-03,10.30,10.40,10.20,10.20,1200,10.152778
2016-02-02,10.10,10.10,10.10,10.10,300,10.053241
2016-02-01,9.65,9.85,9.49,9.85,3000,9.804399
2016-01-29,10.00,10.36,9.85,10.10,2300,10.053241
2016-01-28,9.92,10.04,9.78,9.85,1700,9.804399
2016-01-27,9.75,9.75,9.60,9.60,500,9.555556
2016-01-26,9.65,9.86,9.62,9.62,2300,9.575463
2016-01-25,9.45,10.00,9.37,9.44,1800,9.396296
2016-01-22,10.35,10.35,9.04,9.27,63300,9.227084
2016-01-21,10.01,10.01,8.46,9.50,33700,9.456019
2016-01-20,10.00,10.00,9.64,9.80,11000,9.75463
2016-01-19,10.65,10.65,9.36,9.99,6900,9.94375
2016-01-15,10.28,10.74,10.22,10.37,1300,10.321991
2016-01-14,11.04,11.49,10.13,10.48,36300,10.431481
2016-01-13,11.41,11.85,10.75,10.75,42100,10.700232
2016-01-12,11.16,11.27,10.61,11.22,22200,11.168056
2016-01-11,11.30,11.58,10.91,11.15,21500,11.098379
2016-01-08,11.89,11.89,11.12,11.12,3900,11.068519
2016-01-07,11.68,11.77,11.42,11.68,14700,11.625926
2016-01-06,11.68,11.68,11.68,11.68,3100,11.625926
2016-01-05,11.43,11.68,11.23,11.68,3300,11.625926
2016-01-04,11.40,11.40,11.40,11.40,000,11.347222
2015-12-31,11.25,11.40,11.25,11.40,3200,11.347222
2015-12-30,11.36,11.36,11.34,11.36,5700,11.307407
2015-12-29,11.12,11.12,11.12,11.12,100,11.068519
2015-12-28,11.10,11.10,11.10,11.10,1400,11.048612
2015-12-24,11.30,11.30,11.30,11.30,000,11.247686
2015-12-23,11.11,11.30,11.10,11.30,600,11.247686
2015-12-22,11.39,11.39,11.39,11.39,000,11.337269
2015-12-21,11.39,11.39,11.39,11.39,000,11.337269
2015-12-18,11.39,11.39,11.39,11.39,300,11.337269
2015-12-17,11.31,11.31,11.31,11.31,200,11.25764
2015-12-16,11.21,11.33,11.03,11.03,3500,10.978935
