Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,13.78,14.04,13.67,14.04,245500,14.04
2016-03-10,14.10,14.24,13.92,14.10,282600,13.816
2016-03-09,13.96,14.10,13.95,14.07,185900,13.786604
2016-03-08,14.05,14.09,13.80,13.98,237300,13.698417
2016-03-07,13.85,14.15,13.85,14.05,230700,13.767007
2016-03-04,13.88,13.93,13.80,13.86,191300,13.580834
2016-03-03,13.81,13.82,13.72,13.78,133500,13.502445
2016-03-02,13.69,13.81,13.67,13.74,191400,13.463251
2016-03-01,13.57,13.70,13.45,13.64,144000,13.365266
2016-02-29,13.28,13.62,13.15,13.42,284800,13.149697
2016-02-26,13.27,13.47,13.21,13.33,94800,13.061509
2016-02-25,13.12,13.26,13.07,13.24,93400,12.973322
2016-02-24,12.94,13.13,12.88,13.06,109300,12.796948
2016-02-23,13.07,13.22,12.80,13.12,371700,12.855739
2016-02-22,13.05,13.34,13.00,13.19,302500,12.924329
2016-02-19,12.75,12.97,12.75,12.88,45800,12.620573
2016-02-18,12.85,13.00,12.83,12.86,111100,12.600976
2016-02-17,12.51,12.79,12.51,12.76,260700,12.50299
2016-02-16,12.61,12.72,12.27,12.48,297500,12.228629
2016-02-12,12.40,12.77,12.21,12.61,216800,12.356011
2016-02-11,12.35,12.59,12.08,12.23,409900,11.983665
2016-02-10,12.78,12.83,12.60,12.61,161500,12.356011
2016-02-09,13.09,13.48,12.91,12.99,320800,12.450077
2016-02-08,13.66,13.69,13.01,13.21,263400,12.660933
2016-02-05,13.85,13.86,13.59,13.78,145700,13.207241
2016-02-04,13.86,13.94,13.80,13.82,79300,13.245579
2016-02-03,14.05,14.06,13.65,13.89,113700,13.31267
2016-02-02,13.87,13.92,13.75,13.87,178800,13.293501
2016-02-01,13.70,13.95,13.64,13.93,160700,13.351007
2016-01-29,13.50,13.69,13.45,13.64,183700,13.073061
2016-01-28,13.28,13.39,13.06,13.38,154800,12.823868
2016-01-27,13.00,13.29,12.95,13.06,148200,12.517168
2016-01-26,12.74,13.06,12.74,13.04,133700,12.497999
2016-01-25,12.92,13.07,12.74,12.78,141600,12.248806
2016-01-22,12.36,13.13,12.36,12.85,355700,12.315897
2016-01-21,12.08,12.58,11.74,12.20,619200,11.692913
2016-01-20,12.73,12.73,11.51,12.12,1153900,11.616239
2016-01-19,13.97,14.14,13.01,13.10,488400,12.555506
2016-01-15,14.40,14.63,13.96,13.98,527900,13.398928
2016-01-14,14.72,14.94,14.52,14.74,162000,14.12734
2016-01-13,15.03,15.12,14.50,14.73,279300,14.117755
2016-01-12,15.35,15.44,14.68,15.12,754000,14.21935
2016-01-11,15.38,15.57,15.12,15.32,151800,14.407436
2016-01-08,15.69,15.77,15.15,15.38,358200,14.463863
2016-01-07,15.90,15.96,15.24,15.56,589000,14.633141
2016-01-06,15.95,16.15,15.77,16.030001,223800,15.075145
2016-01-05,15.79,16.09,15.75,16.09,250800,15.13157
2016-01-04,15.57,15.79,15.36,15.76,179700,14.821228
2015-12-31,15.70,15.78,15.60,15.66,98400,14.727184
2015-12-30,15.66,15.70,15.55,15.62,68500,14.689567
2015-12-29,15.64,15.73,15.58,15.72,78800,14.78361
2015-12-28,15.45,15.53,15.40,15.53,72200,14.604927
2015-12-24,15.46,15.56,15.45,15.53,59800,14.604927
2015-12-23,15.38,15.70,15.27,15.50,252000,14.576715
2015-12-22,15.22,15.43,15.21,15.38,202600,14.463863
2015-12-21,15.28,15.40,15.01,15.28,269300,14.369819
2015-12-18,15.65,15.91,15.02,15.02,440400,14.125307
2015-12-17,15.45,15.78,15.29,15.60,448200,14.670758
2015-12-16,14.91,15.42,14.85,15.40,281200,14.482671
2015-12-15,14.66,15.19,14.62,14.90,508800,14.012454
2015-12-14,15.49,15.62,14.03,14.71,656500,13.833772
2015-12-11,15.66,15.83,15.44,15.49,236800,14.56731
2015-12-10,16.280001,16.469999,16.120001,16.23,263700,14.917151
2015-12-09,16.540001,16.60,16.360001,16.370001,148800,15.045828
2015-12-08,16.65,16.65,16.51,16.540001,111000,15.202076
2015-12-07,16.75,16.75,16.51,16.68,108200,15.330751
2015-12-04,16.780001,16.780001,16.41,16.68,199000,15.330751
2015-12-03,16.690001,16.82,16.540001,16.719999,158500,15.367515
