Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,11.40,11.442,11.265,11.33,32600,11.33
2016-03-10,11.40,11.40,11.20,11.30,46300,11.30
2016-03-09,11.60,11.767,11.27,11.29,118800,11.29
2016-03-08,11.80,11.82,11.618,11.68,49600,11.68
2016-03-07,11.50,11.81,11.50,11.80,41600,11.80
2016-03-04,11.50,11.95,11.50,11.54,76300,11.54
2016-03-03,11.30,11.60,11.19,11.54,88700,11.54
2016-03-02,11.02,11.35,11.02,11.24,66900,11.24
2016-03-01,11.03,11.22,10.992,11.11,46000,11.11
2016-02-29,10.56,11.00,10.527,10.98,65400,10.98
2016-02-26,10.63,10.63,10.41,10.52,46800,10.52
2016-02-25,10.42,10.60,10.25,10.50,51500,10.50
2016-02-24,10.25,10.49,10.21,10.49,47100,10.49
2016-02-23,10.45,10.45,10.26,10.26,37100,10.26
2016-02-22,10.52,10.64,10.41,10.48,42000,10.48
2016-02-19,10.52,10.576,10.34,10.47,44700,10.47
2016-02-18,10.67,10.684,10.50,10.63,60600,10.63
2016-02-17,10.76,10.93,10.63,10.68,47500,10.68
2016-02-16,10.90,10.92,10.72,10.77,61900,10.613001
2016-02-12,10.26,10.75,10.26,10.72,43500,10.563729
2016-02-11,10.50,10.59,10.23,10.23,37300,10.080872
2016-02-10,10.72,10.95,10.56,10.60,32400,10.445479
2016-02-09,10.68,10.86,10.50,10.77,63600,10.613001
2016-02-08,10.98,11.16,10.78,10.87,53800,10.711542
2016-02-05,10.99,11.12,10.95,11.02,55000,10.859356
2016-02-04,10.64,11.09,10.64,11.04,52000,10.879064
2016-02-03,10.81,10.89,10.59,10.72,37600,10.563729
2016-02-02,10.71,10.75,10.645,10.75,34200,10.593292
2016-02-01,10.70,10.86,10.70,10.78,54900,10.622854
2016-01-29,10.64,10.98,10.64,10.80,72500,10.642563
2016-01-28,10.68,10.69,10.50,10.64,62600,10.484896
2016-01-27,10.45,10.75,10.284,10.54,60500,10.386353
2016-01-26,10.61,10.785,10.25,10.45,186200,10.297665
2016-01-25,11.03,11.107,10.37,10.62,201000,10.465187
2016-01-22,10.20,11.05,10.20,11.04,164500,10.879064
2016-01-21,10.25,10.52,9.61,10.15,423900,10.002038
2016-01-20,10.57,10.661,9.54,10.17,298700,10.021747
2016-01-19,11.24,11.24,10.91,10.91,97300,10.596248
2016-01-15,11.17,11.24,10.87,11.08,99400,10.761359
2016-01-14,12.12,12.30,11.12,11.39,218100,11.062444
2016-01-13,12.33,12.47,11.93,12.03,318100,11.684038
2016-01-12,12.60,12.64,12.25,12.27,141200,11.917137
2016-01-11,12.65,12.73,12.27,12.44,176300,12.082247
2016-01-08,12.52,12.72,12.35,12.53,71100,12.169659
2016-01-07,12.31,12.76,12.31,12.58,58700,12.218221
2016-01-06,12.33,13.18,12.33,12.57,515400,12.208509
2016-01-05,12.38,12.64,12.16,12.56,67300,12.198797
2016-01-04,12.07,12.38,11.97,12.38,141300,12.023973
2015-12-31,11.87,12.15,11.772,12.08,178000,11.732601
2015-12-30,11.82,11.97,11.82,11.91,116200,11.567489
2015-12-29,12.02,12.08,11.80,11.87,89300,11.52864
2015-12-28,12.25,12.25,11.968,12.02,95100,11.674327
2015-12-24,12.25,12.30,12.17,12.30,44200,11.946274
2015-12-23,12.10,12.30,12.00,12.21,105800,11.858862
2015-12-22,12.02,12.03,11.75,12.03,115000,11.684038
2015-12-21,11.95,12.16,11.75,12.00,187500,11.654901
2015-12-18,12.12,12.20,11.85,11.95,56700,11.606339
