Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,17.059999,17.42,16.83,17.24,253700,17.24
2016-03-10,17.23,17.23,16.549999,16.860001,472400,16.860001
2016-03-09,17.459999,17.540001,16.34,17.280001,118600,17.280001
2016-03-08,18.08,18.08,17.190001,17.27,117100,17.27
2016-03-07,17.76,18.200001,17.610001,18.030001,193000,18.030001
2016-03-04,18.25,18.41,17.59,17.59,215900,17.59
2016-03-03,17.67,17.790001,17.16,17.73,211300,17.73
2016-03-02,16.74,17.809999,16.379999,17.68,180900,17.68
2016-03-01,16.709999,17.18,16.620001,17.00,243500,17.00
2016-02-29,17.01,17.01,16.549999,16.77,357100,16.77
2016-02-26,15.67,17.07,15.67,16.85,630600,16.85
2016-02-25,14.95,15.59,14.87,15.59,307200,15.59
2016-02-24,14.14,15.15,13.81,15.06,325200,15.06
2016-02-23,14.23,14.67,14.13,14.52,326600,14.52
2016-02-22,14.48,14.64,13.97,14.34,226400,14.34
2016-02-19,14.18,14.18,13.48,14.00,257800,14.00
2016-02-18,14.05,14.20,13.37,14.16,311300,14.16
2016-02-17,13.58,13.87,13.29,13.76,278100,13.76
2016-02-16,13.01,13.39,12.61,13.38,295800,13.36
2016-02-12,12.76,12.98,12.35,12.75,229800,12.730942
2016-02-11,12.60,12.83,12.04,12.46,208100,12.441375
2016-02-10,12.85,13.25,12.50,12.81,191000,12.790852
2016-02-09,12.79,13.14,12.47,12.85,411600,12.830793
2016-02-08,13.65,13.65,12.75,13.17,203100,13.150314
2016-02-05,14.55,14.57,13.70,13.90,158000,13.879222
2016-02-04,14.17,14.57,13.70,14.55,500700,14.528251
2016-02-03,14.34,14.34,13.51,14.00,324000,13.979073
2016-02-02,14.31,14.31,13.74,14.25,141400,14.2287
2016-02-01,14.82,15.03,14.08,14.46,175200,14.438386
2016-01-29,14.89,15.60,14.89,14.93,210600,14.907683
2016-01-28,14.20,14.80,14.15,14.75,186200,14.727952
2016-01-27,14.51,14.97,13.86,13.98,149800,13.959103
2016-01-26,13.98,14.70,13.66,14.49,480900,14.468341
2016-01-25,14.92,15.13,13.89,13.89,281400,13.869238
2016-01-22,14.48,15.06,14.23,14.98,456900,14.957608
2016-01-21,14.15,14.36,13.88,14.00,564800,13.979073
2016-01-20,14.71,14.87,13.57,13.90,1040900,13.879222
2016-01-19,15.54,15.54,14.96,15.08,224500,15.057459
2016-01-15,15.10,15.60,14.99,15.55,94600,15.526757
2016-01-14,15.17,15.71,14.91,15.60,60600,15.576682
2016-01-13,15.82,16.65,14.92,14.99,259000,14.967593
2016-01-12,16.23,16.35,14.86,15.69,180000,15.666547
2016-01-11,16.530001,16.540001,15.85,15.99,54300,15.966098
2016-01-08,16.57,16.870001,16.450001,16.629999,98700,16.605141
2016-01-07,16.610001,16.92,16.290001,16.51,100600,16.485322
2016-01-06,17.120001,17.24,16.799999,16.959999,101100,16.934648
