Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,15.09,15.45,15.09,15.44,68800,15.44
2016-03-10,15.33,15.41,15.12,15.30,51000,15.021001
2016-03-09,15.34,15.43,15.06,15.21,135500,14.932642
2016-03-08,15.31,15.36,14.80,15.34,100600,15.060271
2016-03-07,15.24,15.48,15.04,15.27,137400,14.991548
2016-03-04,14.89,15.46,14.82,15.18,188300,14.903189
2016-03-03,14.81,14.91,14.72,14.89,64400,14.618477
2016-03-02,14.86,14.89,14.75,14.82,62700,14.549753
2016-03-01,14.85,14.90,14.70,14.77,28600,14.500666
2016-02-29,14.90,14.90,14.70,14.71,38000,14.441759
2016-02-26,14.96,14.96,14.80,14.90,48200,14.628294
2016-02-25,14.63,14.99,14.40,14.90,74000,14.628294
2016-02-24,14.40,14.45,14.17,14.45,22000,14.1865
2016-02-23,14.61,14.68,14.17,14.46,120700,14.196318
2016-02-22,14.35,14.99,14.33,14.78,159300,14.510483
2016-02-19,14.28,14.39,14.17,14.25,63400,13.990147
2016-02-18,13.99,14.34,13.96,14.25,106000,13.990147
2016-02-17,13.70,13.99,13.67,13.95,35300,13.695618
2016-02-16,14.04,14.04,13.48,13.66,226000,13.410906
2016-02-12,12.91,13.79,12.91,13.79,223400,13.538536
2016-02-11,13.88,14.04,12.80,12.90,113900,12.664765
2016-02-10,13.66,13.93,13.54,13.75,101100,13.499265
2016-02-09,14.14,14.46,13.92,13.92,104600,13.392252
2016-02-08,14.43,14.44,14.01,14.19,95800,13.652015
2016-02-05,14.86,14.86,14.41,14.44,182800,13.892537
2016-02-04,14.80,14.85,14.70,14.84,39100,14.277373
2016-02-03,14.77,14.82,14.59,14.81,37900,14.24851
2016-02-02,14.70,14.73,14.64,14.69,61300,14.133059
2016-02-01,14.63,14.79,14.55,14.79,33600,14.229268
2016-01-29,14.60,14.96,14.58,14.65,128300,14.094576
2016-01-28,14.30,14.65,14.30,14.56,60000,14.007989
2016-01-27,14.38,14.46,14.22,14.25,31200,13.709741
2016-01-26,14.10,14.41,14.03,14.34,67300,13.796329
2016-01-25,13.95,14.25,13.85,14.18,108300,13.642395
2016-01-22,13.67,14.19,13.55,13.97,67500,13.440357
2016-01-21,13.01,13.93,12.89,13.30,212200,12.795759
2016-01-20,14.02,14.10,12.12,13.19,572500,12.689928
