Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,9.14,9.28,9.12,9.27,393100,9.27
2016-03-10,9.08,9.15,8.96,9.08,368100,9.08
2016-03-09,9.08,9.12,9.04,9.06,323200,9.06
2016-03-08,9.13,9.15,9.01,9.06,306000,9.06
2016-03-07,9.18,9.28,9.16,9.20,335000,9.117
2016-03-04,9.10,9.24,9.09,9.20,325300,9.117
2016-03-03,9.08,9.12,9.00,9.12,347500,9.037721
2016-03-02,8.96,9.09,8.91,9.08,303800,8.998082
2016-03-01,8.76,8.99,8.74,8.95,351000,8.869255
2016-02-29,8.80,8.87,8.74,8.74,187300,8.66115
2016-02-26,8.82,8.86,8.76,8.80,286700,8.720609
2016-02-25,8.71,8.80,8.66,8.79,311300,8.710699
2016-02-24,8.48,8.68,8.45,8.68,247300,8.601691
2016-02-23,8.75,8.78,8.57,8.60,328800,8.522413
2016-02-22,8.70,8.78,8.69,8.75,264100,8.67106
2016-02-19,8.59,8.66,8.52,8.59,259500,8.512503
2016-02-18,8.67,8.70,8.62,8.66,295700,8.581871
2016-02-17,8.51,8.69,8.48,8.64,558800,8.562052
2016-02-16,8.46,8.52,8.36,8.47,660500,8.393586
2016-02-12,8.14,8.32,8.08,8.31,435300,8.23503
2016-02-11,8.02,8.15,7.98,8.10,447800,8.026924
2016-02-10,8.28,8.42,8.20,8.20,316300,8.126021
2016-02-09,8.23,8.38,8.18,8.24,390200,8.16566
2016-02-08,8.44,8.44,8.23,8.37,361800,8.294488
2016-02-05,8.71,8.73,8.53,8.64,366400,8.479801
2016-02-04,8.79,8.89,8.71,8.77,329900,8.607391
2016-02-03,8.85,8.85,8.61,8.79,278300,8.62702
2016-02-02,8.91,8.93,8.73,8.78,430600,8.617205
2016-02-01,8.78,9.01,8.75,8.99,333000,8.823311
2016-01-29,8.70,8.89,8.70,8.89,396700,8.725166
2016-01-28,8.67,8.72,8.57,8.64,383300,8.479801
2016-01-27,8.59,8.73,8.54,8.57,274000,8.411098
2016-01-26,8.47,8.67,8.47,8.67,357100,8.509245
2016-01-25,8.56,8.59,8.42,8.42,317900,8.26388
2016-01-22,8.40,8.57,8.40,8.56,527300,8.401285
2016-01-21,8.27,8.47,8.22,8.30,636100,8.146105
2016-01-20,8.38,8.40,7.92,8.28,793500,8.126476
