Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,15.37,15.37,15.35,15.35,12200,15.35
2016-03-10,15.38,15.38,15.30,15.37,27600,15.37
2016-03-09,15.36,15.48,15.31,15.41,12700,15.41
2016-03-08,15.40,15.40,15.32,15.36,11000,15.36
2016-03-07,15.42,15.42,15.32,15.39,8400,15.39
2016-03-04,15.43,15.48,15.37,15.41,20200,15.41
2016-03-03,15.50,15.50,15.38,15.38,23500,15.38
2016-03-02,15.38,15.43,15.37,15.40,10000,15.40
2016-03-01,15.28,15.37,15.28,15.37,22800,15.37
2016-02-29,15.32,15.34,15.28,15.32,203600,15.32
2016-02-26,15.31,15.35,15.28,15.28,7000,15.28
2016-02-25,15.31,15.34,15.27,15.29,93300,15.29
2016-02-24,15.44,15.45,15.35,15.41,164900,15.32
2016-02-23,15.47,15.48,15.32,15.40,24200,15.310058
2016-02-22,15.41,15.50,15.41,15.47,4700,15.37965
2016-02-19,15.36,15.45,15.36,15.42,12100,15.329942
2016-02-18,15.36,15.44,15.36,15.41,10400,15.32
2016-02-17,15.42,15.44,15.27,15.36,34400,15.270292
2016-02-16,15.40,15.47,15.32,15.38,24300,15.290175
2016-02-12,15.36,15.48,15.36,15.43,16900,15.339884
2016-02-11,15.32,15.40,15.32,15.38,19000,15.290175
2016-02-10,15.39,15.48,15.38,15.40,20900,15.310058
2016-02-09,15.40,15.50,15.38,15.43,23900,15.339884
2016-02-08,15.44,15.53,15.44,15.51,16300,15.419416
2016-02-05,15.35,15.41,15.35,15.39,31600,15.300117
2016-02-04,15.38,15.44,15.38,15.41,23000,15.32
2016-02-03,15.51,15.58,15.43,15.45,34500,15.359766
2016-02-02,15.43,15.59,15.43,15.54,15900,15.449241
2016-02-01,15.52,15.54,15.45,15.48,17900,15.389591
2016-01-29,15.49,15.52,15.45,15.52,41000,15.429358
2016-01-28,15.48,15.52,15.42,15.50,29000,15.409474
2016-01-27,15.40,15.46,15.38,15.41,25200,15.32
2016-01-26,15.42,15.47,15.40,15.47,12400,15.290175
2016-01-25,15.41,15.45,15.38,15.43,47800,15.25064
2016-01-22,15.50,15.53,15.48,15.49,24700,15.309942
2016-01-21,15.43,15.53,15.43,15.50,22200,15.319826
2016-01-20,15.43,15.56,15.40,15.46,40400,15.280291
