Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,8.98,9.11,8.98,9.11,67600,9.11
2016-03-10,8.95,8.95,8.84,8.89,38000,8.89
2016-03-09,8.86,8.88,8.82,8.88,12800,8.88
2016-03-08,8.93,8.94,8.88,8.91,47100,8.835
2016-03-07,8.89,8.96,8.87,8.93,40600,8.854832
2016-03-04,8.82,8.93,8.82,8.92,33700,8.844916
2016-03-03,8.81,8.83,8.73,8.82,35800,8.745757
2016-03-02,8.69,8.79,8.69,8.79,27600,8.71601
2016-03-01,8.60,8.74,8.55,8.71,46300,8.636684
2016-02-29,8.53,8.60,8.48,8.51,50800,8.438367
2016-02-26,8.56,8.59,8.48,8.53,67900,8.458199
2016-02-25,8.42,8.48,8.38,8.46,36400,8.388788
2016-02-24,8.30,8.43,8.27,8.38,56800,8.309462
2016-02-23,8.45,8.45,8.35,8.38,48600,8.309462
2016-02-22,8.45,8.48,8.43,8.45,51000,8.378872
2016-02-19,8.34,8.41,8.28,8.39,58000,8.319378
2016-02-18,8.35,8.39,8.32,8.36,28900,8.289629
2016-02-17,8.27,8.36,8.27,8.35,44600,8.279714
2016-02-16,8.19,8.26,8.13,8.21,50600,8.140892
2016-02-12,8.04,8.15,8.01,8.15,60900,8.081397
2016-02-11,8.02,8.06,7.95,8.04,97700,7.972323
2016-02-10,8.21,8.29,8.18,8.18,42200,8.036776
2016-02-09,8.22,8.25,8.12,8.22,82700,8.076076
2016-02-08,8.33,8.33,8.20,8.27,76400,8.125201
2016-02-05,8.51,8.51,8.37,8.40,76900,8.252924
2016-02-04,8.46,8.59,8.45,8.53,104900,8.380648
2016-02-03,8.54,8.54,8.40,8.49,90900,8.341348
2016-02-02,8.42,8.52,8.42,8.46,89700,8.311874
2016-02-01,8.55,8.66,8.46,8.65,44500,8.498546
2016-01-29,8.48,8.62,8.46,8.60,59500,8.449423
2016-01-28,8.39,8.46,8.36,8.46,98200,8.311874
2016-01-27,8.40,8.45,8.33,8.34,47400,8.193975
2016-01-26,8.32,8.45,8.30,8.39,83000,8.243099
2016-01-25,8.35,8.36,8.26,8.27,30600,8.125201
2016-01-22,8.23,8.44,8.21,8.36,145500,8.213624
2016-01-21,8.10,8.25,8.08,8.16,110500,8.017126
2016-01-20,8.30,8.30,7.95,8.12,201000,7.977826
2016-01-19,8.49,8.49,8.35,8.41,116100,8.262749
2016-01-15,8.40,8.58,8.30,8.44,192900,8.292223
2016-01-14,8.54,8.65,8.38,8.61,121300,8.459247
2016-01-13,8.76,8.76,8.53,8.56,80900,8.410123
2016-01-12,8.90,8.91,8.74,8.79,72300,8.562409
2016-01-11,8.92,8.92,8.75,8.84,58600,8.611114
2016-01-08,9.04,9.04,8.88,8.91,80800,8.679301
2016-01-07,9.02,9.08,8.93,8.99,84700,8.75723
2016-01-06,9.16,9.25,9.08,9.15,60400,8.913087
2016-01-05,9.22,9.25,9.19,9.24,31000,9.000757
2016-01-04,9.28,9.28,9.04,9.21,96100,8.971534
2015-12-31,9.35,9.37,9.26,9.35,110300,9.107909
2015-12-30,9.34,9.38,9.26,9.33,102700,9.088427
2015-12-29,9.27,9.35,9.25,9.34,79400,9.098168
2015-12-28,9.17,9.26,9.17,9.23,94500,8.991016
2015-12-24,9.31,9.34,9.25,9.25,48900,9.010498
2015-12-23,9.25,9.34,9.25,9.27,78500,9.029981
2015-12-22,9.18,9.23,9.07,9.18,104700,8.942311
2015-12-21,9.21,9.21,9.06,9.12,133700,8.883864
2015-12-18,9.15,9.21,9.10,9.16,124100,8.922828
2015-12-17,9.15,9.22,9.11,9.15,165500,8.913087
2015-12-16,9.02,9.17,9.02,9.16,141900,8.922828
2015-12-15,8.94,9.07,8.94,8.99,151400,8.75723
2015-12-14,8.99,9.02,8.89,8.92,78600,8.689043
2015-12-11,9.13,9.15,9.02,9.02,80500,8.786454
2015-12-10,9.25,9.28,9.21,9.22,69300,8.981275
2015-12-09,9.28,9.32,9.22,9.23,49600,8.991016
2015-12-08,9.37,9.42,9.31,9.33,61000,9.015369
2015-12-07,9.57,9.59,9.47,9.47,45300,9.150648
2015-12-04,9.54,9.63,9.50,9.60,85400,9.276264
2015-12-03,9.67,9.67,9.49,9.53,76200,9.208624
2015-12-02,9.77,9.79,9.62,9.62,85400,9.295589
2015-12-01,9.75,9.81,9.73,9.81,65600,9.479182
2015-11-30,9.72,9.77,9.68,9.72,34900,9.392217
2015-11-27,9.75,9.77,9.67,9.74,16600,9.411542
2015-11-25,9.71,9.76,9.66,9.71,30300,9.382554
2015-11-24,9.67,9.72,9.64,9.72,34800,9.392217
2015-11-23,9.72,9.80,9.72,9.72,25100,9.392217
2015-11-20,9.78,9.81,9.73,9.73,38600,9.401879
2015-11-19,9.79,9.80,9.74,9.76,36500,9.430868
2015-11-18,9.69,9.79,9.67,9.79,31800,9.459856
2015-11-17,9.63,9.69,9.59,9.64,30000,9.314915
2015-11-16,9.58,9.64,9.52,9.62,41800,9.295589
2015-11-13,9.65,9.69,9.57,9.59,66700,9.266601
2015-11-12,9.75,9.75,9.65,9.65,47700,9.324577
2015-11-11,9.85,9.85,9.78,9.79,19800,9.459856
2015-11-10,9.86,9.86,9.78,9.84,63400,9.508171
2015-11-09,9.98,10.03,9.88,9.93,65900,9.522665
2015-11-06,10.05,10.10,10.03,10.05,78000,9.637742
2015-11-05,10.12,10.13,10.08,10.09,46800,9.676101
2015-11-04,10.17,10.18,10.10,10.11,60400,9.69528
2015-11-03,10.10,10.16,10.08,10.14,46600,9.724051
2015-11-02,10.06,10.14,10.06,10.14,83500,9.724051
2015-10-30,10.05,10.05,10.00,10.05,65000,9.637742
2015-10-29,10.02,10.05,9.96,10.01,47600,9.599383
2015-10-28,9.99,10.14,9.97,10.06,84700,9.647332
2015-10-27,10.04,10.04,9.99,10.00,64500,9.589793
2015-10-26,10.12,10.14,10.06,10.07,74100,9.656921
2015-10-23,10.13,10.17,10.11,10.14,73600,9.724051
2015-10-22,9.95,10.08,9.95,10.08,79900,9.666511
2015-10-21,9.96,9.97,9.90,9.90,96800,9.493895
2015-10-20,9.88,9.93,9.88,9.92,47800,9.513075
2015-10-19,9.80,9.91,9.80,9.91,98000,9.503485
2015-10-16,9.74,9.85,9.72,9.84,110400,9.436357
2015-10-15,9.75,9.77,9.70,9.75,189500,9.350048
2015-10-14,9.78,9.79,9.70,9.71,73500,9.311689
2015-10-13,9.87,9.94,9.83,9.83,130400,9.354843
2015-10-12,9.82,9.96,9.81,9.92,92700,9.440493
2015-10-09,9.79,9.83,9.75,9.83,69400,9.354843
2015-10-08,9.61,9.75,9.60,9.75,56900,9.27871
2015-10-07,9.52,9.64,9.49,9.64,81800,9.174028
2015-10-06,9.35,9.46,9.35,9.46,75400,9.002728
2015-10-05,9.30,9.39,9.30,9.39,52500,8.936112
2015-10-02,9.13,9.27,9.03,9.24,71300,8.793362
2015-10-01,9.21,9.26,9.15,9.22,71200,8.774329
2015-09-30,9.22,9.30,9.20,9.26,52800,8.812396
2015-09-29,9.25,9.30,9.16,9.17,58000,8.726746
2015-09-28,9.49,9.49,9.25,9.30,74000,8.850462
2015-09-25,9.56,9.58,9.43,9.51,68100,9.050312
2015-09-24,9.44,9.50,9.39,9.48,22700,9.021761
2015-09-23,9.58,9.62,9.48,9.49,56200,9.031278
2015-09-22,9.61,9.65,9.53,9.55,47100,9.088378
2015-09-21,9.77,9.83,9.71,9.71,54200,9.240644
2015-09-18,9.68,9.78,9.66,9.77,91100,9.297744
2015-09-17,9.71,9.85,9.70,9.80,84400,9.326294
2015-09-16,9.68,9.79,9.67,9.78,60800,9.30726
