Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,27.10,27.24,27.049999,27.17,3700,27.17
2016-03-10,26.92,26.92,26.620001,26.74,2200,26.74
2016-03-09,27.00,27.01,26.93,26.93,8800,26.93
2016-03-08,27.200001,27.200001,26.90,26.90,2600,26.90
2016-03-07,27.07,27.360001,27.07,27.360001,1900,27.360001
2016-03-04,26.76,27.129999,26.76,26.93,6400,26.93
2016-03-03,26.52,26.75,26.50,26.709999,4700,26.709999
2016-03-02,26.26,26.389999,26.200001,26.370001,16100,26.370001
2016-03-01,25.889999,26.139999,25.889999,26.139999,4700,26.139999
2016-02-29,25.82,26.059999,25.82,25.870001,9200,25.870001
2016-02-26,25.83,25.85,25.690001,25.74,10800,25.74
2016-02-25,25.59,25.709999,25.530001,25.709999,4500,25.709999
2016-02-24,25.129999,25.32,25.129999,25.290001,3000,25.290001
2016-02-23,25.219999,25.34,25.219999,25.25,4900,25.25
2016-02-22,25.35,25.50,25.35,25.42,6700,25.42
2016-02-19,25.530001,25.530001,24.92,25.059999,7300,25.039999
2016-02-18,25.18,25.18,25.059999,25.17,11900,25.149912
2016-02-17,25.209999,25.209999,25.209999,25.209999,300,25.189879
2016-02-16,24.67,24.879999,24.51,24.879999,7000,24.860142
2016-02-12,24.059999,24.35,24.059999,24.35,7100,24.330566
2016-02-11,23.870001,24.02,23.75,24.02,14700,24.00083
2016-02-10,24.51,24.51,24.200001,24.200001,3500,24.180687
2016-02-09,24.110001,24.549999,24.110001,24.389999,9900,24.370534
2016-02-08,24.27,24.27,24.07,24.209999,6100,24.190677
2016-02-05,24.73,24.780001,24.60,24.620001,3200,24.600351
2016-02-04,24.75,25.129999,24.75,24.940001,5300,24.920096
2016-02-03,24.709999,24.74,24.40,24.700001,16100,24.680288
2016-02-02,24.67,24.67,24.49,24.49,1300,24.470454
2016-02-01,25.030001,25.110001,24.940001,25.059999,9400,25.039999
2016-01-29,24.379999,25.17,24.379999,25.17,3500,25.149912
2016-01-28,24.17,24.25,24.040001,24.18,3600,24.160702
2016-01-27,24.18,24.290001,23.950001,23.950001,3700,23.930886
2016-01-26,23.90,24.370001,23.90,24.219999,6300,24.200669
2016-01-25,24.059999,24.059999,23.620001,23.639999,8600,23.621132
2016-01-22,24.02,24.23,23.99,24.17,8600,24.136721
2016-01-21,23.610001,24.030001,23.610001,23.73,9200,23.697326
2016-01-20,23.34,23.870001,22.860001,23.719999,25100,23.68734
2016-01-19,24.200001,24.200001,23.48,23.629999,14400,23.597464
2016-01-15,23.60,23.83,23.290001,23.83,4900,23.797189
2016-01-14,24.07,24.280001,23.83,24.18,5800,24.146708
2016-01-13,24.60,24.629999,24.23,24.23,7400,24.196638
2016-01-12,24.68,24.719999,24.209999,24.540001,5500,24.506213
2016-01-11,24.709999,24.709999,24.33,24.360001,11100,24.32646
2016-01-08,25.10,25.10,24.719999,24.790001,8100,24.755868
2016-01-07,25.18,25.299999,24.98,25.030001,7700,24.995538
2016-01-06,25.709999,25.76,25.469999,25.60,18500,25.564753
2016-01-05,25.98,26.030001,25.860001,26.01,2100,25.974188
2016-01-04,25.959999,26.07,25.77,26.01,7600,25.974188
2015-12-31,26.67,26.790001,26.530001,26.530001,6700,26.493472
2015-12-30,27.059999,27.08,26.870001,26.879999,27700,26.842989
2015-12-29,27.030001,27.15,26.889999,27.059999,53100,27.022741
2015-12-28,26.860001,26.889999,26.73,26.809999,36900,26.773086
2015-12-24,26.99,27.17,26.99,27.040001,1200,27.00277
2015-12-23,26.76,27.07,26.76,27.07,7900,27.032728
2015-12-22,26.370001,26.719999,26.309999,26.67,15300,26.633279
2015-12-21,26.34,26.360001,26.219999,26.27,1600,26.23383
2015-12-18,26.540001,26.540001,26.309999,26.370001,3300,26.182902
2015-12-17,26.950001,26.950001,26.74,26.780001,6500,26.589992
2015-12-16,26.809999,27.02,26.709999,27.02,3800,26.828289
2015-12-15,26.540001,26.65,26.41,26.549999,18300,26.361623
2015-12-14,26.57,26.57,26.290001,26.35,7000,26.163043
2015-12-11,26.77,26.77,26.42,26.52,3000,26.331837
2015-12-10,27.01,27.190001,27.01,27.059999,2100,26.868004
2015-12-09,27.309999,27.309999,27.02,27.120001,7300,26.92758
2015-12-08,27.25,27.440001,27.23,27.34,7500,27.146019
2015-12-07,27.67,27.67,27.48,27.51,89800,27.314812
2015-12-04,27.76,27.940001,27.76,27.90,2600,27.702045
2015-12-03,28.02,28.110001,27.629999,27.68,6300,27.483606
2015-12-02,28.42,28.42,28.08,28.09,5700,27.890697
2015-12-01,28.440001,28.440001,28.23,28.389999,1800,28.188568
2015-11-30,28.51,28.52,28.27,28.27,6700,28.06942
2015-11-27,28.379999,28.540001,28.370001,28.469999,4500,28.268
2015-11-25,28.15,28.370001,28.15,28.370001,3600,28.168711
2015-11-24,27.73,28.200001,27.73,28.16,9700,27.9602
2015-11-23,27.74,27.950001,27.74,27.790001,1600,27.592826
2015-11-20,27.82,27.93,27.73,27.790001,16800,27.558075
2015-11-19,27.709999,27.709999,27.540001,27.559999,5400,27.329993
2015-11-18,27.32,27.66,27.25,27.639999,22100,27.409325
2015-11-17,27.379999,27.51,27.16,27.200001,4500,26.972999
2015-11-16,26.959999,27.139999,26.879999,27.139999,1100,26.913498
2015-11-13,27.129999,27.190001,26.90,26.90,8300,26.675501
2015-11-12,27.60,27.60,27.26,27.26,12800,27.032497
2015-11-11,27.99,27.99,27.799999,27.809999,61300,27.577907
2015-11-10,27.799999,27.959999,27.799999,27.950001,1200,27.716739
2015-11-09,28.16,28.16,27.73,27.809999,15100,27.577907
2015-11-06,28.139999,28.24,27.860001,28.24,6100,28.004318
2015-11-05,28.09,28.27,28.09,28.27,6800,28.034069
2015-11-04,28.379999,28.379999,28.09,28.09,5400,27.85557
2015-11-03,28.120001,28.41,28.10,28.389999,4400,28.153066
2015-11-02,27.74,28.200001,27.66,28.120001,16600,27.885321
2015-10-30,27.66,27.93,27.66,27.68,4100,27.448992
2015-10-29,27.74,27.90,27.610001,27.73,31100,27.498574
2015-10-28,27.41,27.83,27.41,27.83,5400,27.59774
2015-10-27,27.50,27.50,27.040001,27.09,1800,26.863916
2015-10-26,27.75,27.780001,27.629999,27.639999,5400,27.409325
2015-10-23,27.90,27.93,27.639999,27.84,7800,27.607657
2015-10-22,27.639999,27.790001,27.58,27.66,6100,27.429159
2015-10-21,27.66,27.66,27.299999,27.299999,1000,27.072163
2015-10-20,27.59,27.77,27.50,27.690001,7500,27.458909
2015-10-19,27.559999,27.65,27.41,27.469999,31000,27.240744
2015-10-16,27.48,27.58,27.41,27.58,2000,27.349827
2015-10-15,27.27,27.50,27.049999,27.469999,7300,27.240744
2015-10-14,27.540001,27.540001,27.26,27.26,6800,27.032497
2015-10-13,27.540001,27.790001,27.459999,27.49,20600,27.260577
2015-10-12,27.77,27.77,27.67,27.719999,1800,27.488658
2015-10-09,27.75,27.790001,27.719999,27.74,10600,27.508491
2015-10-08,27.299999,27.299999,27.299999,27.299999,1300,27.072163
2015-10-07,27.129999,27.25,26.99,27.25,3000,27.022581
2015-10-06,27.190001,27.190001,26.99,27.049999,10000,26.824249
2015-10-05,26.67,27.07,26.67,27.07,5700,26.844083
2015-10-02,25.85,26.280001,25.74,26.280001,2500,26.060677
2015-10-01,26.219999,26.219999,25.85,25.959999,600,25.743346
2015-09-30,26.02,26.040001,25.85,25.98,6100,25.763179
2015-09-29,25.92,26.01,25.690001,25.690001,11400,25.4756
2015-09-28,26.280001,26.280001,25.85,25.85,5300,25.634265
2015-09-25,26.780001,26.780001,26.40,26.459999,5300,26.239173
2015-09-24,26.40,26.57,26.32,26.57,3500,26.348255
2015-09-23,26.65,26.65,26.50,26.59,3800,26.368089
2015-09-22,26.639999,26.639999,26.58,26.58,600,26.358172
2015-09-21,26.93,27.110001,26.91,26.91,14000,26.685418
2015-09-18,27.10,27.18,26.82,26.879999,9100,26.586252
2015-09-17,27.59,27.65,27.41,27.41,2700,27.110461
2015-09-16,27.16,27.41,27.16,27.41,2600,27.110461
2015-09-15,26.92,27.139999,26.92,27.139999,6100,26.843411
2015-09-14,27.040001,27.040001,26.84,26.85,6400,26.556581
2015-09-11,26.799999,26.99,26.799999,26.99,8800,26.695051
2015-09-10,26.98,27.15,26.870001,26.870001,4300,26.576363
2015-09-09,27.43,27.43,27.07,27.129999,9100,26.83352
2015-09-08,27.110001,27.25,27.07,27.25,5800,26.952209
2015-09-04,26.77,26.85,26.610001,26.82,5300,26.526908
2015-09-03,26.90,27.139999,26.90,26.940001,5200,26.645598
2015-09-02,26.76,26.809999,26.60,26.719999,10200,26.428001
2015-09-01,27.02,27.030001,26.51,26.629999,17400,26.338984
2015-08-31,27.040001,27.379999,27.00,27.280001,11400,26.981882
2015-08-28,27.27,27.290001,27.049999,27.24,16000,26.942318
2015-08-27,26.74,27.10,26.66,26.790001,8800,26.497237
2015-08-26,26.35,26.52,26.00,26.52,10600,26.230187
2015-08-25,27.200001,27.200001,25.92,25.92,22000,25.636744
2015-08-24,25.700001,27.120001,24.82,26.440001,120200,26.151062
2015-08-21,27.32,27.52,27.09,27.17,10700,26.873084
2015-08-20,28.00,28.00,27.639999,27.709999,9000,27.407182
2015-08-19,28.309999,28.309999,28.07,28.26,21300,27.951172
