Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,30.35,30.59,30.35,30.59,199900,30.59
2016-03-10,30.26,30.309999,29.860001,30.15,99600,30.15
2016-03-09,30.120001,30.219999,30.08,30.129999,98500,30.129999
2016-03-08,30.09,30.209999,29.959999,30.00,43300,30.00
2016-03-07,30.01,30.299999,30.01,30.219999,81100,30.219999
2016-03-04,30.190001,30.33,30.02,30.219999,105800,30.219999
2016-03-03,29.889999,30.120001,29.860001,30.09,41400,30.09
2016-03-02,29.85,29.950001,29.780001,29.950001,81500,29.950001
2016-03-01,29.50,29.93,29.41,29.889999,50000,29.889999
2016-02-29,29.50,29.639999,29.280001,29.299999,68600,29.299999
2016-02-26,29.75,29.75,29.48,29.50,107200,29.50
2016-02-25,29.32,29.610001,29.219999,29.58,53100,29.58
2016-02-24,28.870001,29.290001,28.709999,29.290001,117400,29.290001
2016-02-23,29.309999,29.309999,29.110001,29.129999,61600,29.129999
2016-02-22,29.27,29.43,29.27,29.370001,133000,29.370001
2016-02-19,28.959999,29.09,28.860001,29.059999,113700,29.009999
2016-02-18,29.23,29.23,29.049999,29.08,324000,29.029965
2016-02-17,28.860001,29.200001,28.799999,29.139999,171900,29.089861
2016-02-16,28.50,28.700001,28.35,28.700001,71100,28.650619
2016-02-12,27.959999,28.190001,27.82,28.16,170800,28.111548
2016-02-11,27.549999,27.84,27.450001,27.690001,228900,27.642357
2016-02-10,28.23,28.35,27.92,27.92,132100,27.871961
2016-02-09,27.790001,28.27,27.75,28.040001,64100,27.991755
2016-02-08,27.959999,28.10,27.690001,28.08,136100,28.031685
2016-02-05,28.76,28.77,28.16,28.280001,81200,28.231342
2016-02-04,28.530001,28.91,28.50,28.709999,132700,28.6606
2016-02-03,28.540001,28.67,28.07,28.58,169300,28.530825
2016-02-02,28.74,28.75,28.32,28.43,254700,28.381083
2016-02-01,28.74,29.07,28.66,28.969999,601500,28.920153
2016-01-29,28.360001,28.93,28.35,28.93,325100,28.880223
2016-01-28,28.43,28.43,27.969999,28.219999,86800,28.171444
2016-01-27,28.41,28.68,28.059999,28.219999,256300,28.171444
2016-01-26,28.290001,28.58,28.27,28.52,81400,28.470929
2016-01-25,28.459999,28.49,28.139999,28.17,59400,28.121531
2016-01-22,28.50,28.610001,28.34,28.549999,149700,28.47592
2016-01-21,28.030001,28.32,27.780001,28.139999,100600,28.066984
2016-01-20,27.790001,28.200001,27.24,27.969999,175500,27.897425
2016-01-19,28.459999,28.48,28.00,28.200001,579300,28.12683
2016-01-15,27.93,28.26,27.860001,28.190001,133100,28.116856
2016-01-14,28.299999,28.85,28.08,28.66,366300,28.585635
2016-01-13,29.139999,29.139999,28.219999,28.280001,267600,28.206622
2016-01-12,29.02,29.07,28.639999,29.01,362300,28.934728
2016-01-11,28.799999,28.799999,28.42,28.74,78500,28.665428
2016-01-08,29.10,29.129999,28.60,28.67,210900,28.59561
2016-01-07,29.09,29.370001,28.84,28.950001,290500,28.874884
2016-01-06,29.639999,29.76,29.440001,29.59,132000,29.513223
2016-01-05,30.040001,30.059999,29.799999,29.98,110700,29.90221
2016-01-04,29.93,29.93,29.559999,29.91,190100,29.832392
2015-12-31,30.620001,30.620001,30.35,30.35,1351800,30.271251
2015-12-30,30.889999,30.889999,30.66,30.68,191400,30.600395
2015-12-29,30.809999,30.91,30.76,30.84,203900,30.759979
2015-12-28,30.52,30.549999,30.370001,30.540001,90800,30.460758
2015-12-24,30.620001,30.709999,30.610001,30.620001,56100,30.540551
2015-12-23,30.48,30.68,30.48,30.639999,157200,30.560497
2015-12-22,30.200001,30.41,30.040001,30.379999,179900,30.301172
2015-12-21,29.93,30.00,29.790001,29.969999,114900,29.892236
2015-12-18,30.27,30.280001,29.83,29.83,245100,29.654854
2015-12-17,30.73,30.969999,30.389999,30.389999,86500,30.211565
2015-12-16,30.59,30.889999,30.440001,30.860001,117700,30.678807
2015-12-15,30.42,30.57,30.40,30.450001,130600,30.271214
2015-12-14,30.030001,30.209999,29.790001,30.209999,84300,30.032622
2015-12-11,30.27,30.34,30.00,30.059999,109100,29.883503
2015-12-10,30.58,30.83,30.530001,30.629999,1265100,30.450156
2015-12-09,30.67,31.02,30.43,30.549999,72700,30.370626
2015-12-08,30.719999,30.93,30.610001,30.76,112400,30.579394
2015-12-07,31.17,31.17,30.889999,31.01,148100,30.827926
2015-12-04,30.709999,31.27,30.709999,31.200001,140100,31.016811
2015-12-03,31.120001,31.120001,30.49,30.59,237700,30.410392
2015-12-02,31.32,31.40,31.01,31.01,85300,30.827926
2015-12-01,31.25,31.379999,31.139999,31.379999,90400,31.195752
2015-11-30,31.309999,31.309999,31.10,31.15,66200,30.967103
2015-11-27,31.200001,31.299999,31.18,31.26,24200,31.076458
2015-11-25,31.299999,31.299999,31.209999,31.24,184600,31.056575
2015-11-24,31.01,31.299999,30.959999,31.219999,115400,31.036692
2015-11-23,31.219999,31.280001,31.09,31.18,139500,30.996928
2015-11-20,31.190001,31.34,31.190001,31.23,86000,30.982015
2015-11-19,31.049999,31.16,31.049999,31.10,130400,30.853048
2015-11-18,30.73,31.09,30.68,31.049999,96700,30.803444
2015-11-17,30.74,30.83,30.530001,30.620001,146700,30.37686
2015-11-16,30.15,30.610001,30.15,30.610001,172300,30.366939
2015-11-13,30.40,30.450001,30.129999,30.129999,93200,29.890749
2015-11-12,30.74,30.77,30.459999,30.49,68300,30.247891
2015-11-11,31.030001,31.049999,30.870001,30.870001,52700,30.624875
2015-11-10,30.98,31.030001,30.870001,30.969999,51200,30.724079
2015-11-09,31.299999,31.299999,30.870001,31.030001,196500,30.783604
2015-11-06,31.309999,31.35,31.120001,31.35,76500,31.101063
2015-11-05,31.440001,31.469999,31.23,31.370001,432800,31.120905
2015-11-04,31.700001,31.700001,31.379999,31.43,87200,31.180428
2015-11-03,31.48,31.700001,31.41,31.59,187500,31.339157
2015-11-02,31.24,31.530001,31.24,31.50,1350000,31.249871
2015-10-30,31.33,31.379999,31.139999,31.139999,49300,30.892729
2015-10-29,31.17,31.50,31.10,31.200001,158500,30.952254
2015-10-28,31.00,31.24,30.85,31.24,43100,30.991936
2015-10-27,30.93,30.969999,30.83,30.90,75500,30.654635
2015-10-26,31.040001,31.10,31.00,31.049999,67400,30.803444
2015-10-23,31.110001,31.16,30.93,31.120001,129200,30.87289
2015-10-22,30.469999,30.90,30.469999,30.82,632400,30.575271
2015-10-21,30.42,30.49,30.190001,30.24,72700,29.999876
2015-10-20,30.27,30.43,30.25,30.34,283600,30.099083
2015-10-19,30.280001,30.360001,30.219999,30.360001,148600,30.118924
