Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,3.08,3.12,3.08,3.11,325700,3.11
2016-03-10,3.06,3.08,3.05,3.07,243400,3.07
2016-03-09,3.05,3.08,3.03,3.05,248000,3.05
2016-03-08,3.09,3.10,3.04,3.05,185300,3.021
2016-03-07,3.05,3.09,3.05,3.08,298500,3.050715
2016-03-04,3.03,3.07,3.03,3.05,229700,3.021
2016-03-03,3.00,3.03,2.98,3.03,180900,3.00119
2016-03-02,2.99,3.00,2.98,3.00,102700,2.971475
2016-03-01,2.96,3.00,2.95,3.00,173600,2.971475
2016-02-29,2.91,2.98,2.90,2.96,252800,2.931856
2016-02-26,2.91,2.93,2.89,2.91,235900,2.882331
2016-02-25,2.89,2.90,2.86,2.89,200400,2.862521
2016-02-24,2.85,2.89,2.82,2.89,140100,2.862521
2016-02-23,2.81,2.87,2.81,2.86,111700,2.832806
2016-02-22,2.83,2.84,2.81,2.81,269200,2.783282
2016-02-19,2.78,2.82,2.77,2.82,111300,2.793187
2016-02-18,2.76,2.80,2.76,2.80,74300,2.773377
2016-02-17,2.73,2.76,2.72,2.76,98800,2.733757
2016-02-16,2.73,2.74,2.71,2.72,190700,2.694138
2016-02-12,2.73,2.73,2.70,2.72,184500,2.694138
2016-02-11,2.70,2.74,2.70,2.72,135500,2.694138
2016-02-10,2.78,2.79,2.74,2.74,147400,2.713948
2016-02-09,2.80,2.80,2.74,2.76,238000,2.733757
2016-02-08,2.82,2.84,2.78,2.83,104800,2.803092
2016-02-05,2.86,2.88,2.85,2.86,110300,2.804082
2016-02-04,2.87,2.88,2.86,2.87,162500,2.813887
2016-02-03,2.87,2.89,2.84,2.88,136800,2.823691
2016-02-02,2.88,2.91,2.85,2.86,240300,2.804082
2016-02-01,2.89,2.91,2.89,2.90,200600,2.8433
2016-01-29,2.88,2.90,2.87,2.90,237500,2.8433
2016-01-28,2.85,2.87,2.84,2.87,229100,2.813887
2016-01-27,2.84,2.85,2.83,2.84,181400,2.784473
2016-01-26,2.81,2.85,2.81,2.85,176200,2.794278
2016-01-25,2.79,2.81,2.78,2.80,242000,2.745255
2016-01-22,2.79,2.82,2.79,2.81,226600,2.75506
2016-01-21,2.79,2.79,2.73,2.77,764700,2.715842
2016-01-20,2.81,2.81,2.73,2.78,609500,2.725646
