Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,2.19,2.21,2.18,2.20,352100,2.20
2016-03-10,2.19,2.19,2.16,2.17,229700,2.17
2016-03-09,2.15,2.19,2.14,2.19,318600,2.19
2016-03-08,2.17,2.18,2.14,2.14,219200,2.14
2016-03-07,2.19,2.19,2.12,2.16,500900,2.16
2016-03-04,2.14,2.20,2.12,2.20,389300,2.20
2016-03-03,2.09,2.15,2.08,2.13,510900,2.13
2016-03-02,2.08,2.10,2.06,2.09,233100,2.09
2016-03-01,2.07,2.09,2.07,2.07,448100,2.07
2016-02-29,2.05,2.09,2.05,2.06,233200,2.06
2016-02-26,2.05,2.06,2.04,2.05,226100,2.05
2016-02-25,2.03,2.05,2.03,2.04,87700,2.04
2016-02-24,2.04,2.06,2.02,2.04,310000,2.04
2016-02-23,2.06,2.07,2.02,2.03,267300,2.03
2016-02-22,2.05,2.07,2.03,2.05,452800,2.05
2016-02-19,2.04,2.06,2.02,2.05,442000,2.05
2016-02-18,1.99,2.10,1.99,2.06,485900,2.06
2016-02-17,1.95,2.00,1.94,1.99,373800,1.99
2016-02-16,1.97,1.98,1.95,1.95,518500,1.95
2016-02-12,1.98,1.99,1.95,1.97,374700,1.97
2016-02-11,1.97,2.00,1.95,1.97,338900,1.946
2016-02-10,2.01,2.02,1.98,1.98,539200,1.955878
2016-02-09,2.03,2.03,2.00,2.02,583700,1.995391
2016-02-08,2.04,2.05,2.03,2.05,151700,2.025025
2016-02-05,2.06,2.07,2.04,2.04,247500,2.015147
2016-02-04,2.09,2.09,2.06,2.06,132800,2.034904
2016-02-03,2.09,2.09,2.06,2.08,297700,2.05466
2016-02-02,2.10,2.10,2.07,2.08,391100,2.05466
2016-02-01,2.12,2.12,2.09,2.11,315300,2.084294
2016-01-29,2.13,2.13,2.10,2.12,417100,2.094173
2016-01-28,2.08,2.11,2.07,2.11,177900,2.084294
2016-01-27,2.08,2.11,2.06,2.06,342400,2.034904
2016-01-26,2.07,2.10,2.05,2.10,405200,2.074416
2016-01-25,2.03,2.07,2.03,2.04,333700,2.015147
2016-01-22,2.05,2.06,2.03,2.05,578000,2.025025
2016-01-21,2.04,2.06,2.02,2.03,482900,2.005269
2016-01-20,2.07,2.08,2.00,2.03,669200,2.005269
2016-01-19,2.09,2.10,2.07,2.10,678800,2.074416
2016-01-15,2.12,2.14,2.05,2.08,863000,2.05466
2016-01-14,2.19,2.21,2.16,2.17,594000,2.119856
2016-01-13,2.23,2.23,2.18,2.20,677700,2.149163
2016-01-12,2.23,2.24,2.21,2.22,366500,2.168701
2016-01-11,2.23,2.25,2.21,2.22,472200,2.168701
2016-01-08,2.27,2.27,2.23,2.23,320100,2.178469
2016-01-07,2.27,2.28,2.25,2.25,230400,2.198007
2016-01-06,2.29,2.30,2.26,2.28,529500,2.227314
2016-01-05,2.27,2.30,2.26,2.29,208600,2.237083
2016-01-04,2.25,2.28,2.24,2.27,362600,2.217545
2015-12-31,2.26,2.30,2.25,2.28,953700,2.227314
2015-12-30,2.27,2.30,2.26,2.26,547800,2.207776
2015-12-29,2.28,2.30,2.26,2.29,400300,2.237083
2015-12-28,2.30,2.30,2.26,2.28,468200,2.227314
2015-12-24,2.29,2.32,2.28,2.30,305500,2.246852
2015-12-23,2.27,2.32,2.27,2.31,609800,2.256621
2015-12-22,2.26,2.30,2.20,2.29,1515900,2.237083
2015-12-21,2.24,2.30,2.18,2.23,1643000,2.178469
2015-12-18,2.17,2.21,2.17,2.21,704600,2.158932
2015-12-17,2.17,2.20,2.15,2.20,641600,2.149163
2015-12-16,2.15,2.19,2.13,2.17,944000,2.119856
2015-12-15,2.14,2.16,2.13,2.15,507200,2.100318
