Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,15.06,15.144,15.02,15.13,74700,15.13
2016-03-10,15.16,15.178,15.04,15.04,51900,14.922
2016-03-09,15.15,15.16,15.06,15.101,43800,14.982521
2016-03-08,15.14,15.14,15.00,15.10,39100,14.981529
2016-03-07,15.00,15.13,14.97,15.11,84500,14.99145
2016-03-04,14.95,15.03,14.835,15.02,54500,14.902157
2016-03-03,14.80,14.91,14.73,14.89,63200,14.773177
2016-03-02,14.76,14.78,14.59,14.77,97300,14.654119
2016-03-01,14.79,14.79,14.542,14.75,164600,14.634275
2016-02-29,14.52,14.635,14.44,14.629,94800,14.514224
2016-02-26,14.50,14.61,14.38,14.49,91000,14.376315
2016-02-25,14.46,14.46,14.19,14.46,85000,14.34655
2016-02-24,14.18,14.43,14.12,14.36,138000,14.247335
2016-02-23,14.28,14.35,14.05,14.13,191000,14.01914
2016-02-22,14.24,14.41,14.19,14.23,145500,14.118354
2016-02-19,14.21,14.233,14.01,14.15,158800,14.038982
2016-02-18,14.34,14.39,14.085,14.15,170000,14.038982
2016-02-17,14.07,14.27,13.97,14.24,189200,14.128276
2016-02-16,13.90,14.075,13.84,13.95,203600,13.840551
2016-02-12,13.68,13.89,13.67,13.78,89300,13.671885
2016-02-11,13.71,13.84,13.37,13.53,132600,13.423847
2016-02-10,14.02,14.14,13.87,13.87,74100,13.761179
2016-02-09,14.08,14.092,13.82,14.02,91500,13.772094
2016-02-08,14.40,14.45,14.00,14.14,33500,13.889972
2016-02-05,14.58,14.66,14.45,14.56,70900,14.302545
2016-02-04,14.41,14.638,14.41,14.60,106300,14.341838
2016-02-03,14.51,14.58,14.361,14.46,156100,14.204313
2016-02-02,14.59,14.75,14.32,14.54,109900,14.282898
2016-02-01,14.89,14.91,14.525,14.77,113900,14.508832
2016-01-29,14.82,14.95,14.455,14.95,167900,14.685648
2016-01-28,14.56,14.71,14.25,14.71,198100,14.449892
2016-01-27,14.32,14.40,14.135,14.32,156400,14.066788
2016-01-26,13.81,14.30,13.81,14.24,126400,13.988203
2016-01-25,14.07,14.13,13.90,13.92,207100,13.673861
2016-01-22,14.07,14.20,13.90,14.01,139300,13.76227
2016-01-21,13.63,13.95,13.54,13.87,194300,13.624745
2016-01-20,14.04,14.105,13.445,13.50,209000,13.261288
2016-01-19,14.11,14.33,13.98,14.14,314600,13.889972
2016-01-15,13.89,14.34,13.71,13.98,166500,13.7328
2016-01-14,14.35,14.58,14.221,14.26,106900,14.00785
2016-01-13,14.81,14.81,14.38,14.40,176600,14.145373
2016-01-12,15.05,15.09,14.53,14.75,130200,14.489185
2016-01-11,15.25,15.25,15.00,15.00,58800,14.734764
2016-01-08,15.22,15.31,15.17,15.17,120400,14.901758
2016-01-07,15.30,15.39,15.16,15.25,65500,14.980344
2016-01-06,15.40,15.46,15.37,15.40,76300,15.127691
2016-01-05,15.59,15.59,15.43,15.45,64300,15.176807
2016-01-04,15.50,15.50,15.36,15.50,83300,15.225923
2015-12-31,15.58,15.58,15.45,15.51,85500,15.235747
2015-12-30,15.59,15.60,15.45,15.51,77300,15.235747
2015-12-29,15.48,15.63,15.48,15.58,98700,15.304509
2015-12-28,15.60,15.60,15.42,15.46,102200,15.186631
2015-12-24,15.54,15.55,15.46,15.51,57900,15.235747
2015-12-23,15.34,15.52,15.34,15.45,151600,15.176807
2015-12-22,15.36,15.36,15.16,15.34,161800,15.068753
2015-12-21,15.37,15.45,15.25,15.33,171900,15.058929
2015-12-18,15.27,15.35,15.23,15.25,189700,14.980344
2015-12-17,15.21,15.445,15.21,15.24,249200,14.97052
2015-12-16,15.15,15.43,15.15,15.27,147500,14.999991
2015-12-15,15.31,15.43,15.14,15.21,118500,14.941051
2015-12-14,15.55,15.56,15.30,15.31,88700,15.039283
2015-12-11,15.70,15.70,15.31,15.57,127600,15.294685
2015-12-10,15.90,15.90,15.67,15.779,117200,15.49999
2015-12-09,16.049999,16.120001,15.70,15.78,247200,15.500972
2015-12-08,16.190001,16.299999,16.17,16.190001,59500,15.903723
2015-12-07,16.280001,16.280001,16.17,16.17,56900,15.884076
2015-12-04,16.23,16.309999,16.16,16.280001,36400,15.992132
2015-12-03,16.23,16.26,16.129999,16.16,61700,15.874253
2015-12-02,16.299999,16.299999,16.120001,16.23,65800,15.943015
2015-12-01,16.51,16.51,16.290001,16.34,91300,16.05107
2015-11-30,16.540001,16.540001,16.309999,16.389999,65100,16.100185
2015-11-27,16.41,16.49,16.351999,16.48,11400,16.188594
2015-11-25,16.27,16.370001,16.23,16.290001,84200,16.001955
2015-11-24,16.33,16.33,16.23,16.27,50600,15.982308
2015-11-23,16.370001,16.370001,16.309999,16.33,78100,16.041247
2015-11-20,16.24,16.34,16.139999,16.32,117400,16.031423
2015-11-19,16.10,16.33,16.10,16.190001,50700,15.903723
2015-11-18,16.15,16.219999,16.059999,16.145,97500,15.859519
2015-11-17,16.200001,16.219999,16.115,16.139999,52500,15.854606
2015-11-16,16.139999,16.195,16.030001,16.049999,51300,15.766197
2015-11-13,16.280001,16.35,16.10,16.10,52000,15.815314
2015-11-12,16.33,16.370001,16.25,16.32,121500,16.031423
2015-11-11,16.450001,16.469999,16.332001,16.35,51800,16.060894
2015-11-10,16.41,16.48,16.379999,16.40,30000,16.110009
2015-11-09,16.549999,16.639999,16.450001,16.49,107600,16.198417
2015-11-06,16.690001,16.690001,16.620001,16.65,45600,16.355588
2015-11-05,16.73,16.74,16.67,16.690001,102400,16.394882
2015-11-04,16.690001,16.700001,16.66,16.700001,65800,16.404705
2015-11-03,16.700001,16.75,16.65,16.65,90600,16.355588
2015-11-02,16.68,16.690001,16.601999,16.66,97600,16.365412
2015-10-30,16.559999,16.610001,16.517,16.559999,230500,16.267179
2015-10-29,16.700001,16.700001,16.51,16.52,69100,16.227888
2015-10-28,16.77,16.77,16.66,16.66,53400,16.365412
2015-10-27,16.780001,16.780001,16.629999,16.709999,95100,16.414527
2015-10-26,16.84,16.85,16.620001,16.76,83000,16.463644
2015-10-23,16.809999,16.82,16.790001,16.790001,138600,16.493114
2015-10-22,16.83,16.860001,16.76,16.76,263200,16.463644
2015-10-21,16.85,16.857,16.799999,16.82,54200,16.522582
2015-10-20,16.870001,16.950001,16.799999,16.83,52500,16.532406
2015-10-19,16.92,16.950001,16.85,16.860001,67000,16.561876
2015-10-16,16.870001,16.940001,16.780001,16.85,66200,16.552052
2015-10-15,16.74,16.90,16.74,16.799999,176300,16.502935
2015-10-14,16.73,16.77,16.67,16.677999,53300,16.383093
2015-10-13,16.73,16.790001,16.66,16.73,118100,16.434173
2015-10-12,16.66,16.969999,16.66,16.83,80900,16.532406
2015-10-09,16.700001,16.700001,16.638,16.68,126500,16.385058
