Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,8.44,8.50,8.44,8.47,112700,8.47
2016-03-10,8.46,8.48,8.43,8.44,70200,8.44
2016-03-09,8.48,8.48,8.43,8.45,59200,8.45
2016-03-08,8.47,8.53,8.45,8.50,123700,8.458
2016-03-07,8.43,8.47,8.41,8.47,95400,8.428149
2016-03-04,8.46,8.46,8.43,8.43,70100,8.388346
2016-03-03,8.44,8.47,8.43,8.44,76800,8.398296
2016-03-02,8.47,8.47,8.40,8.46,67100,8.418198
2016-03-01,8.42,8.49,8.42,8.46,129000,8.418198
2016-02-29,8.36,8.44,8.34,8.40,124400,8.358494
2016-02-26,8.38,8.39,8.31,8.32,108900,8.278889
2016-02-25,8.38,8.40,8.36,8.36,58000,8.318692
2016-02-24,8.40,8.44,8.33,8.36,118700,8.318692
2016-02-23,8.33,8.39,8.31,8.39,110200,8.348544
2016-02-22,8.36,8.37,8.30,8.30,106600,8.258989
2016-02-19,8.34,8.38,8.31,8.37,68100,8.328642
2016-02-18,8.33,8.36,8.29,8.32,84300,8.278889
2016-02-17,8.29,8.36,8.26,8.28,122400,8.239087
2016-02-16,8.35,8.35,8.24,8.29,144400,8.249038
2016-02-12,8.51,8.51,8.30,8.36,241000,8.318692
2016-02-11,8.51,8.53,8.43,8.49,142800,8.448049
2016-02-10,8.49,8.52,8.45,8.47,112500,8.428149
2016-02-09,8.48,8.51,8.46,8.50,93900,8.416207
2016-02-08,8.47,8.48,8.42,8.47,90000,8.386503
2016-02-05,8.40,8.45,8.40,8.45,91400,8.3667
2016-02-04,8.39,8.40,8.37,8.40,83400,8.317193
2016-02-03,8.37,8.39,8.35,8.38,117100,8.29739
2016-02-02,8.34,8.37,8.33,8.34,99100,8.257785
2016-02-01,8.30,8.34,8.29,8.32,92200,8.237982
2016-01-29,8.28,8.31,8.25,8.29,131000,8.208278
2016-01-28,8.21,8.24,8.21,8.24,81200,8.15877
2016-01-27,8.22,8.25,8.18,8.18,75500,8.099362
2016-01-26,8.18,8.24,8.17,8.20,147200,8.119165
2016-01-25,8.24,8.28,8.15,8.15,80200,8.069657
2016-01-22,8.28,8.32,8.20,8.23,240500,8.148869
2016-01-21,8.20,8.25,8.20,8.24,70900,8.15877
2016-01-20,8.19,8.21,8.09,8.17,100800,8.089461
2016-01-19,8.30,8.31,8.18,8.18,92100,8.099362
2016-01-15,8.18,8.34,8.18,8.28,185500,8.198376
2016-01-14,8.19,8.21,8.17,8.20,59300,8.119165
2016-01-13,8.26,8.26,8.17,8.17,76800,8.089461
2016-01-12,8.20,8.30,8.20,8.28,117700,8.15679
2016-01-11,8.21,8.23,8.18,8.18,132800,8.058278
