Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,9.26,9.31,9.26,9.30,23200,9.30
2016-03-10,9.33,9.36,9.25,9.30,57200,9.25
2016-03-09,9.29,9.36,9.29,9.33,13800,9.279839
2016-03-08,9.27,9.31,9.27,9.29,21700,9.240054
2016-03-07,9.25,9.29,9.25,9.27,35500,9.220162
2016-03-04,9.26,9.34,9.26,9.33,66300,9.279839
2016-03-03,9.26,9.31,9.24,9.28,35300,9.230107
2016-03-02,9.22,9.34,9.20,9.26,137500,9.210215
2016-03-01,9.21,9.27,9.20,9.25,42100,9.200269
2016-02-29,9.25,9.26,9.21,9.24,25100,9.190322
2016-02-26,9.19,9.24,9.19,9.23,19600,9.180376
2016-02-25,9.23,9.28,9.22,9.23,69500,9.180376
2016-02-24,9.21,9.25,9.20,9.22,17800,9.17043
2016-02-23,9.19,9.20,9.16,9.20,34000,9.150537
2016-02-22,9.18,9.24,9.18,9.20,34800,9.150537
2016-02-19,9.22,9.22,9.19,9.20,23800,9.150537
2016-02-18,9.23,9.24,9.19,9.24,13700,9.190322
2016-02-17,9.21,9.26,9.19,9.26,22200,9.210215
2016-02-16,9.24,9.24,9.20,9.22,16700,9.17043
2016-02-12,9.32,9.32,9.26,9.28,32900,9.230107
2016-02-11,9.38,9.41,9.36,9.38,33700,9.32957
2016-02-10,9.39,9.45,9.39,9.43,13800,9.32957
2016-02-09,9.37,9.42,9.35,9.42,26400,9.319677
2016-02-08,9.41,9.42,9.38,9.38,17300,9.280103
2016-02-05,9.34,9.48,9.27,9.48,230800,9.379037
2016-02-04,9.28,9.34,9.28,9.33,36000,9.230635
2016-02-03,9.26,9.31,9.24,9.29,30100,9.191061
2016-02-02,9.25,9.28,9.23,9.24,28200,9.141593
2016-02-01,9.21,9.31,9.19,9.28,33900,9.181167
2016-01-29,9.24,9.26,9.20,9.24,42300,9.141593
2016-01-28,9.15,9.16,9.13,9.16,38400,9.062445
2016-01-27,9.17,9.21,9.15,9.17,19700,9.072339
2016-01-26,9.18,9.23,9.15,9.20,21500,9.102019
2016-01-25,9.16,9.17,9.14,9.16,19900,9.062445
2016-01-22,9.15,9.20,9.14,9.15,25900,9.052552
2016-01-21,9.10,9.16,9.10,9.14,39900,9.042659
2016-01-20,9.15,9.16,9.12,9.12,52600,9.022872
2016-01-19,9.13,9.19,9.13,9.17,28700,9.072339
2016-01-15,9.25,9.25,9.16,9.16,26100,9.062445
2016-01-14,9.18,9.29,9.18,9.26,61700,9.161381
2016-01-13,9.20,9.21,9.18,9.20,57700,9.102019
2016-01-12,9.22,9.25,9.20,9.22,86100,9.072339
2016-01-11,9.20,9.23,9.18,9.21,38900,9.062499
2016-01-08,9.24,9.25,9.22,9.22,10900,9.072339
2016-01-07,9.26,9.35,9.20,9.20,50000,9.052659
2016-01-06,9.27,9.30,9.26,9.27,22800,9.121539
2016-01-05,9.23,9.28,9.23,9.27,20500,9.121539
2016-01-04,9.16,9.23,9.12,9.20,22600,9.052659
2015-12-31,9.11,9.20,9.11,9.19,77000,9.042819
2015-12-30,9.18,9.26,9.16,9.20,17200,9.052659
2015-12-29,9.28,9.30,9.19,9.19,38800,9.042819
2015-12-28,9.33,9.34,9.27,9.28,33300,9.131378
2015-12-24,9.30,9.33,9.29,9.30,11700,9.151058
2015-12-23,9.27,9.30,9.27,9.29,23900,9.141218
2015-12-22,9.29,9.30,9.26,9.28,24900,9.131378
2015-12-21,9.28,9.29,9.25,9.29,41500,9.141218
