Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,7.35,7.44,7.35,7.40,183400,7.40
2016-03-10,7.39,7.45,7.38,7.40,191200,7.332
2016-03-09,7.38,7.41,7.36,7.37,148500,7.302276
2016-03-08,7.40,7.40,7.36,7.38,83600,7.312184
2016-03-07,7.30,7.40,7.28,7.40,331200,7.332
2016-03-04,7.23,7.35,7.21,7.28,225700,7.213103
2016-03-03,7.14,7.22,7.14,7.21,111200,7.143746
2016-03-02,7.20,7.23,7.13,7.14,280200,7.074389
2016-03-01,7.19,7.20,7.08,7.18,213700,7.114021
2016-02-29,6.96,7.15,6.96,7.15,399700,7.084297
2016-02-26,6.96,6.98,6.95,6.98,77700,6.915859
2016-02-25,6.89,6.97,6.88,6.95,125100,6.886135
2016-02-24,6.85,6.93,6.84,6.91,82000,6.846503
2016-02-23,6.93,6.93,6.89,6.89,83000,6.826686
2016-02-22,6.91,6.94,6.89,6.93,138600,6.866319
2016-02-19,6.85,6.90,6.83,6.85,91400,6.787054
2016-02-18,6.85,6.90,6.80,6.87,169800,6.80687
2016-02-17,6.78,6.83,6.77,6.83,152400,6.767238
2016-02-16,6.70,6.75,6.67,6.75,288300,6.687973
2016-02-12,6.67,6.72,6.65,6.68,101000,6.618616
2016-02-11,6.68,6.72,6.65,6.66,314200,6.5988
2016-02-10,6.80,6.85,6.78,6.81,233800,6.680047
2016-02-09,6.85,6.86,6.77,6.82,176700,6.689856
2016-02-08,6.97,7.03,6.86,6.91,247200,6.778138
2016-02-05,7.06,7.06,7.02,7.06,75600,6.925276
2016-02-04,7.06,7.10,7.03,7.10,87400,6.964513
2016-02-03,7.18,7.18,7.04,7.09,216000,6.954704
2016-02-02,7.03,7.11,7.00,7.08,203100,6.944894
2016-02-01,7.08,7.10,7.05,7.10,189800,6.964513
2016-01-29,7.07,7.14,7.07,7.08,255300,6.944894
2016-01-28,7.00,7.07,7.00,7.06,147200,6.925276
2016-01-27,6.93,7.03,6.93,6.96,282700,6.827184
2016-01-26,6.88,7.00,6.88,6.96,163400,6.827184
2016-01-25,6.90,6.94,6.85,6.85,216100,6.719283
2016-01-22,6.80,6.93,6.79,6.93,238100,6.797757
2016-01-21,6.74,6.81,6.69,6.71,317600,6.581955
2016-01-20,6.79,6.82,6.70,6.77,460600,6.64081
2016-01-19,6.97,6.97,6.83,6.86,266700,6.729093
2016-01-15,6.95,7.03,6.84,6.93,318800,6.797757
2016-01-14,7.06,7.14,7.00,7.13,298300,6.99394
2016-01-13,7.33,7.37,7.15,7.15,329500,6.946856
2016-01-12,7.37,7.39,7.33,7.33,204300,7.121742
2016-01-11,7.40,7.44,7.35,7.38,213600,7.170321
2016-01-08,7.42,7.44,7.39,7.41,190000,7.199469
2016-01-07,7.50,7.54,7.39,7.44,419400,7.228617
2016-01-06,7.56,7.63,7.53,7.53,619700,7.31606
2016-01-05,7.48,7.64,7.44,7.62,867600,7.403502
2016-01-04,7.41,7.50,7.33,7.50,660000,7.286912
2015-12-31,7.39,7.49,7.39,7.45,463700,7.238332
2015-12-30,7.37,7.39,7.35,7.37,151500,7.160605
2015-12-29,7.36,7.40,7.36,7.39,315000,7.180037
2015-12-28,7.41,7.44,7.35,7.37,321800,7.160605
2015-12-24,7.44,7.48,7.40,7.46,163500,7.248048
2015-12-23,7.46,7.50,7.37,7.44,355500,7.228617
2015-12-22,7.40,7.42,7.38,7.40,385900,7.189753
2015-12-21,7.45,7.47,7.39,7.43,651000,7.218901
2015-12-18,7.38,7.45,7.34,7.45,371300,7.238332
2015-12-17,7.30,7.38,7.25,7.38,393000,7.170321
2015-12-16,7.18,7.36,7.12,7.33,326500,7.121742
2015-12-15,7.03,7.20,7.03,7.15,368800,6.946856
2015-12-14,7.07,7.09,6.95,7.00,539800,6.801118
2015-12-11,7.30,7.31,7.12,7.12,308500,6.917708
2015-12-10,7.34,7.47,7.31,7.38,383800,7.104253
2015-12-09,7.43,7.43,7.30,7.34,158500,7.065748
2015-12-08,7.39,7.39,7.33,7.39,210600,7.113879
2015-12-07,7.45,7.46,7.38,7.40,205000,7.123506
2015-12-04,7.46,7.50,7.44,7.45,115000,7.171638
2015-12-03,7.55,7.55,7.47,7.48,78000,7.200517
2015-12-02,7.46,7.56,7.45,7.56,234400,7.277528
2015-12-01,7.47,7.50,7.44,7.49,219000,7.210143
2015-11-30,7.47,7.49,7.40,7.40,160500,7.123506
2015-11-27,7.47,7.50,7.43,7.50,77400,7.21977
2015-11-25,7.47,7.50,7.45,7.50,153600,7.21977
2015-11-24,7.42,7.45,7.41,7.45,165300,7.171638
