Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,9.99,9.99,9.99,9.99,000,9.99
2016-03-10,9.99,9.99,9.99,9.99,000,9.99
2016-03-09,9.99,9.99,9.99,9.99,000,9.99
2016-03-08,9.99,9.99,9.99,9.99,100,9.99
2016-03-07,10.00,10.00,10.00,10.00,000,10.00
2016-03-04,10.00,10.00,10.00,10.00,000,10.00
2016-03-03,10.00,10.00,10.00,10.00,000,10.00
2016-03-02,10.00,10.04,10.00,10.00,3000,10.00
2016-03-01,9.99,9.99,9.99,9.99,000,9.99
2016-02-29,9.99,9.99,9.99,9.99,000,9.99
2016-02-26,9.99,9.99,9.99,9.99,000,9.99
2016-02-25,9.99,9.99,9.99,9.99,000,9.99
2016-02-24,9.99,9.99,9.99,9.99,000,9.99
2016-02-23,9.99,9.99,9.99,9.99,000,9.99
2016-02-22,9.99,9.99,9.99,9.99,000,9.99
2016-02-19,9.99,9.99,9.99,9.99,000,9.99
2016-02-18,9.99,9.99,9.99,9.99,000,9.99
2016-02-17,9.99,9.99,9.99,9.99,000,9.99
2016-02-16,9.99,9.99,9.99,9.99,000,9.99
2016-02-12,9.99,9.99,9.99,9.99,000,9.99
2016-02-11,9.99,9.99,9.99,9.99,000,9.99
2016-02-10,9.99,9.99,9.99,9.99,000,9.99
2016-02-09,9.99,9.99,9.99,9.99,5100,9.99
2016-02-08,10.02,10.02,10.02,10.02,000,10.02
2016-02-05,10.02,10.02,10.02,10.02,000,10.02
2016-02-04,10.02,10.02,10.02,10.02,000,10.02
2016-02-03,10.02,10.02,10.02,10.02,000,10.02
2016-02-02,10.02,10.02,10.02,10.02,100,10.02
2016-02-01,9.90,9.95,9.90,9.95,1000,9.95
2016-01-29,9.95,9.95,9.95,9.95,1400,9.95
2016-01-28,9.95,9.95,9.95,9.95,000,9.95
2016-01-27,9.95,9.95,9.95,9.95,000,9.95
2016-01-26,9.95,9.95,9.95,9.95,000,9.95
2016-01-25,9.95,9.95,9.95,9.95,000,9.95
2016-01-22,9.95,9.95,9.95,9.95,10800,9.95
2016-01-21,9.95,9.95,9.95,9.95,000,9.95
2016-01-20,9.95,9.95,9.95,9.95,000,9.95
2016-01-19,9.95,9.95,9.95,9.95,000,9.95
2016-01-15,9.95,9.95,9.95,9.95,000,9.95
2016-01-14,9.95,9.95,9.95,9.95,29200,9.95
2016-01-13,9.95,9.95,9.95,9.95,000,9.95
2016-01-12,9.95,9.95,9.95,9.95,000,9.95
2016-01-11,9.95,9.95,9.95,9.95,000,9.95
2016-01-08,9.95,9.95,9.95,9.95,000,9.95
2016-01-07,9.95,9.95,9.95,9.95,000,9.95
2016-01-06,9.95,9.95,9.95,9.95,000,9.95
2016-01-05,9.95,9.95,9.95,9.95,000,9.95
2016-01-04,9.95,9.95,9.95,9.95,200,9.95
