Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,7.42,7.48,7.38,7.45,24600,7.45
2016-03-10,7.37,7.41,7.32,7.37,33100,7.37
2016-03-09,7.42,7.42,7.33,7.34,36400,7.34
2016-03-08,7.42,7.42,7.35,7.38,19200,7.38
2016-03-07,7.43,7.45,7.37,7.42,30100,7.42
2016-03-04,7.37,7.46,7.37,7.43,25100,7.43
2016-03-03,7.30,7.37,7.30,7.35,24200,7.35
2016-03-02,7.28,7.39,7.27,7.34,27400,7.34
2016-03-01,7.27,7.34,7.15,7.33,45000,7.33
2016-02-29,7.31,7.38,7.20,7.27,55000,7.27
2016-02-26,7.29,7.34,7.20,7.26,18400,7.26
2016-02-25,7.20,7.25,7.13,7.23,72000,7.23
2016-02-24,7.17,7.17,7.04,7.14,18100,7.14
2016-02-23,7.09,7.25,7.04,7.25,54100,7.25
2016-02-22,7.23,7.23,7.03,7.05,82600,7.05
2016-02-19,7.02,7.02,6.94,6.95,23600,6.95
2016-02-18,6.97,7.01,6.96,6.96,29300,6.96
2016-02-17,6.86,7.07,6.86,6.98,39000,6.98
2016-02-16,6.84,6.89,6.81,6.85,24800,6.85
2016-02-12,6.78,6.79,6.73,6.77,11700,6.77
2016-02-11,6.78,6.80,6.71,6.75,33700,6.75
2016-02-10,6.88,6.91,6.81,6.83,27600,6.83
2016-02-09,6.84,6.89,6.70,6.89,18900,6.89
2016-02-08,7.07,7.10,6.79,6.97,31200,6.86
2016-02-05,7.18,7.33,7.13,7.19,27800,7.076528
2016-02-04,7.22,7.25,7.16,7.24,30000,7.125739
2016-02-03,7.20,7.46,7.13,7.25,66600,7.135581
2016-02-02,7.13,7.20,7.10,7.20,25500,7.08637
2016-02-01,7.15,7.27,7.13,7.21,19900,7.096212
2016-01-29,7.16,7.24,7.16,7.22,31400,7.106054
2016-01-28,7.12,7.22,7.10,7.22,9200,7.106054
2016-01-27,7.18,7.18,7.04,7.09,16400,6.978106
2016-01-26,7.08,7.16,7.08,7.14,43700,7.027317
2016-01-25,7.02,7.12,6.91,7.05,25800,6.938738
2016-01-22,7.04,7.10,6.98,7.07,30300,6.958422
2016-01-21,6.84,6.98,6.84,6.90,16200,6.791105
2016-01-20,7.03,7.25,6.61,6.82,65000,6.712367
2016-01-19,7.07,7.12,6.95,7.00,14700,6.889526
2016-01-15,7.11,7.14,6.94,7.06,18100,6.948579
2016-01-14,7.20,7.26,7.16,7.25,53000,7.135581
2016-01-13,7.37,7.37,7.16,7.25,12700,7.135581
2016-01-12,7.40,7.41,7.27,7.35,30300,7.234003
2016-01-11,7.42,7.42,7.32,7.36,27900,7.243845
2016-01-08,7.46,7.50,7.42,7.42,36200,7.302898
2016-01-07,7.61,7.61,7.33,7.45,83300,7.332424
2016-01-06,7.65,7.68,7.60,7.60,20300,7.480057
2016-01-05,7.60,7.69,7.60,7.67,12800,7.548953
2016-01-04,7.72,7.72,7.57,7.67,37000,7.548953
2015-12-31,7.77,7.77,7.65,7.75,17300,7.62769
2015-12-30,7.75,7.81,7.70,7.77,7700,7.647374
2015-12-29,7.68,7.75,7.68,7.75,31000,7.62769
2015-12-28,7.73,7.78,7.67,7.69,8700,7.568637
2015-12-24,7.78,7.78,7.68,7.73,7000,7.608006
2015-12-23,7.69,7.75,7.69,7.75,24100,7.62769
2015-12-22,7.65,7.66,7.61,7.62,29400,7.499742
2015-12-21,7.69,7.69,7.63,7.65,5600,7.529268
2015-12-18,7.69,7.69,7.62,7.67,42300,7.548953
2015-12-17,7.71,7.75,7.65,7.69,19600,7.568637
2015-12-16,7.60,7.65,7.57,7.65,33100,7.529268
