Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,25.809999,25.809999,25.809999,25.809999,000,25.809999
2016-03-10,25.809999,25.809999,25.809999,25.809999,000,25.809999
2016-03-09,25.809999,25.809999,25.809999,25.809999,000,25.809999
2016-03-08,25.809999,25.809999,25.809999,25.809999,400,25.809999
2016-03-07,25.90,26.040001,25.82,26.040001,1100,26.040001
2016-03-04,25.90,25.90,25.90,25.90,200,25.90
2016-03-03,24.23,24.23,24.23,24.23,000,24.23
2016-03-02,24.23,24.23,24.23,24.23,000,24.23
2016-03-01,24.23,24.23,24.23,24.23,000,24.23
2016-02-29,24.23,24.23,24.23,24.23,000,24.23
2016-02-26,24.23,24.23,24.23,24.23,400,24.23
2016-02-25,24.190001,24.190001,24.190001,24.190001,000,24.190001
2016-02-24,24.190001,24.190001,24.190001,24.190001,300,24.190001
2016-02-23,24.219999,24.219999,24.219999,24.219999,000,24.219999
2016-02-22,24.219999,24.219999,24.219999,24.219999,000,24.219999
2016-02-19,24.110001,24.23,24.110001,24.219999,300,24.219999
2016-02-18,23.41,23.41,23.41,23.41,000,23.41
2016-02-17,23.41,23.41,23.41,23.41,000,23.41
2016-02-16,23.41,23.41,23.41,23.41,000,23.41
2016-02-12,23.41,23.41,23.41,23.41,400,23.41
2016-02-11,23.379999,23.450001,23.367001,23.367001,1900,23.367001
2016-02-10,23.440001,23.440001,23.440001,23.440001,000,23.440001
2016-02-09,23.440001,23.440001,23.440001,23.440001,100,23.440001
2016-02-08,24.084,24.084,24.084,24.084,000,24.084
2016-02-05,24.129999,24.129999,24.084,24.084,200,24.084
2016-02-04,24.049999,24.049999,24.049999,24.049999,100,24.049999
2016-02-03,24.07,24.07,24.07,24.07,000,24.07
2016-02-02,24.07,24.07,24.07,24.07,000,24.07
2016-02-01,23.91,24.08,23.91,24.07,3100,24.07
2016-01-29,24.15,24.15,24.15,24.15,100,24.15
2016-01-28,22.50,22.50,22.50,22.50,000,22.50
2016-01-27,22.50,22.50,22.50,22.50,000,22.50
2016-01-26,22.50,22.50,22.50,22.50,000,22.50
2016-01-25,22.50,22.50,22.50,22.50,000,22.50
2016-01-22,22.50,22.50,22.50,22.50,000,22.50
2016-01-21,22.50,22.50,22.50,22.50,000,22.50
2016-01-20,22.26,22.50,22.00,22.50,500,22.50
2016-01-19,22.76,22.77,22.76,22.77,300,22.77
2016-01-15,22.629999,22.629999,22.50,22.50,300,22.50
2016-01-14,23.24,23.24,23.24,23.24,000,23.24
2016-01-13,23.24,23.24,23.24,23.24,000,23.24
2016-01-12,23.25,23.25,23.24,23.24,300,23.24
2016-01-11,23.00,23.07,23.00,23.07,1000,23.07
2016-01-08,23.27,23.27,23.27,23.27,300,23.27
2016-01-07,23.68,23.68,23.48,23.48,200,23.48
2016-01-06,23.879999,24.030001,23.879999,24.00,7100,24.00
2016-01-05,24.219999,24.219999,24.219999,24.219999,000,24.219999
2016-01-04,24.120001,24.27,24.120001,24.219999,600,24.219999
2015-12-31,24.85,24.92,24.85,24.92,5100,24.92
2015-12-30,24.950001,24.959999,24.92,24.93,1700,24.93
2015-12-29,25.309999,25.309999,25.309999,25.309999,1800,25.309999
