Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,27.98,32.00,27.25,31.25,467800,31.25
2016-03-10,32.50,32.50,25.639999,26.74,816900,26.74
2016-03-09,42.700001,43.41,30.00,31.10,1444300,31.10
2016-03-08,41.990002,43.990002,40.130001,41.990002,603900,41.990002
2016-03-07,35.889999,41.599998,35.889999,39.110001,421100,39.110001
2016-03-04,39.00,39.130001,34.25,35.560001,577300,35.560001
2016-03-03,32.919998,39.075001,31.511,37.490002,590000,37.490002
2016-03-02,29.00,31.90,28.049999,31.90,394300,31.90
2016-03-01,29.469999,29.799999,26.690001,28.959999,532700,28.959999
2016-02-29,28.00,30.120001,27.440001,28.950001,618700,28.950001
2016-02-26,25.360001,29.40,24.32,27.49,583100,27.49
2016-02-25,22.84,24.280001,22.799999,23.950001,325800,23.950001
2016-02-24,22.90,24.559999,22.00,23.219999,498300,23.219999
2016-02-23,21.299999,23.48,21.26,22.620001,411800,22.620001
2016-02-22,19.60,21.90,19.10,21.620001,417000,21.620001
2016-02-19,16.860001,19.98,16.66,18.48,345700,18.48
2016-02-18,17.15,17.389999,16.200001,16.75,129900,16.75
2016-02-17,16.74,17.16,15.96,16.700001,245500,16.700001
2016-02-16,15.85,16.200001,15.73,15.94,142500,15.94
2016-02-12,16.00,17.440001,15.05,15.40,216300,15.40
2016-02-11,12.97,16.90,12.57,15.77,258900,15.77
2016-02-10,13.01,14.00,12.79,13.09,260800,13.09
2016-02-09,15.50,15.50,12.748,12.81,744100,12.81
2016-02-08,17.52,18.00,15.72,15.85,372100,15.85
2016-02-05,18.84,18.879999,17.52,17.60,219900,17.60
2016-02-04,18.26,19.42,17.57,18.50,469900,18.50
