Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,13.19,13.29,13.13,13.20,7300,13.20
2016-03-10,13.19,13.20,13.11,13.18,14400,13.18
2016-03-09,13.05,13.11,13.03,13.09,6400,13.09
2016-03-08,13.01,13.20,13.01,13.16,3800,13.16
2016-03-07,13.10,13.15,13.01,13.01,7000,13.01
2016-03-04,13.10,13.15,13.08,13.14,11700,13.14
2016-03-03,13.05,13.08,13.01,13.02,21600,13.02
2016-03-02,13.11,13.11,13.01,13.01,6100,13.01
2016-03-01,13.07,13.07,13.02,13.03,7600,13.03
2016-02-29,12.98,13.10,12.89,12.97,6400,12.97
2016-02-26,12.97,12.99,12.87,12.97,7800,12.97
2016-02-25,12.95,13.11,12.95,13.04,9500,13.04
2016-02-24,12.98,13.01,12.86,12.93,12900,12.93
2016-02-23,12.82,13.03,12.82,12.88,14300,12.88
2016-02-22,12.81,12.87,12.77,12.79,29700,12.79
2016-02-19,12.93,12.93,12.81,12.90,22300,12.90
2016-02-18,12.91,12.97,12.79,12.84,10900,12.84
2016-02-17,12.86,12.96,12.77,12.87,15900,12.818
2016-02-16,12.85,12.90,12.82,12.85,15700,12.798081
2016-02-12,13.07,13.07,12.81,12.82,13000,12.768202
2016-02-11,13.07,13.18,13.04,13.04,15200,12.987313
2016-02-10,13.11,13.13,13.04,13.04,6800,12.987313
2016-02-09,13.01,13.26,13.01,13.03,8600,12.977353
2016-02-08,12.93,13.14,12.93,13.10,7500,13.047071
2016-02-05,13.20,13.20,13.03,13.03,2900,12.977353
2016-02-04,12.95,13.25,12.95,13.16,15100,13.106828
2016-02-03,12.86,13.07,12.86,12.95,10800,12.897676
2016-02-02,12.94,12.94,12.86,12.92,3300,12.867798
2016-02-01,12.92,13.00,12.83,12.90,10500,12.847878
2016-01-29,12.96,12.96,12.88,12.95,5700,12.897676
2016-01-28,12.99,13.01,12.84,12.90,6100,12.847878
2016-01-27,12.69,12.95,12.69,12.95,20700,12.897676
2016-01-26,12.84,12.84,12.64,12.70,8100,12.648686
2016-01-25,12.75,12.81,12.61,12.77,11400,12.718404
2016-01-22,12.80,12.80,12.69,12.69,6900,12.638727
2016-01-21,12.65,12.86,12.53,12.72,12100,12.668606
2016-01-20,12.68,12.68,12.53,12.56,9100,12.509253
2016-01-19,12.70,12.86,12.67,12.72,8300,12.616816
2016-01-15,12.73,12.84,12.54,12.72,31300,12.616816
2016-01-14,12.62,12.85,12.43,12.66,19500,12.557303
2016-01-13,12.76,12.76,12.52,12.53,12100,12.428357
2016-01-12,12.76,12.90,12.63,12.72,15100,12.616816
2016-01-11,12.83,12.93,12.69,12.74,13300,12.636653
2016-01-08,12.94,12.94,12.76,12.79,17500,12.686248
2016-01-07,12.76,12.89,12.75,12.85,8300,12.745762
2016-01-06,12.81,12.95,12.70,12.72,10500,12.616816
2016-01-05,12.74,12.84,12.72,12.73,11500,12.626734
2016-01-04,12.73,12.97,12.73,12.80,4400,12.696167
2015-12-31,12.77,12.99,12.75,12.81,4300,12.706086
2015-12-30,12.80,13.12,12.79,12.82,15600,12.716004
2015-12-29,12.29,12.88,12.29,12.87,11100,12.765599
2015-12-28,12.81,12.81,12.63,12.78,12800,12.676329
2015-12-24,12.82,12.82,12.74,12.76,2300,12.656492
2015-12-23,12.75,12.87,12.71,12.75,10500,12.646573
2015-12-22,12.89,12.89,12.61,12.65,6200,12.547383
2015-12-21,12.85,12.92,12.80,12.80,9900,12.696167
2015-12-18,12.75,12.83,12.75,12.83,6200,12.665418
2015-12-17,12.58,12.72,12.58,12.69,11500,12.527214
2015-12-16,12.50,12.77,12.50,12.67,23900,12.507471
2015-12-15,12.43,12.50,12.43,12.45,3800,12.290293
2015-12-14,12.39,12.51,12.39,12.49,10300,12.32978
2015-12-11,12.51,12.61,12.39,12.39,18700,12.231063
2015-12-10,12.44,12.54,12.40,12.42,7100,12.260678
2015-12-09,12.45,12.54,12.40,12.40,11600,12.240934
2015-12-08,12.32,12.46,12.31,12.40,6000,12.240934
2015-12-07,12.41,12.42,12.38,12.38,4700,12.221191
2015-12-04,12.45,12.47,12.40,12.42,5100,12.260678
2015-12-03,12.55,12.55,12.39,12.41,14100,12.250806
2015-12-02,12.51,12.51,12.45,12.46,7100,12.300165
2015-12-01,12.57,12.66,12.46,12.49,8200,12.32978
2015-11-30,12.65,12.65,12.48,12.50,15500,12.339652
2015-11-27,12.63,12.63,12.59,12.59,1800,12.428497
2015-11-25,12.55,12.61,12.55,12.59,1500,12.428497
2015-11-24,12.63,12.64,12.48,12.48,5400,12.319908
2015-11-23,12.54,12.60,12.54,12.60,3300,12.438369
2015-11-20,12.61,12.61,12.55,12.55,2500,12.38901
2015-11-19,12.46,12.72,12.45,12.55,11600,12.38901
2015-11-18,12.60,12.68,12.60,12.60,2600,12.378152
2015-11-17,12.67,12.67,12.60,12.62,4600,12.397799
2015-11-16,12.65,12.69,12.54,12.58,1700,12.358503
2015-11-13,12.67,12.70,12.53,12.65,1900,12.427271
2015-11-12,12.66,12.71,12.66,12.69,5500,12.466566
2015-11-11,12.54,12.66,12.53,12.65,3700,12.427271
2015-11-10,12.68,12.68,12.47,12.48,10300,12.260264
2015-11-09,12.70,12.74,12.52,12.68,10800,12.456743
2015-11-06,12.86,12.89,12.70,12.70,6600,12.47639
2015-11-05,12.94,12.95,12.79,12.92,1500,12.692517
2015-11-04,12.97,12.97,12.92,12.95,4800,12.721989
2015-11-03,12.98,12.98,12.77,12.96,6400,12.731813
2015-11-02,12.82,12.98,12.68,12.98,5000,12.75146
2015-10-30,12.73,12.85,12.57,12.83,6100,12.604102
2015-10-29,12.64,12.78,12.57,12.78,13700,12.554982
2015-10-28,12.64,12.64,12.60,12.60,3200,12.378152
2015-10-27,12.59,12.76,12.57,12.59,12600,12.368328
2015-10-26,12.53,12.68,12.50,12.58,12000,12.358503
2015-10-23,12.58,12.65,12.48,12.51,5000,12.289736
2015-10-22,12.51,12.80,12.46,12.52,11100,12.29956
2015-10-21,12.46,12.95,12.43,12.48,14100,12.260264
2015-10-20,12.46,12.52,12.44,12.48,3600,12.200338
2015-10-19,12.54,12.59,12.42,12.51,5600,12.229666
2015-10-16,12.52,12.61,12.39,12.51,12600,12.229666
2015-10-15,12.49,12.62,12.41,12.55,3900,12.26877
2015-10-14,12.47,12.51,12.42,12.51,3000,12.229666
2015-10-13,12.47,12.50,12.36,12.48,10200,12.200338
2015-10-12,12.41,12.48,12.40,12.40,12200,12.122131
2015-10-09,12.40,12.45,12.37,12.40,7700,12.122131
2015-10-08,12.46,12.57,12.36,12.40,21900,12.122131
2015-10-07,12.48,12.51,12.35,12.36,24500,12.083027
2015-10-06,12.44,12.60,12.42,12.42,6800,12.141683
2015-10-05,12.66,12.66,12.49,12.51,11700,12.229666
2015-10-02,12.58,12.81,12.58,12.66,1800,12.376305
2015-10-01,12.58,12.63,12.49,12.49,4100,12.210114
2015-09-30,12.49,12.61,12.40,12.54,6600,12.258994
2015-09-29,12.41,12.49,12.34,12.40,1500,12.122131
2015-09-28,12.76,12.78,12.40,12.40,16100,12.122131
2015-09-25,12.77,12.82,12.68,12.68,6100,12.395857
2015-09-24,12.79,12.79,12.68,12.69,1900,12.405632
2015-09-23,12.81,12.86,12.72,12.72,4300,12.434961
2015-09-22,12.75,12.88,12.60,12.71,9900,12.425184
2015-09-21,12.84,12.91,12.68,12.68,3900,12.395857
2015-09-18,12.86,12.87,12.80,12.83,2000,12.482863
2015-09-17,12.88,12.88,12.75,12.79,3100,12.443945
2015-09-16,12.81,12.82,12.80,12.81,4300,12.463404
2015-09-15,12.84,12.84,12.73,12.79,3300,12.443945
2015-09-14,12.80,12.85,12.54,12.75,6900,12.405027
2015-09-11,12.69,12.89,12.61,12.71,2100,12.366109
2015-09-10,12.77,12.86,12.62,12.62,6800,12.278544
2015-09-09,12.70,12.73,12.60,12.65,7700,12.307732
2015-09-08,12.52,12.63,12.52,12.61,2200,12.268815
2015-09-04,12.55,12.55,12.34,12.43,1200,12.093686
2015-09-03,12.60,12.60,12.35,12.47,3200,12.132603
2015-09-02,12.51,12.54,12.41,12.54,8400,12.200709
2015-09-01,12.46,12.47,12.40,12.41,5200,12.074226
2015-08-31,12.26,12.46,12.22,12.38,8500,12.045038
2015-08-28,12.24,12.29,12.19,12.21,4200,11.879638
2015-08-27,12.32,12.47,12.19,12.20,11000,11.869908
2015-08-26,12.28,12.39,12.10,12.20,11800,11.869908
2015-08-25,12.30,12.37,12.05,12.19,9200,11.860178
2015-08-24,11.95,12.36,11.95,12.25,12500,11.918555
2015-08-21,12.35,12.39,12.26,12.27,4000,11.938015
2015-08-20,12.37,12.39,12.18,12.26,5300,11.928285
2015-08-19,12.25,12.45,12.22,12.37,5100,11.975959
2015-08-18,12.30,12.35,12.22,12.32,14000,11.927551
2015-08-17,12.30,12.49,12.26,12.30,2300,11.908189
2015-08-14,12.36,12.51,12.26,12.26,2300,11.869463
2015-08-13,12.24,12.46,12.24,12.33,900,11.937233
2015-08-12,12.27,12.34,12.24,12.27,5900,11.879145
2015-08-11,12.40,12.40,12.29,12.32,2100,11.927551
2015-08-10,12.54,12.54,12.22,12.32,3700,11.927551
2015-08-07,12.33,12.55,12.33,12.55,1100,12.150225
2015-08-06,12.28,12.45,12.26,12.38,9300,11.985641
2015-08-05,12.31,12.54,12.22,12.23,6300,11.840418
2015-08-04,12.29,12.39,12.26,12.38,6300,11.985641
2015-08-03,12.19,12.31,12.19,12.31,2700,11.917871
2015-07-31,12.20,12.28,12.17,12.23,4200,11.840418
2015-07-30,12.22,12.22,12.08,12.12,15400,11.733923
