Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,13.05,13.09,13.00,13.00,162600,13.00
2016-03-10,13.08,13.13,13.03,13.03,139100,13.03
2016-03-09,13.06,13.11,13.05,13.05,105200,13.05
2016-03-08,13.13,13.13,13.07,13.07,114700,13.07
2016-03-07,13.06,13.09,13.02,13.09,81800,13.09
2016-03-04,13.05,13.08,13.02,13.02,144100,13.02
2016-03-03,12.98,13.07,12.98,13.05,144300,13.05
2016-03-02,13.13,13.13,12.97,13.02,248600,13.02
2016-03-01,13.12,13.14,13.08,13.08,186400,13.08
2016-02-29,13.14,13.15,13.08,13.11,109300,13.11
2016-02-26,13.15,13.16,13.09,13.09,90500,13.09
2016-02-25,13.14,13.19,13.14,13.15,100800,13.15
2016-02-24,13.15,13.18,13.10,13.18,152400,13.18
2016-02-23,13.05,13.08,13.02,13.08,168000,13.08
2016-02-22,13.08,13.09,13.00,13.02,116100,13.02
2016-02-19,13.08,13.08,13.05,13.06,86600,13.06
2016-02-18,13.04,13.08,13.00,13.02,103500,13.02
2016-02-17,13.04,13.08,13.02,13.03,128300,12.968999
2016-02-16,13.10,13.15,13.02,13.05,297300,12.988906
2016-02-12,13.20,13.25,13.12,13.15,128000,13.088438
2016-02-11,13.22,13.25,13.18,13.19,119300,13.12825
2016-02-10,13.20,13.25,13.18,13.21,145600,13.148157
2016-02-09,13.17,13.20,13.13,13.20,191200,13.138204
2016-02-08,13.20,13.20,13.10,13.16,84800,13.098391
2016-02-05,13.17,13.20,13.15,13.19,102000,13.12825
2016-02-04,13.16,13.17,13.10,13.10,124600,13.038672
2016-02-03,13.16,13.17,13.11,13.12,151300,13.058578
2016-02-02,13.16,13.18,13.11,13.13,235200,13.068532
2016-02-01,13.18,13.21,13.13,13.16,162800,13.098391
2016-01-29,13.15,13.17,13.10,13.17,149200,13.108344
2016-01-28,12.99,13.13,12.98,13.13,121600,13.068532
2016-01-27,13.04,13.09,12.98,12.98,104700,12.919233
2016-01-26,12.94,13.04,12.94,13.04,110900,12.978953
2016-01-25,13.03,13.04,12.95,12.95,55600,12.889374
2016-01-22,13.01,13.07,12.99,12.99,72700,12.929187
2016-01-21,13.05,13.20,12.92,12.94,98100,12.879421
2016-01-20,13.07,13.07,12.77,12.98,150100,12.919233
2016-01-19,13.16,13.17,13.03,13.05,122100,12.925207
2016-01-15,13.07,13.15,13.06,13.09,151300,12.964824
2016-01-14,13.06,13.10,13.01,13.09,90700,12.964824
2016-01-13,13.13,13.14,13.04,13.06,120600,12.935111
2016-01-12,13.10,13.16,13.07,13.13,107600,13.004441
2016-01-11,13.14,13.18,13.04,13.09,114600,12.964824
2016-01-08,13.11,13.18,13.10,13.13,143200,13.004441
2016-01-07,13.19,13.19,13.13,13.16,97600,13.034154
2016-01-06,13.20,13.20,13.12,13.15,244000,13.02425
2016-01-05,13.00,13.16,12.98,13.12,182700,12.994537
2016-01-04,12.95,13.00,12.95,13.00,139300,12.875684
2015-12-31,12.98,13.01,12.97,12.98,114600,12.855875
2015-12-30,12.90,12.98,12.83,12.98,154000,12.855875
2015-12-29,12.88,12.91,12.82,12.86,127600,12.737023
2015-12-28,12.82,12.90,12.82,12.88,149500,12.756832
2015-12-24,12.85,12.87,12.81,12.86,76600,12.737023
2015-12-23,12.79,12.85,12.78,12.85,249900,12.727119
2015-12-22,12.86,12.90,12.79,12.83,127800,12.70731
2015-12-21,12.88,12.94,12.80,12.80,96700,12.677597
2015-12-18,12.89,12.97,12.84,12.90,158100,12.713252
2015-12-17,12.78,12.90,12.78,12.90,167700,12.713252
2015-12-16,12.68,12.75,12.67,12.73,144600,12.545713
2015-12-15,12.63,12.71,12.55,12.71,136300,12.526003
2015-12-14,12.75,12.82,12.60,12.60,171900,12.417596
2015-12-11,12.78,12.85,12.75,12.78,132600,12.59499
2015-12-10,12.83,12.83,12.75,12.77,64100,12.585135
2015-12-09,12.75,12.81,12.70,12.81,204200,12.624556
2015-12-08,12.63,12.75,12.63,12.75,220200,12.565424
2015-12-07,12.60,12.65,12.59,12.64,159700,12.457017
2015-12-04,12.60,12.66,12.59,12.64,196000,12.457017
2015-12-03,12.70,12.72,12.58,12.62,231400,12.437306
2015-12-02,12.76,12.82,12.71,12.72,137700,12.535859
2015-12-01,12.78,12.84,12.77,12.79,117100,12.604845
2015-11-30,12.78,12.79,12.73,12.74,84500,12.555569
2015-11-27,12.69,12.74,12.68,12.74,34200,12.555569
2015-11-25,12.72,12.72,12.61,12.69,74800,12.506292
2015-11-24,12.72,12.73,12.68,12.70,82000,12.516148
2015-11-23,12.67,12.70,12.63,12.69,88500,12.506292
2015-11-20,12.65,12.67,12.60,12.66,58200,12.476727
2015-11-19,12.63,12.64,12.59,12.63,71200,12.447161
2015-11-18,12.66,12.68,12.63,12.67,84500,12.423509
2015-11-17,12.65,12.69,12.65,12.65,92100,12.403897
2015-11-16,12.66,12.70,12.66,12.69,101000,12.443119
2015-11-13,12.66,12.70,12.62,12.68,122700,12.433314
2015-11-12,12.60,12.70,12.60,12.65,65100,12.403897
2015-11-11,12.66,12.67,12.60,12.60,98000,12.354871
2015-11-10,12.67,12.70,12.65,12.67,389600,12.423509
2015-11-09,12.65,12.68,12.59,12.66,475200,12.413703
2015-11-06,12.70,12.76,12.62,12.72,147500,12.472536
2015-11-05,12.80,12.80,12.70,12.76,212600,12.511758
2015-11-04,12.78,12.80,12.72,12.78,174700,12.531368
2015-11-03,12.82,12.84,12.72,12.78,143200,12.531368
2015-11-02,12.82,12.83,12.78,12.78,110200,12.531368
2015-10-30,12.77,12.80,12.70,12.79,111900,12.541174
2015-10-29,12.66,12.75,12.66,12.73,74200,12.482341
2015-10-28,12.74,12.78,12.68,12.69,93600,12.443119
2015-10-27,12.80,12.80,12.72,12.72,111000,12.472536
2015-10-26,12.82,12.84,12.78,12.78,90400,12.531368
2015-10-23,12.84,12.87,12.83,12.83,87700,12.580396
2015-10-22,12.80,12.85,12.77,12.84,156100,12.590202
2015-10-21,12.84,12.84,12.73,12.77,93900,12.521564
2015-10-20,12.71,12.85,12.70,12.85,154500,12.537252
2015-10-19,12.71,12.82,12.67,12.70,178500,12.390903
2015-10-16,12.80,12.80,12.70,12.75,85000,12.439686
2015-10-15,12.71,12.75,12.70,12.70,97800,12.390903
2015-10-14,12.74,12.76,12.71,12.73,97500,12.420172
2015-10-13,12.74,12.77,12.69,12.71,113900,12.400659
2015-10-12,12.73,12.76,12.70,12.71,69700,12.400659
2015-10-09,12.69,12.73,12.67,12.72,149600,12.410416
2015-10-08,12.67,12.73,12.67,12.73,217700,12.420172
2015-10-07,12.73,12.74,12.63,12.63,152200,12.322607
2015-10-06,12.68,12.73,12.67,12.72,127600,12.410416
2015-10-05,12.63,12.69,12.60,12.65,132600,12.342119
2015-10-02,12.61,12.63,12.55,12.61,102400,12.303093
2015-10-01,12.57,12.66,12.54,12.60,129800,12.293337
2015-09-30,12.69,12.72,12.51,12.51,184800,12.205527
2015-09-29,12.59,12.65,12.58,12.65,135200,12.342119
2015-09-28,12.66,12.66,12.55,12.55,81300,12.244554
2015-09-25,12.62,12.63,12.57,12.62,81400,12.31285
2015-09-24,12.62,12.65,12.60,12.60,186500,12.293337
2015-09-23,12.62,12.66,12.60,12.64,73900,12.332363
2015-09-22,12.57,12.62,12.54,12.59,76600,12.28358
2015-09-21,12.58,12.58,12.53,12.54,63600,12.234797
2015-09-18,12.44,12.62,12.43,12.58,198400,12.211381
2015-09-17,12.36,12.51,12.36,12.51,108300,12.143432
2015-09-16,12.35,12.39,12.34,12.36,107100,11.997827
2015-09-15,12.37,12.39,12.33,12.38,77400,12.017241
2015-09-14,12.48,12.52,12.35,12.35,75400,11.988121
2015-09-11,12.51,12.51,12.42,12.44,71700,12.075483
2015-09-10,12.55,12.57,12.45,12.49,72600,12.124018
2015-09-09,12.55,12.61,12.51,12.52,95900,12.153139
2015-09-08,12.45,12.64,12.45,12.56,167200,12.191967
2015-09-04,12.36,12.58,12.34,12.49,104200,12.124018
2015-09-03,12.31,12.38,12.31,12.38,96700,12.017241
2015-09-02,12.33,12.34,12.27,12.27,70300,11.910465
2015-09-01,12.30,12.37,12.30,12.30,65100,11.939586
2015-08-31,12.34,12.38,12.31,12.32,130100,11.958999
2015-08-28,12.25,12.37,12.22,12.34,89200,11.978413
2015-08-27,12.20,12.27,12.16,12.26,95400,11.900758
2015-08-26,12.25,12.25,12.15,12.19,153300,11.832808
2015-08-25,12.23,12.31,12.19,12.19,81300,11.832808
2015-08-24,12.20,12.25,12.18,12.22,169500,11.86193
2015-08-21,12.37,12.38,12.26,12.29,118800,11.929878
2015-08-20,12.39,12.42,12.31,12.36,113700,11.997827
2015-08-19,12.44,12.48,12.40,12.48,110000,12.052186
2015-08-18,12.46,12.46,12.39,12.44,57100,12.013557
2015-08-17,12.44,12.46,12.41,12.46,62100,12.032872
2015-08-14,12.42,12.45,12.37,12.41,55500,11.984586
2015-08-13,12.46,12.46,12.39,12.39,72400,11.965272
2015-08-12,12.43,12.49,12.41,12.46,105300,12.032872
2015-08-11,12.29,12.40,12.26,12.40,133800,11.974928
2015-08-10,12.23,12.31,12.21,12.22,84400,11.801099
2015-08-07,12.25,12.29,12.19,12.25,109000,11.830071
2015-08-06,12.25,12.27,12.22,12.26,71700,11.839728
2015-08-05,12.33,12.36,12.22,12.23,115700,11.810756
2015-08-04,12.37,12.38,12.33,12.33,88900,11.907328
2015-08-03,12.34,12.39,12.33,12.38,91100,11.955614
2015-07-31,12.39,12.39,12.30,12.31,129100,11.888014
2015-07-30,12.25,12.31,12.25,12.31,68900,11.888014
2015-07-29,12.22,12.29,12.20,12.25,78700,11.830071
2015-07-28,12.25,12.28,12.22,12.25,122700,11.830071
2015-07-27,12.28,12.34,12.27,12.28,90300,11.859042
2015-07-24,12.26,12.30,12.25,12.30,59700,11.878357
2015-07-23,12.27,12.30,12.23,12.30,76700,11.878357
2015-07-22,12.28,12.31,12.23,12.23,91400,11.810756
2015-07-21,12.27,12.34,12.24,12.34,107200,11.85518
2015-07-20,12.27,12.31,12.23,12.24,104300,11.759108
2015-07-17,12.35,12.35,12.25,12.25,92400,11.768716
2015-07-16,12.32,12.35,12.31,12.33,67500,11.845572
2015-07-15,12.34,12.34,12.27,12.34,101800,11.85518
2015-07-14,12.28,12.35,12.28,12.34,100900,11.85518
2015-07-13,12.36,12.36,12.28,12.33,63300,11.845572
2015-07-10,12.34,12.36,12.32,12.36,57000,11.874394
2015-07-09,12.39,12.41,12.34,12.41,124600,11.922429
2015-07-08,12.36,12.44,12.33,12.38,69500,11.893608
2015-07-07,12.20,12.39,12.20,12.39,111200,11.903216
2015-07-06,12.16,12.19,12.13,12.15,131300,11.672644
2015-07-02,12.17,12.18,12.10,12.17,203400,11.691859
2015-07-01,12.17,12.20,12.15,12.20,79900,11.72068
2015-06-30,12.06,12.17,12.05,12.17,273800,11.691859
2015-06-29,12.13,12.14,12.04,12.07,105800,11.595787
2015-06-26,12.16,12.19,12.11,12.11,68000,11.634216
2015-06-25,12.28,12.28,12.16,12.17,165600,11.691859
2015-06-24,12.27,12.27,12.20,12.26,79700,11.778323
2015-06-23,12.24,12.30,12.21,12.23,159100,11.749501
2015-06-22,12.27,12.31,12.23,12.24,91100,11.759108
2015-06-19,12.30,12.31,12.25,12.30,83200,11.816751
2015-06-18,12.27,12.36,12.25,12.35,179200,11.803301
2015-06-17,12.25,12.30,12.24,12.26,93000,11.717285
2015-06-16,12.24,12.31,12.24,12.27,85900,11.726843
2015-06-15,12.29,12.33,12.22,12.24,156600,11.69817
2015-06-12,12.14,12.25,12.12,12.25,137300,11.707728
2015-06-11,12.04,12.15,12.04,12.12,190600,11.583482
2015-06-10,12.00,12.10,12.00,12.05,249700,11.516581
2015-06-09,12.05,12.07,11.93,12.07,182600,11.535696
2015-06-08,12.19,12.22,12.07,12.07,160100,11.535696
2015-06-05,12.21,12.25,12.06,12.20,272300,11.659941
2015-06-04,12.38,12.43,12.25,12.25,138000,11.707728
2015-06-03,12.43,12.43,12.31,12.36,103400,11.812858
2015-06-02,12.47,12.48,12.40,12.44,119600,11.889317
2015-06-01,12.47,12.50,12.44,12.45,141200,11.898874
2015-05-29,12.42,12.45,12.38,12.45,137700,11.898874
2015-05-28,12.36,12.40,12.34,12.38,149800,11.831973
2015-05-27,12.29,12.37,12.29,12.37,101100,11.822416
2015-05-26,12.30,12.32,12.24,12.26,131700,11.717285
2015-05-22,12.37,12.37,12.28,12.29,147200,11.745957
2015-05-21,12.36,12.39,12.34,12.34,64500,11.793744
2015-05-20,12.39,12.40,12.33,12.33,126000,11.784186
2015-05-19,12.43,12.46,12.37,12.41,159600,11.799478
2015-05-18,12.54,12.54,12.42,12.47,144500,11.856527
2015-05-15,12.49,12.53,12.46,12.52,117200,11.904067
2015-05-14,12.39,12.47,12.35,12.47,220200,11.856527
2015-05-13,12.44,12.45,12.33,12.34,210700,11.732922
2015-05-12,12.37,12.40,12.33,12.40,188700,11.78997
2015-05-11,12.41,12.43,12.31,12.38,180800,11.770954
2015-05-08,12.46,12.48,12.40,12.43,159500,11.818495
2015-05-07,12.41,12.45,12.37,12.41,207900,11.799478
2015-05-06,12.57,12.58,12.40,12.40,233300,11.78997
2015-05-05,12.57,12.60,12.52,12.60,131600,11.980131
2015-05-04,12.58,12.62,12.53,12.53,166300,11.913575
2015-05-01,12.71,12.71,12.56,12.57,165700,11.951607
2015-04-30,12.71,12.72,12.65,12.71,180700,12.08472
2015-04-29,12.66,12.73,12.66,12.68,185900,12.056196
