Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,13.82,13.86,13.82,13.85,2500,13.85
2016-03-10,13.81,13.87,13.81,13.87,1600,13.87
2016-03-09,13.67,13.83,13.66,13.83,9900,13.83
2016-03-08,13.91,13.91,13.91,13.91,1700,13.91
2016-03-07,14.00,14.00,13.77,13.77,3300,13.77
2016-03-04,13.82,13.93,13.75,13.93,2100,13.93
2016-03-03,13.96,13.96,13.82,13.83,5300,13.83
2016-03-02,13.92,13.95,13.91,13.95,1200,13.95
2016-03-01,13.86,13.89,13.81,13.89,6900,13.89
2016-02-29,14.24,14.24,13.69,13.88,8300,13.88
2016-02-26,14.17,14.17,13.91,13.93,2100,13.93
2016-02-25,14.16,14.16,13.89,13.90,3900,13.90
2016-02-24,14.16,14.16,14.05,14.10,1500,14.10
2016-02-23,14.14,14.18,14.14,14.16,1800,14.16
2016-02-22,14.31,14.32,13.26,14.15,21900,14.15
2016-02-19,14.30,14.75,14.30,14.75,8400,14.75
2016-02-18,14.21,14.29,14.21,14.26,900,14.26
2016-02-17,14.42,14.42,14.32,14.36,1100,14.301
2016-02-16,14.00,14.24,14.00,14.24,1200,14.181493
2016-02-12,14.25,14.25,14.02,14.03,3500,13.972356
2016-02-11,14.31,14.31,14.25,14.27,5700,14.211371
2016-02-10,14.28,14.28,14.28,14.28,000,14.221329
2016-02-09,14.33,14.33,14.27,14.28,1900,14.221329
2016-02-08,14.31,14.31,14.28,14.28,1600,14.221329
2016-02-05,14.20,14.20,14.20,14.20,1700,14.141658
2016-02-04,14.41,14.41,14.20,14.29,3900,14.231288
2016-02-03,14.01,14.39,14.01,14.09,3100,14.03211
2016-02-02,14.38,14.38,14.38,14.38,200,14.320918
2016-02-01,14.40,14.40,14.15,14.15,1500,14.091863
2016-01-29,14.27,14.27,14.00,14.00,3900,13.942479
2016-01-28,13.81,13.89,13.60,13.89,5900,13.832932
2016-01-27,13.79,13.96,13.79,13.81,1900,13.753261
2016-01-26,14.42,14.42,14.00,14.00,3600,13.942479
2016-01-25,14.41,14.42,14.10,14.25,2900,14.191452
2016-01-22,14.02,14.42,14.02,14.10,3100,14.042069
2016-01-21,14.06,14.42,14.02,14.02,2600,13.962398
2016-01-20,14.39,14.42,13.73,14.11,7600,14.052027
2016-01-19,13.98,14.39,13.98,14.01,4100,13.89368
2016-01-15,13.80,14.06,13.80,13.98,1700,13.863929
2016-01-14,13.51,14.42,13.51,14.05,6500,13.933348
