Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,13.94,14.16,13.56,13.56,30600,13.56
2016-03-10,13.64,13.90,13.57,13.78,5100,13.78
2016-03-09,13.58,13.58,13.41,13.55,16300,13.55
2016-03-08,13.55,13.56,13.48,13.48,6500,13.48
2016-03-07,13.53,13.53,13.48,13.49,800,13.49
2016-03-04,13.63,13.63,13.43,13.52,11700,13.52
2016-03-03,13.85,13.85,13.66,13.66,2500,13.66
2016-03-02,13.85,13.90,13.81,13.90,1000,13.90
2016-03-01,13.63,13.87,13.63,13.75,2600,13.75
2016-02-29,13.80,13.80,13.69,13.80,2600,13.80
2016-02-26,13.64,13.68,13.64,13.67,2000,13.67
2016-02-25,13.64,13.64,13.64,13.64,1300,13.64
2016-02-24,13.63,13.69,13.63,13.67,5800,13.67
2016-02-23,13.60,13.63,13.60,13.63,2300,13.63
2016-02-22,13.68,13.68,13.56,13.66,5900,13.66
2016-02-19,13.65,13.65,13.65,13.65,900,13.65
2016-02-18,13.55,13.55,13.55,13.55,4300,13.55
2016-02-17,13.90,13.90,13.77,13.77,300,13.706
2016-02-16,13.53,13.54,13.20,13.53,10800,13.467115
2016-02-12,13.84,13.84,13.53,13.57,3200,13.506929
2016-02-11,13.54,13.54,13.53,13.53,2100,13.467115
2016-02-10,13.62,13.64,13.54,13.54,2800,13.477069
2016-02-09,13.54,13.60,13.36,13.59,5700,13.526837
2016-02-08,13.59,13.65,13.49,13.53,5900,13.467115
2016-02-05,13.50,13.52,13.50,13.50,3700,13.437255
2016-02-04,13.50,13.54,13.40,13.50,2800,13.437255
2016-02-03,13.62,13.62,13.51,13.56,4400,13.496976
2016-02-02,13.35,13.52,13.35,13.52,6700,13.457162
2016-02-01,13.27,13.38,13.27,13.28,2400,13.218277
2016-01-29,13.29,13.32,13.20,13.31,4100,13.248138
2016-01-28,13.19,13.19,13.19,13.19,2600,13.128695
2016-01-27,13.07,13.22,13.07,13.10,2700,13.039114
2016-01-26,13.15,13.25,13.13,13.14,2900,13.078928
2016-01-25,13.12,13.21,13.12,13.15,2800,13.088881
2016-01-22,13.07,13.12,13.07,13.11,6200,13.049067
2016-01-21,13.02,13.24,13.02,13.12,5200,13.059021
2016-01-20,13.14,13.14,13.09,13.09,3100,13.029161
2016-01-19,13.19,13.27,13.10,13.20,9600,13.074946
2016-01-15,13.23,13.38,13.05,13.12,13000,12.995704
2016-01-14,13.57,13.57,13.31,13.32,11200,13.193809
2016-01-13,13.90,13.98,13.55,13.55,8200,13.421631
2016-01-12,13.49,13.52,13.41,13.43,3000,13.302768
2016-01-11,13.55,13.56,13.51,13.56,2600,13.431536
2016-01-08,13.43,13.78,13.41,13.55,4000,13.421631
2016-01-07,13.41,13.41,13.41,13.41,300,13.282957
2016-01-06,13.28,13.41,13.28,13.41,500,13.282957
2016-01-05,13.38,13.46,13.16,13.37,3300,13.243336
2016-01-04,13.40,13.43,13.18,13.42,4600,13.292862
2015-12-31,13.24,13.43,13.15,13.22,7500,13.094757
2015-12-30,13.22,13.41,13.10,13.22,23700,13.094757
2015-12-29,13.08,13.15,13.08,13.15,1600,13.02542
2015-12-28,13.15,13.15,13.12,13.12,3700,12.995704
2015-12-24,13.15,13.16,13.15,13.15,1100,13.02542
2015-12-23,13.16,13.16,13.16,13.16,600,13.035325
2015-12-22,13.16,13.16,13.16,13.16,000,13.035325
2015-12-21,13.10,13.16,13.10,13.16,5600,13.035325
2015-12-18,13.12,13.12,13.11,13.11,500,12.922406
2015-12-17,13.03,13.03,12.95,13.00,1100,12.81398
